timestamp,revid,parentid,sock,user,page,message
2007-01-21T04:54:25+00:00,102154215,102152023,1,151.118.128.232,Daybreak (community),
2007-01-20T15:00:49+00:00,102005926,101959223,1,151.118.128.232,Daybreak (community),
2006-12-27T05:03:36+00:00,96684868,96682885,1,151.118.128.232,Tax lien sale,Undo revision 96682885 by [[Special:Contributions/Emperor|Emperor]] ([[User talk:Emperor|talk]])
2006-12-27T05:02:12+00:00,96684666,96683138,1,151.118.128.232,Daybreak (community),Undo revision 96683138 by [[Special:Contributions/Emperor|Emperor]] ([[User talk:Emperor|talk]])
2006-12-27T05:01:44+00:00,96684604,96683272,1,151.118.128.232,"South Jordan, Utah",Undo revision 96683272 by [[Special:Contributions/Emperor|Emperor]] ([[User talk:Emperor|talk]])
2006-12-27T04:51:44+00:00,96683081,96680510,1,151.118.128.232,"South Jordan, Utah",spelling correction
2006-12-27T04:49:03+00:00,96682672,96680928,1,151.118.128.232,Daybreak (community),current benefits
2006-12-27T04:45:18+00:00,96682148,96681580,1,151.118.128.232,Tax lien sale,spelling correction
2006-12-27T04:40:55+00:00,96681580,96681371,1,151.118.128.232,Tax lien sale,Summary
2006-12-27T04:39:17+00:00,96681371,96681045,1,151.118.128.232,Tax lien sale,summary
2006-12-27T04:37:09+00:00,96681045,96680891,1,151.118.128.232,Tax lien sale,/* Sale Process */
2006-12-27T04:36:07+00:00,96680891,96680763,1,151.118.128.232,Tax lien sale,updated information
2006-12-27T04:25:33+00:00,96679465,94183090,1,151.118.128.232,Tax lien sale,/* Sale Process */
2006-12-27T04:22:26+00:00,96679049,96678814,1,151.118.128.232,"South Jordan, Utah",/* Geography */
2006-12-27T04:20:44+00:00,96678814,96678662,1,151.118.128.232,"South Jordan, Utah",2007 outlook
2006-12-27T04:19:45+00:00,96678662,94325483,1,151.118.128.232,"South Jordan, Utah",new updated information
2006-12-27T04:18:04+00:00,96678414,96678235,1,151.118.128.232,Daybreak (community),updated information
2006-12-27T04:17:02+00:00,96678235,96677831,1,151.118.128.232,Daybreak (community),
2006-12-27T04:09:57+00:00,96677114,96676998,1,151.118.128.232,Daybreak,/* Other arts and media */
2006-12-27T04:07:49+00:00,96676768,96676119,1,151.118.128.232,Daybreak (community),/* External links */
2006-12-27T04:05:35+00:00,96676423,96676053,1,151.118.128.232,Daybreak,/* Other */
2006-12-27T04:02:07+00:00,96675966,96675671,1,151.118.128.232,Daybreak,/* Other */
2006-12-27T03:59:58+00:00,96675671,96675523,1,151.118.128.232,Daybreak,/* Other */
2006-12-27T03:58:53+00:00,96675523,96483146,1,151.118.128.232,Daybreak,/* Other */
2006-12-23T04:22:11+00:00,96046538,95963664,1,151.118.128.232,Daybreak (community),
2006-12-22T18:56:48+00:00,95963664,95963293,1,151.118.128.232,Daybreak (community),
2006-12-22T18:54:44+00:00,95963293,95681231,1,151.118.128.232,Daybreak (community),update communtity information  0ctober 2006
2007-01-21T04:30:47+00:00,102150530,102147950,1,Coresubprime,Daybreak (community),
2007-01-21T03:48:51+00:00,102143613,102143153,1,Coresubprime,Daybreak (community),
2007-01-21T03:42:38+00:00,102142648,102126438,1,Coresubprime,Daybreak (community),
2007-01-17T02:30:13+00:00,101241693,101156245,1,Coresubprime,Daybreak (community),
2007-01-16T19:29:59+00:00,101155696,100887115,1,Daybreakutahhomeforsale,Tax deed sale,/* Tax Deed Sale Process */
2007-01-16T19:14:33+00:00,101152657,101152518,1,Daybreakutahhomeforsale,Tax lien sale,/* Pitfalls of tax lien investing */
2007-01-16T19:13:51+00:00,101152518,101151468,1,Daybreakutahhomeforsale,Tax lien sale,/* Sale process */
2007-01-16T19:11:26+00:00,101152063,101151918,1,Daybreakutahhomeforsale,Tax lien,/* Tax liens in connection with property taxes */
2007-01-16T19:10:36+00:00,101151918,101151762,1,Daybreakutahhomeforsale,Tax lien,/* Perfection of Federal tax liens against third parties (the Notice of Federal Tax Lien) */
2007-01-16T19:09:54+00:00,101151762,100902285,1,Daybreakutahhomeforsale,Tax lien,/* Helpful Links */
2007-01-16T19:08:27+00:00,101151468,100775451,1,Daybreakutahhomeforsale,Tax lien sale,/* External links */
2007-01-09T17:43:53+00:00,99585952,99585573,1,Daybreakutahhomeforsale,Tax lien sale,/* Pitfalls of tax lien investing */
2007-01-09T17:39:45+00:00,99585573,97081376,1,Daybreakutahhomeforsale,Tax lien sale,
2007-01-09T17:34:22+00:00,99584977,99584462,1,Daybreakutahhomeforsale,Tax deed sale,/* See also */
2007-01-09T17:29:13+00:00,99584462,99584083,1,Daybreakutahhomeforsale,Tax deed sale,
2007-01-09T17:23:58+00:00,99584083,99583452,1,Daybreakutahhomeforsale,Tax deed sale,
2007-01-09T17:15:51+00:00,99583452,96997523,1,Daybreakutahhomeforsale,Tax deed sale,
2007-01-07T03:32:53+00:00,99018912,98874264,1,Daybreakutahhomeforsale,Daybreak (community),
2007-01-06T14:11:31+00:00,98874264,98354136,1,Daybreakutahhomeforsale,Daybreak (community),
2007-01-06T13:27:00+00:00,98867793,98807012,1,Daybreakutahhomeforsale,Daybreak,/* Other */
2007-01-04T05:43:30+00:00,98354136,97039911,1,Daybreakutahhomeforsale,Daybreak (community),
2007-01-20T21:02:16+00:00,102068546,102007872,1,Losgatosmiami,Daybreak (community),
2007-01-20T06:20:01+00:00,101954179,101821770,1,Losgatosmiami,Daybreak (community),
2007-01-19T17:10:37+00:00,101815353,101790511,1,Losgatosmiami,Daybreak (community),Undo revision 101790511 by [[Special:Contributions/Ali-oops|Ali-oops]] ([[User talk:Ali-oops|talk]])
2007-01-19T13:15:58+00:00,101778168,101270019,1,Losgatosmiami,Daybreak (community),
2007-01-19T12:12:34+00:00,101771798,100577016,1,Losgatosmiami,Daybreak,/* Other */
2007-01-21T05:33:46+00:00,102159803,102159551,1,Perpetualmachine,User talk:Perpetualmachine,[[WP:AES|←]]Replaced page with 'a few pieces of the puzzle are missing...'
2007-01-21T05:30:32+00:00,102159354,102158962,1,Perpetualmachine,User talk:Perpetualmachine,[[WP:AES|←]]Blanked the page
2007-01-21T05:24:51+00:00,102158553,102158417,1,Perpetualmachine,Wikipedia:Administrators' noticeboard/Incidents,
2007-01-21T05:23:06+00:00,102158308,102157454,1,Perpetualmachine,Wikipedia:Administrators' noticeboard/Incidents,
2007-01-21T05:18:53+00:00,102157733,102157298,1,Perpetualmachine,Daybreak (community),
2007-01-21T01:29:03+00:00,102119661,102100222,1,Yellowpens,Daybreak (community),
2007-01-17T04:40:58+00:00,101263601,101258544,1,Yellowpens,Daybreak (community),
2007-01-17T04:39:03+00:00,101263343,101263143,1,Yellowpens,"South Jordan, Utah",
2007-01-17T04:37:38+00:00,101263143,99426070,1,Yellowpens,"South Jordan, Utah",
2006-12-27T04:18:11+00:00,96678436,96677114,0,Emperor,Daybreak,Reverted spam again
2006-12-09T21:34:40+00:00,93222861,89456265,0,Dmccreary,Daybreak,/* Other arts and media */
2006-12-26T01:48:26+00:00,96483146,93222861,0,Emperor,Daybreak,Adding wiktionary link and see also
2007-01-17T05:28:11+00:00,101270019,101269727,0,Cornellrockey,Daybreak (community),wikification
2007-01-19T14:51:01+00:00,101790678,101771798,0,Alison,Daybreak,/* Other */ rm linkspam
2006-12-29T00:43:54+00:00,97039911,96856863,0,24.10.160.66,Daybreak (community),/* External links */
2006-12-27T05:05:58+00:00,96685206,96684666,0,Beezhive,Daybreak (community),Revert to revision 96683138 dated 2006-12-27 04:52:06 by Emperor using [[:en:Wikipedia:Tools/Navigation_popups|popups]]
2007-01-20T23:39:01+00:00,102100222,102068546,0,Emperor,Daybreak (community),Undo revision 102068546 by [[Special:Contributions/Losgatosmiami|Losgatosmiami]] ([[User talk:Losgatosmiami|talk]]) - reverting link spam
2006-12-28T02:30:57+00:00,96856863,96856355,0,Bplewe,Daybreak (community),
2006-12-27T05:09:54+00:00,96685810,96684604,0,Beezhive,"South Jordan, Utah",Revert to revision 96683272 dated 2006-12-27 04:52:52 by Emperor using [[:en:Wikipedia:Tools/Navigation_popups|popups]]
2007-01-17T04:40:46+00:00,101263572,101263343,0,Cornellrockey,"South Jordan, Utah",revert linkspam
2006-12-14T18:17:26+00:00,94325483,92858791,0,Sloshmo,"South Jordan, Utah",
2007-01-08T22:55:19+00:00,99426070,96685810,0,68.6.200.91,"South Jordan, Utah",/* Geography */
2006-12-28T20:53:23+00:00,96997523,92756412,0,160.147.240.6,Tax deed sale,/* Tax Deed Sale Process */
2007-01-16T19:30:31+00:00,101155804,101155696,0,Alison,Tax deed sale,rv linkspam
2006-12-07T19:29:48+00:00,92756412,81128644,0,Jbanning22,Tax deed sale,
2007-01-15T15:58:32+00:00,100887115,99584977,0,128.170.36.45,Tax deed sale,Removing an advertisement link from the text
2007-01-13T10:43:24+00:00,100419374,100331260,0,69.228.94.120,Tax lien,/* Helpful Links */
2006-11-15T19:13:03+00:00,88036793,88036032,0,Veinor,Tax lien,Reverted edits by [[Special:Contributions/76.5.11.222|76.5.11.222]] to last version by ARebour
2007-01-16T19:29:06+00:00,101155522,101152063,0,Alison,Tax lien,rv linkspam
2007-01-11T14:51:36+00:00,99996744,99996642,0,70.120.232.33,Tax lien sale,/* Pitfalls of tax investing */
2006-12-29T05:16:24+00:00,97081376,97081310,0,LegitimateAndEvenCompelling,Tax lien sale,/* Hazards of Tax Lien Sales */ wikify heading capitalization
2006-12-28T20:51:12+00:00,96997101,96685611,0,160.147.240.6,Tax lien sale,/* Sale Process */
2006-12-14T01:11:29+00:00,94183090,94182631,0,Jbanning22,Tax lien sale,/* Pitfalls of tax lien investing */ Adding reference to environmental risk
2007-01-16T19:30:11+00:00,101155727,101152657,0,Alison,Tax lien sale,rv linkspam
2007-01-02T02:57:27+00:00,97859015,97858492,0,C33,Wikipedia:Administrators' noticeboard/Incidents,/* Extending {{user|Jacob Peters}}'s block */
2007-01-20T14:31:15+00:00,102002206,102002191,0,Minderbinder~enwiki,Wikipedia:Administrators' noticeboard/Incidents,/* Mastcell wikistalking */
2006-12-27T01:22:26+00:00,96650571,96650173,0,Doc glasgow,Wikipedia:Administrators' noticeboard/Incidents,/* A suggestion for the future */ counter producting
2006-12-29T06:31:10+00:00,97091039,97090978,0,Renamed user 5417514488,Wikipedia:Administrators' noticeboard/Incidents,/* Editor being uncivil */ - comment
2006-11-22T15:09:49+00:00,89456265,88225774,0,65.215.37.164,Daybreak,
2006-11-16T16:22:22+00:00,88225774,88225626,0,65.215.37.164,Daybreak,
