timestamp,revid,parentid,sock,user,page,message
2020-09-10T12:40:38+00:00,977700514,977699495,1,Aa2111,Ashi Singh,
2020-09-10T12:29:45+00:00,977699495,977698104,1,Aa2111,Ashi Singh,More info added.
2020-09-10T12:15:12+00:00,977698104,977078180,1,Aa2111,Ashi Singh,
2020-09-06T13:32:02+00:00,977022550,976815052,1,Aa2111,ByteDance,/* Other products */
2020-09-06T13:23:48+00:00,977021414,976379338,1,Aa2111,Google Play Music,
2020-08-24T05:02:50+00:00,974643898,973168285,1,Aa2111,Google Meet,Added the previous name of Google Meet
2020-08-17T05:25:14+00:00,973433354,973229163,1,Aa2111,ByteDance,Added more details of Resso.
2020-08-17T05:02:54+00:00,973431137,973070416,1,Aa2111,YouTube Kids,/* Availability */
2020-07-23T13:19:01+00:00,969110927,968542193,1,Aa2111,YouTube Kids,
2020-11-12T15:33:53+00:00,988338208,988303792,1,Bree2000,Anaika Soti,Added a short description
2020-11-12T11:26:35+00:00,988308838,988282213,1,Bree2000,Aladdin – Naam Toh Suna Hoga,
2020-11-12T11:24:01+00:00,988308611,987998604,1,Bree2000,Avneet Kaur,
2020-11-12T10:28:07+00:00,988303792,988303048,1,Bree2000,Anaika Soti,
2020-11-12T10:19:18+00:00,988303048,988149732,1,Bree2000,Anaika Soti,Added more information.
2020-11-12T02:03:07+00:00,988257262,988256591,1,Bree2000,Google Hangouts,
2020-11-12T01:57:15+00:00,988256591,988254193,1,Bree2000,Google Hangouts,Added more info
2020-11-11T12:11:51+00:00,988152406,987562279,1,Bree2000,Dhaka,
2020-11-11T11:45:05+00:00,988149732,988149346,1,Bree2000,Anaika Soti,
2020-11-11T11:40:16+00:00,988149346,988148819,1,Bree2000,Anaika Soti,Rearranged the filmography table.
2020-11-11T11:33:38+00:00,988148819,986878479,1,Bree2000,Anaika Soti,
2020-11-11T04:36:54+00:00,988114740,987634333,1,Bree2000,Nidhhi Agerwal,
2020-11-10T12:31:39+00:00,987990307,987987537,1,Bree2000,Vedhika,
2020-11-10T12:02:53+00:00,987987537,987985323,1,Bree2000,Vedhika,
2020-11-10T11:39:33+00:00,987985323,987886847,1,Bree2000,Vedhika,Added more info
2020-10-01T01:52:29+00:00,981227940,981139395,1,Jpj232,Ashi Singh,Added the the birth date and place
2020-09-30T13:08:42+00:00,981128262,981107307,1,Jpj232,Ashi Singh,
2020-09-30T09:14:11+00:00,981104195,979425092,1,Jpj232,Ashnoor Kaur,Added more info.
2020-09-30T08:52:02+00:00,981102296,981102171,1,Jpj232,Ashi Singh,/* Ashi Singh */
2020-09-30T08:50:31+00:00,981102171,981102099,1,Jpj232,Ashi Singh,/* Ashi Singh */
2020-09-30T08:49:47+00:00,981102099,981079702,1,Jpj232,Ashi Singh,/* Ashi Singh */ Added the missing info
2020-09-30T01:48:37+00:00,981061715,980988205,1,Jpj232,Ashi Singh,Added more info.
2020-09-29T07:30:18+00:00,980919893,980919820,1,Jpj232,Ashi Singh,/* Ashi Singh */
2020-09-29T07:29:33+00:00,980919820,980919714,1,Jpj232,Ashi Singh,/* Ashi Singh */
2020-09-29T07:28:39+00:00,980919714,980896217,1,Jpj232,Ashi Singh,/* Ashi Singh */
2020-09-29T03:32:14+00:00,980896217,980895945,1,Jpj232,Ashi Singh,
2020-09-29T03:29:46+00:00,980895945,980892297,1,Jpj232,Ashi Singh,
2020-09-29T02:57:01+00:00,980892297,979080175,1,Jpj232,Ashi Singh,Added picture of Ashi Singh
2020-09-15T12:01:46+00:00,978521470,978520911,1,Jpj232,Ashi Singh,
2020-09-15T11:57:09+00:00,978520911,978387531,1,Jpj232,Ashi Singh,Added pic of Ashi
2020-09-30T13:32:00+00:00,981130807,981128751,1,Reddif2323,Ashi Singh,
2020-10-02T16:43:10+00:00,981489923,981488054,1,Redif2,Yeh Un Dinon Ki Baat Hai,Added the information about season 2
2020-10-02T16:29:54+00:00,981488054,980949679,1,Redif2,Yeh Un Dinon Ki Baat Hai,
2020-10-02T05:25:58+00:00,981416985,981416126,1,Redif2,Ashi Singh,
2020-10-02T05:16:23+00:00,981416126,981308103,1,Redif2,Ashi Singh,
2020-10-06T06:13:47+00:00,982106848,981741899,1,Sans006,Yeh Un Dinon Ki Baat Hai,Added Season 2 information.
2020-11-02T07:58:48+00:00,986667535,985207684,1,Serif005,Emraan Hashmi,Added more info
2020-11-02T07:40:40+00:00,986665886,986665613,1,Serif005,Kiara Advani,
2020-11-02T07:37:34+00:00,986665613,986665208,1,Serif005,Kiara Advani,added cite
2020-11-02T07:32:13+00:00,986665208,986664546,1,Serif005,Kiara Advani,Added more info
2020-11-02T07:23:52+00:00,986664546,986560951,1,Serif005,Kiara Advani,Added more info
2020-11-02T03:04:54+00:00,986640854,986637433,1,Serif005,Nidhhi Agerwal,Added more info
2020-11-02T02:34:29+00:00,986637433,986060348,1,Serif005,Nidhhi Agerwal,Added new image.
2020-10-10T07:22:30+00:00,982770677,981554869,1,Timesroman45,Ashi Singh,Added picture
2020-10-11T12:18:55+00:00,982961108,982836790,1,Timesroman46,Ashi Singh,
2020-05-19T19:07:53+00:00,957624070,945976379,0,TamilMirchi,Anaika Soti,
2020-08-28T06:23:53+00:00,975384654,957624070,0,Zyxw,Anaika Soti,add link
2020-10-12T00:09:26+00:00,983055251,975384654,0,Rabbithat43,Anaika Soti,Rescuing 7 sources and tagging 0 as dead.) #IABot (v2.0.7
2020-10-01T14:44:53+00:00,981308103,981306373,0,Ravensfire,Ashi Singh,Reverted to revision 981243699 by [[Special:Contributions/DMacks|DMacks]] ([[User talk:DMacks|talk]]): IMDB is not a reliable source for this - see [[WP:CITEIMDB]]
2020-11-03T14:56:33+00:00,986878479,986825081,0,2001:D08:C3:3D83:D8DA:CA3B:DCD4:E8E5,Anaika Soti,/* Filmography */
2020-09-30T04:31:32+00:00,981079702,981061715,0,Ravensfire,Ashi Singh,Reverting edit(s) by [[Special:Contributions/Jpj232|Jpj232]] ([[User_talk:Jpj232|talk]]) to rev. 980988205 by Ravensfire: not sourced - woodgram is NOT a reliable source - discuss on article talk page [[w:en:WP:RW|(RW 15)]]
2020-10-03T01:32:19+00:00,981554869,981554866,0,MelanieN,Ashi Singh,Adding {{pp-vandalism}}
2020-08-12T20:07:13+00:00,972574330,972534105,0,Cyphoidbomb,Ashi Singh,Reverted to revision 971580154 by [[Special:Contributions/BD2412|BD2412]] ([[User talk:BD2412|talk]]): Last stable ([[WP:TW|TW]])
2020-09-18T17:33:24+00:00,979080175,978532732,0,Atsukoyuri,Ashi Singh,
2020-10-17T04:11:48+00:00,983935303,983840204,0,2405:205:C804:3300:5D6:C8B7:7A82:3F5F,Aladdin – Naam Toh Suna Hoga,/* Season 3 */
2020-10-24T03:54:42+00:00,985129567,985102739,0,2402:3A80:A24:F584:0:6E:4F5A:A501,Aladdin – Naam Toh Suna Hoga,
2020-08-22T10:12:25+00:00,974326077,974326039,0,Materialscientist,Ashi Singh,Reverted edits by [[Special:Contributions/45.249.84.247|45.249.84.247]] ([[User talk:45.249.84.247|talk]]) ([[WP:HG|HG]]) (3.4.10)
2020-08-30T03:52:37+00:00,975736644,975736462,0,2405:205:118B:F2CB:0:0:10E6:40A5,Ashi Singh,
2020-10-11T18:42:04+00:00,983013033,983013029,0,Dreamy Jazz,Ashi Singh,Adding {{pp-sock}}
2020-10-22T15:13:29+00:00,984861404,984861291,0,C1K98V,Ashi Singh,/* External links */
2020-09-10T15:50:28+00:00,977724099,977700514,0,CommonsDelinker,Ashi Singh,"Removing [[:c:File:3117-ashi-singh.jpg|3117-ashi-singh.jpg]], it has been deleted from Commons by [[:c:User:Túrelio|Túrelio]] because: [[:c:COM:L|Copyright violation]]: https://www.google.com/search?q=ashi+singh&tbm=isch&source=iu&ictx=1&fir=-QiYM49HkW5-E"
2020-09-05T00:11:39+00:00,976782757,976735908,0,Cyphoidbomb,Ashi Singh,Reverted to revision 975766318 by [[Special:Contributions/Heiko Gerber|Heiko Gerber]] ([[User talk:Heiko Gerber|talk]]): Last stable. Unclear how the net of these changes is an improvement. ([[WP:TW|TW]])
2020-07-26T02:13:12+00:00,969542860,969469487,0,Cyphoidbomb,Ashi Singh,"Cleanup. Del unsourced content, and the family parameters are for *notable* family members, i.e. ones with existing Wikipedia articles."
2020-08-07T00:51:52+00:00,971580154,969542860,0,BD2412,Ashi Singh,"/* Award and nominations */Unlink or remove AfD-deleted article., replaced: [[Kalakar Awards]] → Kalakar Awards"
2020-09-29T16:54:12+00:00,980988205,980984958,0,Ravensfire,Ashi Singh,"Date / place of birth MUST be sourced for a living person - see [[WP:BLPPRIVACY]], this is not optional"
2020-09-15T13:39:23+00:00,978532732,978521470,0,Filedelinkerbot,Ashi Singh,"Bot: Removing [[c:File:Ashi Singh.jpg]] ([[:File:Ashi Singh.jpg|en]]). Deleted by [[:C:User:Túrelio|Túrelio]] ([[Commons:COM:L|Copyright violation]]: sharechat.com/tag/4ZjA8, www.indiaforums.com/person/ashi-singh_13117 and more)."
2020-09-20T17:46:35+00:00,979425092,979423852,0,Fylindfotberserk,Ashnoor Kaur,/* Television */ MOS
2020-09-09T09:09:54+00:00,977517133,977517032,0,2409:4043:9A:58DC:9FBE:BEE8:6F5C:7A6C,Ashnoor Kaur,
2020-08-27T17:25:00+00:00,975262537,975255048,0,Cyphoidbomb,Ashi Singh,Cleanup. Has nothing to do with Disney
2020-08-08T18:07:21+00:00,971861543,971861432,0,Fylindfotberserk,Avneet Kaur,added [[Category:2001 births]] using [[WP:HC|HotCat]]
2020-09-20T04:26:06+00:00,979329972,979313961,0,Amigao,ByteDance,/* Controversy */ more precise wording
2020-09-08T14:27:59+00:00,977383449,977382782,0,Kkalmar~hrwiki,Google Hangouts,
2020-07-25T22:19:02+00:00,969514962,969510545,0,Cyphoidbomb,Avneet Kaur,This is how it's spelled in the article.
2020-10-07T06:43:22+00:00,982285410,982284902,0,59.153.16.41,Dhaka,
2020-09-18T14:05:25+00:00,979053629,979051352,0,Mauls,ByteDance,/* Ban on TikTok */
2020-08-30T15:50:50+00:00,975817083,975672258,0,193.121.128.255,ByteDance,1400 billion would be $200 billion
2020-09-03T23:49:15+00:00,976612125,975585197,0,172.127.7.13,Google Meet,
2020-08-06T16:53:58+00:00,971518108,971432055,0,Danloud,Dhaka,Undid revision 971432055 by [[Special:Contributions/45.249.184.27|45.249.184.27]] ([[User talk:45.249.184.27|talk]])
2020-11-04T14:59:56+00:00,987043063,987013746,0,LeoKids123,Google Play Music,Undid revision 986982070 by [[Special:Contributions/The Grid|The Grid]] ([[User talk:The Grid|talk]]) NO ITS NOT DEAD JIM!
2020-08-29T09:51:25+00:00,975585197,975203326,0,Itsmejacking09,Google Meet,/* History */Fixed Typo
2020-08-09T04:12:46+00:00,971931531,971922448,0,Kashmiri,Google Hangouts,Reverted to revision 970686423 by [[Special:Contributions/PedroLucasDBr|PedroLucasDBr]] ([[User talk:PedroLucasDBr|talk]]): Take your rant elsewhere ([[WP:TW|TW]])
2020-11-10T03:29:43+00:00,987938842,987938738,0,Aristocratic 536,Emraan Hashmi,
2020-07-28T10:48:19+00:00,969952034,969483772,0,182.70.51.205,Emraan Hashmi,Emraan Hashmi is not one of the most popular actors of Bollywood - never an A lister. The article said that. I made a minor correction to fix the falsification.
2020-10-22T04:44:15+00:00,984797568,984494244,0,InfiniteNexus,Google Hangouts,Google Chat is going free soon and will replace Hangouts.
2020-10-28T03:05:40+00:00,985815178,985701414,0,RaptorsTO5,Google Play Music,"Added info about transition to Google Podcasts, and corrected info implying the service was already fully shutdown for all users."
2020-10-29T15:38:19+00:00,986061752,984843333,0,Selenacabello97i,Kiara Advani,
2020-07-19T15:24:43+00:00,968464511,968464496,0,ClueBot NG,Google Hangouts,"Reverting possible vandalism by [[Special:Contribs/2600:1017:B025:6C8E:BBA1:6EB7:6453:C962|2600:1017:B025:6C8E:BBA1:6EB7:6453:C962]] to version by User3749. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (3742716) (Bot)"
2020-10-01T14:51:07+00:00,981308969,981308602,0,Glen,Kiara Advani,Rollback edit(s) by [[Special:Contributions/Sjakamzhsj|Sjakamzhsj]] ([[User_talk:Sjakamzhsj|talk]]): non-constructive [[w:en:WP:RW|(RW 15)]]
2020-10-05T16:40:24+00:00,981999718,981980173,0,Amigao,ByteDance,more precise citations
2020-08-21T06:37:23+00:00,974123342,973483837,0,1.39.171.1,Vedhika,
2020-09-11T11:17:37+00:00,977856773,977345032,0,Ab207,Kiara Advani,Link to language; which is the primary topic here
2020-10-20T08:18:38+00:00,984476447,984454332,0,Arjayay,Kiara Advani,Reverted edits by [[Special:Contribs/2402:8100:22BB:717F:2FC9:D37E:6AE1:B0FD|2402:8100:22BB:717F:2FC9:D37E:6AE1:B0FD]] ([[User talk:2402:8100:22BB:717F:2FC9:D37E:6AE1:B0FD|talk]]) to last version by Fylindfotberserk
2020-10-21T10:52:19+00:00,984663867,984290728,0,The9Man,Nidhhi Agerwal,Should only be used if nationality cannot be inferred from the birthplace. See [[Template:Infobox_person|Infobox]]
2020-10-22T12:56:29+00:00,984843333,984840643,0,Fylindfotberserk,Kiara Advani,Alter: title. | You can [[WP:UCB|use this tool]] yourself. [[WP:DBUG|Report bugs here]]. | via #UCB_Gadget
2020-10-19T09:04:17+00:00,984290728,984290691,0,Materialscientist,Nidhhi Agerwal,Reverted edits by [[Special:Contributions/2409:4070:4099:7F38:0:0:8C:80A5|2409:4070:4099:7F38:0:0:8C:80A5]] ([[User talk:2409:4070:4099:7F38:0:0:8C:80A5|talk]]) ([[WP:HG|HG]]) (3.2.0)
2020-08-28T08:28:01+00:00,975398010,974657343,0,Zyxw,Kiara Advani,/* External links */ update
2020-08-03T20:20:22+00:00,971036238,971034964,0,MusikBot II,Kiara Advani,removing {{pp-blp}} as page is not edit-protected ([[User:MusikBot II/FixPP/FAQ|more info]])
2020-07-30T13:44:21+00:00,970298426,968216548,0,43.225.22.237,Nidhhi Agerwal,"Hey, I think her date of year is 1994, Can you please correct me if am wrong. Thanks"
2020-11-10T16:18:35+00:00,988021219,988021148,0,Materialscientist,Vedhika,Reverted edits by [[Special:Contributions/5.193.36.137|5.193.36.137]] ([[User talk:5.193.36.137|talk]]) ([[WP:HG|HG]]) (3.4.10)
2020-08-14T08:46:28+00:00,972888822,972888554,0,The9Man,Nidhhi Agerwal,Template not needed currently
2020-08-19T00:39:30+00:00,973746903,973494595,0,Fylindfotberserk,Kiara Advani,/* top */ [[MOS:ORDER]]
2020-10-22T14:01:34+00:00,984851125,984851013,0,Riya Iyer S Menon,Vedhika,/* Filmography */
2020-07-22T21:24:29+00:00,969012043,968091326,0,TamilMirchi,Vedhika,/* Awards and nominations */ added section
2020-10-29T09:43:37+00:00,986021380,986021295,0,115.99.61.191,Yeh Un Dinon Ki Baat Hai,/* Plot */
2020-09-21T12:42:38+00:00,979561233,978187134,0,178.71.162.107,Nidhhi Agerwal,/* Filmography */
2020-07-17T23:50:25+00:00,968216548,968153660,0,Atlantic306,Nidhhi Agerwal,Reverted to revision 968098448 by [[Special:Contributions/Playlikeastar|Playlikeastar]] ([[User talk:Playlikeastar|talk]]): Link spam ([[WP:TW|TW]])
2020-08-05T06:35:57+00:00,971293251,969991505,0,49.206.9.75,Vedhika,
2020-09-18T11:40:23+00:00,979037812,979019234,0,Dewmikarsha,Yeh Un Dinon Ki Baat Hai,/* Plot */
