timestamp,revid,parentid,sock,user,page,message
2017-09-30T15:49:05+00:00,803120402,803120222,1,Abbayiammayi,Spyder (film),references
2017-09-30T15:47:49+00:00,803120222,803074177,1,Abbayiammayi,Spyder (film),references
2017-09-30T13:40:17+00:00,803103682,797464085,1,Abbayiammayi,The Attacks of 26/11,clean up
2017-09-30T13:33:54+00:00,803102942,802979531,1,Abbayiammayi,Telugu cinema,references
2017-09-29T18:15:27+00:00,802979531,802336643,1,Abbayiammayi,Telugu cinema,rv
2017-09-29T18:14:38+00:00,802979426,802949702,1,Abbayiammayi,S. S. Rajamouli,copy edit
2017-09-29T08:26:40+00:00,802916978,802916928,1,Abbayiammayi,Spyder (film),references
2017-09-29T08:26:03+00:00,802916928,802916816,1,Abbayiammayi,Spyder (film),references
2017-09-29T08:24:32+00:00,802916816,802911969,1,Abbayiammayi,Spyder (film),references
2017-09-29T07:06:53+00:00,802910956,799581280,1,Abbayiammayi,All Lights India International Film Festival,references
2017-09-28T11:32:06+00:00,802774476,802274073,1,Abbayiammayi,V. K. Sasikala,Undid revision 802274073 by [[Special:Contributions/Li wei ran|Li wei ran]] ([[User talk:Li wei ran|talk]])
2017-09-28T11:30:26+00:00,802774303,802362911,1,Abbayiammayi,Nagarjuna (actor),references
2017-09-28T11:26:02+00:00,802773964,799807708,1,Abbayiammayi,K. Viswanath,references
2017-09-27T07:44:57+00:00,802606472,801378257,1,Abbayiammayi,Trivikram Srinivas,""""""
2017-09-27T06:24:32+00:00,802600535,802600436,1,Abbayiammayi,Arjun Reddy,gnr
2017-09-27T06:23:20+00:00,802600436,802600364,1,Abbayiammayi,Arjun Reddy,/* Plot */
2017-09-27T06:22:05+00:00,802600364,802540624,1,Abbayiammayi,Arjun Reddy,gnr
2017-09-26T18:23:49+00:00,802524465,802524248,1,Abbayiammayi,J. D. Chakravarthy,clean up
2017-09-26T18:22:09+00:00,802524248,802523855,1,Abbayiammayi,J. D. Chakravarthy,clean up
2017-09-26T18:20:51+00:00,802524076,802523959,1,Abbayiammayi,Nakshatram (film),clean up
2017-09-26T18:19:54+00:00,802523959,801761653,1,Abbayiammayi,Nakshatram (film),clean up
2017-09-26T18:19:05+00:00,802523855,802523780,1,Abbayiammayi,J. D. Chakravarthy,clean up
2017-09-26T18:18:30+00:00,802523780,802523706,1,Abbayiammayi,J. D. Chakravarthy,clean up
2017-09-26T18:17:57+00:00,802523706,802521956,1,Abbayiammayi,J. D. Chakravarthy,clean up
2017-09-26T18:16:21+00:00,802523487,802523324,1,Abbayiammayi,Kontract,/* References */
2017-09-26T18:15:00+00:00,802523324,802523268,1,Abbayiammayi,Kontract,
2017-09-26T18:14:36+00:00,802523268,802523199,1,Abbayiammayi,Kontract,
2017-09-26T18:14:09+00:00,802523199,783071316,1,Abbayiammayi,Kontract,references
2017-09-26T18:04:31+00:00,802521956,802521749,1,Abbayiammayi,J. D. Chakravarthy,clean up
2017-09-26T18:02:58+00:00,802521749,800510795,1,Abbayiammayi,J. D. Chakravarthy,clean up
2017-09-26T14:04:26+00:00,802491638,800736444,1,Abbayiammayi,List of awards and nominations received by Tamannaah Bhatia,/* Awards */ nom
