timestamp,revid,parentid,sock,user,page,message
2016-08-24T15:13:39+00:00,736010498,736010415,1,Abdullsaed,User talk:Abdullsaed,/* unblock me */
2016-08-24T15:13:18+00:00,736010415,736006635,1,Abdullsaed,User talk:Abdullsaed,
2016-08-20T19:14:21+00:00,735443784,735436743,1,Abdullsaed,User talk:Abdullsaed,/* August 2016 */
2016-08-20T10:40:33+00:00,735386663,735219722,1,Abdullsaed,User talk:Abdullsaed,/* unblock me */ new section
2016-08-18T09:23:00+00:00,735050213,735049666,1,Abdullsaed,User talk:Abdullsaed,
2016-08-18T09:16:59+00:00,735049666,735049506,1,Abdullsaed,User talk:Abdullsaed,
2016-08-18T09:15:22+00:00,735049506,735046548,1,Abdullsaed,User talk:Abdullsaed,
2016-08-18T08:46:46+00:00,735046548,735046264,1,Abdullsaed,User talk:Abdullsaed,/* Somali Armed Forces */
2016-08-18T08:44:18+00:00,735046264,735046185,1,Abdullsaed,User talk:Abdullsaed,/* Somali Armed Forces */
2016-08-18T08:43:39+00:00,735046185,735043876,1,Abdullsaed,User talk:Abdullsaed,/* Somali Armed Forces */
2016-08-18T07:23:21+00:00,735037852,734936806,1,Abdullsaed,User talk:Abdullsaed,/* Somali Armed Forces */
2016-08-17T16:59:17+00:00,734936806,734936632,1,Abdullsaed,User talk:Abdullsaed,/* Somali Armed Forces */
2016-08-17T16:57:49+00:00,734936632,734936600,1,Abdullsaed,User talk:Abdullsaed,/* Somali Armed Forces */
2016-08-17T16:57:30+00:00,734936600,734883224,1,Abdullsaed,User talk:Abdullsaed,/* Somali Armed Forces */
2016-08-17T08:39:55+00:00,734883224,734882604,1,Abdullsaed,User talk:Abdullsaed,/* Somali Armed Forces */
2016-08-17T08:34:17+00:00,734882604,734808283,1,Abdullsaed,User talk:Abdullsaed,
2016-08-16T17:41:49+00:00,734781105,734768782,1,Abdullsaed,Somali Armed Forces,"Improved: had too much details, removed unnecessary text and can be found Military History of somalia"
2016-08-16T16:06:44+00:00,734768782,734728553,1,Abdullsaed,Somali Armed Forces,its way to long and can be found Military history of Somalia
2016-08-16T16:03:45+00:00,734768150,719784372,1,Abdullsaed,Military history of Somalia,"content in this section was copied from Somali Armed Forces, Please see the history of that page for attribution"
2016-08-16T08:42:17+00:00,734723937,734679838,1,Abdullsaed,User talk:Abdullsaed,/* Copying within Wikipedia requires proper attribution */
2016-08-15T20:51:02+00:00,734656757,734428818,1,Abdullsaed,Somali Democratic Republic,
2016-08-15T20:50:03+00:00,734656660,713237000,1,Abdullsaed,Transitional National Government of Somalia,
2016-08-15T20:44:38+00:00,734656060,0,1,Abdullsaed,Interim Government of Somalia,Interim Gov of Somalia from 1991-1997
2016-08-15T16:52:33+00:00,734627162,734626694,1,Abdullsaed,Somalia,/* Transport */
2016-08-15T16:49:09+00:00,734626694,734623691,1,Abdullsaed,Somalia,/* Transport */
2016-08-15T16:19:23+00:00,734623193,733983956,1,Abdullsaed,List of presidents of Somalia,
2016-08-15T15:45:46+00:00,734619494,729626710,1,Abdullsaed,Ali Mohammed Ghedi,
2016-08-15T15:44:22+00:00,734619330,729681940,1,Abdullsaed,Mohammad Ali Samatar,
2016-08-15T14:00:42+00:00,734606870,734604765,1,Abdullsaed,Garoowe,/* Economy */
2016-08-15T13:41:19+00:00,734604765,732525300,1,Abdullsaed,Garoowe,/* Administration */
2016-08-15T11:36:31+00:00,734592957,733626259,1,Abdullsaed,Mogadishu,/* Reconstruction */
2016-08-15T11:16:09+00:00,734591418,734174873,1,Abdullsaed,Somali Civil War,corrected statement in lede section
2016-08-14T21:17:49+00:00,734514423,734484952,1,Abdullsaed,Talk:Somalia,/* Politics */
2016-08-14T20:11:14+00:00,734505586,734502582,1,Abdullsaed,Somalia,/* Politics and government */
2016-08-14T19:49:11+00:00,734502582,734487352,1,Abdullsaed,Somalia,removed statement that already mentioned above in lede section
2016-08-14T17:09:36+00:00,734480594,734480093,1,Abdullsaed,Politics of Somalia,
2016-08-14T17:05:31+00:00,734480093,734479868,1,Abdullsaed,Politics of Somalia,/* See also */
2016-08-14T17:03:44+00:00,734479868,734475248,1,Abdullsaed,Politics of Somalia,had too much details can be found History of Somalia
2016-08-14T16:21:31+00:00,734475248,734464979,1,Abdullsaed,Politics of Somalia,"added Judicial branch section, expanded Legislative branch"
2016-08-14T14:47:21+00:00,734464979,734463116,1,Abdullsaed,Politics of Somalia,/* See also */
2016-08-14T14:27:28+00:00,734463116,734461655,1,Abdullsaed,Politics of Somalia,
2016-08-14T14:11:33+00:00,734461655,727859899,1,Abdullsaed,Politics of Somalia,"edited lede section: improved grammar, removed unnecessary text"
2016-08-14T10:34:25+00:00,734441120,729806256,1,Abdullsaed,Wikipedia:WikiProject Somalia,/* Participants */
2016-08-14T10:05:28+00:00,734438845,734436988,1,Abdullsaed,Talk:Somalia,/* Politics */
2016-08-14T09:40:33+00:00,734436949,734405945,1,Abdullsaed,Talk:Somalia,/* Politics */
2016-08-13T20:33:44+00:00,734364652,639534760,1,Abdullsaed,Template:Prime ministers of Somalia,
2016-08-13T20:08:17+00:00,734360880,733157037,1,Abdullsaed,Bosaso,/* Sister cities */ added (since 1994) from Doha wiki page
2016-08-13T19:27:43+00:00,734354946,734322733,1,Abdullsaed,Somalia,"copyedited politics subsections: moved to history section which strangely makes no mention of that.(e.g: Islamic Courts Union and Transitional Gov is  disrupting politics chronology,) politics and Government is for current events updating.)"
2016-08-13T17:46:25+00:00,734340689,730119337,1,Abdullsaed,List of prime ministers of Somalia,"According to worldstatesmen Post abolished 1 Nov 1969 -  1 Feb 1987 so that makes them 17 (not 18) PM, corrected it accordingly"
