timestamp,revid,parentid,sock,user,page,message
2016-12-27T07:02:14+00:00,756858703,756775305,1,Ashwing,Wikipedia:Articles for deletion/Capillary Technologies,/* Capillary Technologies */
2007-01-20T09:45:13+00:00,101973243,101294376,1,Ashwing,Chikmagalur district,/* Hill Stations */
2016-12-23T02:50:22+00:00,756269333,756247127,1,TheLastMonk,Wikipedia:Teahouse,/* Becoming an Administrator */ new section
2016-12-20T01:45:40+00:00,755765536,755151305,1,TheLastMonk,Stand-up comedy,"/* India */ Removed All India Bakchod's AIB Roast Mention, as It was not standup comedy, but was a roast, and the group was fairly popular even before they made the Roast and hence is not relevant to be mentioned here."
2016-12-19T06:19:53+00:00,755629064,755624929,1,TheLastMonk,Wikipedia:Articles for deletion/Shaniwari Bazaar,Delete comment as the article does not satisfy notability.
2016-12-19T06:13:36+00:00,755628562,0,1,TheLastMonk,User:TheLastMonk,I have created a user page for myself and also added about me section
2016-12-19T06:05:12+00:00,755627780,755209804,1,TheLastMonk,Wikipedia:Articles for deletion/Club Mahindra Holidays,Commented on what has to be done with this article to improve.
2016-12-19T05:14:40+00:00,755622729,755469668,1,TheLastMonk,Wikipedia:Articles for deletion/Magneto The Mall,Delete comment noting how the article violates Wikipedia guidelines
2016-12-19T05:03:28+00:00,755621812,755541605,1,TheLastMonk,Wikipedia:Articles for deletion/Coverfox,/* Coverfox */  comment on Notability
2016-12-18T04:38:03+00:00,755462438,753976875,1,TheLastMonk,Capillary Technologies,added a citation
2016-12-12T02:09:27+00:00,754329058,750593499,1,TheLastMonk,Yama in world religions,/* Hinduism */  Made edits on Yama's description according to Hinduism
2016-12-10T05:47:13+00:00,753986839,753983177,1,TheLastMonk,Wikipedia:Articles for deletion/Capillary Technologies,Comment on single purpose accounts
2016-12-10T04:36:27+00:00,753981030,753973935,1,TheLastMonk,Wikipedia:Articles for deletion/Capillary Technologies,A comment on the debate giving strong reasons for keeping the Company page
2016-12-10T04:27:43+00:00,753980295,753980267,1,TheLastMonk,Aryaka,/* External links */
2016-12-10T04:27:14+00:00,753980267,751928615,1,TheLastMonk,Aryaka,Added an external link to official website
2016-12-10T04:11:09+00:00,753978925,753792257,1,TheLastMonk,Madikeri,/* Transportation */
2016-12-08T06:42:07+00:00,753618784,753614265,1,Wikiwifickm,Capillary Technologies,
2016-12-08T06:00:49+00:00,753614265,753613958,1,Wikiwifickm,Capillary Technologies,Edited the List of Subsidiaries based on the public information
2016-12-08T05:57:32+00:00,753613958,753613783,1,Wikiwifickm,Capillary Technologies,
2016-12-08T05:55:10+00:00,753613783,753613497,1,Wikiwifickm,Capillary Technologies,"Edited the type of the company, which was incorrectly mapped / written"
2016-12-08T05:52:21+00:00,753613497,753587152,1,Wikiwifickm,Capillary Technologies,>> Products section is removed as it seemed to be a promotion. Subsidiaries  >> Subsidiaries section is removed as it seemed to be a promotion of business growth and activity.
2014-05-22T09:40:29+00:00,609647652,598187250,0,220.227.202.169,Capillary Technologies,/* Funding */
2012-04-09T22:43:19+00:00,486517940,480289082,0,203.110.243.22,Capillary Technologies,/* Funding */
2013-07-03T11:24:47+00:00,562678162,562678091,0,Capillary1,Capillary Technologies,/* Awards */
2013-02-23T15:18:44+00:00,539903192,539672555,0,106.51.73.160,Chikmagalur district,/* Demographics */
