timestamp,revid,parentid,sock,user,page,message
2020-09-11T16:08:28+00:00,977891289,977884291,1,Badmintonhist,User talk:Badmintonhist,
2020-09-10T23:03:25+00:00,977779759,977776408,1,Badmintonhist,User talk:Badmintonhist,/* Unblock request */
2020-09-10T21:13:42+00:00,977766840,977751741,1,Badmintonhist,User talk:Badmintonhist,
2020-09-10T18:41:33+00:00,977747190,977641181,1,Badmintonhist,User talk:Badmintonhist,
2020-09-10T02:26:34+00:00,977641181,977601067,1,Badmintonhist,User talk:Badmintonhist,/* Unblock request */
2015-05-14T01:05:11+00:00,662235742,661607253,1,Badmintonhist,User talk:Badmintonhist,/* Assuming you'll see this */
2015-02-19T00:29:10+00:00,647789340,636900131,1,Badmintonhist,User talk:Badmintonhist,/* In re Padresfan94 */
2014-12-06T16:29:21+00:00,636900131,630717509,1,Badmintonhist,User talk:Badmintonhist,
2014-10-22T23:02:27+00:00,630717509,630717410,1,Badmintonhist,User talk:Badmintonhist,/* Blocked indefinitely */
2014-10-22T23:01:27+00:00,630717410,630715944,1,Badmintonhist,User talk:Badmintonhist,/* Blocked indefinitely */
2014-10-22T22:48:40+00:00,630715944,630715781,1,Badmintonhist,User talk:Badmintonhist,/* Blocked indefinitely */
2014-10-22T22:47:10+00:00,630715781,630715529,1,Badmintonhist,User talk:Badmintonhist,/* Blocked indefinitely */
2014-10-22T22:44:50+00:00,630715529,630715227,1,Badmintonhist,User talk:Badmintonhist,/* Blocked indefinitely */
2014-10-22T22:42:09+00:00,630715227,624040685,1,Badmintonhist,User talk:Badmintonhist,/* Blocked indefinitely */
2014-09-03T17:42:29+00:00,624040685,622072480,1,Badmintonhist,User talk:Badmintonhist,/* Blocked indefinitely */
2014-08-20T04:03:51+00:00,622010279,621997405,1,Badmintonhist,User talk:MastCell,/* Violation of iban */
2014-08-19T21:54:10+00:00,621974627,618138017,1,Badmintonhist,Susi Susanti,
2014-08-19T20:29:47+00:00,621963757,621962223,1,Badmintonhist,Police riot,"Undid revision 621962223 by [[Special:Contributions/Roscelese|Roscelese]] ([[User talk:Roscelese|talk]]) Nope. Jes Jack and opinion writers at HuffPo and The Nation are NOT reliable sources for facts. Maybe if we called section ""Claims of police rioting"""
2014-08-19T17:58:31+00:00,621944918,621923889,1,Badmintonhist,Police riot,/* 2014 Ferguson protests */Deleted subtopic. No reliable source calling this a police riot. Description is both biased (a single policeman's action written as if it were collective action by the police) and ungrammatical. [[WP:Recentism]].
2014-08-18T19:07:14+00:00,621809907,621437409,1,Badmintonhist,Eva Twedberg,"I don't think we need to list a ""current ranking"" for a player who was in her prime forty-odd years ago, though I suspect, given what a fine athlete she was, that she could still play the sport pretty darn well if she wanted to."
2014-08-16T16:46:50+00:00,621505488,545158706,1,Badmintonhist,Pam Bristol Brady,
2014-08-13T22:21:14+00:00,621124863,586797973,1,Badmintonhist,Rudy Gunawan,
2014-08-13T14:55:57+00:00,621069973,601537041,1,Badmintonhist,Eva Twedberg,
2014-08-11T20:51:42+00:00,620821592,619316622,1,Badmintonhist,Rudy Hartono,
2014-08-10T17:48:24+00:00,620662222,615781934,1,Badmintonhist,Canada Open,/* Canadian National Championships and Canadian Open together */
2014-08-01T14:49:16+00:00,619430059,619429772,1,Badmintonhist,Talk:Southern Poverty Law Center,"/* Hate group listing, again */"
2014-08-01T14:46:46+00:00,619429772,619428915,1,Badmintonhist,Talk:Southern Poverty Law Center,"/* Hate group listing, again */"
2014-08-01T14:39:30+00:00,619428915,619382003,1,Badmintonhist,Talk:Southern Poverty Law Center,/* FBI no longer using SPLC as a reliable source? */ Separated two different topics.
2014-07-31T17:27:07+00:00,619316622,584262059,1,Badmintonhist,Rudy Hartono,
