timestamp,revid,parentid,sock,user,page,message
2012-01-27T03:31:12+00:00,473453378,473453135,1,Bailey12123,Code of Hammurabi,
2012-01-27T03:28:51+00:00,473453128,473452960,1,Bailey12123,Code of Hammurabi,letters from code
2012-01-27T03:26:42+00:00,473452875,473429672,1,Bailey12123,Code of Hammurabi,lolmuffin
2012-01-26T23:59:57+00:00,473425711,473424396,1,Bailey12123,Code of Hammurabi,made it better
2012-01-26T23:50:50+00:00,473424396,473423672,1,Bailey12123,Code of Hammurabi,gooddy
2012-01-26T23:45:48+00:00,473423672,473423181,1,Bailey12123,Code of Hammurabi,
2012-01-26T23:42:27+00:00,473423181,473422914,1,Bailey12123,Code of Hammurabi,holy
2012-01-26T23:40:33+00:00,473422914,473422552,1,Bailey12123,Code of Hammurabi,holy
2012-01-26T23:38:08+00:00,473422552,473293094,1,Bailey12123,Code of Hammurabi,it but in extra information that is relative to the subject
2012-01-27T00:24:41+00:00,473429464,473429218,1,Mespi15,Code of Hammurabi,
2012-01-27T00:22:45+00:00,473429218,473425711,1,Mespi15,Code of Hammurabi,"I have just added an eye for an eye, which is the concept of the law"
2012-01-27T00:26:12+00:00,473429672,473429464,0,98.218.75.139,Code of Hammurabi,Reverting vandalism
2012-01-27T03:28:54+00:00,473453135,473453128,0,ClueBot NG,Code of Hammurabi,"Reverting possible vandalism by [[Special:Contributions/Bailey12123|Bailey12123]] to version by Berean Hunter. False positive? [[User:ClueBot NG/FalsePositives|Report it]]. Thanks, [[User:ClueBot NG|ClueBot NG]]. (841438) (Bot)"
