timestamp,revid,parentid,sock,user,page,message
2021-11-28T01:30:30+00:00,1057505949,1057505791,1,Bollywoodcritic,Rajkavi Inderjeet Singh Tulsi,
2021-11-28T01:29:32+00:00,1057505791,1053917107,1,Bollywoodcritic,Rajkavi Inderjeet Singh Tulsi,
2018-07-26T20:26:43+00:00,852127402,851064021,1,Bollywoodcritic,Simran Judge,Undid revision 851064021 by [[Special:Contributions/Sandstein|Sandstein]] ([[User talk:Sandstein|talk]])
2018-07-26T20:19:00+00:00,852126449,849849057,1,Bollywoodcritic,User talk:Bollywoodcritic,/* Nomination of Simran Judge for deletion */
2018-07-11T17:21:03+00:00,849831991,849830884,1,Bollywoodcritic,User talk:Bollywoodcritic,/* Nomination of Simran Judge for deletion */
2018-07-11T17:17:58+00:00,849831644,837801930,1,Bollywoodcritic,User:Gbawden,/* Conflict of interest declaration */
2018-07-11T17:09:14+00:00,849830635,849830426,1,Bollywoodcritic,Wikipedia:Help desk,/* Page deletion without reason */
2018-07-11T17:07:07+00:00,849830414,849828299,1,Bollywoodcritic,Wikipedia:Help desk,/* Page deletion without reason */
2018-07-11T17:05:22+00:00,849830228,849829912,1,Bollywoodcritic,Simran Judge,Please respond in the talk session on what basis are you claiming to delete this page when the TV show is not the representation of an individual. There are many references that allow her to have an identity of her own.
2018-07-11T17:02:26+00:00,849829912,849826170,1,Bollywoodcritic,Simran Judge,[[WP:AES|←]]Blanked the page
2018-07-11T16:26:20+00:00,849825857,849825616,1,Bollywoodcritic,Simran Judge,"This article is of a person, individual of a TV show."
2018-07-11T16:18:18+00:00,849824958,849823025,1,Bollywoodcritic,Simran Judge,[[WP:AES|←]]Blanked the page
2018-07-11T16:14:46+00:00,849824574,849824447,1,Bollywoodcritic,Wikipedia:Help desk,/* Page deletion without reason */
2018-07-11T16:13:21+00:00,849824447,849824313,1,Bollywoodcritic,Wikipedia:Help desk,/* Page deletion without reason */
2018-07-11T16:11:50+00:00,849824270,849822892,1,Bollywoodcritic,Wikipedia:Help desk,/* Page deletion without reason */
2018-03-14T22:33:39+00:00,830452714,830438344,1,Bollywoodcritic,Rajkavi Inderjeet Singh Tulsi,Fixed content
2016-10-03T01:48:27+00:00,742326099,740955421,1,Bollywoodcritic,Rajkavi Inderjeet Singh Tulsi,Correction
2015-05-27T08:37:18+00:00,664242938,662923893,1,Bollywoodcritic,Everest (Indian TV series),/* Cast */
2015-05-27T08:35:49+00:00,664242815,0,1,Bollywoodcritic,Talk:Simran Judge,/* Contested deletion */ new section
2015-05-27T08:34:38+00:00,664242729,664241054,1,Bollywoodcritic,Simran Judge,
2015-05-27T07:52:13+00:00,664239335,664239155,1,Bollywoodcritic,Simran Judge,
2015-05-27T07:49:44+00:00,664239155,664239078,1,Bollywoodcritic,Simran Judge,
2015-05-27T07:48:39+00:00,664239078,664239034,1,Bollywoodcritic,Simran Judge,
2015-05-27T07:48:02+00:00,664239034,0,1,Bollywoodcritic,Simran Judge,"[[WP:AES|←]]Created page with '{{Infobox writer  <!--For more information, see [[:Template:Infobox Writer/doc]].--> | image =  | name = Simran Judge | background   = solo_singer | birth_place...'"
2015-02-17T10:45:18+00:00,647533357,647221119,1,Bollywoodcritic,Everest (Indian TV series),/* Cast */Fixed typo
2015-02-11T19:35:21+00:00,646688653,646201221,1,Bollywoodcritic,Dilwale Dulhania Le Jayenge,/* Production */Added important content
2015-01-14T19:58:27+00:00,642499093,642482500,1,Bollywoodcritic,Dilwale Dulhania Le Jayenge,/* Production */Added information
