timestamp,revid,parentid,sock,user,page,message
2011-11-11T18:45:45+00:00,460166845,460166283,1,Bowjangles,Boston University,minor edit
2011-11-11T18:41:45+00:00,460166283,460091904,1,Bowjangles,Boston University,Clarifed Statemetns
2011-11-11T18:37:03+00:00,460165561,458977562,1,Bowjangles,Talk:Boston University,added comment
2011-10-21T16:45:06+00:00,456700692,456700555,1,Bowjangles,Boston University,Undid revision 456562878 by [[Special:Contributions/173.217.187.19|173.217.187.19]] ([[User talk:173.217.187.19|talk]])
2011-10-21T16:43:52+00:00,456700555,456565502,1,Bowjangles,Boston University,Undid revision 456565502 by [[Special:Contributions/Anupam|Anupam]] ([[User talk:Anupam|talk]])
2011-10-21T16:42:22+00:00,456700380,456700211,1,Bowjangles,Talk:Boston University,
2011-10-21T16:40:54+00:00,456700211,456572252,1,Bowjangles,Talk:Boston University,talk
2011-10-20T14:30:50+00:00,456519903,456448936,1,Bowjangles,Boston University,updated links
2011-10-20T14:22:09+00:00,456518706,456459107,1,Bowjangles,Talk:Boston University,hi
2011-10-19T17:57:31+00:00,456387431,456387192,1,Bowjangles,Talk:Boston University,
2011-10-19T17:55:49+00:00,456387192,456385888,1,Bowjangles,Talk:Boston University,added name
2011-10-19T17:53:16+00:00,456386826,456314318,1,Bowjangles,Boston University,Updated Schools religious affiliation
2011-10-19T17:45:45+00:00,456385888,456385358,1,Bowjangles,Talk:Boston University,methodist discussion
2011-10-19T17:42:04+00:00,456385358,456288854,1,Bowjangles,Talk:Boston University,/* Methodist affiliation */
2011-10-19T02:39:14+00:00,456290016,456288255,1,Bowjangles,Boston University,Added source
2011-10-18T23:35:05+00:00,456268969,456268645,1,Bowjangles,Boston University,removed association
2011-10-18T23:32:21+00:00,456268645,456116619,1,Bowjangles,Boston University,Outdated religion information updated
2011-11-29T03:01:19+00:00,463017221,463016318,1,Heilanpol,User talk:Heilanpol,
2011-11-29T02:55:29+00:00,463015968,462439074,1,Heilanpol,User talk:Heilanpol,
2011-11-25T20:19:26+00:00,462454662,462443767,1,Heilanpol,Boston University,Undid revision 462443767 by [[Special:Contributions/Anupam|Anupam]] ([[User talk:Anupam|talk]])
2011-11-25T17:54:13+00:00,462436075,462432533,1,Heilanpol,Boston University,
2011-11-25T17:50:57+00:00,462435647,462435253,1,Heilanpol,Talk:Boston University,added name
2011-11-25T17:48:13+00:00,462435253,462208359,1,Heilanpol,Talk:Boston University,/* Methodist affiliation */
2011-11-29T04:31:19+00:00,463034896,463031161,1,Rabbitvibe7,Boston University,Undid revision 463031161 by [[Special:Contributions/Anupam|Anupam]] ([[User talk:Anupam|talk]])
2011-11-29T04:28:39+00:00,463034347,463032283,1,Rabbitvibe7,Talk:Boston University,/* Methodist affiliation */
