timestamp,revid,parentid,sock,user,page,message
2008-08-25T16:45:38+00:00,234163867,234163257,1,Bsrboy,User talk:Bsrboy,/* Personal attack on Realist2 */
2008-08-25T16:28:39+00:00,234160669,234155255,1,Bsrboy,User talk:Bsrboy,/* Personal attack on Realist2 */ advice for admins
2008-08-25T15:55:22+00:00,234155255,234155180,1,Bsrboy,User talk:Bsrboy,[[WP:UNDO|Undid]] revision 234155025 by [[Special:Contributions/Realist2|Realist2]] ([[User talk:Realist2|talk]]) abusive language
2008-08-25T15:54:56+00:00,234155180,234155069,1,Bsrboy,User talk:Bsrboy,[[WP:UNDO|Undid]] revision 234155069 by [[Special:Contributions/Realist2|Realist2]] ([[User talk:Realist2|talk]]) abusive language
2008-08-25T15:52:20+00:00,234154794,234154378,1,Bsrboy,User talk:Bsrboy,/* Personal attack on Realist2 */
2008-08-25T14:45:39+00:00,234143558,234143213,1,Bsrboy,User talk:Bsrboy,/* Header redacted */ changed heading
2008-08-25T14:39:28+00:00,234142480,230506066,1,Bsrboy,User talk:Bsrboy,/* REALIST2'S NEGRO ANUS IS STRETCHED BY HAGGER AKA BSRBOY'S MASSIVE COCK */ new section
2008-08-07T23:31:17+00:00,230506066,230504921,1,Bsrboy,User talk:Bsrboy,/* User page */
2008-08-06T14:46:13+00:00,230204396,230204247,1,Bsrboy,User talk:Bsrboy,/* User page */
2008-08-06T14:29:07+00:00,230201406,230199842,1,Bsrboy,User talk:Bsrboy,/* User page */
2008-08-06T14:12:00+00:00,230198475,230197439,1,Bsrboy,User talk:Bsrboy,
2008-08-06T14:05:47+00:00,230197439,230196833,1,Bsrboy,User talk:Bsrboy,/* Blocked indefinitely */
2008-08-06T14:01:50+00:00,230196833,230196663,1,Bsrboy,User talk:Bsrboy,
2008-08-06T14:00:47+00:00,230196663,229236210,1,Bsrboy,User talk:Bsrboy,Please delete my user page
2008-08-01T15:03:25+00:00,229236210,229234100,1,Bsrboy,User talk:Bsrboy,/* Blocked indefinitely */
2008-07-31T23:40:51+00:00,229123444,229114907,1,Bsrboy,User talk:Bsrboy,/* Blocked indefinitely */
2008-07-28T12:47:59+00:00,228382741,228376648,1,Bsrboy,User talk:Bsrboy,/* Blocked indefinitely */
2008-07-28T12:03:27+00:00,228376648,228330347,1,Bsrboy,User talk:Bsrboy,/* Blocked indefinitely */
2008-07-28T01:30:11+00:00,228298317,228296802,1,Bsrboy,Template talk:Did you know,/* Articles created/expanded on July 26 */ repsonse to St Nicholas Priory
2008-07-28T01:27:41+00:00,228297993,228092246,1,Bsrboy,"St Nicholas' Priory, Exeter",added section on museum
2008-07-28T00:44:13+00:00,228291404,228106067,1,Bsrboy,Wikipedia:WikiProject Devon,/* Templates */ added Barnstar
2008-07-28T00:41:18+00:00,228290975,0,1,Bsrboy,Template:Devon Barnstar,created
2008-07-28T00:07:42+00:00,228285828,228285441,1,Bsrboy,Plymouth railway station,/* History */ removed gap
2008-07-28T00:05:10+00:00,228285441,228285347,1,Bsrboy,Plymouth railway station,/* Signalling */ removed gap
2008-07-27T18:35:41+00:00,228230902,227225244,1,Bsrboy,Lipson,added see also section
2008-07-27T18:34:23+00:00,228230701,0,1,Bsrboy,Talk:Lipson,added WPDevon (assessed as Stub and low importance)
2008-07-27T01:28:25+00:00,228106067,228105879,1,Bsrboy,Wikipedia:WikiProject Devon,/* New articles */ fixed grammar that didn't make sense
2008-07-27T01:27:01+00:00,228105879,227471898,1,Bsrboy,Wikipedia:WikiProject Devon,/* New articles */ added [[St Nicholas Priory]]
2008-07-27T01:02:35+00:00,228102484,228101737,1,Bsrboy,Portal:Devon,Added Devon navigation template
2008-07-27T00:57:00+00:00,228101737,224864724,1,Bsrboy,Portal:Devon,removed news - this is never going to happen
2008-07-26T23:42:57+00:00,228092246,228091928,1,Bsrboy,"St Nicholas' Priory, Exeter","added map, removed flag"
2008-07-26T23:40:28+00:00,228091928,228091698,1,Bsrboy,"St Nicholas' Priory, Exeter",this doesn't have anything to do with it...
2008-07-26T23:38:47+00:00,228091698,228089068,1,Bsrboy,"St Nicholas' Priory, Exeter",Roman Catholic
