timestamp,revid,parentid,sock,user,page,message
2021-11-09T22:34:15+00:00,1054416545,1054416260,1,CREG7898,User talk:Rockchalk717,
2021-11-09T22:32:17+00:00,1054416260,1053993901,1,CREG7898,User talk:Rockchalk717,
2021-11-09T22:28:40+00:00,1054415770,1054409524,1,CREG7898,Talk:Odell Beckham Jr.,/* IMdB edit war */
2021-11-09T20:53:03+00:00,1054403828,1054304961,1,CREG7898,Odell Beckham Jr.,Undid revision 1054281817 by [[Special:Contributions/Rockchalk717|Rockchalk717]] ([[User talk:Rockchalk717|talk]]) Stop undoing my changes please.
2021-11-09T03:16:13+00:00,1054280008,1054076201,1,CREG7898,Troy Hill (American football),/* Regular season statistics */
2021-11-09T03:06:48+00:00,1054279005,1054073906,1,CREG7898,Austin Hooper,/* Regular season statistics */
2021-11-09T03:03:13+00:00,1054278652,1054278399,1,CREG7898,Jarvis Landry,/* Regular season */
2021-11-09T03:01:03+00:00,1054278399,1054073996,1,CREG7898,Jarvis Landry,/* NFL career statistics */
2021-11-09T02:56:44+00:00,1054277893,1054261678,1,CREG7898,Odell Beckham Jr.,Undid revision 1054261678 by [[Special:Contributions/Rockchalk717|Rockchalk717]] ([[User talk:Rockchalk717|talk]])
2021-11-08T22:45:49+00:00,1054245314,1054171490,1,CREG7898,Donovan Peoples-Jones,/* Regular season */
2021-11-08T22:17:04+00:00,1054241967,1054179654,1,CREG7898,Baker Mayfield,/* Regular season */
2021-11-05T21:03:26+00:00,1053757347,1053753524,1,CREG7898,Odell Beckham Jr.,Undid revision 1053753524 by [[Special:Contributions/Rockchalk717|Rockchalk717]] ([[User talk:Rockchalk717|talk]])
2021-11-05T19:59:18+00:00,1053749020,1053745864,1,CREG7898,Odell Beckham Jr.,Undid revision 1053745864 by [[Special:Contributions/Rockchalk717|Rockchalk717]] ([[User talk:Rockchalk717|talk]])
2021-11-05T19:33:02+00:00,1053745143,1053737928,1,CREG7898,Odell Beckham Jr.,Undid revision 1053737928 by [[Special:Contributions/Rockchalk717|Rockchalk717]] ([[User talk:Rockchalk717|talk]])
2021-11-05T18:17:31+00:00,1053735494,1053732197,1,CREG7898,Odell Beckham Jr.,Undid revision 1053732197 by [[Special:Contributions/Rockchalk717|Rockchalk717]] ([[User talk:Rockchalk717|talk]])
2021-11-05T17:02:39+00:00,1053725281,1053718286,1,CREG7898,Odell Beckham Jr.,Undid revision 1053718286 by [[Special:Contributions/Rockchalk717|Rockchalk717]] ([[User talk:Rockchalk717|talk]])
2021-11-04T00:31:39+00:00,1053455223,1051514919,1,CREG7898,John Johnson (safety),/* NFL career statistics */
2021-11-04T00:29:45+00:00,1053455022,1051250922,1,CREG7898,Jadeveon Clowney,/* Regular season */
2021-11-04T00:27:43+00:00,1053454806,1051294718,1,CREG7898,Austin Hooper,/* Regular season statistics */
2021-11-04T00:25:02+00:00,1053454514,1053298021,1,CREG7898,Nick Chubb,/* NFL career statistics */
2021-11-04T00:22:13+00:00,1053454227,1053191734,1,CREG7898,David Njoku,/* NFL career statistics */
2021-11-04T00:20:18+00:00,1053454022,1053191560,1,CREG7898,Jarvis Landry,/* NFL career statistics */
2021-11-04T00:17:53+00:00,1053453753,1053061765,1,CREG7898,Odell Beckham Jr.,/* Regular season */
2021-10-22T16:46:12+00:00,1051294718,1051294485,1,CREG7898,Austin Hooper,/* Regular season statistics */
2021-10-22T16:44:57+00:00,1051294528,1050719839,1,CREG7898,David Njoku,/* NFL career statistics */
2021-10-22T16:42:11+00:00,1051294081,1050753986,1,CREG7898,Jeremiah Owusu-Koramoah,/* NFL career statistics */
2021-10-22T16:39:59+00:00,1051293744,1050774674,1,CREG7898,Greg Newsome II,/* NFL career statistics */
2021-10-22T16:38:23+00:00,1051293478,1050773702,1,CREG7898,Greedy Williams,/* NFL career statistics */
2021-10-22T06:13:29+00:00,1051216395,1050626777,1,CREG7898,Odell Beckham Jr.,/* Regular season */
2021-10-18T19:49:37+00:00,1050594711,1049786909,1,CREG7898,Austin Hooper,/* Regular season statistics */
2021-10-18T19:47:21+00:00,1050594437,1049404395,1,CREG7898,Denzel Ward,/* NFL career statistics */
2021-10-18T19:44:39+00:00,1050594104,1049311074,1,CREG7898,Kareem Hunt,/* Regular season */
2021-10-18T19:41:56+00:00,1050593736,1050452979,1,CREG7898,Baker Mayfield,/* Regular season */
2021-10-18T01:06:04+00:00,1050469047,1049334817,1,CREG7898,Jadeveon Clowney,/* NFL career statistics */
2021-10-18T01:04:38+00:00,1050468874,1049966081,1,CREG7898,Myles Garrett,/* Regular season */
2021-10-18T00:59:39+00:00,1050468338,1050236432,1,CREG7898,Odell Beckham Jr.,/* Regular season */
2021-10-11T22:17:44+00:00,1049449652,1049310294,1,CREG7898,Greedy Williams,/* NFL career statistics */
2021-10-11T16:40:08+00:00,1049399799,1049352517,1,CREG7898,2021 Cleveland Browns season,/* Week 6: vs. Arizona Cardinals */
2021-10-11T04:01:47+00:00,1049318559,1049318495,1,CREG7898,2021 Cleveland Browns season,/* NFL Top 100 */
2021-10-11T04:01:20+00:00,1049318495,1049318456,1,CREG7898,2021 Cleveland Browns season,/* NFL Top 100 */
2021-10-11T04:01:03+00:00,1049318456,1049308220,1,CREG7898,2021 Cleveland Browns season,
2021-10-11T03:44:57+00:00,1049316000,1049287674,1,CREG7898,David Njoku,/* Professional career */
2021-10-11T03:11:04+00:00,1049311074,1048259852,1,CREG7898,Kareem Hunt,/* Regular season */
2021-10-11T00:39:58+00:00,1049289029,1049288925,1,CREG7898,Donovan Peoples-Jones,/* Regular season */
2021-10-11T00:39:11+00:00,1049288925,1049288896,1,CREG7898,Donovan Peoples-Jones,/* NFL career statistics */
2021-10-11T00:38:54+00:00,1049288896,1048806629,1,CREG7898,Donovan Peoples-Jones,/* Career statistics */
2021-10-11T00:38:11+00:00,1049288793,1048822511,1,CREG7898,Nick Chubb,/* Regular season */
2021-10-11T00:35:19+00:00,1049288447,1049039406,1,CREG7898,Odell Beckham Jr.,/* Regular season */
2021-10-04T01:17:06+00:00,1048058814,1047425186,1,CREG7898,Nick Chubb,/* Regular season */
2021-10-04T01:13:59+00:00,1048058391,1047112465,1,CREG7898,Odell Beckham Jr.,/* Regular season */
2021-09-29T03:02:52+00:00,1047117178,1046847789,1,CREG7898,Grant Delpit,/* NFL career statistics */
2021-09-29T03:01:26+00:00,1047117046,1045311567,1,CREG7898,Mack Wilson,/* NFL career statistics */
2021-09-29T02:20:03+00:00,1047112807,1047112787,1,CREG7898,Jarvis Landry,/* 2021 season */
2021-09-29T02:19:48+00:00,1047112787,1047112758,1,CREG7898,Jarvis Landry,/* 2021 season */
2021-09-29T02:19:32+00:00,1047112758,1046318069,1,CREG7898,Jarvis Landry,/* 2021 season */
2021-09-29T02:16:54+00:00,1047112465,1047112418,1,CREG7898,Odell Beckham Jr.,/* Regular season */
2021-09-29T02:16:23+00:00,1047112418,1047112341,1,CREG7898,Odell Beckham Jr.,/* Regular season */
2021-09-29T02:15:37+00:00,1047112341,1046922835,1,CREG7898,Odell Beckham Jr.,/* Regular season */
2021-09-28T03:10:57+00:00,1046922835,1046922762,1,CREG7898,Odell Beckham Jr.,/* 2021 season */
2021-09-28T03:10:10+00:00,1046922762,1046873643,1,CREG7898,Odell Beckham Jr.,/* Cleveland Browns */
2021-09-27T01:46:23+00:00,1046704605,1046704519,1,CREG7898,Myles Garrett,/* 2021 */
2021-09-27T01:45:37+00:00,1046704519,1046689526,1,CREG7898,Myles Garrett,/* Professional career */
2021-09-27T01:35:43+00:00,1046703251,1045525071,1,CREG7898,Kareem Hunt,/* Regular season */
2021-09-27T01:29:01+00:00,1046702417,1045732994,1,CREG7898,Nick Chubb,/* Regular season */
2021-09-27T01:24:15+00:00,1046701811,1046652062,1,CREG7898,Baker Mayfield,/* Regular season */
2021-09-26T20:24:40+00:00,1046658871,1046315624,1,CREG7898,Jadeveon Clowney,/* Regular season */
2021-09-26T20:23:12+00:00,1046658688,1046658292,1,CREG7898,Myles Garrett,/* NFL career statistics */
2021-09-26T20:21:49+00:00,1046658465,1046633852,1,CREG7898,Odell Beckham Jr.,/* NFL career statistics */
2021-09-22T00:34:33+00:00,1045704420,1044032022,1,CREG7898,Anthony Schwartz,
2021-09-22T00:28:39+00:00,1045703707,1045648997,1,CREG7898,Jarvis Landry,/* NFL career statistics */
2021-09-22T00:26:48+00:00,1045703483,1045310166,1,CREG7898,Donovan Peoples-Jones,/* Career statistics */
2021-09-22T00:21:32+00:00,1045702895,1045575404,1,CREG7898,Demetric Felton,
2021-09-21T00:57:03+00:00,1045526275,1045526037,1,CREG7898,Odell Beckham Jr.,/* 2020 season */
2021-09-21T00:54:32+00:00,1045526037,1045291392,1,CREG7898,Odell Beckham Jr.,/* Regular season */
2021-09-21T00:52:26+00:00,1045525799,1045525773,1,CREG7898,David Njoku,/* NFL career statistics */
2021-09-21T00:52:13+00:00,1045525773,1045525759,1,CREG7898,David Njoku,/* NFL career statistics */
2021-09-21T00:52:04+00:00,1045525759,1045525663,1,CREG7898,David Njoku,/* NFL career statistics */
2021-09-21T00:51:20+00:00,1045525663,1044009915,1,CREG7898,David Njoku,/* NFL career statistics */
2021-09-21T00:46:29+00:00,1045525071,1041964740,1,CREG7898,Kareem Hunt,/* Regular season */
2021-09-14T05:10:45+00:00,1044219469,1044214062,1,CREG7898,2021 Baltimore Ravens season,
2021-09-13T04:02:36+00:00,1044009915,1041514770,1,CREG7898,David Njoku,/* NFL career statistics */
2021-09-13T03:59:08+00:00,1044009414,1043057309,1,CREG7898,Jadeveon Clowney,/* Regular season */
2021-08-31T18:07:01+00:00,1041650978,1041642148,1,CREG7898,Template:Cleveland Browns roster,
2021-08-10T21:41:26+00:00,1038161081,1037987277,1,CREG7898,Donovan Peoples-Jones,"Undid revision 1037987277 by [[Special:Contributions/IronGargoyle|IronGargoyle]] ([[User talk:IronGargoyle|talk]]), DPJ is a Cleveland Brown now. His picture should be of him in a Browns jersey."
2021-08-09T20:53:25+00:00,1037984515,1037984479,1,CREG7898,Kareem Hunt,
2021-08-09T20:53:11+00:00,1037984479,1037356108,1,CREG7898,Kareem Hunt,
2021-08-09T20:48:35+00:00,1037983829,1036637989,1,CREG7898,Baker Mayfield,
2021-08-09T20:43:40+00:00,1037983077,1025525024,1,CREG7898,Austin Hooper,
