timestamp,revid,parentid,sock,user,page,message
2014-03-26T17:29:37+00:00,601380973,591583604,1,Calgarydog101,Cleeve Park School,
2014-03-26T17:27:31+00:00,601380681,601380491,1,Calgarydog101,Beths Grammar School,
2014-03-26T17:26:10+00:00,601380491,601350280,1,Calgarydog101,Beths Grammar School,
2014-03-26T13:34:23+00:00,601350235,601349918,1,Calgarydog101,Beths Grammar School,
2014-03-26T13:28:39+00:00,601349668,601349391,1,Calgarydog101,Beths Grammar School,
2014-03-26T13:25:11+00:00,601349349,601348977,1,Calgarydog101,Beths Grammar School,
2014-03-26T13:21:03+00:00,601348971,593363296,1,Calgarydog101,Beths Grammar School,
2014-03-26T21:23:10+00:00,601412664,601411708,1,Cooldoog,Beths Grammar School,
2014-03-26T21:15:52+00:00,601411708,601405882,1,Cooldoog,Beths Grammar School,
2014-03-26T21:12:32+00:00,601411313,601394178,1,Cooldoog,St Catherine's Catholic School for Girls,
2014-03-26T19:08:51+00:00,601394940,601394161,1,Cooldoog,Beths Grammar School,
2014-03-26T18:57:15+00:00,601393465,601380931,1,Cooldoog,Beths Grammar School,
2014-03-26T18:46:28+00:00,601391995,580190589,1,Cooldoog,Bexleyheath Academy,
2014-03-26T18:41:05+00:00,601391299,601380979,1,Cooldoog,Cleeve Park School,
2014-03-26T18:37:31+00:00,601390828,601390570,1,Cooldoog,St Catherine's Catholic School for Girls,
2014-03-26T18:35:31+00:00,601390570,598121760,1,Cooldoog,St Catherine's Catholic School for Girls,
2014-03-26T20:06:37+00:00,601402571,601402161,0,Yngvadottir,Beths Grammar School,Reverted - that would be the racing team?
2014-03-26T13:34:50+00:00,601350280,601350235,0,Wikipelli,Beths Grammar School,Reverted edits by [[Special:Contributions/Calgarydog101|Calgarydog101]] ([[User talk:Calgarydog101|talk]]) to last revision by Elassint ([[WP:HG|HG]])
2014-03-26T20:31:02+00:00,601405882,601403220,0,RHaworth,Beths Grammar School,Reverted 1 edit by [[Special:Contributions/Freshdoog|Freshdoog]] ([[User talk:Freshdoog|talk]]) to last revision by Yngvadottir. ([[WP:TW|TW]])
2014-03-26T20:11:27+00:00,601403220,601402571,0,Freshdoog,Beths Grammar School,/* Notable former pupils */
2014-03-26T17:29:21+00:00,601380931,601380681,0,Fraggle81,Beths Grammar School,Reverted 2 edits by [[Special:Contributions/Calgarydog101|Calgarydog101]] identified using [[WP:STiki|STiki]]
2014-03-26T19:08:52+00:00,601394946,601394940,0,ClueBot NG,Beths Grammar School,"Reverting possible vandalism by [[Special:Contributions/Cooldoog|Cooldoog]] to version by DVdm. False positive? [[User:ClueBot NG/FalsePositives|Report it]]. Thanks, [[User:ClueBot NG|ClueBot NG]]. (1765387) (Bot)"
2014-03-26T13:21:04+00:00,601348977,601348971,0,ClueBot NG,Beths Grammar School,"Reverting possible vandalism by [[Special:Contributions/Calgarydog101|Calgarydog101]] to version by 5.64.122.253. False positive? [[User:ClueBot NG/FalsePositives|Report it]]. Thanks, [[User:ClueBot NG|ClueBot NG]]. (1764545) (Bot)"
2013-11-04T18:35:16+00:00,580190589,576944239,0,Justgravy,Bexleyheath Academy,
2014-03-26T18:52:55+00:00,601392826,601391995,0,Wikipelli,Bexleyheath Academy,Reverted edits by [[Special:Contributions/Cooldoog|Cooldoog]] ([[User talk:Cooldoog|talk]]): addition of [[WP:CITE|unsourced content]] ([[WP:HG|HG]])
2014-03-26T17:29:39+00:00,601380979,601380973,0,ClueBot NG,Cleeve Park School,"Reverting possible vandalism by [[Special:Contributions/Calgarydog101|Calgarydog101]] to version by AKS.9955. False positive? [[User:ClueBot NG/FalsePositives|Report it]]. Thanks, [[User:ClueBot NG|ClueBot NG]]. (1765133) (Bot)"
2014-03-04T16:07:18+00:00,598121760,572245618,0,Ddot2559,St Catherine's Catholic School for Girls,
2014-01-20T17:02:24+00:00,591583604,591579273,0,AKS.9955,Cleeve Park School,Reverted 1 edit by [[Special:Contributions/82.31.227.253|82.31.227.253]] ([[User talk:82.31.227.253|talk]]) to last revision by Gilliam. ([[WP:TW|TW]])
2014-03-26T18:52:34+00:00,601392772,601391299,0,Widr,Cleeve Park School,Reverted 1 edit by [[Special:Contributions/Cooldoog|Cooldoog]]  using [[WP:STiki|STiki]]
2014-02-01T00:23:33+00:00,593363296,592049567,0,5.64.122.253,Beths Grammar School,More accurate
2013-11-21T02:45:19+00:00,582618932,578429480,0,Yirba,Beths Grammar School,fix houses in infobox
2014-01-13T16:17:50+00:00,590526213,589777779,0,193.109.254.20,Beths Grammar School,/* Notable former pupils */
2014-01-08T15:05:27+00:00,589777779,582618932,0,89.167.143.229,Beths Grammar School,/* Notable former pupils */
2013-09-09T20:52:10+00:00,572245618,572245439,0,Bleaney,St Catherine's Catholic School for Girls,Filling in 1 references using [[WP:REFLINKS|Reflinks]]
2013-10-27T16:05:36+00:00,578968950,576060762,0,Mogism,Cleeve Park School,"Cleanup/[[WP:AWB/T|Typo fixing]], [[WP:AWB/T|typo(s) fixed]]: previosuly → previously using [[Project:AWB|AWB]]"
