timestamp,revid,parentid,sock,user,page,message
2021-12-08T01:18:21+00:00,1059197925,1059046633,1,Cambodier,Alessio Sundas,performing update
2021-12-07T20:10:40+00:00,1059158515,1059136331,1,Cambodier,Valentina Sassi,removed [[Category:Italian female tennis players]] using [[WP:HC|HotCat]]
2021-12-07T17:40:38+00:00,1059136331,1059136202,1,Cambodier,Valentina Sassi,"Changing [[Wikipedia:Short description|short description]] from ""Italian tennis player"" to ""Italian tennis coach and player"" ([[Wikipedia:Shortdesc helper|Shortdesc helper]])"
2021-12-07T17:39:41+00:00,1059136202,1059135271,1,Cambodier,Valentina Sassi,added [[Category:American tennis coaches]] using [[WP:HC|HotCat]]
2021-12-07T17:32:19+00:00,1059135271,1059135064,1,Cambodier,Valentina Sassi,added [[Category:Tennis coaches]] using [[WP:HC|HotCat]]
2021-12-07T17:30:32+00:00,1059135064,1046064980,1,Cambodier,Valentina Sassi,added [[Category:Italian tennis coaches]] using [[WP:HC|HotCat]]
2021-12-07T03:25:05+00:00,1059046633,1059046577,1,Cambodier,Alessio Sundas,/* Agent career */ performing source update
2021-12-07T03:24:19+00:00,1059046577,1059046525,1,Cambodier,Alessio Sundas,/* Agent career */ performing source update
2021-12-07T03:23:33+00:00,1059046525,1046139003,1,Cambodier,Alessio Sundas,/* Agent career */ performing update
2020-12-08T16:09:52+00:00,993060043,993034348,1,Cambodier,Rialzi 4x4 Panda Raid,Category
2020-12-08T13:01:52+00:00,993034348,0,1,Cambodier,Rialzi 4x4 Panda Raid,Page
2020-11-20T10:10:42+00:00,989671113,989671067,1,Cambodier,Mohammed Kamran,edit
2020-11-20T10:10:16+00:00,989671067,989668115,1,Cambodier,Mohammed Kamran,Bold
2020-11-20T10:09:44+00:00,989671024,989669152,1,Cambodier,Kampilideva,Bold
2020-11-16T07:07:46+00:00,988960118,988943369,1,Cambodier,Alaska Native Plant Society,formatting
2020-11-16T07:06:17+00:00,988960005,988959964,1,Cambodier,J. R. Razoux Kühr,/* Murder trial */ Typo
2020-11-16T07:05:43+00:00,988959964,988959847,1,Cambodier,J. R. Razoux Kühr,/* Murder trial */ new section header
2020-11-16T07:04:15+00:00,988959847,988957527,1,Cambodier,J. R. Razoux Kühr,/* Biography */ Typo
2020-11-16T07:01:34+00:00,988959563,988945247,1,Cambodier,Kaydion Gabriel,cleared incorrect template
2020-11-16T06:59:28+00:00,988959327,988959287,1,Cambodier,Communism in Sri Lanka,Bold
2020-11-16T06:52:35+00:00,988958842,988952706,1,Cambodier,Salma (writer),'an Indian' NOT 'a Indian'
2020-11-16T06:34:43+00:00,988957199,988956858,1,Cambodier,John Taylor (pathologist),/* Retirement */ 'died' is clearer than 'passed'
2020-11-05T19:52:58+00:00,987237917,987237838,1,Cambodier,Vladimir Leposavić,/* Biography */ Typo
2020-11-05T19:52:30+00:00,987237838,987222032,1,Cambodier,Vladimir Leposavić,/* Biography */ typo
2020-11-05T19:50:42+00:00,987237561,987237423,1,Cambodier,Klementyna Suchanow,Adding to category
2020-11-05T19:49:58+00:00,987237423,987237267,1,Cambodier,Klementyna Suchanow,Adding to category
2020-11-05T19:49:05+00:00,987237267,987237129,1,Cambodier,Klementyna Suchanow,Adding to category
2020-11-05T19:48:21+00:00,987237129,987236960,1,Cambodier,Klementyna Suchanow,Adding to category
2020-11-05T19:47:13+00:00,987236960,987222070,1,Cambodier,Klementyna Suchanow,Adding to category
2020-11-05T19:28:07+00:00,987234346,987234007,1,Cambodier,Dirk Sanders,Adding to category
2020-11-02T06:46:55+00:00,986660816,986312952,1,Cambodier,Ron Suno,/* Music career */ Updating new track
2020-09-03T07:59:57+00:00,976496557,976496411,1,Cambodier,Zoom (software),Correcting Typo
2020-09-03T07:58:29+00:00,976496411,976484881,1,Cambodier,Zoom (software),Correction
2020-09-03T07:33:16+00:00,976494024,0,1,Cambodier,User:Cambodier,User wiki
2020-07-29T15:08:32+00:00,970148503,970084059,1,Cambodier,Valentina Sassi,Published picture
2022-01-04T07:27:28+00:00,1063666727,1063502450,1,Lowquit,Human rights in Qatar,/* Womens rights in Qatar */ {{information added}}
2022-01-04T07:02:08+00:00,1063664221,1060469197,1,Lowquit,List of 2022 FIFA World Cup controversies,"/* Migrant workers, slavery allegations and deaths */ {{Non-Verifiable information/data removed}}/{{Updated New Information}}"
2021-12-29T11:29:48+00:00,1062596789,1062427559,1,Lowquit,Qatar Red Crescent Society,/* Gaza Strip */ {{information added}}
2021-12-29T11:06:45+00:00,1062594407,1058669389,1,Lowquit,Natural gas in Qatar,/* Production and exports */ {{information added}}
2021-12-29T10:25:22+00:00,1062590345,1061882820,1,Lowquit,Lusail Stadium,/* Construction */ {{repetitive promotional information removed}} / grammar checked}}
2021-12-29T10:13:01+00:00,1062589225,1062588454,1,Lowquit,Transport in Qatar,/* Public transport */ {{information added}}
2021-12-29T10:04:40+00:00,1062588454,1060143843,1,Lowquit,Transport in Qatar,/* Public transport */ {{irrelevant edit removed}}
2021-12-18T12:55:05+00:00,1060909954,1060882468,1,Lowquit,New Orleans Breakers (2022),"Adding [[Wikipedia:Short description|short description]]: ""Football team in New Orleans, Louisiana"" ([[Wikipedia:Shortdesc helper|Shortdesc helper]])"
