timestamp,revid,parentid,sock,user,page,message
2011-01-17T12:21:10+00:00,408381849,408381746,1,Carmettu,Google Ads,
2011-01-17T12:20:15+00:00,408381746,408381630,1,Carmettu,Google Ads,
2011-01-17T12:19:05+00:00,408381630,406157636,1,Carmettu,Google Ads,
2011-01-17T12:17:18+00:00,408381454,0,1,Carmettu,User talk:Carmettu,[[WP:AES|←]]Created page with 'Carmettu'
2011-01-17T12:17:09+00:00,408381437,0,1,Carmettu,User:Carmettu,[[WP:AES|←]]Created page with 'Carmettu'
2011-01-17T15:32:03+00:00,408404985,408404361,1,Kevingtt,Google AdSense,
2011-01-17T12:29:44+00:00,408382624,408382529,1,Ppredix,Google AdSense,
2011-01-17T12:28:50+00:00,408382529,408382447,1,Ppredix,Google AdSense,
2011-01-17T12:27:57+00:00,408382447,408143685,1,Ppredix,Google AdSense,
2011-01-17T12:26:07+00:00,408382291,0,1,Ppredix,User talk:Ppredix,[[WP:AES|←]]Created page with 'Ppredix'
2011-01-17T12:25:58+00:00,408382278,0,1,Ppredix,User:Ppredix,[[WP:AES|←]]Created page with 'Ppredix'
2011-01-17T15:24:45+00:00,408403930,0,1,Provxdee,User talk:Provxdee,[[WP:AES|←]]Created page with 'Provxdee'
2011-01-17T15:24:32+00:00,408403895,0,1,Provxdee,User:Provxdee,[[WP:AES|←]]Created page with 'Provxdee'
2011-01-17T15:24:07+00:00,408403839,408384032,1,Provxdee,Google AdSense,
2011-01-17T12:43:58+00:00,408384032,408383923,0,Oroso,Google AdSense,Reverted 1 edit by [[Special:Contributions/Meettrex|Meettrex]] ([[User talk:Meettrex|talk]]). ([[WP:TW|TW]])
2011-01-17T12:30:53+00:00,408382762,408382291,0,Oroso,User talk:Ppredix,Message re. [[AdSense]] ([[WP:HG|HG]])
2011-01-17T12:30:50+00:00,408382755,408382624,0,Oroso,Google AdSense,Reverted edits by [[Special:Contributions/Ppredix|Ppredix]] ([[User talk:Ppredix|talk]]) identified as spam ([[WP:HG|HG]])
2011-01-16T04:05:04+00:00,408143685,406202550,0,76.173.105.163,Google AdSense,"Dead link, googled, live link. YOU'RE WELCOME, INTERNET"
