timestamp,revid,parentid,sock,user,page,message
2013-09-10T22:59:25+00:00,572412935,572397841,1,Cathron,Wikipedia:Sockpuppet investigations/Ktwestside,/* 07 September 2013 */
2013-09-06T16:36:18+00:00,571799844,571742363,1,Cathron,Wikipedia:Articles for deletion/Bob's Watches,
2013-09-06T01:43:52+00:00,571723737,571710296,1,Cathron,Wikipedia:Articles for deletion/Bob's Watches,/* Bob's Watches */
2011-01-15T21:59:11+00:00,408093353,407933912,1,Cathron,Dick Grayson,/* Love interests */
2013-09-06T03:06:09+00:00,571731039,571723859,1,Mariemayer,Wikipedia:Articles for deletion/Bob's Watches,/* Bob's Watches */
2013-09-03T05:02:55+00:00,571334772,571334659,1,Mariemayer,Oryx,
2013-09-03T05:01:40+00:00,571334659,569297520,1,Mariemayer,Oryx,Added Family. It was missing
2013-01-27T22:52:04+00:00,535242920,532613610,0,50.137.113.187,Oryx,/* Etymology */
2012-02-19T08:58:52+00:00,477679372,476343012,0,EmausBot,Oryx,Robot: [[ar:مها]] is a good article
2011-02-21T03:02:42+00:00,415061134,415060999,0,212.10.74.76,Oryx,/* East African Oryx and Gemsbok */
2013-09-01T21:42:44+00:00,571136283,571136226,0,MelanieN,Wikipedia:Articles for deletion/Bob's Watches,
2013-01-11T23:04:02+00:00,532613610,530632374,0,Xqbot,Oryx,r2.7.3) (Robot: Adding [[vi:Oryx]]
2013-08-20T18:40:45+00:00,569454278,569453929,0,Jedi Striker,Dick Grayson,/* Batman: Under the Red Hood */
2012-08-20T05:24:00+00:00,508240119,508239990,0,Bignole,Dick Grayson,"/* Nolan series */ this too is inappropriate, because Nolan has already referred to the character simply as ""Robin"" and said that ""Robin"" would never appear, he never stated which Robin and thus it should be mentioned on the ""Robin"" page, not here"
2013-03-12T23:31:51+00:00,543721222,539974579,0,Addbot,Oryx,"[[User:Addbot|Bot:]] Migrating 1 interwiki links, now provided by [[Wikipedia:Wikidata|Wikidata]] on [[d:q658179]]"
2013-04-12T21:00:08+00:00,550059377,550058979,0,Yintan,Oryx,Reverted edits by [[Special:Contributions/95.93.5.122|95.93.5.122]] ([[User talk:95.93.5.122|talk]]) to last revision by 50.132.76.15 ([[WP:HG|HG]])
2011-10-17T22:54:38+00:00,456089360,451231456,0,Chris the speller,Oryx,"/* East African Oryx and Gemsbok */[[WP:AWB/T|Typo fixing]] per [[WP:HYPHEN]], sub-subsection 3, points 3,4,5, replaced: closely- → closely using [[Project:AWB|AWB]] (7852)"
2011-04-21T10:59:49+00:00,425148249,424760706,0,109.58.220.57,Oryx,/* East African Oryx and Gemsbok */
2013-08-19T23:21:40+00:00,569297520,568634192,0,58.175.208.161,Oryx,/* Scimitar oryx */
2012-11-14T10:07:14+00:00,522970996,521849241,0,MSGJ,Dick Grayson,/* External links */ +ru interwiki link
2012-05-16T03:17:03+00:00,492806813,492611753,0,Salamurai,Dick Grayson,/* Love interests */ clarify Freemont
2010-12-30T22:10:16+00:00,405066979,405066747,0,92.4.224.146,Oryx,
2011-07-08T05:55:46+00:00,438366858,436677932,0,Dyadron,Oryx,/* East African Oryx and Gemsbok */ redundancy
2012-06-24T11:16:28+00:00,499119190,498609533,0,ZéroBot,Oryx,r2.7.1) (Robot: Adding [[eu:Orix]]
2013-06-10T02:56:29+00:00,559162480,559161978,0,Takuy,Dick Grayson,Undid revision 559161978 by [[Special:Contributions/Clueless219|Clueless219]] ([[User talk:Clueless219|talk]]) Nope. Vandalism is bad.
2012-05-30T06:52:36+00:00,495086018,492806813,0,594rk,Dick Grayson,/* Video games */
