timestamp,revid,parentid,sock,user,page,message
2009-10-26T03:27:45+00:00,322068706,322058833,1,Chakapada,Murder of Lakshmanananda Saraswati,
2009-10-25T23:43:40+00:00,322033364,321582614,1,Chakapada,Murder of Lakshmanananda Saraswati,
2009-10-23T13:06:49+00:00,321566586,321425780,1,Chakapada,Murder of Lakshmanananda Saraswati,
2009-10-06T01:43:20+00:00,318169321,318090546,1,Chakapada,Murder of Lakshmanananda Saraswati,
2009-09-15T03:02:43+00:00,314027553,314027208,1,Chakapada,Murder of Lakshmanananda Saraswati,
2009-09-15T03:00:33+00:00,314027208,314026835,1,Chakapada,Murder of Lakshmanananda Saraswati,
2009-09-15T02:57:49+00:00,314026835,314026698,1,Chakapada,Murder of Lakshmanananda Saraswati,
2009-09-15T02:56:49+00:00,314026698,314026433,1,Chakapada,Murder of Lakshmanananda Saraswati,
2009-09-15T02:55:03+00:00,314026433,314025970,1,Chakapada,Murder of Lakshmanananda Saraswati,
2009-09-15T02:52:07+00:00,314025970,314024551,1,Chakapada,Murder of Lakshmanananda Saraswati,
2009-09-15T02:42:43+00:00,314024551,313706190,1,Chakapada,Murder of Lakshmanananda Saraswati,
2009-09-08T03:14:11+00:00,312519498,312024132,1,Chakapada,Odisha,/* Religion */
2009-09-08T02:41:32+00:00,312514950,312514878,1,Chakapada,Shanti Kali (Shanti Tripura),
2009-09-08T02:40:56+00:00,312514878,246679531,1,Chakapada,Shanti Kali (Shanti Tripura),
2009-10-28T00:11:03+00:00,322442270,322070824,1,Desabakta,Murder of Lakshmanananda Saraswati,
2009-09-07T02:50:07+00:00,312297392,311702274,1,Rajkumarcheluvappa,Talk:Lakshmanananda Saraswati,/* Swami Lakshmanananda Murder Solved- Murder Attribution Exclusively to Maoists */ new section
2009-09-16T10:26:37+00:00,314315665,314027553,0,122.174.124.219,Murder of Lakshmanananda Saraswati,
2009-10-10T03:58:14+00:00,319000726,319000595,0,59.92.248.113,Murder of Lakshmanananda Saraswati,
2009-09-22T02:47:11+00:00,315423421,315420853,0,DMacks,Murder of Lakshmanananda Saraswati,/* Civil disorder and riots following Swami Lakshmananda's murder */ tone
2009-10-11T18:02:40+00:00,319268398,319000726,0,Deshabhakta,Murder of Lakshmanananda Saraswati,rv vandalism by ip
2009-09-06T22:12:42+00:00,312259880,312259821,0,Aqwis,Murder of Lakshmanananda Saraswati,{{pp-semi|small=yes}}
2009-10-13T18:50:03+00:00,319669870,319567437,0,Deshabhakta,Murder of Lakshmanananda Saraswati,[[WP:UNDO|Undid]] revision 319567437 by [[Special:Contributions/59.92.244.82|59.92.244.82]] ([[User talk:59.92.244.82|talk]]) rv vandalism by IP
2009-09-14T01:31:28+00:00,313706190,312259880,0,DumbBOT,Murder of Lakshmanananda Saraswati,removing a protection template from a non-protected page ([[User:DumbBOT/Protection|info]])
2009-10-06T17:29:20+00:00,318283257,318169321,0,Deshabhakta,Murder of Lakshmanananda Saraswati,"[[WP:UNDO|Undid]] revision 318169321 by [[Special:Contributions/Chakapada|Chakapada]] ([[User talk:Chakapada|talk]]) rv [[wikipedia:vandalism|Vandalism]] unreferenced material, POV violation"
2009-10-23T14:59:59+00:00,321582614,321566586,0,Prashanthns,Murder of Lakshmanananda Saraswati,Reverted 1 edit by [[Special:Contributions/Chakapada|Chakapada]] identified as [[WP:VAND|vandalism]] to last revision by [[User:Prashanthns|Prashanthns]]. ([[WP:TW|TW]])
2009-10-24T22:10:00+00:00,321832480,321813390,0,Momergil,Odisha,/* Religion */
2009-09-16T08:36:07+00:00,314303626,314291347,0,202.67.7.150,Odisha,/* Industrial growth */
2009-09-07T17:01:09+00:00,312417719,312297606,0,Deshabhakta,Talk:Lakshmanananda Saraswati,reply to exlusive maoist deed claim
2009-10-02T01:25:15+00:00,317393628,317393546,0,75.187.114.241,Shanti Kali (Shanti Tripura),
2009-09-30T02:36:19+00:00,317012235,317010295,0,AnomieBOT,Murder of Lakshmanananda Saraswati,"Rescuing orphaned refs (""dailypioneer.com"" from [[Swami Lakshmanananda]]; ""gpages"" from [[Religious violence in Orissa]])"
2009-10-13T05:06:19+00:00,319567437,319482260,0,59.92.244.82,Murder of Lakshmanananda Saraswati,
2009-10-05T13:39:42+00:00,318041844,317784770,0,SmackBot,Odisha,Date maintenance tags and general  fixes
2009-10-13T00:35:09+00:00,319531996,319529716,0,YellowMonkey,Odisha,[[WP:RBK|Reverted]] edits by [[Special:Contributions/Weaponsgrade|Weaponsgrade]] ([[User talk:Weaponsgrade|talk]]) to last version by 64.231.204.54
2009-09-20T19:58:56+00:00,315153654,314303626,0,Smartdipu,Odisha,
2009-10-15T08:56:24+00:00,319982712,319982363,0,Rudra79,Odisha,
2009-09-12T23:30:27+00:00,313463672,312543952,0,Art LaPella,Odisha,[[WP:AWB/T|Typo fixing]] including [[WP:DASH]] using [[Project:AutoWikiBrowser|AWB]]
2009-10-10T15:02:06+00:00,319064537,312417719,0,Jpgordon,Talk:Lakshmanananda Saraswati,/* Swami Lakshmanananda Murder Solved- Murder Attribution Exclusively to Maoists */
