timestamp,revid,parentid,sock,user,page,message
2018-11-27T09:36:57+00:00,870839485,870832309,1,Chaubeypu,Wikipedia:Changing username/Simple,
2018-11-26T17:51:56+00:00,870729092,870691643,1,Chaubeypu,Wikipedia:Changing username/Simple,
2018-11-25T15:59:42+00:00,870553274,870551807,1,Chaubeypu,Varun Grover (writer),The allegations against Varun Grover have been proved wrong so it would be unfair to include it.
2018-11-25T15:46:42+00:00,870551769,870529079,1,Chaubeypu,Varun Grover (writer),
2018-11-25T11:17:41+00:00,870525122,870428849,1,Chaubeypu,Wikipedia:Changing username/Simple,
2018-11-25T11:05:33+00:00,870524204,868224785,1,Chaubeypu,Varun Grover (writer),
2018-09-12T04:48:13+00:00,859163856,859060962,1,Chaubeypu,Ayan Mukerji,
2018-09-11T13:09:22+00:00,859060962,859060791,1,Chaubeypu,Ayan Mukerji,
2018-09-11T13:07:48+00:00,859060791,859060672,1,Chaubeypu,Ayan Mukerji,
2018-09-11T13:05:36+00:00,859060540,859060490,1,Chaubeypu,Ayan Mukerji,
2018-09-11T13:05:10+00:00,859060490,859060371,1,Chaubeypu,Ayan Mukerji,
2018-09-11T13:04:02+00:00,859060371,859059662,1,Chaubeypu,Ayan Mukerji,
2018-09-11T12:58:20+00:00,859059662,859056766,1,Chaubeypu,Ayan Mukerji,
2018-09-11T12:54:21+00:00,859059175,849803914,1,Chaubeypu,Talk:Ranbir Kapoor,/* Semi-protected edit request on 11 September 2018 */ new section
2018-09-11T12:31:38+00:00,859056766,859056713,1,Chaubeypu,Ayan Mukerji,
2018-09-11T12:31:05+00:00,859056713,859056377,1,Chaubeypu,Ayan Mukerji,
2018-09-11T12:27:33+00:00,859056377,859056056,1,Chaubeypu,Ayan Mukerji,
2018-09-11T12:24:09+00:00,859056056,856495221,1,Chaubeypu,Ayan Mukerji,
2018-12-07T19:42:07+00:00,872547581,872546307,1,Contributor340,Varun Grover (writer),
2018-12-07T19:37:02+00:00,872546307,872545536,1,Contributor340,Varun Grover (writer),
2018-12-07T19:33:55+00:00,872545536,872545337,1,Contributor340,Varun Grover (writer),
2018-12-07T19:33:05+00:00,872545337,872473489,1,Contributor340,Varun Grover (writer),
2018-12-07T09:43:26+00:00,872473953,872473841,1,Contributor340,Stand-up comedy,/* India */
2018-12-07T09:42:11+00:00,872473841,871034535,1,Contributor340,Stand-up comedy,/* India */
2018-12-07T09:38:49+00:00,872473489,872472787,1,Contributor340,Varun Grover (writer),
2018-12-15T06:25:18+00:00,873807614,872680414,1,Epoxy321,Varun Grover (writer),Irrelevant information. Publishing false allegations on Wikipedia is against the policy.
2018-12-07T09:29:13+00:00,872472787,872472373,1,Narcos2001,Varun Grover (writer),/* Controversy */
2018-12-07T09:23:55+00:00,872472373,870553573,1,Narcos2001,Varun Grover (writer),/* Controversy */
2018-10-24T07:38:26+00:00,865485704,859268755,0,SarojOffl,Ayan Mukerji,+{{Ayan Mukerji}}
2018-09-12T22:29:40+00:00,859268755,859163856,0,Dhtwiki,Ayan Mukerji,simplifying linkage
2018-11-01T01:04:09+00:00,866707040,866134138,0,128.84.124.199,Stand-up comedy,Undid revision 866134138 by [[Special:Contributions/49.14.124.142|49.14.124.142]] ([[User talk:49.14.124.142|talk]])
2018-09-12T11:19:30+00:00,859195147,859188129,0,Newslinger,Talk:Ranbir Kapoor,/* Semi-protected edit request on 11 September 2018 */ Implemented edit request
2018-09-26T22:47:39+00:00,861368985,860107704,0,180.151.23.213,Varun Grover (writer),
2018-09-18T11:39:41+00:00,860107704,860107157,0,103.230.105.27,Varun Grover (writer),/* Film */
2018-08-23T21:05:28+00:00,856241980,853788165,0,2600:1700:1CE0:A0C0:50C1:65B7:57E9:9DFC,Stand-up comedy,Unnecessary information with grammatical errors.
2018-09-12T06:19:19+00:00,859170413,858056338,0,SufiGulati,Varun Grover (writer),Sacred games added
2018-09-15T21:25:50+00:00,859719844,859170413,0,Runawayangel,Varun Grover (writer),fixed cs1 error
2018-11-01T22:44:10+00:00,866845702,866776494,0,Melcous,Varun Grover (writer),Reverted 1 edit by [[Special:Contributions/Sauravsin007|Sauravsin007]] ([[User talk:Sauravsin007|talk]]): Not adhering to [[WP:NPOV]]. ([[WP:TW|TW]])
2018-11-10T20:44:24+00:00,868224785,868224227,0,Sdtte345,Varun Grover (writer),
2018-10-19T12:39:54+00:00,864783510,863707866,0,Rodw,Varun Grover (writer),Disambiguating links to [[Sacred Games]] (link changed to [[Sacred Games (TV series)]]) using [[User:Qwertyytrewqqwerty/DisamAssist|DisamAssist]].
2018-11-25T16:02:04+00:00,870553573,870553274,0,GSS,Varun Grover (writer),Reverted edits by [[Special:Contribs/Chaubeypu|Chaubeypu]] ([[User talk:Chaubeypu|talk]]) to last version by CASSIOPEIA
2018-10-03T20:49:19+00:00,862351624,861368985,0,Yashthepunisher,Varun Grover (writer),
2018-10-12T13:58:43+00:00,863707866,863280957,0,Ser Amantio di Nicolao,Varun Grover (writer),/* References */recategorize
2018-11-18T15:10:05+00:00,869426244,869425514,0,Cyberbot I,Wikipedia:Changing username/Simple,Clerking and archiving 1 rejected request(s) ([[Wikipedia:Changing username/Simple/Unfulfilled/2018/November|archive]]) (bot) ([[en:WP:PEACHY|Peachy 2.0 (alpha 8)]])
2018-10-14T13:26:09+00:00,864003206,863999572,0,1997kB,Wikipedia:Changing username/Simple,/* Acdcvc → Jeffrey Krieger */nd
2018-11-23T03:04:34+00:00,870193635,870192515,0,28bytes,Wikipedia:Changing username/Simple,/* NewmanLaw → StrokeSwift */ done
2018-10-31T12:10:04+00:00,866611094,866604191,0,Cyberbot I,Wikipedia:Changing username/Simple,Clerking (bot) ([[en:WP:PEACHY|Peachy 2.0 (alpha 8)]])
2018-12-10T14:30:04+00:00,872990847,872975077,0,Cyberbot I,Wikipedia:Changing username/Simple,Archiving 4 rejected request(s) ([[Wikipedia:Changing username/Simple/Unfulfilled/2018/December|archive]]) (bot) ([[en:WP:PEACHY|Peachy 2.0 (alpha 8)]])
2018-11-29T20:30:05+00:00,871241869,871231341,0,Cyberbot I,Wikipedia:Changing username/Simple,Archiving 1 completed request(s) ([[Wikipedia:Changing username/Simple/Archive235|archive]]) (bot) ([[en:WP:PEACHY|Peachy 2.0 (alpha 8)]])
2018-10-06T15:41:31+00:00,862768716,861427215,0,Raviteja0112,Stand-up comedy,Linked indian standup comedians
2018-11-28T14:29:12+00:00,871034535,866707040,0,167.244.212.246,Stand-up comedy,/* Overview */
2018-12-07T13:37:18+00:00,872495403,872473953,0,99.24.181.210,Stand-up comedy,rv vandalism; Undid revision 871034535 by [[Special:Contributions/167.244.212.246|167.244.212.246]] ([[User talk:167.244.212.246|talk]])
2018-09-26T21:08:01+00:00,861357674,856241980,0,2600:1:F263:C916:8C95:CE98:1126:622E,Stand-up comedy,"/* United States */ Fixed typo, added"
2018-07-11T13:08:57+00:00,849803914,849802920,0,DMacks,Talk:Ranbir Kapoor,Reverted to revision 842622968 by [[Special:Contributions/GuzzyG|GuzzyG]] ([[User talk:GuzzyG|talk]]). ([[WP:TW|TW]])
2018-12-08T14:35:56+00:00,872680414,872547581,0,2601:541:4500:1760:840:4671:579C:E3CE,Varun Grover (writer),change link
2018-09-04T19:27:30+00:00,858056338,857866574,0,GünniX,Varun Grover (writer),v2.0 - [[WP:WCW]] project (Template without correct end)
2018-08-28T14:16:57+00:00,856938752,856873738,0,14.139.38.151,Varun Grover (writer),Fixed link to Sacred Games (TV Series)
2018-08-25T08:30:25+00:00,856449106,856436787,0,ElizabethIND,Varun Grover (writer),/* Television */
2018-10-09T20:10:09+00:00,863280957,862351624,0,183.83.77.53,Varun Grover (writer),
2018-12-08T06:58:16+00:00,872637143,872636984,0,Chr17555,Wikipedia:Changing username/Simple,
2018-09-21T18:50:27+00:00,860592878,860541736,0,Swaare,Wikipedia:Changing username/Simple,
