timestamp,revid,parentid,sock,user,page,message
2019-02-20T03:12:48+00:00,884193994,883032977,1,D1ma_sw3ll,Wikipedia talk:Arbitration/Requests,/* Semi-protected edit request on 20 February 2019 */ new section
2019-03-04T14:22:13+00:00,886139855,886136347,1,MrJosephWerzak,User talk:MrJosephWerzak,/* Alert */
2019-03-04T05:09:58+00:00,886086584,886084281,1,MrJosephWerzak,Talk:Institute for Creation Research,/* Filed for Dispute */
2019-03-04T05:01:42+00:00,886085604,886078116,1,MrJosephWerzak,User talk:MrJosephWerzak,/* Welcome */
2019-03-04T05:00:01+00:00,886085407,886085377,1,MrJosephWerzak,Wikipedia:Administrators' noticeboard,/* DRN Dispute Closure on Institute for Creation Research */
2019-03-04T04:46:51+00:00,886083974,886083664,1,MrJosephWerzak,Wikipedia:Administrators' noticeboard,/* DRN Dispute Closure on Institute for Creation Research */
2019-03-04T00:56:12+00:00,886056884,0,1,MrJosephWerzak,User:MrJosephWerzak,[[WP:AES|←]]Created page with 'The Mr W Page. Welcome.'
2019-03-04T00:52:11+00:00,886056395,885858108,1,MrJosephWerzak,Talk:Institute for Creation Research,Filed for Dispute
2019-03-04T00:46:10+00:00,886055485,886054034,1,MrJosephWerzak,Wikipedia:Dispute resolution noticeboard,/* Talk:Institute for_Creation_Research */ new section
2019-03-01T23:57:05+00:00,885734263,885734230,1,MrJosephWerzak,Talk:Institute for Creation Research,
2019-03-01T23:56:38+00:00,885734230,885733133,1,MrJosephWerzak,Talk:Institute for Creation Research,
2019-03-01T23:00:42+00:00,885729295,885729188,1,MrJosephWerzak,Talk:Institute for Creation Research,/* No Editing Suggestions? */
2019-03-01T22:59:36+00:00,885729188,885546533,1,MrJosephWerzak,Talk:Institute for Creation Research,
2019-02-28T04:14:02+00:00,885460891,885442855,1,MrJosephWerzak,Talk:Institute for Creation Research,
2019-03-02T01:29:57+00:00,885743605,885737376,0,Ian.thomson,Talk:Institute for Creation Research,/* No Editing Suggestions? */
2019-02-23T03:17:10+00:00,884660738,884657840,0,GliderMaven,Talk:Institute for Creation Research,/* Overtly Biased Editing of Article */
2018-09-27T21:20:36+00:00,861497529,861494518,0,Robynthehode,Talk:Institute for Creation Research,"/* ""They claim to use scientific method"" */"
2019-03-02T00:25:38+00:00,885737376,885737133,0,208.54.80.185,Talk:Institute for Creation Research,
2019-02-24T22:56:14+00:00,884931985,884897408,0,JzG,Talk:Institute for Creation Research,/* Overtly Biased Editing of Article */ done here
2019-02-23T21:17:12+00:00,884763822,884762932,0,Doug Weller,Talk:Institute for Creation Research,/* Overtly Biased Editing of Article */ c
2019-02-21T02:39:34+00:00,884353163,884204871,0,Lowercase sigmabot III,Wikipedia talk:Arbitration/Requests,Archiving 2 discussion(s) to [[Wikipedia talk:Arbitration/Requests/Archive 14]]) (bot
2019-02-25T20:58:16+00:00,885080844,884976320,0,IJBall,Wikipedia:Dispute resolution noticeboard,"/* Talk:List of_Andi_Mack_episodes#""It's_A_Dilemma""_-_spelling_issue discussion */ My $0.02 – based on your description of how the templates work, it sounds like 'typo' would be the better choice here."
2019-02-25T14:32:02+00:00,885028886,885028653,0,Serial Number 54129,Wikipedia:Administrators' noticeboard,/* Changes to User pages guideline */ sp
2019-02-24T07:36:36+00:00,884826536,884821180,0,JJMC89,Wikipedia:Administrators' noticeboard,/* Cydebot (adminbot) replacement */ new section
2019-03-01T17:01:52+00:00,885685822,885685371,0,Mrfeeny,Wikipedia:Dispute resolution noticeboard,/* University of Pennsylvania - Evolution from a Commuter School to a Residential University discussion */
