timestamp,revid,parentid,sock,user,page,message
2023-11-25T04:42:40+00:00,1186739582,1186739538,1,Donnetias23&,Walgreens,
2023-11-25T04:42:12+00:00,1186739538,1186734873,1,Donnetias23&,Walgreens,
2023-11-25T04:04:01+00:00,1186735947,1186140976,1,Donnetias23&,Emporium Centre San Francisco,
2023-11-25T04:02:26+00:00,1186735807,1186228892,1,Donnetias23&,Great Mall of the Bay Area,
2023-11-25T03:54:52+00:00,1186735166,1186735131,1,Donnetias23&,Forest Fair Village,
2023-11-25T03:54:26+00:00,1186735131,1186734552,1,Donnetias23&,Forest Fair Village,
2023-11-25T03:50:57+00:00,1186734852,1186455171,1,Donnetias23&,Walgreens,
2023-11-25T03:49:52+00:00,1186734754,1186229107,1,Donnetias23&,The Great Mall of the Great Plains,
2023-11-25T03:47:39+00:00,1186734532,1186734454,1,Donnetias23&,Forest Fair Village,
2023-11-25T03:46:48+00:00,1186734454,1186228005,1,Donnetias23&,Forest Fair Village,
2023-11-25T07:36:55+00:00,1186754597,1186743151,1,Brendias457$,Walgreens,
2023-11-25T07:35:41+00:00,1186754488,1186754456,1,Brendias457$,Forest Fair Village,
2023-11-25T07:35:25+00:00,1186754456,1186754384,1,Brendias457$,Forest Fair Village,
2023-11-25T07:34:32+00:00,1186754384,1186754304,1,Brendias457$,Forest Fair Village,
2023-11-25T07:33:28+00:00,1186754282,1186742459,1,Brendias457$,Forest Fair Village,
2023-12-02T08:21:14+00:00,1187924322,1187924199,1,Lucarias456$,Great Mall of the Bay Area,
2023-12-02T08:19:47+00:00,1187924190,1186740948,1,Lucarias456$,Great Mall of the Bay Area,
2023-12-02T08:13:53+00:00,1187923711,1187923634,1,Lucarias456$,St. Louis Mills,
2023-12-02T08:11:53+00:00,1187923580,1187923561,1,Lucarias456$,St. Louis Mills,
2023-12-02T08:11:28+00:00,1187923556,1187921239,1,Lucarias456$,St. Louis Mills,
2023-12-02T08:04:03+00:00,1187922040,1153819670,1,Lucarias456$,Nob Hill Foods,[[WP:AES|←]]Removed redirect to [[Raley's Supermarkets]]
2023-12-02T08:02:35+00:00,1187921915,1187921852,1,Lucarias456$,Robert Randall Elementary School,
2023-12-02T08:01:25+00:00,1187921852,1172275342,1,Lucarias456$,Robert Randall Elementary School,[[WP:AES|←]]Removed redirect to [[Milpitas Unified School District]]
2023-12-02T07:57:06+00:00,1187921542,1172244895,1,Lucarias456$,William Burnett Elementary School,[[WP:AES|←]]Removed redirect to [[Milpitas Unified School District]]
2023-12-02T07:53:28+00:00,1187921308,1187921289,1,Lucarias456$,Walgreens,
2023-12-02T07:53:09+00:00,1187921289,1187921131,1,Lucarias456$,Walgreens,
2023-12-02T07:50:33+00:00,1187921101,1187921062,1,Lucarias456$,Walgreens,
2023-12-02T07:49:13+00:00,1187921005,1187038416,1,Lucarias456$,Walgreens,
2023-12-02T07:46:04+00:00,1187920733,1187679676,1,Lucarias456$,St. Louis Mills,
2023-11-29T19:33:59+00:00,1187518497,1187511676,0,Dead Malls,Forest Fair Village,
2023-11-26T18:35:16+00:00,1186982155,1186982151,0,Discospinster,Forest Fair Village,Adding {{pp-vandalism}}
2023-11-25T07:37:41+00:00,1186754654,1186754488,0,Cjse23,Forest Fair Village,Reverted edits by [[Special:Contributions/Brendias457$|Brendias457$]] ([[User talk:Brendias457$|talk]]) ([[WP:HG|HG]]) (3.4.12)
2023-11-25T04:57:30+00:00,1186740948,1186735807,0,Zinnober9,Great Mall of the Bay Area,Reverted 1 edit by [[Special:Contributions/Donnetias23&|Donnetias23&]] ([[User talk:Donnetias23&|talk]]) to last revision by Cjse23
2023-11-30T05:23:07+00:00,1187591862,1187590536,0,Citation bot,Emporium Centre San Francisco,Alter: title. | [[:en:WP:UCB|Use this bot]]. [[:en:WP:DBUG|Report bugs]]. | Suggested by Adflatuss | #UCB_toolbar
2023-11-25T04:57:22+00:00,1186740932,1186735947,0,Zinnober9,Emporium Centre San Francisco,Reverted 1 edit by [[Special:Contributions/Donnetias23&|Donnetias23&]] ([[User talk:Donnetias23&|talk]]) to last revision by Adflatuss
2023-05-08T14:30:42+00:00,1153819670,1147282689,0,MusikBot II,Nob Hill Foods,Removing protection templates from unprotected page ([[User:MusikBot II/FixPP/FAQ|more info]])
2023-08-26T02:26:38+00:00,1172275342,1172275249,0,LizardJr8,Robert Randall Elementary School,Reverted edits by [[Special:Contributions/Haroldilla2922|Haroldilla2922]] ([[User talk:Haroldilla2922|talk]]) ([[WP:HG|HG]]) (3.4.12)
2023-11-25T19:31:35+00:00,1186830936,1186677331,0,RMCD bot,St. Louis Mills,Notifying subject page of move discussion on [[Talk:Powerplex STL#Requested move 25 November 2023|Talk:Powerplex STL]]
2023-11-30T19:45:56+00:00,1187679676,1186830936,0,Dead Malls,St. Louis Mills,
2023-11-25T03:49:58+00:00,1186734764,1186734754,0,ClueBot NG,The Great Mall of the Great Plains,"Reverting possible vandalism by [[Special:Contribs/Donnetias23&|Donnetias23&]] to version by Cjse23. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4285571) (Bot)"
2023-11-27T02:03:21+00:00,1187038416,1186873480,0,173.79.192.69,Walgreens,/* Abortion pill controversy */ plural of attorney general fixed
2023-11-26T01:17:27+00:00,1186873480,1186754622,0,42-BRT,Walgreens,/* Lawsuits and criticism against Walgreens */ combined headings discussing the company's role in the opioid epidemic
2023-08-25T21:45:21+00:00,1172244895,1172243367,0,JalenFolf,William Burnett Elementary School,Reverted edit by [[Special:Contribs/Haroldilla2922|Haroldilla2922]] ([[User talk:Haroldilla2922|talk]]) to last version by Giraffer
2023-11-25T07:37:17+00:00,1186754622,1186754597,0,ClueBot NG,Walgreens,"Reverting possible vandalism by [[Special:Contribs/Brendias457$|Brendias457$]] to version by GoingBatty. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (4285618) (Bot)"
2023-10-16T21:52:59+00:00,1180476987,1175130509,0,199.188.193.100,Emporium Centre San Francisco,The entrance to Powell BART is still open.
2023-09-09T17:57:55+00:00,1174625289,1168413027,0,TenPoundHammer,Forest Fair Village,/* 2002{{endash}}07: Cincinnati Mills */ ambiguous
2023-08-02T16:15:38+00:00,1168413027,1167574385,0,TenPoundHammer,Forest Fair Village,removed [[Category:Defunct shopping malls in the United States]]; added [[Category:Abandoned shopping malls in the United States]] using [[WP:HC|HotCat]]
2023-05-10T00:34:28+00:00,1154060383,1153029428,0,StooperSpoon45,Emporium Centre San Francisco,
2023-08-28T20:13:29+00:00,1172709630,1172709516,0,StooperSpoon45,Emporium Centre San Francisco,
