timestamp,revid,parentid,sock,user,page,message
2020-01-28T14:45:50+00:00,937999229,937998630,1,Downtown007,User talk:Downtown007,materialsciencist idiot :)
2020-01-28T14:40:25+00:00,937998630,937864560,1,Downtown007,User talk:Downtown007,"[[WP:AES|←]]Replaced content with 'I want to EDIT!!!    [[Image:Mushroom.jpg|thumb|2000px|Are you stupid, Toussaint!]]'"
2020-01-27T18:11:06+00:00,937864248,937864018,1,Downtown007,User talk:Downtown007,pr*ck
2020-01-27T18:09:16+00:00,937863985,937863959,1,Downtown007,User talk:Downtown007,
2020-01-27T18:09:02+00:00,937863959,937863594,1,Downtown007,User talk:Downtown007,TOUSSAINT!!!!!!!!!!!!!!!!!!!!!!!!!
2020-01-27T18:03:43+00:00,937863321,937678641,1,Downtown007,Chagos Islands national football team,Undid revision 937678641 by [[Special:Contributions/Praxidicae|Praxidicae]] ([[User talk:Praxidicae|talk]]) just a good edit!
2020-01-20T18:18:56+00:00,936737038,936264455,1,Downtown007,Chagos Islands national football team,
2020-01-17T18:49:27+00:00,936264455,933160155,1,Downtown007,Chagos Islands national football team,
2019-12-28T08:16:45+00:00,932801340,932709304,1,Downtown007,Chagos Islands national football team,crue
2019-12-26T11:09:50+00:00,932502742,932502379,1,Downtown007,Chagos Islands national football team,fdjmfdrnjmrfdjhfdjurjrftjkffujfjgffgkjfk
2019-12-26T11:05:15+00:00,932502379,932494834,1,Downtown007,Chagos Islands national football team,piro-piro
2019-12-25T19:45:02+00:00,932418025,932417917,1,Downtown007,Chagos Islands national football team,Gurpreeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeet
2019-12-25T19:43:53+00:00,932417917,932417364,1,Downtown007,Chagos Islands national football team,
