timestamp,revid,parentid,sock,user,page,message
2019-02-13T21:31:51+00:00,883195383,883195102,1,EHowe,User talk:EHowe,/* Unblock */ new section
2019-02-13T21:28:13+00:00,883194919,883194537,1,EHowe,User talk:EHowe,/* Block */
2019-02-13T21:25:33+00:00,883194537,883194188,1,EHowe,User talk:EHowe,/* Block */ new section
2019-02-13T21:18:07+00:00,883193536,883175013,1,EHowe,User talk:EHowe,/* Unblock reason */ new section
2019-02-13T18:09:07+00:00,883167231,863123394,1,EHowe,User talk:EHowe,/* Unblock reason */ new section
2018-10-08T20:22:27+00:00,863116058,862371377,1,EHowe,User talk:EHowe,
2018-09-30T11:32:39+00:00,861837845,861138290,1,EHowe,"Anderson High School, Lerwick",
2018-09-26T19:49:49+00:00,861347520,858115548,1,EHowe,St Magnus Cathedral,
2018-09-19T12:28:20+00:00,860256902,860163459,1,EHowe,Steve Perry,
2018-08-22T17:44:12+00:00,856072680,856072515,1,EHowe,Kirkwall,/* Sport */
2018-08-22T17:43:11+00:00,856072515,855803453,1,EHowe,Kirkwall,Fixed typo
2018-08-20T19:11:12+00:00,855776271,855750443,1,EHowe,Kirkwall,Fixed edit
2018-07-28T16:36:16+00:00,852384900,852384836,1,EHowe,Kirkwall,/* Demography */
2018-07-28T16:35:39+00:00,852384836,852384788,1,EHowe,Kirkwall,
2018-07-28T16:35:14+00:00,852384788,852134635,1,EHowe,Kirkwall,
2018-07-28T16:33:21+00:00,852384558,794516263,1,EHowe,The Pickaquoy Centre,
2018-03-10T17:00:39+00:00,829756707,829756516,1,EHowe,List of largest libraries,/* Largest libraries in the world */
2018-03-10T16:59:18+00:00,829756516,829516396,1,EHowe,List of largest libraries,/* Largest libraries in the world */
2018-03-08T18:51:29+00:00,829452123,825810596,1,EHowe,List of largest libraries,
2018-03-08T18:42:41+00:00,829450974,829450839,1,EHowe,British Library,
2018-03-08T18:41:50+00:00,829450839,824947779,1,EHowe,British Library,
2018-01-19T11:07:21+00:00,821263126,821262772,1,EHowe,Kirkwall,
2018-01-19T11:03:34+00:00,821262772,821189625,1,EHowe,Kirkwall,
2018-01-18T22:05:11+00:00,821181665,821181577,1,EHowe,Stornoway,
2018-01-18T22:04:41+00:00,821181577,821054718,1,EHowe,Stornoway,
2018-01-18T21:45:06+00:00,821178631,821176743,1,EHowe,Kirkwall,
2018-01-18T21:39:26+00:00,821177524,821177173,1,EHowe,Lerwick,
2018-01-18T21:37:14+00:00,821177173,821177077,1,EHowe,Lerwick,
2018-01-18T21:36:36+00:00,821177077,821176936,1,EHowe,Lerwick,
2018-01-18T21:35:37+00:00,821176936,820200218,1,EHowe,Lerwick,
2018-01-18T21:34:06+00:00,821176743,821176550,1,EHowe,Kirkwall,
2018-01-18T21:32:38+00:00,821176550,821176362,1,EHowe,Kirkwall,
2018-01-18T21:31:13+00:00,821176362,820536349,1,EHowe,Kirkwall,/* Overview */
2018-09-15T10:46:54+00:00,859646426,859646401,1,LE04KW,"Wick, Caithness",
2018-09-15T10:46:39+00:00,859646401,859646177,1,LE04KW,"Wick, Caithness",
2018-09-15T10:44:25+00:00,859646177,856182296,1,LE04KW,"Wick, Caithness",Added content
2018-09-15T10:39:51+00:00,859645704,857883957,1,LE04KW,Stornoway,
2018-09-15T10:38:47+00:00,859645601,858599044,1,LE04KW,Kirkwall,Fixed typo
2018-09-08T22:00:47+00:00,858675355,858675312,1,LE04KW,List of hospitals in Scotland,/* Shetland */
2018-09-08T22:00:32+00:00,858675312,858598094,1,LE04KW,List of hospitals in Scotland,/* Orkney */
2018-09-08T09:32:30+00:00,858598786,853929545,1,LE04KW,Poole Harbour,
2018-09-08T09:27:41+00:00,858598393,855912869,1,LE04KW,Scapa Flow,Added content
2018-09-08T09:25:08+00:00,858598233,857878689,1,LE04KW,Kirkwall,Fixed source
2018-09-08T09:23:25+00:00,858598094,853855659,1,LE04KW,List of hospitals in Scotland,/* Orkney */
2018-09-08T09:20:02+00:00,858597830,858594127,1,LE04KW,List of shopping centres in the United Kingdom,/* Scotland */
2018-09-08T08:32:07+00:00,858594127,858594088,1,LE04KW,List of shopping centres in the United Kingdom,/* Scotland */
