timestamp,revid,parentid,sock,user,page,message
2006-06-24T00:31:09+00:00,60261264,60259994,1,Facto,Wikipedia talk:Deletion review,/* Admins closing their own reviews */
2006-06-24T00:20:16+00:00,60259994,60259790,1,Facto,Wikipedia talk:Deletion review,/* Admins closing their own reviews */
2006-06-23T08:33:51+00:00,60140969,58933343,1,Facto,Cryonics,/* Cryonics in mass culture */ time travel?
2006-06-23T08:20:02+00:00,60139892,0,1,Facto,Cryogenic storage,#REDIRECT [[Cryonics]]
2006-06-23T08:02:16+00:00,60138579,60138520,1,Facto,Wikipedia talk:WikiProject LGBT studies/Noticeboard,/* Inclusion of Straight topics */ sp
2006-06-23T08:01:25+00:00,60138520,60138265,1,Facto,Wikipedia talk:WikiProject LGBT studies/Noticeboard,== Inclusion of Straight topics ==
2006-06-23T07:40:37+00:00,60137031,60134170,1,Facto,Jean Grey,new == The X-Men Gold Team == section
2006-06-23T07:04:43+00:00,60134170,60109816,1,Facto,Jean Grey,"Jean is not deceased, see talk page"
2006-06-23T07:03:19+00:00,60134052,60063795,1,Facto,Talk:Jean Grey,== Jean's Status ==
2006-06-23T06:44:24+00:00,60132501,59736892,1,Facto,Wikipedia talk:WikiProject LGBT studies/Noticeboard,== Inclusion of Straight topics ==
2006-06-23T06:01:52+00:00,60128725,60127542,1,Facto,Wikipedia:Categories for deletion/Log/2006 June 19/Wikipedians by politics,/* [[:Category:Wikipedians by politics]] and all subcategories */
2006-06-23T05:42:41+00:00,60126870,60121731,1,Facto,Ann Coulter,"rv nonsense ""See you next Tuesday"""
2006-06-23T05:31:42+00:00,60125772,60108351,1,Facto,User talk:Sam,comment on proposal
2006-06-23T05:03:51+00:00,60122899,60122594,1,Facto,Wikipedia talk:Deletion review,/* Admins closing their own reviews */
2006-06-23T04:57:28+00:00,60122255,60113030,1,Facto,Wikipedia talk:Deletion review,{{RPA}}
2006-06-20T20:53:50+00:00,59689370,59551929,1,Facto,User talk:A Man In Black,/* Conservative notice board */
2006-06-20T03:17:00+00:00,59559173,59410400,1,Facto,Wikipedia talk:Image use policy,== Other editors replacing image I uploaded ==
2006-06-20T02:47:56+00:00,59555513,59554613,1,Facto,Ann Coulter,"rv Slander is a book from 2002 and the cover does not reflect her current appearance, while Godless is up to date on Ann's appearance"
2006-06-20T02:30:59+00:00,59553435,59505842,1,Facto,User:SuggestBot/Requests,/* I want personalized SuggestBot suggestions for articles to edit */
2006-06-20T01:54:23+00:00,59548822,59548545,1,Facto,Ann Coulter,updating main pic to her most recent book
2006-06-19T22:43:25+00:00,59522148,59512011,1,Facto,Wikipedia:Village pump (miscellaneous),== Decategorization of Wikipedians ==
2006-06-19T21:45:08+00:00,59512609,59512420,1,Facto,Ann Coulter,rv original research
2006-06-19T21:29:43+00:00,59510095,59305846,1,Facto,Wikipedia talk:User categorisation,== cfd (again) on Wikipedians_by_politics ==
2006-06-19T20:55:54+00:00,59504296,59501332,1,Facto,Wikipedia:Categories for deletion/Log/2006 June 19/Wikipedians by politics,/* [[:Category:Wikipedians by politics]] and all subcategories */
