timestamp,revid,parentid,sock,user,page,message
2009-03-16T22:17:06+00:00,277739380,277716557,1,Fadiga09,User talk:Fadiga09,[[WP:AES|←]]Blanked the page
2009-03-16T20:21:42+00:00,277714904,277498090,1,Fadiga09,Valencia CF,Shut the fuck up PM54 U CUNT.
2009-03-16T20:20:10+00:00,277714578,277712986,1,Fadiga09,Fernando Torres,/* International */  The what? UNDECIDE!!!
2009-03-16T20:13:22+00:00,277712986,277712318,1,Fadiga09,Fernando Torres,"/* Atlético Madrid */  Only real trophies please, Nike Cup isn't one!"
2009-03-16T20:10:23+00:00,277712318,277712155,1,Fadiga09,Fernando Torres,
2009-03-16T20:09:41+00:00,277712155,277704218,1,Fadiga09,Fernando Torres,
2009-03-14T23:47:07+00:00,277287101,277286907,1,Fadiga09,User talk:Fadiga09,[[WP:AES|←]]Blanked the page
2009-03-14T23:46:48+00:00,277287040,277277371,1,Fadiga09,European Cup and UEFA Champions League records and statistics,/* By club */
2009-03-14T23:42:25+00:00,277286118,277268963,1,Fadiga09,Valencia CF,
2009-03-14T23:35:53+00:00,277284752,277284675,1,Fadiga09,Rafael Benítez,/* Valencia */
2009-03-14T23:35:30+00:00,277284675,277284492,1,Fadiga09,Rafael Benítez,/* 2001&ndash;02 - Champions of Spain */  Underachieving? Back to back CL finals in the summer of Benitez's arrival is not underachieving.
2009-03-14T23:34:31+00:00,277284492,277283659,1,Fadiga09,Rafael Benítez,"/* 2001&ndash;02 - Champions of Spain */ Claudio Lopez left in the Cuper era of 2000, Cuper had a season without Lopez, so irrelevant to Benitez."
2009-02-26T23:04:31+00:00,273527811,267463377,1,Fadiga09,It's Alright (East 17 song),
2009-02-21T18:29:23+00:00,272309540,272252247,1,Fadiga09,Valencia CF,
2009-01-30T22:24:14+00:00,267491019,267256513,1,Fadiga09,Valencia CF,
2009-01-23T20:28:50+00:00,265978470,265971143,1,Fadiga09,Boy band,
2009-01-14T14:23:10+00:00,264036002,263935031,1,Fadiga09,New Kids on the Block,"its not the only source i have though, heres another one for 80m records http://www.independent.co.uk/arts-entertainment/music/features/boyz-to-men-the-not-so-new--kids-on-the-block-938740.html"
2009-01-13T18:38:40+00:00,263856929,263855387,1,Fadiga09,New Kids on the Block,"http://www.thenia.co.uk/whatson/newkidsontheblock, theres the source for 80M records!!!!"
2009-01-12T18:20:00+00:00,263628211,263450688,1,Fadiga09,New Kids on the Block,
2009-01-11T18:23:06+00:00,263417349,263417039,1,Fadiga09,New Kids on the Block,
2009-01-11T18:21:30+00:00,263417039,263416896,1,Fadiga09,New Kids on the Block,
2009-01-11T18:20:47+00:00,263416896,263300302,1,Fadiga09,New Kids on the Block,
2009-01-08T18:05:27+00:00,262790432,262786517,1,Fadiga09,Step by Step (New Kids on the Block song),
2009-01-03T18:03:40+00:00,261716052,261617713,1,Fadiga09,David Silva,/* Honours */
2009-01-03T18:02:25+00:00,261715756,261657535,1,Fadiga09,David Villa,/* Early career */
2009-01-02T18:38:39+00:00,261494444,261494302,1,Fadiga09,New Kids on the Block discography,/* Singles */
2009-01-02T18:37:52+00:00,261494302,261494127,1,Fadiga09,New Kids on the Block discography,/* Singles */
2009-01-02T18:36:51+00:00,261494127,261444631,1,Fadiga09,New Kids on the Block discography,/* Singles */
2008-12-31T18:03:01+00:00,261127817,260957376,1,Fadiga09,New Kids on the Block discography,
2008-12-30T18:16:20+00:00,260922308,260922257,1,Fadiga09,New Kids on the Block discography,/* Singles */
2008-12-30T18:16:03+00:00,260922257,260921985,1,Fadiga09,New Kids on the Block discography,
2008-12-30T18:14:36+00:00,260921985,260870496,1,Fadiga09,New Kids on the Block discography,/* Singles */
2008-12-28T20:29:16+00:00,260544492,254964611,1,Fadiga09,Hangin' Tough (song),"We dont care what ""blender"" thinks."
2008-12-27T20:49:20+00:00,260374323,260093081,1,Fadiga09,New Kids on the Block,"It's 80 million, heres the link, i dont know how to cite sources so here is the link. http://www.independent.co.uk/arts-entertainment/music/features/boyz-to-men-the-not-so-new--kids-on-the-block-93874"
2008-12-20T20:13:22+00:00,259216824,258904621,1,Fadiga09,Boy band,/* Current Boy Bands */  Nsync aren't 2 gether anymore
2008-12-20T20:12:16+00:00,259216657,258977144,1,Fadiga09,New Kids on the Block,
2008-12-20T18:36:26+00:00,259202201,259148972,1,Fadiga09,Valencia CF,
2008-12-17T13:35:32+00:00,258571238,258571182,1,Fadiga09,Step by Step (New Kids on the Block song),/* Charts */
2008-12-17T13:35:06+00:00,258571182,258562991,1,Fadiga09,Step by Step (New Kids on the Block song),
2008-12-16T16:25:14+00:00,258377410,258290946,1,Fadiga09,Step by Step (New Kids on the Block song),
2008-12-11T18:20:56+00:00,257315436,257263880,1,Fadiga09,Step by Step (New Kids on the Block song),
2008-12-10T18:15:45+00:00,257096679,257084870,1,Fadiga09,Valencia CF,
2008-12-09T18:46:12+00:00,256878645,256810722,1,Fadiga09,Valencia CF,
2008-12-05T14:24:58+00:00,256043373,256016294,1,Fadiga09,Valencia CF,Shut up.
2008-12-03T18:13:20+00:00,255673809,255494552,1,Fadiga09,Boy band,"this is just album sales, seeing as the others in the table are only album sale figures and backstreet boys 200M figure is total sales and not just album"
2008-11-29T18:07:19+00:00,254821493,254819565,1,Fadiga09,European football records,
2008-11-26T18:14:58+00:00,254266585,254112048,1,Fadiga09,Boy band,
