timestamp,revid,parentid,sock,user,page,message
2024-01-22T13:57:13+00:00,1197936526,1197936221,1,Fc.alpha.afghan,List of football clubs in Afghanistan,i addrd club in list
2024-01-22T13:55:25+00:00,1197936221,1197907118,1,Fc.alpha.afghan,List of football clubs in Afghanistan,i added new club
2024-01-22T10:45:19+00:00,1197906977,1197901313,1,Fc.alpha.afghan,List of football clubs in Afghanistan,
2024-01-22T10:41:50+00:00,1197906444,1197906066,1,Fc.alpha.afghan,Kabul Premier League,i link site in my club
2024-01-22T10:38:53+00:00,1197905973,1197905534,1,Fc.alpha.afghan,Kabul Premier League,i added new club
2024-01-22T10:35:43+00:00,1197905534,1197904888,1,Fc.alpha.afghan,Kabul Premier League,i added site in my club
2024-01-22T10:31:25+00:00,1197904888,1192953083,1,Fc.alpha.afghan,Kabul Premier League,/* Clubs: 2010–11 */for add new club name in this page
2024-01-22T10:09:07+00:00,1197901313,1175337367,1,Fc.alpha.afghan,List of football clubs in Afghanistan,/* Kabul Premier League */
2024-01-23T05:57:49+00:00,1198159723,1198159069,1,FootballclubAlpha,Afghan United Kabul F.C.,
2024-01-23T05:52:08+00:00,1198158992,1198158299,1,FootballclubAlpha,Afghan United Kabul F.C.,
2024-01-23T05:47:23+00:00,1198158299,1144249348,1,FootballclubAlpha,Afghan United Kabul F.C.,
2024-01-23T05:41:30+00:00,1198157473,1198157173,1,FootballclubAlpha,List of football clubs in Afghanistan,
2024-01-23T05:39:17+00:00,1198157173,1198156642,1,FootballclubAlpha,List of football clubs in Afghanistan,Just i remove the link because of wikipedia standarfs
2024-01-23T05:34:53+00:00,1198156642,1198155699,1,FootballclubAlpha,List of football clubs in Afghanistan,"/* Kabul Premier League */I added my official league in list, please don't remove it."
2024-01-23T05:27:56+00:00,1198155699,1197977882,1,FootballclubAlpha,List of football clubs in Afghanistan,/* Kabul Premier League */Becausebi added a new official leauge
2023-03-12T17:39:28+00:00,1144249348,1144249088,0,Nizamuddin.arsh,Afghan United Kabul F.C.,
2024-01-22T10:47:23+00:00,1197907284,1197906444,0,JBW,Kabul Premier League,Removing spam link
2024-01-22T17:13:44+00:00,1197977882,1197936526,0,JBW,List of football clubs in Afghanistan,Reverted edits by [[Special:Contribs/Fc.alpha.afghan|Fc.alpha.afghan]] ([[User talk:Fc.alpha.afghan|talk]]) to last version by JBW
2024-01-22T10:46:20+00:00,1197907118,1197906977,0,JBW,List of football clubs in Afghanistan,Reverted edits by [[Special:Contribs/Fc.alpha.afghan|Fc.alpha.afghan]] ([[User talk:Fc.alpha.afghan|talk]]) to last version by 2603:8000:D300:3650:B965:B19C:3566:1A16
2023-07-26T09:58:31+00:00,1167203301,1149263262,0,2603:8000:D300:D0F:8949:2349:36C7:B688,Kabul Premier League,style
2023-04-11T04:16:20+00:00,1149263262,1149263126,0,78.0.187.227,Kabul Premier League,/* Clubs 2010/11 */
2023-02-08T15:46:24+00:00,1138213400,1137625047,0,GreenC bot,Kabul Premier League,Move 1 url. [[User:GreenC/WaybackMedic_2.5|Wayback Medic 2.5]]
2024-01-01T07:17:19+00:00,1192953083,1167203301,0,Billjones94,Kabul Premier League,ndash
2023-09-14T10:37:29+00:00,1175337367,1078876491,0,2603:8000:D300:3650:B965:B19C:3566:1A16,List of football clubs in Afghanistan,gram
2022-03-23T20:16:49+00:00,1078876491,1076718045,0,Premeditated Chaos,List of football clubs in Afghanistan,Removing link(s) [[Wikipedia:Articles for deletion/Hakim Sanayi Kabul F.C.]] closed as delete ([[WP:XFDC#4.0.13|XFDcloser]])
