timestamp,revid,parentid,sock,user,page,message
2015-03-16T11:00:39+00:00,651617775,578532107,1,Forhadalam29,User talk:Forhadalam29,[[WP:AES|←]]Replaced content with 'Forhad alam  Forhad alam is a software and web developer'
2015-03-16T10:59:06+00:00,651617650,651617436,1,Forhadalam29,List of educational institutions in Sylhet District,/* Universities */
2013-10-24T11:09:55+00:00,578532870,578532682,1,Forhadalam29,Zaandam,
2013-10-24T11:07:29+00:00,578532682,578532581,1,Forhadalam29,Zaandam,
2013-10-24T11:06:25+00:00,578532581,570713863,1,Forhadalam29,Zaandam,
2013-10-24T11:01:08+00:00,578532107,578531926,1,Forhadalam29,User talk:Forhadalam29,/* Welcome! */
2013-10-24T10:56:35+00:00,578531710,574163839,1,Forhadalam29,Tahuna Breaks,
2015-03-16T06:14:57+00:00,651594579,651594476,1,Forhad29,List of educational institutions in Sylhet District,/* University colleges */
2015-03-16T06:13:16+00:00,651594476,651594432,1,Forhad29,List of educational institutions in Sylhet District,/* Medical colleges */
2015-03-16T06:12:31+00:00,651594432,650610345,1,Forhad29,List of educational institutions in Sylhet District,/* Medical colleges */
2015-03-16T06:10:07+00:00,651594267,0,1,Forhad29,User talk:Forhad29,[[WP:AES|←]]Created page with 'Nyta soft is a software company'
2015-03-16T06:07:42+00:00,651594126,646257655,1,Forhad29,Talk:Divisions of Bangladesh,/* Nytasoft */ new section
2015-01-09T16:49:35+00:00,641750536,640504037,0,42.0.5.54,List of educational institutions in Sylhet District,/* Madrasa */
2014-01-06T17:55:24+00:00,589470179,586123664,0,BG19bot,Tahuna Breaks,[[WP:CHECKWIKI]] error fix for #61.  Punctuation goes before References. Do [[Wikipedia:GENFIXES|general fixes]] if a problem exists. - using [[Project:AWB|AWB]] (9838)
2011-03-29T15:40:17+00:00,421330381,421330215,0,SineBot,Talk:Divisions of Bangladesh,"Signing comment by [[User:Nafsadh|Nafsadh]] - ""/* Ranking of divisions */ new section"""
2014-10-23T15:26:59+00:00,630802378,628358468,0,Jacona,List of educational institutions in Sylhet District,changed collage (type of artwork) to college (educational institution)
2014-06-25T10:28:17+00:00,614346935,613722896,0,117.18.230.48,List of educational institutions in Sylhet District,/* Technical colleges */
2013-10-24T11:34:10+00:00,578534905,578532870,0,Tentinator,Zaandam,Reverted 3 [[WP:AGF|good faith]] edits by [[Special:Contributions/Forhadalam29|Forhadalam29]] using [[WP:STiki|STiki]]
2014-09-14T18:23:35+00:00,625549729,614592019,0,80.56.144.196,Zaandam,
2014-04-06T19:07:16+00:00,603043634,603043532,0,119.30.39.226,List of educational institutions in Sylhet District,/* High schools */
2015-02-08T23:31:23+00:00,646257655,622653099,0,Rainmaker23,Talk:Divisions of Bangladesh,/* Division Headquarters or Capital? */
2014-04-20T03:08:56+00:00,604967173,604857299,0,Flat Out,List of educational institutions in Sylhet District,Added {{[[Template:notability|notability]]}} tag to article ([[WP:TW|TW]])
2013-11-05T06:40:35+00:00,580267979,580267928,0,114.130.67.12,List of educational institutions in Sylhet District,/* Higher secondary colleges */
2013-12-13T00:13:43+00:00,585829833,578534905,0,ChrisGualtieri,Zaandam,Remove stub template(s). Page is start class or higher. Also check for and do General Fixes + Checkwiki fixes using [[Project:AWB|AWB]]
2014-06-27T04:22:01+00:00,614592019,614591852,0,99.228.108.132,Zaandam,
2014-03-16T12:56:55+00:00,599856043,599855958,0,Arjant,Zaandam,/* History */ removed accidentally introduced white space
2012-04-26T05:46:23+00:00,489270641,485427434,0,Tabletop,List of educational institutions in Sylhet District,Spell tecnical => technical (39)
2012-05-24T16:05:55+00:00,494169975,493553839,0,Aditi Choudhury,List of educational institutions in Sylhet District,/* Intermediate College */
2013-06-14T10:31:19+00:00,559854586,559854119,0,202.134.13.130,List of educational institutions in Sylhet District,/* Higher secondary colleges */
2012-08-19T08:58:39+00:00,508105268,507972230,0,Ashrafbd,List of educational institutions in Sylhet District,Brief introduction added
2014-01-10T22:28:36+00:00,590139599,585092190,0,86.147.177.85,List of educational institutions in Sylhet District,/* English Medium Schools and Colleges */
2011-10-13T13:22:23+00:00,455367196,452323368,0,Swansnic,Zaandam,add ref. to Monet's paintings of the town and area
2012-05-15T11:03:59+00:00,492674945,492380687,0,202.126.121.110,List of educational institutions in Sylhet District,/* Madrasa */
2015-01-31T17:19:52+00:00,645014241,641750536,0,58.97.137.136,List of educational institutions in Sylhet District,/* University colleges */
2013-07-04T21:12:02+00:00,562884785,548090013,0,JacksonConstruction,Tahuna Breaks,add link to Wellington
2011-09-22T13:32:21+00:00,451845733,451336733,0,Oqsaikat,List of educational institutions in Sylhet District,
2014-08-24T21:02:19+00:00,622653099,622646896,0,Nafsadh,Talk:Divisions of Bangladesh,/* Division Headquarters or Capital? */
2012-01-26T20:57:23+00:00,473397426,471992398,0,Michielverbeek,Zaandam,/* History */
2011-01-07T21:41:37+00:00,406564509,406564244,0,Nikosgreencookie,Zaandam,
