timestamp,revid,parentid,sock,user,page,message
2007-09-04T21:23:06+00:00,155707793,155707539,1,Fredadams,User talk:Fredadams,
2007-09-04T21:21:53+00:00,155707539,155706115,1,Fredadams,User talk:Fredadams,
2007-09-04T21:19:27+00:00,155707072,155706941,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 155659621 by [[Special:Contributions/Akradecki|Akradecki]] ([[User talk:Akradecki|talk]])
2007-09-04T21:18:44+00:00,155706941,155706603,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 155704191 by [[Special:Contributions/Akradecki|Akradecki]] ([[User talk:Akradecki|talk]])
2007-09-04T21:17:04+00:00,155706603,155706301,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 155704330 by [[Special:Contributions/Akradecki|Akradecki]] ([[User talk:Akradecki|talk]])
2007-09-04T21:15:35+00:00,155706301,155705943,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 155704383 by [[Special:Contributions/Akradecki|Akradecki]] ([[User talk:Akradecki|talk]])
2007-09-04T21:13:40+00:00,155705943,155705690,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 155705690 by [[Special:Contributions/Akradecki|Akradecki]] ([[User talk:Akradecki|talk]])
2007-09-04T21:12:05+00:00,155705648,155705043,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 155705043 by [[Special:Contributions/Akradecki|Akradecki]] ([[User talk:Akradecki|talk]])
2007-09-04T21:06:19+00:00,155704442,155704383,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 155704047 by [[Special:Contributions/Akradecki|Akradecki]] ([[User talk:Akradecki|talk]])
2007-09-04T20:56:30+00:00,155702422,155659621,1,Fredadams,Desiree Horton,"You've got to be kidding with all these ""citations needed.""  Get a life."
2007-09-03T08:36:33+00:00,155375923,155021507,1,Fredadams,Desiree Horton,Add author's name
2007-08-20T20:34:24+00:00,152541987,152521360,1,Fredadams,Talk:Desiree Horton,/* Does noone use this discussion page? */
2007-08-20T08:55:04+00:00,152425928,152412874,1,Fredadams,Desiree Horton,
2007-08-20T03:29:11+00:00,152385653,152384000,1,Fredadams,Desiree Horton,"He/she asked you nicely not to make the info on Horton's certification so readily available to everyone who visits this site.  Surely, you understand why."
2007-08-20T03:18:54+00:00,152384000,152361198,1,Fredadams,Desiree Horton,This is almost common knowledge.   It certainly doesn't need a reference.
2007-08-19T02:46:47+00:00,152165626,152119991,1,Fredadams,Desiree Horton,
2007-08-18T04:58:54+00:00,151978707,151978454,1,Fredadams,Desiree Horton,/* Personal life */
2007-08-18T04:57:10+00:00,151978454,151978098,1,Fredadams,Desiree Horton,
2007-08-18T04:54:38+00:00,151978098,151977274,1,Fredadams,Desiree Horton,
2007-08-18T04:48:42+00:00,151977274,151975196,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 151975196 by [[Special:Contributions/Fredadams|Fredadams]] ([[User talk:Fredadams|talk]])
2007-08-18T04:34:58+00:00,151975196,151971545,1,Fredadams,Desiree Horton,
2007-08-18T04:10:00+00:00,151971545,151971397,1,Fredadams,Desiree Horton,/* Career */
2007-08-18T04:08:58+00:00,151971397,151969100,1,Fredadams,Desiree Horton,Error in link.
2007-08-18T03:55:30+00:00,151969100,151690917,1,Fredadams,Desiree Horton,Complete list of Forest Service helicopter pilots (total approximately 1000) about 20 of whom are women.
2007-08-16T21:56:39+00:00,151690917,151690631,1,Fredadams,Desiree Horton,/* External links */
2007-08-16T21:54:47+00:00,151690631,151676400,1,Fredadams,Desiree Horton,Wrong N-number for helicopter.
2007-08-16T20:33:44+00:00,151676400,151672739,1,Fredadams,Desiree Horton,/* References */
2007-08-16T20:14:28+00:00,151672739,151652492,1,Fredadams,Desiree Horton,
2007-08-16T18:24:33+00:00,151651559,151559104,1,Fredadams,Desiree Horton,"Dravecky, give readers a little intelligence.  They know KTLA's transmitter signal doesn't reach Canada."
2007-08-16T05:27:22+00:00,151545737,151543504,1,Fredadams,Desiree Horton,Fanofdesiree pointed out where that statement is on Innocent Bystander.
2007-08-11T05:37:56+00:00,150544037,150535591,1,Fredadams,Desiree Horton,"Ursasapien, your reference, WP:CITE, doesn't even mention blogs."
2007-08-11T02:47:26+00:00,150523257,149423774,1,Fredadams,Desiree Horton,Disagree completely.  Gary Sassaman of Innocent Bystander has many years in Television news and is very reliable.
2007-07-24T13:20:48+00:00,146755194,146754930,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 146708806 by [[Special:Contributions/Ursasapien|Ursasapien]] ([[User talk:Ursasapien|talk]])
2007-07-24T13:18:54+00:00,146754930,146754671,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 146709244 by [[Special:Contributions/Ursasapien|Ursasapien]] ([[User talk:Ursasapien|talk]])NOT A SENTENCE
2007-07-24T13:17:02+00:00,146754671,146709286,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 146709286 by [[Special:Contributions/Ursasapien|Ursasapien]] ([[User talk:Ursasapien|talk]])
2007-07-24T05:21:42+00:00,146699439,146434370,1,Fredadams,Talk:Desiree Horton,/* Please Leave Article Alone */
2007-07-17T23:17:50+00:00,145323699,145274618,1,Fredadams,Talk:Desiree Horton,Do not have such a picture.
2007-07-17T02:08:59+00:00,145135870,145081413,1,Fredadams,Talk:Desiree Horton,"Editing by you making this appear more of a ""Fan Site"""
2007-07-16T18:12:28+00:00,145045723,145039948,1,Fredadams,Talk:Desiree Horton,Please cut the insults
2007-07-16T16:30:25+00:00,145025581,145021011,1,Fredadams,Desiree Horton,[[WP:UNDO|Undid]] revision 145021011 by [[Special:Contributions/Dravecky|Dravecky]] ([[User talk:Dravecky|talk]])There is no need to be insulting.
