timestamp,revid,parentid,sock,user,page,message
2013-01-02T01:47:51+00:00,530846951,530660650,1,Fête,User talk:Fête,/* مايونيز */
2012-12-30T18:38:20+00:00,530484843,530484749,1,Fête,French language,/* Words */
2012-12-30T18:37:34+00:00,530484749,530484373,1,Fête,French language,/* Words */
2012-12-30T18:34:34+00:00,530484373,530484118,1,Fête,French language,/* Words */
2012-12-30T18:32:28+00:00,530484118,530483935,1,Fête,French language,/* Words */
2012-12-30T18:31:08+00:00,530483935,530483825,1,Fête,French language,/* Words */
2012-12-30T18:30:17+00:00,530483825,530263108,1,Fête,French language,/* Words */
2012-12-30T17:22:19+00:00,530475121,529847325,1,Fête,User talk:Adamsa123,/* مايونيز */ new section
2012-12-30T16:51:32+00:00,530471524,530351183,1,Fête,Quebec French,/* Sociolinguistic status of selected phonological traits */
2012-12-30T16:44:30+00:00,530470711,530470681,1,Fête,User talk:CJ Withers,/* fête */
2012-12-30T16:44:12+00:00,530470681,526036309,1,Fête,User talk:CJ Withers,/* fête */ new section
2012-12-30T16:39:12+00:00,530470056,522468381,1,Fête,User talk:Charitybernhard,/* caisse */ new section
2012-12-30T16:36:59+00:00,530469819,527625217,1,Fête,User talk:Tallard,/* Caisse */ new section
2012-12-30T16:20:55+00:00,530468145,530467687,1,Fête,User talk:Salvidrim!,/* region */ new section
2012-12-30T16:10:57+00:00,530467027,530466550,1,Fête,User talk:Salvidrim!,/* caisse */
2012-12-30T16:05:30+00:00,530466410,530465708,1,Fête,User talk:Salvidrim!,/* caisse */
2012-12-30T15:52:07+00:00,530464871,530463776,1,Fête,User talk:Salvidrim!,/* caisse */
2012-12-30T15:36:40+00:00,530463137,530462059,1,Fête,User talk:Salvidrim!,/* caisse */
2012-12-30T15:24:14+00:00,530461636,517561815,1,Fête,User talk:UnQuébécois,/* fête */ new section
2012-12-30T15:07:51+00:00,530459960,530458130,1,Fête,User talk:Salvidrim!,/* caisse */
2012-12-30T13:51:49+00:00,530451563,530110069,1,Fête,User talk:Bouchecl,/* fête */ new section
2012-12-30T13:50:57+00:00,530451474,514991241,1,Fête,Wikipedia:WikiProject Quebec/Members,/* Participants */
2012-12-30T13:48:47+00:00,530451274,530451191,1,Fête,User talk:Cornellier,/* fête */ new section
2012-12-30T13:47:51+00:00,530451191,530451148,1,Fête,User talk:Cornellier,Undid revision 530451148 by [[Special:Contributions/Fête|Fête]] ([[User talk:Fête|talk]])
2012-12-30T13:47:22+00:00,530451148,530373944,1,Fête,User talk:Cornellier,/* caisse */ new section
2012-12-30T13:16:02+00:00,530447474,530446877,1,Fête,User talk:Salvidrim!,/* caisse */
2012-12-30T13:03:16+00:00,530446184,530446146,1,Fête,Frère Jacques,
2012-12-30T13:02:58+00:00,530446146,530391070,1,Fête,Frère Jacques,
2012-12-30T13:01:09+00:00,530445907,530428724,1,Fête,User talk:Salvidrim!,/* caisse */
2012-12-30T02:40:58+00:00,530391070,530356512,1,Fête,Frère Jacques,/* Lyrics */
2012-12-30T02:29:15+00:00,530389816,447899410,1,Fête,Wikipedia:WikiProject Quebec/Request,
2012-12-30T01:14:25+00:00,530381327,530373167,1,Fête,User talk:74.60.29.141,/* caisse */
2012-12-30T00:02:47+00:00,530373167,530016109,1,Fête,User talk:74.60.29.141,/* caisse */ new section
2012-12-29T23:52:01+00:00,530371703,530121460,1,Fête,User talk:Salvidrim!,/* caisse */ new section
2012-12-29T23:16:46+00:00,530367487,530365285,1,Fête,Wikipedia:Help desk,/* audio */
2012-12-29T21:49:13+00:00,530356512,526916275,1,Fête,Frère Jacques,
2012-12-29T21:37:36+00:00,530354894,530345693,1,Fête,Wikipedia:Help desk,/* audio */ new section
2012-12-29T21:27:03+00:00,530353470,530080057,1,Fête,User talk:Johnny Au,/* lettuce */ new section
2012-12-29T21:10:26+00:00,530351183,530310599,1,Fête,Quebec French,/* Sociolinguistic status of selected phonological traits */
2012-12-29T15:57:49+00:00,530310599,530309629,1,Fête,Quebec French,/* Distinctive features */
2012-12-29T15:50:48+00:00,530309719,529660997,1,Fête,Varieties of French,/* Quebec */
2012-12-29T15:49:57+00:00,530309629,529606016,1,Fête,Quebec French,
2012-12-29T15:07:47+00:00,530305056,530304720,1,Fête,Wikipedia:Reference desk/Language,/* Stephen Harper */
2012-12-29T14:50:04+00:00,530303250,529593163,1,Fête,New Brunswick,[[zh-yue:紐賓士域省]]
2012-12-29T14:47:43+00:00,530302969,528815040,1,Fête,Brossard,
2012-12-29T14:30:19+00:00,530301207,529130278,1,Fête,Canada Day,
2012-12-29T02:51:19+00:00,530237732,530237693,1,Fête,Wikipedia:Reference desk/Language,/* Stephen Harper */
2012-12-29T02:50:52+00:00,530237693,530158958,1,Fête,Wikipedia:Reference desk/Language,/* Stephen Harper */ new section
2012-12-29T00:36:55+00:00,530222209,530221592,1,Fête,Los Angeles,
2012-12-29T00:31:32+00:00,530221592,530152986,1,Fête,Los Angeles,
2012-12-29T00:09:35+00:00,530218906,492137902,1,Fête,"Sainte-Foy, Quebec City",
2012-12-28T23:04:12+00:00,530211268,135421773,1,Fête,User talk:Arka Voltchek,/* sexe */ new section
2012-12-28T22:41:39+00:00,530208623,529012201,1,Fête,Longueuil,
2012-12-28T14:50:58+00:00,530148447,530143629,1,Fête,French language,/* Words */
2012-12-27T23:38:20+00:00,530056608,516434736,1,Fête,Voiced velar approximant,/* Occurrence */
2012-12-27T23:27:08+00:00,530055094,529914935,1,Fête,User talk:Aeusoes1,/* fête */ new section
2012-12-27T23:07:03+00:00,530052571,530031594,1,Fête,Strawberry,
2012-12-27T23:03:49+00:00,530052118,530052060,1,Fête,Papaya,
2012-12-27T23:03:24+00:00,530052060,525946913,1,Fête,Papaya,pronunciation
2012-12-27T17:31:45+00:00,530006771,529923612,1,Fête,User talk:Johnny Au,/* correspond */ new section
2012-12-26T20:09:23+00:00,529872463,529259083,1,Fête,Ketchup,
2012-12-26T19:53:34+00:00,529870292,526356765,1,Fête,Dim sum,
2012-12-26T19:52:09+00:00,529870058,529870023,1,Fête,Gung ho,
2012-12-26T19:51:55+00:00,529870023,519527216,1,Fête,Gung ho,pronunciation
2012-12-26T19:51:05+00:00,529869909,529869881,1,Fête,Chop suey,
2012-12-26T19:50:50+00:00,529869881,529349832,1,Fête,Chop suey,pronunciation
2012-12-26T19:46:41+00:00,529869333,529869252,1,Fête,Cheongsam,
2012-12-26T19:46:05+00:00,529869252,527375937,1,Fête,Cheongsam,
2012-12-26T19:32:27+00:00,529867285,528055624,1,Fête,Chow mein,
2012-12-26T18:13:20+00:00,529857723,529611951,1,Fête,Montreal,
2012-12-26T17:17:09+00:00,529850985,0,1,Fête,User talk:65.94.245.194,"[[WP:AES|←]]Created page with '== fête == Do you believe the word ''fête'' is pronounced ""fight"" in Quebec French ? ~~~~'"
2012-12-26T02:26:26+00:00,529780744,529778895,1,Fête,User talk:SBryan,/* fête */
2012-12-26T00:41:12+00:00,529771972,499423842,1,Fête,User talk:Jusjih,/* Audio */ new section
2012-12-26T00:33:18+00:00,529771275,529771055,1,Fête,User talk:SBryan,
2012-12-26T00:30:57+00:00,529771055,0,1,Fête,User talk:SBryan,[[WP:AES|←]]Created page with '{{usertalkpage}} {{User:ClueBot III/ArchiveThis |archiveprefix=User talk:SBryan |format=%%i |age=1440 |minarchthreads=10 |index=yes |numberstart=2 |archivebox=ye...'
2012-12-26T00:26:16+00:00,529770651,529038095,1,Fête,Alexis Nihon Complex,
2012-12-26T00:24:55+00:00,529770510,529770250,1,Fête,Place Vertu,/* Stores */
2012-12-26T00:23:52+00:00,529770426,529770328,1,Fête,Galeries d'Anjou,
2012-12-26T00:22:44+00:00,529770328,522003702,1,Fête,Galeries d'Anjou,/* History */
2012-12-26T00:21:46+00:00,529770250,529755979,1,Fête,Place Vertu,/* History */
2012-12-25T21:46:03+00:00,529755979,516705222,1,Fête,Place Vertu,/* History */
2012-12-25T21:43:14+00:00,529755734,529732594,1,Fête,Nian gao,
2012-12-25T18:40:41+00:00,529739613,529739299,1,Fête,User talk:MTLskyline,/* fête */
2012-12-25T17:28:13+00:00,529733262,529175297,1,Fête,User talk:損齋,/* S */ new section
2012-12-25T14:54:16+00:00,529721836,529271334,1,Fête,User talk:MTLskyline,/* fête */ new section
2012-12-25T14:41:07+00:00,529720988,527979474,1,Fête,Official language,
2012-12-25T02:36:53+00:00,529674112,529441069,1,Fête,User talk:Damaster98,/* 我唔識話 */ new section
2012-12-25T01:44:32+00:00,529669966,529669933,1,Fête,User talk:Chnou,/* audio */
2012-12-25T01:44:11+00:00,529669933,475865481,1,Fête,User talk:Chnou,/* audio */ new section
2012-12-25T01:42:11+00:00,529669747,487543310,1,Fête,User talk:Chicoutimi~enwiki,/* audio */ new section
2012-12-25T00:06:12+00:00,529662354,527814333,1,Fête,Variety (linguistics),
2012-12-24T23:52:26+00:00,529660997,510138248,1,Fête,Varieties of French,/* Quebec */
2012-12-24T21:01:32+00:00,529645691,529636553,1,Fête,Wikipedia:Reference desk/Language,/* ticket */ new section
2012-12-24T15:31:02+00:00,529611102,529593061,1,Fête,Wikipedia:Reference desk/Language,/* kung fu */ new section
2012-12-24T14:30:16+00:00,529606016,529128611,1,Fête,Quebec French,/* Regional varieties and their classification */
2012-12-24T14:25:03+00:00,529605500,529564694,1,Fête,User talk:Deryck Chan,/* Jacky Cheung */ new section
2012-12-24T12:54:48+00:00,529598266,529538407,1,Fête,User talk:Mxn,/* xǎng */
2012-12-24T02:40:21+00:00,529527628,529520512,1,Fête,User talk:Mxn,/* xǎng */ new section
2012-12-24T02:36:23+00:00,529527219,529527161,1,Fête,Wikipedia:Reference desk/Language,/* Christine Moore */
2012-12-24T02:35:49+00:00,529527161,529526099,1,Fête,Wikipedia:Reference desk/Language,/* Christine Moore */ new section
2012-12-24T02:10:48+00:00,529525048,529523008,1,Fête,User talk:Johnny Au,/* fête */
