timestamp,revid,parentid,sock,user,page,message
2023-06-02T15:22:23+00:00,1158200862,1158083967,1,Goluce,User talk:Goluce,/* Unblock */ Reply
2023-06-01T14:45:55+00:00,1158030606,1157736488,1,Goluce,User talk:Goluce,/* Unblock */ new section
2023-05-30T16:46:45+00:00,1157736488,1148367196,1,Goluce,User talk:Goluce,/* April 2023 */ Reply
2022-11-16T16:00:02+00:00,1122242571,1114808029,1,Goluce,2022 United States infant formula shortage,Added more information about effects and policies causing shortages. Added a citation within and linked to other wiki page
2022-11-16T15:49:59+00:00,1122241144,1122239753,1,Goluce,Abortion in Georgia (U.S. state),Added link to city of Blakely
2022-11-16T15:40:13+00:00,1122239753,1117690243,1,Goluce,Abortion in Georgia (U.S. state),Added more information about the history of abortion in Georgia. Added a recent statement by GA governor Brian Kemp and cited it. Also fixed an existing typo in the section.
2022-11-08T15:05:54+00:00,1120735505,1120160555,1,Goluce,Brian Kemp,/* Abortion */ added information and source
2022-05-26T16:01:03+00:00,1089965310,1088853821,1,Goluce,The Ellipse,"Added information about extremists at the speech, added source."
2022-05-26T15:48:59+00:00,1089963505,1087940500,1,Goluce,United States Congress,/* Since 1970: Contemporary Era */ Added a reliable source for information about the events of January 6. No source was presented.
2022-12-06T13:05:00+00:00,1125897479,1124402324,0,Citation bot,2022 United States infant formula shortage,Alter: template type. | [[WP:UCB|Use this bot]]. [[WP:DBUG|Report bugs]]. | Suggested by BorgQueen | [[Category:2022 in the United States]] | #UCB_Category 41/41
2022-08-11T13:59:54+00:00,1103919302,1096338058,0,JennyOz,The Ellipse,wlink shape
2022-07-02T02:23:46+00:00,1096065619,1095174358,0,69.178.105.49,United States Congress,Fixed typo
2022-11-02T12:34:56+00:00,1119601512,1117528551,0,Will120,Brian Kemp,NEAV is definitely not banned
2023-01-25T11:30:25+00:00,1135554501,1134996462,0,Swpb,2022 United States infant formula shortage,/* DOJ investigation */
2022-12-15T08:10:30+00:00,1127537921,1127527950,0,CycloneYoris,United States Congress,Reverted 1 pending edit by [[Special:Contributions/94.37.56.99|94.37.56.99]] to revision 1127479928 by Duonaut: Unclear changes.
2022-10-04T15:58:11+00:00,1114060808,1113895811,0,Rodw,Abortion in Georgia (U.S. state),Disambiguating links to [[WTOC]] (link changed to [[WTOC-TV]]) using [[User:Qwertyytrewqqwerty/DisamAssist|DisamAssist]].
2022-07-02T20:52:44+00:00,1096177791,1095466747,0,Arjayay,Abortion in Georgia (U.S. state),Duplicate word removed
2022-07-17T01:30:45+00:00,1098688520,1098502856,0,AlsoWukai,Brian Kemp,ce
2022-07-22T23:47:33+00:00,1099859715,1099499184,0,Citation bot,Abortion in Georgia (U.S. state),"Alter: journal. Add: date, authors 1-1. Removed proxy/dead URL that duplicated identifier. Removed parameters. Some additions/deletions were parameter name changes. | [[WP:UCB|Use this bot]]. [[WP:DBUG|Report bugs]]. | Suggested by Headbomb | Linked from Wikipedia:WikiProject_Academic_Journals/Journals_cited_by_Wikipedia/Sandbox | #UCB_webform_linked 12/481"
2022-12-15T05:13:15+00:00,1127518875,1124538611,0,Elizium23,Abortion in Georgia (U.S. state),removing [[WP:UNDUE]] sections per [[Talk:Abortion in Texas]] RFC outcome
2023-03-17T06:30:47+00:00,1145091007,1144281774,0,2NumForIce,2022 United States infant formula shortage,n't → not
2023-03-16T16:49:44+00:00,1144986289,1144393366,0,Snickers2686,Brian Kemp,c/e
2023-04-24T19:57:50+00:00,1151557386,1151090381,0,Steel1943,United States Congress,[[MOS:ORDER]] and add {{[[Template:United States constitutional law|United States constitutional law]]}}
2022-08-08T10:47:11+00:00,1103112253,1099859715,0,Needforspeed888,Abortion in Georgia (U.S. state),Update
2022-11-18T03:06:54+00:00,1122537271,1122242571,0,NMaia,2022 United States infant formula shortage,/* Supply chain issues */
2023-03-20T15:17:35+00:00,1145711273,1142108977,0,2600:1700:1960:2EA0:1440:EFD6:97C5:CB34,Abortion in Georgia (U.S. state),“Pro-abortion” is generally not the accepted term by pro-choice movements.
2022-11-12T17:43:05+00:00,1121510045,1116679433,0,The Account 2,United States Congress,
2023-03-15T19:16:12+00:00,1144819889,1144819826,0,Keystone18,The Ellipse,/* External links */ + commons
2023-04-05T19:11:44+00:00,1148367075,1148100545,0,The Wordsmith,2022 United States infant formula shortage,rv sock
