timestamp,revid,parentid,sock,user,page,message
2016-02-18T02:08:22+00:00,705538343,705536321,1,Harry_gucc,Kevin James,Fixed typo
2016-02-17T23:35:31+00:00,705518875,705041848,1,Harry_gucc,Kevin James,Fixed typo
2016-02-15T03:47:44+00:00,705038424,705038197,1,Harry_gucc,Kevin James,"Fixed usage of ""there"" to ""they're"""
2016-02-15T03:45:17+00:00,705038197,704668726,1,Harry_gucc,Kevin James,Fixed typo
2016-01-31T01:19:16+00:00,702513687,702000753,1,Harry_gucc,Kevin James,Fixed a typo
2016-01-31T01:07:42+00:00,702512224,702214375,1,Harry_gucc,Wesley Willis,Fixed typo
2016-02-20T04:23:46+00:00,705889837,705740295,1,Hard_wood69,Kevin James,Fixed typo
2016-02-05T23:44:03+00:00,703511742,703471146,0,Melcous,Wesley Willis,Reverted 2 edits by [[Special:Contributions/Jhnhth|Jhnhth]] ([[User talk:Jhnhth|talk]]): Rv self-promotion. ([[WP:TW|TW]])
2016-02-08T16:08:43+00:00,703942755,703942633,0,Serols,Kevin James,Reverted edits by [[Special:Contributions/2602:306:CD14:CA80:9490:5109:FC6F:8119|2602:306:CD14:CA80:9490:5109:FC6F:8119]] ([[User talk:2602:306:CD14:CA80:9490:5109:FC6F:8119|talk]]) ([[WP:HG|HG]]) (3.1.18)
2016-01-31T01:19:21+00:00,702513697,702513687,0,ClueBot NG,Kevin James,"Reverting possible vandalism by [[Special:Contribs/Harry gucc|Harry gucc]] to version by General Ization. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (2525936) (Bot)"
2016-02-07T00:23:43+00:00,703684065,703590778,0,KasparBot,Kevin James,"migrating [[Wikipedia:Persondata|Persondata]] to Wikidata, [[toollabs:kasparbot/persondata/|please help]], see [[toollabs:kasparbot/persondata/challenge.php/article/Kevin James|challenges for this article]]"
2016-02-12T21:32:42+00:00,704668726,703942755,0,209.33.109.98,Kevin James,/* Film */
2016-02-18T02:08:22+00:00,705538343,705536321,0,Harry gucc,Kevin James,Fixed typo
2016-02-19T08:02:41+00:00,705740295,705740099,0,Qzd,Kevin James,Reverted 1 edit by [[Special:Contributions/188.30.133.37|188.30.133.37]] identified as test/vandalism using [[WP:STiki|STiki]]
2016-02-15T04:23:11+00:00,705041848,705038424,0,2601:89:C600:AB12:14F0:5A57:65E8:5B1,Kevin James,
2016-02-12T20:57:35+00:00,704663813,703511742,0,208.124.251.58,Wesley Willis,/* Cultural impact */ punctuation
2016-02-06T11:42:36+00:00,703590778,703590393,0,Greenock125,Kevin James,/* Filmography */
2016-01-31T01:08:25+00:00,702512304,702512224,0,GeneralizationsAreBad,Wesley Willis,Reverted edits by [[Special:Contribs/Harry gucc|Harry gucc]] ([[User talk:Harry gucc|talk]]) to last version by 2604:2000:6B0F:5900:4C74:5E8:1A80:B226
2016-02-05T22:21:38+00:00,703501608,703498786,0,Greenock125,Kevin James,/* Awards and nominations */
