timestamp,revid,parentid,sock,user,page,message
2020-08-29T13:58:32+00:00,975610406,975610160,1,Harryishere,User talk:Harryishere,
2020-08-29T13:56:19+00:00,975610160,975609951,1,Harryishere,User talk:Harryishere,Unblock Me
2020-08-29T13:54:39+00:00,975609951,973262034,1,Harryishere,User talk:Harryishere,/* August 2020 */
2020-08-08T10:32:56+00:00,971808584,971800682,1,Harryishere,User talk:Harryishere,/* August 2020 */
2020-08-08T09:12:42+00:00,971800682,971800602,1,Harryishere,User talk:Harryishere,/* August 2020 */
2020-08-08T09:11:51+00:00,971800602,971800563,1,Harryishere,User talk:Harryishere,/* August 2020 */
2020-08-08T09:11:24+00:00,971800563,971697043,1,Harryishere,User talk:Harryishere,/* August 2020 */
2020-08-07T16:56:28+00:00,971691464,971689114,1,Harryishere,User talk:Harryishere,/* August 2020 */
2020-08-07T09:55:10+00:00,971634184,971626454,1,Harryishere,User talk:Harryishere,/* August 2020 */
2020-08-03T10:38:18+00:00,970955840,970588416,1,Harryishere,Wikipedia:Articles for deletion/Said Alam,/* Said Alam */
2020-08-03T10:36:51+00:00,970955712,970789288,1,Harryishere,Wikipedia:Articles for deletion/Jamal Malyar,/* Jamal Malyar */
2020-08-03T10:25:41+00:00,970954697,970954377,1,Harryishere,Wikipedia:Articles for deletion/Seetu Kohli,/* Seetu Kohli */
2020-08-03T10:24:46+00:00,970954621,970618569,1,Harryishere,Wikipedia:Articles for deletion/SEMrush (2nd nomination),/* SEMrush */
2020-08-03T10:20:31+00:00,970954282,970790445,1,Harryishere,Wikipedia:Articles for deletion/Seetu Kohli,/* Seetu Kohli */
2020-08-03T10:18:00+00:00,970954026,970846609,1,Harryishere,Wikipedia:Articles for deletion/Rehana Fathima,/* Rehana Fathima */
2020-08-03T10:15:22+00:00,970953776,969838256,1,Harryishere,Wikipedia:Articles for deletion/Sanjeev Aggarwal,/* Sanjeev Aggarwal */
2020-08-03T10:11:39+00:00,970953382,970890419,1,Harryishere,Wikipedia:Articles for deletion/Sports Flashes,/* Sports Flashes */
2020-07-29T15:20:52+00:00,970150612,969561942,1,Harryishere,Talk:Trigger Warning (book),/* Contents section */
2020-07-28T18:03:10+00:00,970008815,970008087,1,Harryishere,Prasanta Karmakar,Added Controversy Part
2020-07-28T17:58:35+00:00,970008087,970007505,1,Harryishere,Prasanta Karmakar,Major Changes
2020-07-28T17:55:00+00:00,970007505,970007350,1,Harryishere,Prasanta Karmakar,/* Early Life */
