timestamp,revid,parentid,sock,user,page,message
2012-05-04T20:31:57+00:00,490688746,490688397,1,Hisilly,User talk:Hisilly,/* May 2012 */
2012-05-04T20:20:54+00:00,490687151,490686836,1,Hisilly,Billy Graham,punctuation
2012-05-04T20:18:35+00:00,490686836,490685583,1,Hisilly,Billy Graham,
2012-05-04T20:09:13+00:00,490685583,490512952,1,Hisilly,Billy Graham,Undid revision 490512952 by [[Special:Contributions/JoeSperrazza|JoeSperrazza]] ([[User talk:JoeSperrazza|talk]])
2012-05-04T19:58:26+00:00,490683925,490680291,1,Hisilly,Troy Aikman,/* Dallas Cowboys */ punctuation
2012-05-04T22:03:51+00:00,490701657,489682392,1,Edgiles,Roger Clemens,/* Houston Astros (2004–06) */ punctuation edit
2012-05-04T20:34:58+00:00,490689197,490683925,1,Heysilly,Troy Aikman,/* Dallas Cowboys */
2012-05-04T22:10:23+00:00,490702584,490702126,1,Wasillawanda,Roger Clemens,Added retrial start date.
2012-05-04T21:51:04+00:00,490699887,490681656,1,Wasillawanda,Dan Marino,/* Appearances in other media */
2012-05-04T21:38:35+00:00,490698230,490698171,1,Wasillawanda,Barry Switzer,/* Dallas Cowboys */
2012-05-04T21:38:07+00:00,490698171,490697027,1,Wasillawanda,Barry Switzer,/* Dallas Cowboys */
2012-05-04T21:30:11+00:00,490697027,490696108,1,Wasillawanda,Barry Switzer,/* Dallas Cowboys */
2012-05-04T21:23:15+00:00,490696108,482579993,1,Wasillawanda,Barry Switzer,/* After coaching */ small change to date format for consistency
2012-03-18T18:32:28+00:00,482579993,468304325,0,24.242.19.26,Barry Switzer,/* Dallas Cowboys */
2012-05-04T20:34:21+00:00,490689109,490688316,0,Walter Görlitz,Billy Graham,/* Anti-Gay Support */ space not needed
2012-05-04T19:41:12+00:00,490681656,490226671,0,68.97.97.196,Dan Marino,punctuation
2012-04-28T21:01:09+00:00,489682392,489636057,0,Trut-h-urts man,Roger Clemens,Undid revision 489636057 by [[Special:Contributions/67.82.62.175|67.82.62.175]] ([[User talk:67.82.62.175|talk]])
2012-05-04T20:39:31+00:00,490689885,490689662,0,212.139.96.207,Troy Aikman,Undid revision 490689662 by [[Special:Contributions/71.38.186.59|71.38.186.59]] ([[User talk:71.38.186.59|talk]])
2012-05-04T21:33:31+00:00,490697512,490697399,0,Renamed user dfghtjd64,Troy Aikman,Reverted 1 edit by [[Special:Contributions/212.139.96.207|212.139.96.207]] ([[User talk:212.139.96.207|talk]]) identified as [[WP:VAND|vandalism]] to last revision by Arxiloxos. ([[WP:TW|TW]])
2012-05-04T21:04:52+00:00,490693674,490689885,0,Arxiloxos,Troy Aikman,"rv to version as edited by  Arxiloxos at 14:31, 2 May 2012 to clean up a bunch of misinformation, unsourced, and unconstructive edits"
2012-05-04T20:39:07+00:00,490689832,490689631,0,Walter Görlitz,User talk:Hisilly,secure not needed
2012-04-22T18:26:02+00:00,488686881,488421029,0,74.72.109.16,Roger Clemens,/* Houston Astros (2004–06) */
2012-04-06T00:57:53+00:00,485814086,485814002,0,Eeekster,Billy Graham,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/Teamkatniss|Teamkatniss]] ([[User talk:Teamkatniss|talk]]) to last version by 69.181.97.105
2012-03-16T07:04:13+00:00,482156417,481062730,0,69.181.97.105,Billy Graham,/* Civil Rights Movement and Anti-Segregation */ weasel words
2012-04-23T00:51:45+00:00,488739637,488739619,0,ClueBot NG,Dan Marino,"Reverting possible vandalism by [[Special:Contributions/70.100.160.68|70.100.160.68]] to version by STP43FAN. False positive? [[User:ClueBot NG/FalsePositives|Report it]]. Thanks, [[User:ClueBot NG|ClueBot NG]]. (1027540) (Bot)"
2012-04-25T21:09:53+00:00,489217032,489215451,0,Discospinster,Billy Graham,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/Danlefevre89|Danlefevre89]] ([[User talk:Danlefevre89|talk]]) to last version by ClueBot NG
2012-03-18T06:02:54+00:00,482494366,482004313,0,75.167.173.228,Roger Clemens,
2012-04-06T20:27:05+00:00,485965893,484818952,0,All Hallow's Wraith,Dan Marino,/* Early years */ added
2012-05-02T01:36:16+00:00,490226671,489670602,0,137.52.177.19,Dan Marino,/* Career stats */ only quarterback to throw 6 touchdowns and not win the game 1986 jets vs dolphins
2012-04-25T22:04:33+00:00,489224432,489224337,0,Excirial,Dan Marino,Reverted edits by [[Special:Contributions/97.102.66.185|97.102.66.185]] ([[User talk:97.102.66.185|talk]]) to last revision by ClueBot NG ([[WP:HG|HG]])
2012-04-24T21:05:55+00:00,489050055,489049702,0,Widefox,Troy Aikman,Reverted edits by [[Special:Contributions/184.187.133.103|184.187.133.103]] to last version by 71.21.184.84 ([[User:Ale_jrb/Scripts/igloo|GLOO]])
2012-04-14T01:18:39+00:00,487266181,486466184,0,FrescoBot,Roger Clemens,Bot: [[User:FrescoBot/Links|link syntax/spacing]] and minor changes
2012-03-12T07:09:09+00:00,481476254,480277770,0,71.21.184.84,Troy Aikman,/* Personal life */
2012-03-30T03:58:09+00:00,484644581,484593541,0,Lotje,Roger Clemens,"Filling in 12 references using [[WP:REFLINKS|Reflinks]], see also section"
