timestamp,revid,parentid,sock,user,page,message
2010-09-09T01:59:00+00:00,383753924,383670959,1,Holdenmcrutch,Bluetooth,
2010-09-08T05:58:40+00:00,383592420,383433695,1,Holdenmcrutch,Oil,/* Mineral oil */
2010-09-07T06:14:57+00:00,383401809,380523470,1,Holdenmcrutch,Far Cry 2,wwww.farcrygame.com
2010-09-07T06:12:50+00:00,383401638,376204133,1,Holdenmcrutch,Pinafore,[[WP:AES|←]]Replaced content with '<big>Your a Pinny</big><big><big>Big text</big><big>Big text</big></big>'
2010-09-07T06:11:46+00:00,383401528,383257134,1,Holdenmcrutch,Hack,"[[WP:AES|←]]Replaced content with 'This page has been protected from the public eye, so that no one knows what a hacker is. enjoy your day'"
2010-09-07T06:09:45+00:00,383401327,383330923,1,Holdenmcrutch,The Elder Scrolls IV: Oblivion,/* Gameplay */
2010-09-06T08:35:55+00:00,383213386,382788594,1,Holdenmcrutch,Cmd.exe,/* Technical information */
2010-09-06T06:09:39+00:00,383200146,383199949,1,Holdenmcrutch,Batch file,/* Filename extensions */
2010-09-06T06:07:23+00:00,383199949,383199312,1,Holdenmcrutch,Batch file,/* Early Windows */
2010-09-06T06:00:41+00:00,383199312,383039052,1,Holdenmcrutch,Batch file,
2010-10-20T02:29:04+00:00,391763695,391763661,1,Holdenmcrutch4,User talk:Holdenmcrutch4,
2010-10-20T02:28:40+00:00,391763661,391612669,1,Holdenmcrutch4,User talk:Holdenmcrutch4,
2010-10-19T08:16:43+00:00,391604859,391565899,1,Holdenmcrutch4,User talk:Holdenmcrutch4,
2010-09-06T16:23:20+00:00,383271948,383271821,0,TomBrown16,Batch file,/* Example */
2010-09-22T17:49:03+00:00,386362092,386361710,0,129.110.5.92,Batch file,/* Advanced Batch Example - Conditional Shutdown */
2010-09-07T06:14:33+00:00,383401776,383401715,0,Confession0791,Pinafore,Undid revision 383401715 by [[Special:Contributions/Confession0791|Confession0791]] ([[User talk:Confession0791|talk]]) edit conflict
2010-09-10T14:20:13+00:00,384025339,383969303,0,Eik Corell,Cmd.exe,Revert per [[WP:SPAM]]
2010-09-15T20:45:33+00:00,385044381,385041095,0,Chaheel Riens,Batch file,"I'll [[wp:agf|assume good faith]] here, but they're not helpful edits."
2010-10-03T20:33:05+00:00,388534481,388476559,0,Zarex,The Elder Scrolls IV: Oblivion,
2010-09-07T06:16:43+00:00,383402000,383401809,0,WookieInHeat,Far Cry 2,Reverted edits by [[Special:Contributions/Holdenmcrutch|Holdenmcrutch]] ([[User talk:Holdenmcrutch|talk]]) to last revision by Falcon9x5 ([[WP:HG|HG]])
2010-10-12T01:50:36+00:00,390187010,390170272,0,MonoAV,Oil,Undid unhelpful edit by [[Special:Contributions/75.74.32.35|75.74.32.35]]
2010-09-09T05:05:17+00:00,383776425,383774964,0,WookieInHeat,Bluetooth,Reverted edits by [[Special:Contributions/64.254.184.32|64.254.184.32]] ([[User talk:64.254.184.32|talk]]) to last revision by Imroy ([[WP:HG|HG]])
2010-09-22T14:10:26+00:00,386319027,385660472,0,78.23.129.43,Far Cry 2,/* Plot */
2010-09-27T12:47:34+00:00,387306762,387294993,0,Michaeldsuarez,The Elder Scrolls IV: Oblivion,"Reverting -- They're not interchangeable terms. The GOTY edition is a certain edition of the game, and it comes with the extensions, while the Normal version doesn't."
2010-10-03T06:58:47+00:00,388425174,388424949,0,Stephen Poppitt,Batch file,/* External links */
2010-09-30T11:43:44+00:00,387898168,387898161,0,DASHBotAV,Oil,Reverting edits identified as [[WP:VAND|vandalism]]. ([[User:DASHBot/Anti-Vandalism|settings/false-positives]])
2010-09-14T08:51:11+00:00,384749699,383401566,0,PhilKnight,Hack,trim
2010-10-05T20:29:05+00:00,388956647,388956491,0,Markiewp,Hack,per the guidelines
2010-10-13T07:31:57+00:00,390456373,388425174,0,66.92.3.226,Batch file,/* OS/2 */ -- fixing glyph typo
2010-09-08T13:14:56+00:00,383639316,383638919,0,193.108.42.5,Bluetooth,/* SDP (Service Discovery Protocol) */
2010-09-06T11:18:57+00:00,383229714,383213386,0,Tedickey,Cmd.exe,Undid revision 383213386 by [[Special:Contributions/Holdenmcrutch|Holdenmcrutch]] ([[User talk:Holdenmcrutch|talk]])
2010-08-23T16:20:51+00:00,380523470,377547715,0,RainBowAndArrow,Far Cry 2,"cero, usk ratings nn"
2010-09-21T17:58:31+00:00,386140931,384749699,0,Marco Perticarini,Hack,+ [[Margherita Hack]]
2010-09-11T16:20:14+00:00,384219044,384160895,0,92.14.109.161,Far Cry 2,/* Weapons */
2010-09-27T02:37:33+00:00,387239623,387231077,0,Macedonian,Oil,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/98.197.255.58|98.197.255.58]] ([[User talk:98.197.255.58|talk]]) to last version by Reconsider the static
2010-10-01T20:44:34+00:00,388162440,388162428,0,Wayne Slam,Oil,Reverted edits by [[Special:Contributions/201.200.251.50|201.200.251.50]] ([[User talk:201.200.251.50|talk]]) to last revision by NHRHS2010 ([[WP:HG|HG]])
2010-09-28T18:34:26+00:00,387577584,387576680,0,Vrenator,Oil,Reverted edits by [[Special:Contributions/216.56.34.18|216.56.34.18]] ([[User talk:216.56.34.18|talk]]) to last revision by A Macedonian ([[WP:HG|HG]])
2010-09-21T14:01:22+00:00,386106914,386106871,0,DARTH SIDIOUS 2,Oil,Reverted edits by [[Special:Contributions/204.185.1.253|204.185.1.253]] ([[User talk:204.185.1.253|talk]]) to last revision by ClueBot ([[WP:HG|HG]])
2010-09-17T20:37:39+00:00,385420863,385369531,0,Pemilligan,The Elder Scrolls IV: Oblivion,/* Gameplay */ replaced the dead link
