timestamp,revid,parentid,sock,user,page,message
2018-09-22T08:18:56+00:00,860671850,857230897,1,Hymnodist.2004,Narellan Anglican Church,/* History */Added link
2018-09-22T08:13:50+00:00,860670833,860670779,1,Hymnodist.2004,John Bunyan (disambiguation),
2018-09-22T08:13:13+00:00,860670779,0,1,Hymnodist.2004,John Bunyan (disambiguation),"[[WP:AES|←]]Created page with 'John Bunyan may refer to:  *[[John Bunyan]], 17th-century English writer and preacher *[[John Bunyan (sportsperson)]], dual player from [[County Kerry]] *Revd...'"
2018-09-22T08:10:48+00:00,860670522,859837796,1,Hymnodist.2004,John Bunyan,
2018-09-22T08:03:20+00:00,860669705,853599461,1,Hymnodist.2004,Louisa Lawson,corrected the birth name in the infobox (previously it erroneously had her married name as her birth name)
2018-09-22T05:46:20+00:00,860657944,858070926,1,Hymnodist.2004,Draco Malfoy,/* Character development */ replaced incorrect original research tag with a source to the content in question
2018-09-21T13:32:38+00:00,860555293,0,1,Hymnodist.2004,User talk:Skiswife,"[[WP:AES|←]]Created page with '== Edit to “Tart” dated February 2016 ==  Hi, I’m [[User:Hymnodist.2004|Hymnodist.2004]]. I’m just letting you know I undid one of your edits to Tart (...'"
2018-09-21T04:41:39+00:00,860512298,811419106,1,Hymnodist.2004,Chee Soo,
2018-09-21T04:27:18+00:00,860511186,860510907,1,Hymnodist.2004,Tart (disambiguation),/* People */ removed entry which amounted to an obvious personal attack on an individual real or fictitious young woman
2018-09-21T04:24:40+00:00,860510907,860425821,1,Hymnodist.2004,Tart (disambiguation),Undid revision 860425821 by [[Special:Contributions/128.243.74.2|128.243.74.2]] ([[User talk:128.243.74.2|talk]]) NPOV violation
2018-09-21T02:36:30+00:00,860500270,859077203,1,Hymnodist.2004,Harry Potter and the Goblet of Fire,"/* Plot summary */ added citation needed tag (the book refers to the tournament of 1792 which was indeed 202 years before the events of the book take place; but nowhere does the book say that this was the most recent tournament, the book mentions only that the last tournament was over a century ago, so it is entirely possible that a tournament was held in, for example, the late nineteenth century; we just don’t know, it isn’t specified)"
2018-09-21T01:58:39+00:00,860496324,860367113,1,Hymnodist.2004,Pamela (name),/* Given name */ removed red link
2018-09-20T05:11:40+00:00,860367113,854590457,1,Hymnodist.2004,Pamela (name),/* Fictional characters */ fixed typo and added content
2018-09-13T11:33:14+00:00,859339967,858422467,1,Hymnodist.2004,"Beans, Beans, the Musical Fruit",/* Lyrics */ revert unconstructive edit (possibly good faith)
2018-07-30T13:20:22+00:00,852652575,852579708,1,Hymnodist.2004,User talk:Celia Homeford,/* Why the revert? */ new section
2018-07-30T13:18:51+00:00,852652369,851891999,1,Hymnodist.2004,Mouni,Undid revision 851891999 by [[Special:Contributions/Celia Homeford|Celia Homeford]] ([[User talk:Celia Homeford|talk]]) undid the last revert for which no justification was given
2018-07-30T13:03:12+00:00,852650437,849867666,1,Hymnodist.2004,White pride,
2018-07-29T12:48:00+00:00,852504364,0,1,Hymnodist.2004,Elizabeth Cosnett,[[WP:AES|←]]Created page with '{{Infobox writer <!-- For more information see [[:Template:Infobox Writer/doc]]. -->  | birth_name    = Elizabeth Joan Cosnett | birth_date    = {{birth date and...'
2018-07-28T15:44:40+00:00,852379359,0,1,Hymnodist.2004,Matthew Bridges,[[WP:AES|←]]Created page with 'Matthew Bridges (1800-94) was a [[hymnodist]]'
2018-07-28T15:31:08+00:00,852377921,0,1,Hymnodist.2004,Arfon (hymn tune),[[WP:AES|←]]Created page with ''''Arfon''' is a traditional Welsh hymn tune which exists with major and minor variants.<ref>{{Cite web |url=https://hymnary.org/tune/arfon_major|title= ARFON (M...'
2018-07-28T14:54:48+00:00,852374114,0,1,Hymnodist.2004,Talk:Geoffrey Shaw (composer),Hymnodist.2004 moved page [[Talk:Geoffrey Shaw (composer)]] to [[Talk:Geoffrey Turton Shaw]]: Geoffrey Turton Shaw is his commonly credited name
2018-07-28T14:54:48+00:00,852374113,805107093,1,Hymnodist.2004,Talk:Geoffrey Turton Shaw,Hymnodist.2004 moved page [[Talk:Geoffrey Shaw (composer)]] to [[Talk:Geoffrey Turton Shaw]]: Geoffrey Turton Shaw is his commonly credited name
2018-07-28T14:54:47+00:00,852374111,0,1,Hymnodist.2004,Geoffrey Shaw (composer),Hymnodist.2004 moved page [[Geoffrey Shaw (composer)]] to [[Geoffrey Turton Shaw]]: Geoffrey Turton Shaw is his commonly credited name
2018-07-28T14:54:46+00:00,852374110,826738293,1,Hymnodist.2004,Geoffrey Turton Shaw,Hymnodist.2004 moved page [[Geoffrey Shaw (composer)]] to [[Geoffrey Turton Shaw]]: Geoffrey Turton Shaw is his commonly credited name
2018-07-28T13:14:25+00:00,852364148,0,1,Hymnodist.2004,England's Lane (hymn tune),[[WP:AES|←]]Created page with 'England’s Lane is a hymn tune by [[Geoffrey Shaw]].'
2018-07-28T13:13:01+00:00,852363991,852363812,1,Hymnodist.2004,England's Lane,
2018-07-28T13:10:56+00:00,852363812,852363389,1,Hymnodist.2004,England's Lane,[[WP:AES|←]]Removed redirect to [[England's Lane (Peter Sarstedt song)]]
2018-07-28T13:06:59+00:00,852363391,0,1,Hymnodist.2004,Talk:England's Lane,Hymnodist.2004 moved page [[Talk:England's Lane]] to [[Talk:England's Lane (Peter Sarstedt song)]]: Disambiguation page necessary
2018-07-28T13:06:58+00:00,852363390,766347093,1,Hymnodist.2004,Talk:England's Lane (Peter Sarstedt album),Hymnodist.2004 moved page [[Talk:England's Lane]] to [[Talk:England's Lane (Peter Sarstedt song)]]: Disambiguation page necessary
2018-07-28T13:06:58+00:00,852363389,0,1,Hymnodist.2004,England's Lane,Hymnodist.2004 moved page [[England's Lane]] to [[England's Lane (Peter Sarstedt song)]]: Disambiguation page necessary
2018-07-28T13:06:58+00:00,852363387,842066350,1,Hymnodist.2004,England's Lane (Peter Sarstedt album),Hymnodist.2004 moved page [[England's Lane]] to [[England's Lane (Peter Sarstedt song)]]: Disambiguation page necessary
2018-07-28T11:28:14+00:00,852354953,0,1,Hymnodist.2004,Lucerna Laudoniæ,"[[WP:AES|←]]Created page with ''''Lucerna Laudoniæ''' is a hymn tune by [[David Evans (composer)|David Evans (""E.Arthur"")]] [1874–1948], commonly used for the text For the beauty of the e...'"
2018-07-27T13:31:46+00:00,852227836,851246130,1,Hymnodist.2004,Tony Abbott,"Updated the cover photo to something more up-to-date (feel free to revert if this isn’t a good edit, it’s meant in good faith)"
2018-07-27T13:29:26+00:00,852227517,852145005,1,Hymnodist.2004,Julia Gillard,"Updated cover picture to something more up-to-date (feel free to revert if this isn’t a good edit, it’s meant in good faith)"
2018-07-25T07:10:00+00:00,851889785,851887809,1,Hymnodist.2004,User talk:101.164.233.42,/* Barnaby Joyce */ new section
2018-07-25T07:08:11+00:00,851889612,851889290,1,Hymnodist.2004,Barnaby Joyce,"Reverted the last two edits, both of which were vandalism (one was vulgar about the affair, and one changed the date of birth to make Barnaby older than he actually is)"
2018-07-12T03:50:25+00:00,849894159,849894129,1,Hymnodist.2004,User talk:Hymnodist.2004,/* Nomination of Alana Mansour for deletion */
2018-07-12T03:50:06+00:00,849894129,849815100,1,Hymnodist.2004,User talk:Hymnodist.2004,/* Nomination of Alana Mansour for deletion */
2018-07-11T14:34:05+00:00,849813263,849812259,1,Hymnodist.2004,Go Topless Day,Undid revision 849812259 by [[Special:Contributions/Hymnodist.2004|Hymnodist.2004]] ([[User talk:Hymnodist.2004|talk]]) Found further evidence of notability since adding the tag in my previous edit (looked at first like one of hundreds of thousands of political protests but seems to go deeper than that)
2018-07-11T14:32:23+00:00,849813071,849400870,1,Hymnodist.2004,Talk:1994,/* Starting pistol incident */
2018-07-11T14:24:31+00:00,849812259,840105534,1,Hymnodist.2004,Go Topless Day,
2018-07-11T14:20:39+00:00,849811880,849811317,1,Hymnodist.2004,User talk:Hymnodist.2004,/* July 2018 */
2018-07-11T14:15:25+00:00,849811317,849811213,1,Hymnodist.2004,User talk:Hymnodist.2004,/* July 2018 */
2018-07-11T14:14:35+00:00,849811213,849807364,1,Hymnodist.2004,User talk:Hymnodist.2004,/* July 2018 */
2018-07-11T13:09:02+00:00,849803916,846710075,1,Hymnodist.2004,Easter Monday,/* National Observances */
2018-07-11T12:44:48+00:00,849801392,849783020,1,Hymnodist.2004,User talk:Hymnodist.2004,/* Proposed deletion of Alana Mansour */
2018-07-11T12:40:47+00:00,849801016,849771356,1,Hymnodist.2004,2000 in Australia,/* November */ improved link
2018-07-09T09:09:42+00:00,849479890,849470572,1,Hymnodist.2004,2008 in Australia,/* March */Updated this page about Australia to use Australian language (“speaking clock” is British vernacular; Australians refer to this feature as the “time man”)
