timestamp,revid,parentid,sock,user,page,message
2016-09-06T08:40:17+00:00,737995043,737994790,1,IamTheLegend,Restorative justice,
2016-09-06T08:37:06+00:00,737994773,737994671,1,IamTheLegend,Restorative justice,
2016-09-06T08:35:56+00:00,737994671,737994635,1,IamTheLegend,Restorative justice,
2016-09-06T08:35:13+00:00,737994618,737994483,1,IamTheLegend,Restorative justice,[[WP:AES|←]]Replaced content with 'Restorative Justice is no good! Aadil smokes weed like there is no tomorrow'
2016-09-06T08:33:38+00:00,737994483,737994444,1,IamTheLegend,Restorative justice,
2016-09-06T08:33:10+00:00,737994444,737994073,1,IamTheLegend,Restorative justice,
2016-09-06T08:25:50+00:00,737993880,737993837,1,IamTheLegend,Restorative justice,
2016-09-06T08:53:18+00:00,737996119,737996064,1,IamTheLegend2169,Restorative justice,
2016-09-06T09:15:19+00:00,737997925,737996484,1,Susdg,Restorative justice,
2016-09-06T08:55:14+00:00,737996245,737996150,1,Susdg,Restorative justice,
2016-09-06T08:52:40+00:00,737996064,737995941,1,Susdg,Restorative justice,
2016-09-06T08:50:53+00:00,737995901,737995725,1,Susdg,Restorative justice,
2016-09-06T08:47:58+00:00,737995693,737995192,1,Susdg,Restorative justice,
2016-09-06T08:28:11+00:00,737994073,737994027,1,Susdg,Restorative justice,
2016-09-06T08:27:31+00:00,737994027,737993940,1,Susdg,Restorative justice,
2016-09-06T08:26:36+00:00,737993940,737993884,1,Susdg,Restorative justice,
2016-09-06T08:25:18+00:00,737993837,736444477,1,Susdg,Restorative justice,
2016-09-06T08:42:03+00:00,737995192,737995043,0,Jim1138,Restorative justice,rv vand
2016-09-06T08:58:01+00:00,737996484,737996245,0,Murph9000,Restorative justice,Reverted 1 edit by [[Special:Contributions/Susdg|Susdg]] ([[User talk:Susdg|talk]]) to last revision by IdreamofJeanie. ([[WP:TW|TW]])
2016-09-06T08:51:19+00:00,737995941,737995901,0,Murph9000,Restorative justice,Reverted 1 edit by [[Special:Contributions/Susdg|Susdg]] ([[User talk:Susdg|talk]]) to last revision by Murph9000. ([[WP:TW|TW]])
2016-09-06T08:37:15+00:00,737994790,737994773,0,Jim1138,Restorative justice,rv more vand
2016-09-06T08:25:52+00:00,737993884,737993880,0,ClueBot NG,Restorative justice,"Reverting possible vandalism by [[Special:Contribs/IamTheLegend|IamTheLegend]] to version by Susdg. [[WP:CBFP|Report False Positive?]] Thanks, [[WP:CBNG|ClueBot NG]]. (2748597) (Bot)"
2016-09-06T08:53:39+00:00,737996150,737996126,0,IdreamofJeanie,Restorative justice,Undid revision 737996064 by [[Special:Contributions/Susdg|Susdg]] ([[User talk:Susdg|talk]])was better
