timestamp,revid,parentid,sock,user,page,message
2015-01-30T09:22:39+00:00,644823343,644819899,1,Vinay_singer,User talk:Vinay singer,
2015-01-30T03:45:28+00:00,644796515,636681565,1,Vinay_singer,Vinay,
2015-01-30T03:42:08+00:00,644796126,644795889,1,Vinay_singer,User talk:Vinay singer,
2015-01-30T03:40:12+00:00,644795889,644678733,1,Vinay_singer,User talk:Vinay singer,
2015-01-22T04:39:58+00:00,643623328,638531811,1,Yoyovinay,Rahul Vaidya,[[WP:AES|←]]Replaced content with 'rfdohihfd df;hfs ilshfd'
2015-01-19T07:46:42+00:00,643172221,0,1,Yoyovinay,User:Yoyovinay,[[WP:AES|←]]Created page with 'gg'
2015-01-12T09:23:33+00:00,642133227,0,1,Yoyovinay,User:Yoyovinay/sandbox,[[WP:AES|←]]Created page with '<gallery> http://2.bp.blogspot.com/-zKhObg-EbTs/VLOKt5S5HPI/AAAAAAAACJw/1R5dZ6LDgIU/s1600/10885054_638307506275898_7890343462780475045_n.jpg|Caption1 Example.jpg...'
2014-12-04T23:50:15+00:00,636681565,628755592,0,14.97.201.16,Vinay,
2015-01-22T04:40:01+00:00,643623333,643623328,0,ClueBot NG,Rahul Vaidya,"Reverting possible vandalism by [[Special:Contributions/Yoyovinay|Yoyovinay]] to version by Sitush. False positive? [[User:ClueBot NG/FalsePositives|Report it]]. Thanks, [[User:ClueBot NG|ClueBot NG]]. (2097694) (Bot)"
2014-11-04T05:02:21+00:00,632379238,621948117,0,180.234.100.70,Rahul Vaidya,
2014-12-17T18:53:05+00:00,638531811,632379238,0,Sitush,Rahul Vaidya,removed [[Category:Indian Hindus]] using [[WP:HC|HotCat]] - [[WP:BLPCAT]]; [[WP:INDICSCRIPT]]
