timestamp,revid,parentid,sock,user,page,message
2021-09-20T11:58:39+00:00,1045402198,1020334662,1,Izukumidoriya1227,User talk:Izukumidoriya1227,
2021-04-28T02:25:43+00:00,1020253510,1020141672,1,Izukumidoriya1227,Hihintayin Kita sa Langit,/* Digitally restored version */
2021-04-28T02:20:38+00:00,1020252709,1020164788,1,Izukumidoriya1227,Nunal sa Tubig,/* Plot */
2021-04-27T03:41:18+00:00,1020092500,1020092339,1,Izukumidoriya1227,May Minamahal (film),/* Premise */
2021-04-27T03:40:09+00:00,1020092339,1019994047,1,Izukumidoriya1227,May Minamahal (film),/* Premise */
2021-04-27T03:32:09+00:00,1020091318,1020089433,1,Izukumidoriya1227,Hihintayin Kita sa Langit,To be replaced with a longer and detailed plot.
2021-04-27T03:25:54+00:00,1020090514,1018255309,1,Izukumidoriya1227,Nunal sa Tubig,/* Digital restoration */
2021-04-27T03:16:29+00:00,1020089433,1018940318,1,Izukumidoriya1227,Hihintayin Kita sa Langit,/* Digitally restored version */
2021-04-27T03:12:25+00:00,1020088981,1019994322,1,Izukumidoriya1227,Misteryo sa Tuwa,/* Digital restoration */
2021-04-27T03:05:36+00:00,1020088180,1016817388,1,Izukumidoriya1227,The Captive Virgins,/* Digital restoration */
2021-04-27T02:14:35+00:00,1020080473,1018405637,1,Izukumidoriya1227,List of Bubble Gang recurring characters and sketches,
2021-04-26T05:00:30+00:00,1019921763,1018813285,1,Izukumidoriya1227,ABS-CBN Film Restoration Project,/* List of notable films restored */
2021-04-26T00:56:16+00:00,1019892222,1019890561,1,Izukumidoriya1227,Misteryo sa Tuwa,
2021-04-26T00:42:59+00:00,1019890561,1013821974,1,Izukumidoriya1227,Misteryo sa Tuwa,/* Digital restoration */
2021-04-23T03:38:30+00:00,1019401074,1019296215,1,Izukumidoriya1227,Hintayan ng Langit,
2021-04-17T10:58:08+00:00,1018310185,1017937375,1,Izukumidoriya1227,Christopher de Leon,/* Filmography */
2021-04-16T05:45:13+00:00,1018084153,1016813873,1,Izukumidoriya1227,May Minamahal (film),Adding the whole plot of the film which is not yet finished as well as the cast.
2021-04-16T04:58:56+00:00,1018079419,1017787911,1,Izukumidoriya1227,Of the Flesh,/* Restoration */
2021-04-05T05:27:56+00:00,1016062452,1005341493,1,Izukumidoriya1227,Jose Javier Reyes,/* Television */
2021-04-04T12:38:07+00:00,1015934766,1013382527,1,Izukumidoriya1227,Edgar Mortiz,
2021-03-29T02:05:21+00:00,1014785823,1014710833,1,Izukumidoriya1227,Chika Anzai,
2021-03-28T06:07:45+00:00,1014629634,1014629567,1,Izukumidoriya1227,Japanese in the Philippines,/* Notable people */
2021-03-28T06:07:05+00:00,1014629567,1011686235,1,Izukumidoriya1227,Japanese in the Philippines,/* Notable people */
2021-03-28T01:50:40+00:00,1014604145,1013543637,1,Izukumidoriya1227,May Minamahal (film),/* May Minamahal (film) */
2021-03-26T06:14:52+00:00,1014284950,995484088,1,Izukumidoriya1227,Nunal sa Tubig,/* Release dates */
2021-03-26T06:13:29+00:00,1014284824,1014119113,1,Izukumidoriya1227,Hintayan ng Langit,/* Overseas release */
2021-03-26T04:39:29+00:00,1014277025,1013852028,1,Izukumidoriya1227,List of fictional non-binary characters,/* Anime and animation */
2021-03-26T00:22:45+00:00,1014246683,1010729489,1,Izukumidoriya1227,Antoinette Jadaone,
2021-03-25T08:37:36+00:00,1014119113,1014118919,1,Izukumidoriya1227,Hintayan ng Langit,/* Production */
2021-03-25T08:35:08+00:00,1014118919,1014118514,1,Izukumidoriya1227,Hintayan ng Langit,/* Production */
2021-03-25T08:30:28+00:00,1014118514,0,1,Izukumidoriya1227,Hintayan ng Langit,[[WP:AES|←]]Created page with '{{short description|A 2018 drama film directed by Dan Villegas from a screenplay by Juan Miguel Severo}} {{Use dmy dates|date=December 2019}} {{Infobox film | na...'
2021-03-25T06:21:39+00:00,1014107366,1012492332,1,Izukumidoriya1227,Eddie Garcia filmography,/* 2010s */
2021-03-24T01:36:20+00:00,1013896649,1013407744,1,Izukumidoriya1227,McDonald's Philippines,
2021-03-23T13:59:12+00:00,1013793975,1013408932,1,Izukumidoriya1227,Tanging Yaman,/* Home media and television broadcast */
2021-03-21T13:47:40+00:00,1013408932,1013408563,1,Izukumidoriya1227,Tanging Yaman,/* Production */
2021-03-21T13:45:21+00:00,1013408563,1013408320,1,Izukumidoriya1227,Tanging Yaman,/* Pre-production */
2021-03-21T13:43:53+00:00,1013408320,1011247541,1,Izukumidoriya1227,Tanging Yaman,
2021-03-21T13:39:48+00:00,1013407744,1012067500,1,Izukumidoriya1227,McDonald's Philippines,Undid revision 1012067500 by [[Special:Contributions/221.254.85.24|221.254.85.24]] ([[User talk:221.254.85.24|talk]])
2021-03-17T10:19:49+00:00,1012613076,1011868403,1,Izukumidoriya1227,ABS-CBN Film Restoration Project,/* List of notable films restored */
2021-03-17T02:32:14+00:00,1012569059,997097539,1,Izukumidoriya1227,Ikaw Pa Lang ang Minahal,/* References */
2021-03-17T02:26:12+00:00,1012568331,1003716225,1,Izukumidoriya1227,Renato de Villa,/* Personal life */
2021-03-17T02:22:22+00:00,1012567851,1011084816,1,Izukumidoriya1227,Maalaala Mo Kaya season 27,/* Episodes */
2021-03-17T02:05:35+00:00,1012565758,944511874,1,Izukumidoriya1227,Don Michael Perez,
2021-03-17T01:58:37+00:00,1012564678,1012564221,1,Izukumidoriya1227,Nagalit ang Buwan sa Haba ng Gabi,
2021-03-17T01:54:46+00:00,1012564221,1012558367,1,Izukumidoriya1227,Nagalit ang Buwan sa Haba ng Gabi,
2021-03-17T01:06:00+00:00,1012558367,1012556984,1,Izukumidoriya1227,Nagalit ang Buwan sa Haba ng Gabi,/* Remake */
2021-03-17T00:55:01+00:00,1012556984,1012556322,1,Izukumidoriya1227,Nagalit ang Buwan sa Haba ng Gabi,/* Remake */
2021-03-17T00:48:50+00:00,1012556322,1012553093,1,Izukumidoriya1227,Nagalit ang Buwan sa Haba ng Gabi,
2021-03-17T00:27:04+00:00,1012553093,995483776,1,Izukumidoriya1227,Nagalit ang Buwan sa Haba ng Gabi,
2021-03-15T00:08:15+00:00,1012170516,1010717984,1,Izukumidoriya1227,Rez Cortez,/* Filmography */
2021-03-12T14:16:39+00:00,1011729178,1009910375,1,Izukumidoriya1227,Ganito Kami Noon... Paano Kayo Ngayon?,/* Digital restoration */
2021-03-12T13:33:44+00:00,1011723392,1011487801,1,Izukumidoriya1227,ABS-CBN Film Restoration Project,/* List of notable films restored */
2021-03-11T04:25:39+00:00,1011487801,1010426879,1,Izukumidoriya1227,ABS-CBN Film Restoration Project,"Adding the ""video restoration facilities"" part. Under progress."
2021-03-08T23:41:08+00:00,1011090665,1004721858,1,Izukumidoriya1227,Lilia Dizon,
2021-03-08T08:34:45+00:00,1010966384,1008383168,1,Izukumidoriya1227,Cartoon Network (Philippine TV channel),Duplicated warning.
2021-03-07T09:32:19+00:00,1010786024,1008654343,1,Izukumidoriya1227,The Captive Virgins,
2021-03-06T06:48:41+00:00,1010586080,1010584368,1,Izukumidoriya1227,McDonald's Philippines,
2021-03-06T06:31:56+00:00,1010584368,1010580823,1,Izukumidoriya1227,McDonald's Philippines,
2021-03-05T15:59:30+00:00,1010460346,1009199311,1,Izukumidoriya1227,Cathy Garcia-Sampana,/* Cathy Garcia-Molina */
2021-03-05T02:37:50+00:00,1010361606,991077896,1,Izukumidoriya1227,Gina Marissa Tagasa-Gil,
2021-03-05T02:23:08+00:00,1010359142,1010358928,1,Izukumidoriya1227,McDonald's Philippines,
2021-03-05T02:21:23+00:00,1010358928,1010358628,1,Izukumidoriya1227,McDonald's Philippines,
2021-03-05T02:18:56+00:00,1010358628,1010122598,1,Izukumidoriya1227,McDonald's Philippines,
2021-03-03T22:24:42+00:00,1010122598,1010002892,1,Izukumidoriya1227,McDonald's Philippines,/* McDonald's Philippines */
2021-03-03T09:54:23+00:00,1010002892,1009999644,1,Izukumidoriya1227,McDonald's Philippines,/* Entry and expansion */
2021-03-03T09:26:30+00:00,1009999644,1009255194,1,Izukumidoriya1227,McDonald's Philippines,/* Entry and expansion */
2021-03-03T03:08:26+00:00,1009953877,1009725544,1,Izukumidoriya1227,Minsa'y Isang Gamu-gamo,Leopoldo Salcedo was not part of the film's cast.
2021-03-02T00:46:36+00:00,1009725544,993326851,1,Izukumidoriya1227,Minsa'y Isang Gamu-gamo,/* Television broadcast */
2021-02-27T23:57:21+00:00,1009321676,1007499654,1,Izukumidoriya1227,Mila (2001 film),/* Premise */
2021-02-25T06:32:03+00:00,1008823123,1006135933,1,Izukumidoriya1227,List of Yakitate!! Japan characters,/* Main characters */
2021-02-24T13:42:05+00:00,1008673632,992614285,1,Izukumidoriya1227,Hihintayin Kita sa Langit,/* Release */
2021-02-24T11:05:57+00:00,1008654343,984799683,1,Izukumidoriya1227,The Captive Virgins,/* Release */
2021-02-23T13:30:33+00:00,1008470559,1008467930,1,Izukumidoriya1227,7-Eleven,/* Philippines */
2021-02-23T13:10:05+00:00,1008467930,1008419134,1,Izukumidoriya1227,7-Eleven,/* Philippines */
2021-02-20T09:15:08+00:00,1007864534,986012776,1,Izukumidoriya1227,Taki Saito,/* Personal life */
2021-02-17T12:11:11+00:00,1007305235,1005342278,1,Izukumidoriya1227,Japanese in the Philippines,
2021-02-16T14:34:10+00:00,1007109409,1007107638,1,Izukumidoriya1227,"Paglaki Ko, Gusto Kong Maging Pornstar","/* Paglaki Ko, Gusto Kong Maging Pornstar */ Fixed typo"
2021-02-16T14:23:02+00:00,1007107638,1006322951,1,Izukumidoriya1227,"Paglaki Ko, Gusto Kong Maging Pornstar",/* Production and release */
2021-02-16T04:09:00+00:00,1007037711,1001216754,1,Izukumidoriya1227,Lawson (store),/* The Philippines */
2021-02-16T03:50:49+00:00,1007035633,1001017700,1,Izukumidoriya1227,Yoshinoya,/* Locations */
2021-02-16T02:44:18+00:00,1007028456,1007004344,1,Izukumidoriya1227,Shutdown of ABS-CBN broadcasting,/* House of Representatives votes on the franchise renewal */
2021-02-15T23:19:06+00:00,1006998783,990158244,1,Izukumidoriya1227,Experimental Cinema of the Philippines,/* Filmography[5] */
2021-02-15T00:16:09+00:00,1006822345,999797317,1,Izukumidoriya1227,May Minamahal (film),
2021-02-11T05:23:21+00:00,1006125735,997290290,1,Izukumidoriya1227,List of ambassadors of Japan to the Philippines,/* List of ambassadors */
2021-02-09T10:50:17+00:00,1005778880,1005746249,1,Izukumidoriya1227,Sana Maulit Muli (film),/* Home media and television broadcast */
2021-02-09T06:22:06+00:00,1005746249,992305986,1,Izukumidoriya1227,Sana Maulit Muli (film),
2021-02-08T00:10:32+00:00,1005500497,1005439517,1,Izukumidoriya1227,Cartoon Network (Philippine TV channel),
2021-02-07T12:58:30+00:00,1005393625,1005353397,1,Izukumidoriya1227,Cartoon Network (Philippine TV channel),
2021-02-07T06:49:43+00:00,1005353397,1005351545,1,Izukumidoriya1227,Cartoon Network (Philippine TV channel),/* Block on TV5 */
2021-02-07T06:31:08+00:00,1005351545,1005005348,1,Izukumidoriya1227,Cartoon Network (Philippine TV channel),/* History */
2021-02-04T14:18:14+00:00,1004808882,1004805343,1,Izukumidoriya1227,Cartoon Network (Philippine TV channel),/* HD channel */
2021-02-04T13:54:21+00:00,1004805343,999932234,1,Izukumidoriya1227,Cartoon Network (Philippine TV channel),
2021-02-03T13:33:15+00:00,1004609744,1004607928,1,Izukumidoriya1227,The House Arrest of Us,/* Cast */
2021-02-03T13:18:35+00:00,1004607928,1004361679,1,Izukumidoriya1227,The House Arrest of Us,/* The House Arrest of Us */
2021-02-02T09:59:42+00:00,1004382915,992697011,1,Izukumidoriya1227,Nestor de Villa,/* TV shows */
2021-02-02T09:57:10+00:00,1004382632,1004382277,1,Izukumidoriya1227,Bulaklak sa City Jail,
2021-02-02T09:53:53+00:00,1004382277,1000605819,1,Izukumidoriya1227,Bulaklak sa City Jail,/* Digital restoration */
2021-02-02T05:08:41+00:00,1004351029,1001561446,1,Izukumidoriya1227,ABS-CBN Film Restoration Project,/* List of notable films restored */
2021-02-01T10:36:30+00:00,1004167074,1004128995,1,Izukumidoriya1227,"Oro, Plata, Mata",
2021-01-29T02:39:21+00:00,1003463510,1002179238,1,Izukumidoriya1227,List of Dr. Stone characters,/* Main characters */
2021-01-27T05:08:52+00:00,1003047717,1002309662,1,Izukumidoriya1227,Cartoon Network Studios,/* History */
2021-01-27T00:06:51+00:00,1002993359,1002841244,1,Izukumidoriya1227,Charito Solis,/* Television */
2021-01-26T07:59:33+00:00,1002841244,1000499611,1,Izukumidoriya1227,Charito Solis,/* Television */
2021-01-26T07:59:00+00:00,1002841192,1002034286,1,Izukumidoriya1227,List of Maalaala Mo Kaya episodes,/* Season 1 (1991–1992) */
2021-01-26T05:50:06+00:00,1002823189,1002820017,1,Izukumidoriya1227,"Oro, Plata, Mata",
2021-01-26T05:23:27+00:00,1002820017,1002811342,1,Izukumidoriya1227,"Oro, Plata, Mata",/* Opening quote */
2021-01-26T04:11:05+00:00,1002811342,1002401618,1,Izukumidoriya1227,"Oro, Plata, Mata",/* Plot */
2021-01-26T03:14:08+00:00,1002803041,990040551,1,Izukumidoriya1227,Basta't Kasama Kita (film),/* Plot */
2021-01-26T03:04:48+00:00,1002801528,1002801093,1,Izukumidoriya1227,Manila in the Claws of Light,/* Plot */
2021-01-26T03:02:06+00:00,1002801093,1001563118,1,Izukumidoriya1227,Manila in the Claws of Light,
2021-01-26T01:29:03+00:00,1002786147,1001955725,1,Izukumidoriya1227,Akari Kitō,
2021-01-25T23:40:39+00:00,1002767300,1002543804,1,Izukumidoriya1227,Toilet-Bound Hanako-kun,/* Kamome Academy Supernaturals */
2021-01-24T23:01:56+00:00,1002540111,1002403205,1,Izukumidoriya1227,Marilou Diaz-Abaya,/* External links */
2021-01-24T07:35:43+00:00,1002403205,982313365,1,Izukumidoriya1227,Marilou Diaz-Abaya,/* Personal life */
2021-01-24T07:27:00+00:00,1002402365,995560304,1,Izukumidoriya1227,Jay Ilagan,/* Jay Ilagan */
2021-01-22T14:36:29+00:00,1002034286,1000463723,1,Izukumidoriya1227,List of Maalaala Mo Kaya episodes,/* Season 6 (1997–1998) */
2021-01-21T01:31:33+00:00,1001727499,1000171882,1,Izukumidoriya1227,Olivia Lamasan,
2021-01-18T23:36:47+00:00,1001268479,1000736790,1,Izukumidoriya1227,Of the Flesh,
2021-01-18T23:07:56+00:00,1001263619,1001086905,1,Izukumidoriya1227,Shōya Chiba,
2021-01-18T05:57:39+00:00,1001092247,1000866788,1,Izukumidoriya1227,"Oro, Plata, Mata",
2021-01-18T05:16:33+00:00,1001086905,1001086799,1,Izukumidoriya1227,Shōya Chiba,/* Biography */
2021-01-18T05:15:46+00:00,1001086799,995760780,1,Izukumidoriya1227,Shōya Chiba,/* Biography */
2021-01-17T03:20:59+00:00,1000866788,1000753603,1,Izukumidoriya1227,"Oro, Plata, Mata",Fixing typo and added few words.
2021-01-16T15:15:52+00:00,1000753603,1000014187,1,Izukumidoriya1227,"Oro, Plata, Mata",
2021-01-16T15:01:32+00:00,1000751654,997974444,1,Izukumidoriya1227,ABS-CBN Film Restoration Project,/* List of notable films restored */
2021-01-16T11:10:29+00:00,1000722742,998872249,1,Izukumidoriya1227,Of the Flesh,
2021-01-16T05:53:37+00:00,1000682692,997982661,1,Izukumidoriya1227,Japanese in the Philippines,/* Notable people */
2021-01-15T00:05:59+00:00,1000409138,1000408640,1,Izukumidoriya1227,Kaori Oinuma,
2021-01-15T00:03:12+00:00,1000408640,1000218804,1,Izukumidoriya1227,Kaori Oinuma,
2021-01-13T23:11:17+00:00,1000171882,990288957,1,Izukumidoriya1227,Olivia Lamasan,/* Film */
2021-01-13T02:46:14+00:00,1000015268,995424689,1,Izukumidoriya1227,Moral (1982 film),
2021-01-13T02:43:12+00:00,1000014980,967800375,1,Izukumidoriya1227,1982 Metro Manila Film Festival,/* Entries */
2021-01-13T02:35:42+00:00,1000014187,998644395,1,Izukumidoriya1227,"Oro, Plata, Mata",
2021-01-12T00:47:30+00:00,999797317,998767825,1,Izukumidoriya1227,May Minamahal (film),/* Release */
2021-01-11T06:30:26+00:00,999647016,999443394,1,Izukumidoriya1227,Ang sa Iyo ay Akin,
