timestamp,revid,parentid,sock,user,page,message
2013-07-14T04:04:16+00:00,564179586,564178180,1,JackMack67,NLR,
2013-07-14T03:37:43+00:00,564177832,563006556,1,JackMack67,Emergency Preparedness,link [[Survivalism|prepper]] using [[User:Edward/Find link|Find link]]
2013-07-13T14:08:13+00:00,564105386,563619179,1,JackMack67,Survivalism,/* Further reading */
2013-07-13T13:51:19+00:00,564103751,564093233,1,JackMack67,User talk:Barney the barney barney,/* NLR article */
2013-07-13T13:48:19+00:00,564103502,564093675,1,JackMack67,User talk:JackMack67,/* Pros For NLR article to not be deleted */ new section
2013-07-13T11:51:24+00:00,564093675,564093573,1,JackMack67,User talk:JackMack67,/* Deletion discussion about NLR (Nous sommes la résistance) Australian Prepper Organisation */
2013-07-13T11:50:19+00:00,564093573,564089667,1,JackMack67,User talk:JackMack67,/* Speedy deletion nomination of User:JackMack67 */
2013-07-13T10:39:30+00:00,564087937,564087490,1,JackMack67,User:JackMack67,[[WP:AES|←]]Blanked the page
2013-07-13T10:37:52+00:00,564087812,563989600,1,JackMack67,User talk:Barney the barney barney,/* NLR article */ new section
2013-07-13T09:46:17+00:00,564084311,553895397,1,JackMack67,NLR,
2013-07-13T08:43:12+00:00,564079733,0,1,JackMack67,User:JackMack67,"[[WP:AES|←]]Created page with '<big>'''<big>NLR (Nous sommes la résistance)</big>'''</big><br /> <br /> '''NLR''' is a prepper organization based in Australia, whose main role is to prepare f...'"
2013-07-13T08:21:07+00:00,564077994,0,1,JackMack67,User:JackMack67/sandbox,[[WP:AES|←]]Created page with '{{User sandbox}} <!-- EDIT BELOW THIS LINE --> <big>'''NLR (Nous sommes la résistance)'''</big>'
2013-07-14T04:08:12+00:00,564179864,558039404,1,Fredco90,User talk:SoTotallyAwesome,/* Panic Sex */
2013-07-13T10:27:58+00:00,564087114,564081151,1,Hartru75,User:JackMack67,
2013-07-05T18:29:14+00:00,563006556,562708159,0,Alvin Seville,Emergency Preparedness,removing and categorizing
2013-07-10T04:34:10+00:00,563619179,562819305,0,Scalhotrod,Survivalism,/* Controversy */ deleted repeated phrase/information
2013-07-13T14:26:01+00:00,564107062,564103502,0,Barney the barney barney,User talk:JackMack67,/* Pros For NLR article to not be deleted */
2013-06-02T22:21:46+00:00,558039404,557243499,0,ShelfSkewed,User talk:SoTotallyAwesome,/* Survivors */ new section
2013-06-27T17:44:28+00:00,561850773,561322927,0,Josve05a,Emergency Preparedness,"clean up, added [[CAT:UL|underlinked]] tag using [[Project:AWB|AWB]]"
2007-06-06T20:21:38+00:00,136435295,132983300,0,NawlinWiki,Emergency Preparedness,Reverted edits by [[Special:Contributions/Yummytork|Yummytork]] ([[User talk:Yummytork|talk]]) to last version by RussBot
2013-06-24T07:16:23+00:00,561322927,560963224,0,Bearcat,Emergency Preparedness,categorization/tagging using [[Project:AWB|AWB]]
2013-06-20T17:54:12+00:00,560780257,558139460,0,67.160.69.105,Survivalism,"/* Controversy */ Spelling. Period (for the entire paragraph, not the quote, which I couldn't find in the reference anyway)"
2013-06-03T15:11:42+00:00,558139460,558110729,0,SoTotallyAwesome,Survivalism,/* Survivalist terminology */ WLs
2013-07-04T11:14:23+00:00,562819305,560780257,0,Ὁ οἶστρος,Survivalism,fixed [[MOS:DASH|dashes]] using a [[User:GregU/dashes.js|script]]
