timestamp,revid,parentid,sock,user,page,message
2011-12-16T01:25:59+00:00,466088831,465892946,1,Jarred_Gaskins_III,User talk:Jarred Gaskins III,
2011-12-08T23:22:18+00:00,464857419,464676037,1,Jarremy_Karten_III,Walt Disney,
2011-12-08T01:33:11+00:00,464679845,464448951,1,Jarremy_Karten_III,Jared,
2011-12-08T01:28:29+00:00,464679143,464679065,1,Jarremy_Karten_III,Alex Wolff,
2011-12-08T01:27:55+00:00,464679065,460902168,1,Jarremy_Karten_III,Alex Wolff,
2011-12-08T01:00:31+00:00,464675093,464646688,1,Jarremy_Karten_III,Walt Disney,
2011-12-07T21:50:27+00:00,464646688,464646385,1,Jarremy_Karten_III,Walt Disney,
2011-12-07T21:48:53+00:00,464646385,464527917,1,Jarremy_Karten_III,Walt Disney,
2011-12-07T21:46:46+00:00,464646003,463635635,1,Jarremy_Karten_III,Elias Disney,
2011-12-04T21:19:53+00:00,464101022,464097691,1,Jarremy_Karten_III,Janice Rogers Brown,
2011-12-03T02:48:38+00:00,463766771,454642913,1,Jarremy_Karten_III,Janice Rogers Brown,
2011-12-08T01:08:00+00:00,464676037,464675093,0,C.Fred,Walt Disney,rv - it's pp-move-indef still also
2011-12-07T06:17:59+00:00,464527917,464285388,0,Michael Devore,Walt Disney,/* Disney Animation */ typo
2011-12-12T01:23:52+00:00,465385216,465385211,0,ClueBot NG,Jared,"Reverting possible vandalism by [[Special:Contributions/174.117.185.71|174.117.185.71]] to version by C.Fred. False positive? [[User:ClueBot NG/FalsePositives|Report it]]. Thanks, [[User:ClueBot NG|ClueBot NG]]. (756679) (Bot)"
2011-12-08T01:47:46+00:00,464681841,464681781,0,C.Fred,Alex Wolff,remove deleted image
2011-12-02T13:42:23+00:00,463660720,463642301,0,KLITE789,Walt Disney,/* External links */
2011-12-07T21:46:46+00:00,464646003,463635635,0,Jarremy Karten III,Elias Disney,
2011-12-04T22:01:18+00:00,464107494,464101022,0,DavyCrockettJones,Janice Rogers Brown,Undid revision 464101022 by [[Special:Contributions/Jarremy Karten III|Jarremy Karten III]] ([[User talk:Jarremy Karten III|talk]]) rv vandalism
2011-11-28T12:33:45+00:00,462889484,462889434,0,Favonian,Jared,"Undid revision 462546154 by [[Special:Contributions/68.118.69.90|68.118.69.90]] ([[User talk:68.118.69.90|talk]]) no article, not notable"
2011-12-05T22:14:53+00:00,464285388,463660720,0,CTF83!,Walt Disney,links
2011-12-02T08:56:39+00:00,463635635,462590735,0,78.82.220.9,Elias Disney,/* Family */
2011-11-16T05:31:10+00:00,460902168,460895526,0,Yaksar,Alex Wolff,trim
2011-12-13T04:22:02+00:00,465578792,0,0,NawlinWiki,User talk:Jarred Gaskins III,nn
2011-12-08T23:22:56+00:00,464857500,464857419,0,VS6507,Walt Disney,Reverted edits by [[Special:Contributions/Jarremy Karten III|Jarremy Karten III]] ([[User talk:Jarremy Karten III|talk]]) identified as unconstructive ([[WP:HG|HG]])
2011-12-10T19:46:56+00:00,465164573,464857500,0,Vanished user 19204,Walt Disney,Filling in 1 references using [[WP:REFLINKS|Reflinks]]
2011-10-23T21:14:59+00:00,457044522,456061091,0,99.137.149.253,Elias Disney,
2011-12-13T05:24:29+00:00,465586423,465164573,0,Hmains,Walt Disney,"copyedit, MOS conformance, and/or AWB general fixes using [[Project:AWB|AWB]]"
2011-11-29T21:44:22+00:00,463176919,462922732,0,Scewing,Walt Disney,Infobox Signature - 1942 version
2011-11-26T17:01:19+00:00,462590735,462579280,0,Dl2000,Elias Disney,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/74.199.113.217|74.199.113.217]] ([[User talk:74.199.113.217|talk]]) to last version by 99.137.149.253
2011-10-09T01:45:35+00:00,454642913,439687917,0,Richard David Ramsey,Janice Rogers Brown,Alphabetizes categories
2011-11-22T15:45:48+00:00,461951574,461323253,0,Levineps,Walt Disney,rm whitespace
2011-12-14T21:54:55+00:00,465892946,465891210,0,Salvio giuliano,User talk:Jarred Gaskins III,You have been blocked from editing for creating [[WP:PN|nonsense pages]]. ([[WP:TW|TW]])
2011-11-18T19:56:50+00:00,461323253,461237173,0,Shoessss,Walt Disney,/* Teenage years */ REF PROVIDED - REMOVED NEED FOR REF TAG
2011-11-18T06:03:25+00:00,461237173,461233249,0,M.O.X,Walt Disney,Sourcing and dating a when? statement
2011-11-28T17:15:04+00:00,462922732,462918957,0,DoctorJoeE,Walt Disney,"/* Anti-Semitism accusations */ Fixed formatting error, changed ""anti-Semitism"" to ""antisemitism"" per discussions on multiple talk pages"
