timestamp,revid,parentid,sock,user,page,message
2015-10-22T01:19:33+00:00,686898201,644802388,1,JusticeBlack,User talk:JusticeBlack,
2015-10-21T22:28:06+00:00,686879258,686826477,1,JusticeBlack,Jonathan Emile,Corrected date format error in sources.
2015-10-21T13:07:27+00:00,686807461,686729623,1,JusticeBlack,Jonathan Emile,Fixed link to video from media source.
2015-10-20T04:39:34+00:00,686608176,686603442,1,JusticeBlack,Wikipedia:Articles for deletion/Jonathan Emile (2nd nomination),/* Jonathan Emile */
2015-10-20T03:48:12+00:00,686603442,686301790,1,JusticeBlack,Wikipedia:Articles for deletion/Jonathan Emile (2nd nomination),
2015-10-09T10:35:58+00:00,684882986,684882919,1,JusticeBlack,Jonathan Emile,"Corrected missing ""["" in lead. Sorry."
2015-10-09T10:35:14+00:00,684882919,677288185,1,JusticeBlack,Jonathan Emile,Made the lead less wordy and more to the point based on new information. Removed Table and provided up-to-date sources.
2014-01-26T19:41:11+00:00,592519634,589731689,1,JusticeBlack,Jonathan Emile,Reference Format Cleanup - Addition of Acting section with References - Update of Youtube Channel
2012-02-13T19:40:25+00:00,476701585,471666074,1,JusticeBlack,Jonathan Emile,Change of Main photo
2011-10-07T05:30:16+00:00,454343573,446998976,1,JusticeBlack,Jonathan Emile,/* Composition & Performance */ Addition of sources and released music.
2011-06-10T06:48:40+00:00,433513405,433511758,1,JusticeBlack,Jonathan Emile,/* 2009-present */ additional source
2011-06-10T06:30:51+00:00,433511758,433443205,1,JusticeBlack,Jonathan Emile,/* 2009-present */ Structure. Clarification of Emile's Facebook incident.
2011-05-23T22:15:55+00:00,430583211,430455320,1,JusticeBlack,Jonathan Emile,Grammy Correction (he received 2 nominations in 2011: 1 with the jazz Band & 1 for his Rap album.
2011-03-25T16:22:15+00:00,420675374,419733325,1,JusticeBlack,Jonathan Emile,Many Changes... I added other sourced information and did a major update of content. Addition of nearly 10 sources. I also added a new heading and changed Community Work to Activism & Philanthropy more standard among musicians.
2011-03-19T23:10:21+00:00,419703554,416592651,1,JusticeBlack,Jonathan Emile,Undid revision 416592651 by [[Special:Contributions/Patrickbateman555|Patrickbateman555]] ([[User talk:Patrickbateman555|talk]]) No sources!?
2011-02-12T21:23:13+00:00,413559592,413559119,1,JusticeBlack,Bad News Brown (musician),/* Murder */ url reference refined
2011-02-12T21:20:38+00:00,413559119,413550921,1,JusticeBlack,Bad News Brown (musician),Summary of murder. ~~~~
2010-12-09T09:22:48+00:00,401419771,401415159,1,JusticeBlack,Talk:Jonathan Emile,/* Radio */ grammy category
2010-12-09T08:30:01+00:00,401415159,366182131,1,JusticeBlack,Talk:Jonathan Emile,/* Discography */
2010-04-16T15:18:08+00:00,356392320,262381659,1,JusticeBlack,Talk:List of Black Canadians,/* Topic Title */
2010-04-16T15:15:18+00:00,356391876,356391618,1,JusticeBlack,List of Black Canadians,/* Musicians */
2010-04-16T15:13:43+00:00,356391618,354557166,1,JusticeBlack,List of Black Canadians,/* Musicians */ Addition of Jonathan Emile
2010-04-16T15:09:50+00:00,356391027,356390818,1,JusticeBlack,Jamaican Canadians,/* List of notable Jamaican Canadians */ Addition of Jonathan Emile as notable
2010-04-16T15:08:31+00:00,356390818,351726399,1,JusticeBlack,Jamaican Canadians,/* Jamaicans in Quebec */
2010-04-16T15:05:41+00:00,356390398,355609084,1,JusticeBlack,Talk:Jonathan Emile,/* External Links + More References */ Response
2010-04-16T15:03:47+00:00,356390110,339568796,1,JusticeBlack,Jonathan Emile,"Addition of sources. Clean Up of References. Precision in descriptions. Spacing. Sentence structure. No Drastic Changes content is just improved,"
2010-04-12T20:28:30+00:00,355609084,355608987,1,JusticeBlack,Talk:Jonathan Emile,/* Years Active */
2010-04-12T20:28:02+00:00,355608987,348772493,1,JusticeBlack,Talk:Jonathan Emile,/* Years Active */
2009-12-27T20:46:03+00:00,334358351,322881888,1,JusticeBlack,Jonathan Emile,Addition of Categories related to montreal & Quebec
2009-10-29T18:32:50+00:00,322774782,322758714,1,JusticeBlack,Talk:Jonathan Emile,/* Picture */
2009-10-29T16:54:21+00:00,322758714,322740073,1,JusticeBlack,Talk:Jonathan Emile,/* Picture */
2009-10-26T19:08:18+00:00,322188029,322185313,1,JusticeBlack,Talk:Jonathan Emile,This is a differnt  artist from Quebec not Ontario / Low priority
2008-09-19T16:54:38+00:00,239603106,239541773,1,JusticeBlack,Jesus,Incorrect wording. `Denies` implies absoloute truth.
2008-09-19T16:39:29+00:00,239600316,239600005,1,JusticeBlack,Talk:Jesus,"/* Some believe that Jesus was of middle eastern ethnicity, and not a caucasian */"
2008-09-19T14:57:02+00:00,239578285,239553018,1,JusticeBlack,Native Americans in the United States,
2008-09-19T14:43:48+00:00,239575796,236973514,1,JusticeBlack,Marbán Province,Grammar
2008-09-16T00:21:00+00:00,238702132,237671855,1,JusticeBlack,Shaker Aamer,/* Transcript */ Spelling Error
2008-09-15T22:19:59+00:00,238679231,238586579,1,JusticeBlack,Ottawa,/* Demographics */
2008-09-15T21:51:38+00:00,238673920,238537040,1,JusticeBlack,Talk:American Civil War,/* The Lost Cause and origins of the war */
2008-09-15T20:50:59+00:00,238662195,227611773,1,JusticeBlack,Talk:Ottawa,/* Demographics Section */
2008-09-15T20:16:43+00:00,238655467,238626460,1,JusticeBlack,User:JusticeBlack,/* About me */
2008-09-15T19:32:50+00:00,238646748,238583761,1,JusticeBlack,Talk:Bill O'Reilly (political commentator),/* Controversial */
2008-09-15T18:50:08+00:00,238638091,237761542,1,JusticeBlack,Talk:Native Americans in the United States,Intro Paragraph rewrite
2008-09-15T18:47:39+00:00,238637603,238631106,1,JusticeBlack,Native Americans in the United States,Intro Paragraph rewrite. -- See Discussion Page
2008-09-15T18:09:58+00:00,238630770,238630675,1,JusticeBlack,Talk:Christian views on astrology,/* Similarities in Christian Symbolism & Astrology */
2008-09-15T18:09:21+00:00,238630675,228758312,1,JusticeBlack,Talk:Christian views on astrology,
2008-09-15T17:46:56+00:00,238626460,238624923,1,JusticeBlack,User:JusticeBlack,
2008-09-15T17:39:33+00:00,238624923,238624040,1,JusticeBlack,User:JusticeBlack,
2008-09-15T17:35:11+00:00,238624040,238623281,1,JusticeBlack,User:JusticeBlack,
2008-09-15T17:31:14+00:00,238623281,0,1,JusticeBlack,User:JusticeBlack,Layout
2008-09-15T17:29:45+00:00,238622985,238622434,1,JusticeBlack,User:DragonHawk,[[WP:UNDO|Undid]] revision 238622434 by [[Special:Contributions/JusticeBlack|JusticeBlack]] ([[User talk:JusticeBlack|talk]])
2008-09-15T17:26:42+00:00,238622434,212723300,1,JusticeBlack,User:DragonHawk,
2008-09-12T16:56:49+00:00,237965631,237208854,1,JusticeBlack,Talk:Cuba,/* Wrong historic information */
2008-09-12T14:36:13+00:00,237940687,237939958,1,JusticeBlack,Kanye West,"Kanye is not a Pianist, he composes with the Musical Keyboad-Synthsizer"
2008-09-12T14:31:43+00:00,237939958,237824523,1,JusticeBlack,Kanye West,"Kanye doen not play the Piano, Hey plays the"
2008-09-12T14:23:31+00:00,237938556,237654415,1,JusticeBlack,Talk:American Civil War,/* The Lost Cause and origins of the war */
2008-09-08T16:47:02+00:00,237092546,237092447,1,JusticeBlack,Talk:Malcolm X,"/* ""He referred to whites as ""devils""[...]"" */"
2008-09-08T16:46:31+00:00,237092447,237092299,1,JusticeBlack,Talk:Malcolm X,"/* ""He referred to whites as ""devils""[...]"" */"
