timestamp,revid,parentid,sock,user,page,message
2012-07-10T14:13:18+00:00,501563583,501426379,1,Kschar,Eric Metaxas,
2012-07-02T21:02:58+00:00,500384724,500384635,1,Kschar,Eric Metaxas,
2012-07-02T21:02:21+00:00,500384635,499926760,1,Kschar,Eric Metaxas,
2012-02-27T16:44:54+00:00,479142670,479142602,1,Kschar,Eric Metaxas,
2012-02-27T16:44:27+00:00,479142602,479142408,1,Kschar,Eric Metaxas,/* References */
2012-02-27T16:43:22+00:00,479142408,479133253,1,Kschar,Eric Metaxas,
2012-01-05T18:33:02+00:00,469758525,469758334,1,Kschar,Eric Metaxas,
2012-01-05T18:31:47+00:00,469758334,469757825,1,Kschar,Eric Metaxas,/* External links */
2012-01-05T18:28:53+00:00,469757825,469757601,1,Kschar,Eric Metaxas,
2012-01-05T18:27:28+00:00,469757601,469757340,1,Kschar,Eric Metaxas,
2012-01-05T18:25:55+00:00,469757332,464900031,1,Kschar,Eric Metaxas,
2011-08-27T18:26:19+00:00,447009580,447008601,1,Kschar,Eric Metaxas,italiczed
2011-08-27T18:19:00+00:00,447008601,401547841,1,Kschar,Eric Metaxas,Added biographical information.
2012-07-24T14:10:23+00:00,503950804,502756762,1,Jaredbaragar,User talk:Jaredbaragar,/* I've been blocked based on a partially false sock puppet allegation */ new section
2012-07-18T14:07:56+00:00,502962902,502962843,1,Jaredbaragar,Wikipedia:Sockpuppet investigations/Kschar,/* Comments by other users */
2012-07-18T14:07:32+00:00,502962843,502876262,1,Jaredbaragar,Wikipedia:Sockpuppet investigations/Kschar,/* Comments by other users */
2012-07-17T21:04:32+00:00,502857736,502837211,1,Jaredbaragar,Eric Metaxas,Putting just a brief summary of Socrates in the City in the article.
2012-07-17T20:45:38+00:00,502854701,502840906,1,Jaredbaragar,Talk:Eric Metaxas,/* Socrates */
2012-07-17T13:06:56+00:00,502789731,502789638,1,Jaredbaragar,Wikipedia:Sockpuppet investigations/Kschar,/* Comments by other users */
2012-07-17T13:06:12+00:00,502789638,502789541,1,Jaredbaragar,Wikipedia:Sockpuppet investigations/Kschar,/* 17 July 2012 */
2012-07-17T13:05:34+00:00,502789541,502756292,1,Jaredbaragar,Wikipedia:Sockpuppet investigations/Kschar,/* 17 July 2012 */
2012-07-16T17:29:10+00:00,502653530,502653444,1,Jaredbaragar,Eric Metaxas,/* Other activities */
2012-07-16T17:28:46+00:00,502653444,502651602,1,Jaredbaragar,Eric Metaxas,/* Writing */
2012-07-16T17:16:03+00:00,502651602,502647480,1,Jaredbaragar,Eric Metaxas,/* Socrates In The City */
2012-07-16T16:45:03+00:00,502646986,502646199,1,Jaredbaragar,Eric Metaxas,Removed a statement that was agreed upon to be unsupported.
2012-07-16T16:39:43+00:00,502646199,502645841,1,Jaredbaragar,Eric Metaxas,/* Socrates In The City */
2012-07-16T16:37:23+00:00,502645841,502644963,1,Jaredbaragar,Eric Metaxas,
2012-07-16T16:34:40+00:00,502645475,502643886,1,Jaredbaragar,Talk:Eric Metaxas,/* Socrates */ new section
2012-07-16T16:31:17+00:00,502644963,502189129,1,Jaredbaragar,Eric Metaxas,"Changed the biased, unsupported description of the National Prayer Breakfast to one that is both directly supported by the cited reference and more neutral."
2012-07-16T16:23:31+00:00,502643886,502643843,1,Jaredbaragar,Talk:Eric Metaxas,/* National Prayer Breakfast details */
2012-07-16T16:23:10+00:00,502643843,502642099,1,Jaredbaragar,Talk:Eric Metaxas,/* National Prayer Breakfast details */
2012-07-16T16:11:34+00:00,502642099,502642063,1,Jaredbaragar,Talk:Eric Metaxas,/* Bonhoeffer publicity */
2012-07-16T16:10:07+00:00,502641896,502191744,1,Jaredbaragar,Talk:Eric Metaxas,/* Bonhoeffer publicity */
2012-07-13T13:51:56+00:00,502061175,502060685,1,Jaredbaragar,Talk:Eric Metaxas,/* Bonhoeffer publicity */
2012-07-13T13:48:36+00:00,502060685,502060606,1,Jaredbaragar,Talk:Eric Metaxas,/* National Prayer Breakfast details */
2012-07-13T13:48:03+00:00,502060606,502056292,1,Jaredbaragar,Talk:Eric Metaxas,/* National Prayer Breakfast details */ new section
2012-07-13T13:32:30+00:00,502058515,502057934,1,Jaredbaragar,Eric Metaxas,/* Writing */
2012-07-13T13:28:03+00:00,502057934,502057616,1,Jaredbaragar,Eric Metaxas,
2012-07-13T13:25:27+00:00,502057616,502057402,1,Jaredbaragar,Eric Metaxas,
2012-07-13T13:23:52+00:00,502057402,502057050,1,Jaredbaragar,Eric Metaxas,
2012-07-13T13:21:06+00:00,502057050,502056905,1,Jaredbaragar,Eric Metaxas,
2012-07-13T13:19:48+00:00,502056905,501951369,1,Jaredbaragar,Eric Metaxas,"Adding information about Eric's organization, Socrates In The City"
2012-07-13T13:14:40+00:00,502056292,500445658,1,Jaredbaragar,Talk:Eric Metaxas,/* Bonhoeffer publicity */ new section
2012-07-12T13:53:42+00:00,501884515,501884140,1,Jaredbaragar,Eric Metaxas,/* Other activities */
2012-07-12T13:50:41+00:00,501884140,501883955,1,Jaredbaragar,Eric Metaxas,/* Other activities */
