timestamp,revid,parentid,sock,user,page,message
2009-03-13T16:45:15+00:00,277000963,276976934,1,LIGATTSecurity,User talk:LIGATTSecurity,/* Username/edits */
2009-03-13T14:15:48+00:00,276973406,276973134,1,LIGATTSecurity,User talk:LIGATTSecurity,/* Username/edits */
2009-03-11T17:42:55+00:00,276552752,276547232,1,LIGATTSecurity,Wikipedia:Tutorial (historical)/Editing/sandbox,
2013-01-11T08:55:28+00:00,532511429,0,1,H.smith83,User:H.smith83/skin.js,"[[WP:AES|←]]Created page with 'importScript(""User:PleaseStand/segregate-refs.js"");'"
2012-11-07T11:26:49+00:00,521810063,519906166,1,H.smith83,User talk:Raidarmax,Notification: speedy deletion nomination of [[Sam Gichuru]]. ([[WP:TW|TW]])
2012-11-07T11:26:44+00:00,521810054,521116276,1,H.smith83,Sam Gichuru,Requesting speedy deletion ([[WP:CSD#A7|CSD A7]]). ([[WP:TW|TW]])
2012-10-26T08:40:18+00:00,519906166,505360043,1,H.smith83,User talk:Raidarmax,Notifying author of deletion nomination for [[Sam Gichuru]]
2012-10-26T08:40:16+00:00,519906159,519533193,1,H.smith83,Sam Gichuru,Nominated page for deletion using [[Wikipedia:Page Curation|Page Curation]] (afd)
2012-10-26T08:40:10+00:00,519906147,0,1,H.smith83,Wikipedia:Articles for deletion/Sam Gichuru,Creating deletion discussion page for [[Sam Gichuru]].
2012-10-26T08:40:08+00:00,519906141,519901339,1,H.smith83,Wikipedia:Articles for deletion/Log/2012 October 26,
2012-10-22T05:43:26+00:00,519150155,519150139,1,H.smith83,User talk:Kwisha,
2012-10-21T12:49:35+00:00,519012078,518848640,1,H.smith83,User talk:Xezbeth,
2012-10-21T12:32:11+00:00,519010307,519005608,1,H.smith83,Queen Tripurasundari of Nepal,
2012-10-21T12:30:14+00:00,519010106,369279255,1,H.smith83,User talk:Shirsakbc,
2012-09-14T23:09:29+00:00,512513498,512483641,1,H.smith83,Peter Kenneth,"Reverted to revision 508398382 by Stephenwanjau: rm unsourtced material, violation of BLP."
2012-08-31T01:32:40+00:00,510039129,507674096,1,H.smith83,User talk:Effeietsanders,/* A barnstar for you! */ new WikiLove message
2012-08-29T10:40:56+00:00,509750156,509749206,1,H.smith83,User:H.smith83/sandbox,[[WP:AES|←]]Replaced content with '{{User sandbox}}\n<!-- EDIT BELOW THIS LINE -->'
2012-08-29T10:37:34+00:00,509749780,0,1,H.smith83,User:H.smith83,created userpage
2012-08-29T10:32:23+00:00,509749206,0,1,H.smith83,User:H.smith83/sandbox,"TESTING ARTICLE, PLEASE KEEP"
2013-01-16T02:45:36+00:00,533305086,0,1,Hitechhustler,User:Hitechhustler/skin.js,[[WP:AES|←]]Created page with 'importScript('Wikipedia:AutoEd/complete.js');'
2013-01-15T20:03:29+00:00,533249403,0,1,Hitechhustler,User talk:Hitechhustler,[[WP:AES|←]]Created page with '{{talkpage}}'
2013-01-15T20:01:03+00:00,533248968,0,1,Hitechhustler,User:Hitechhustler,[[WP:AES|←]]Created page with '{{Userpage}}'
2008-09-28T20:42:57+00:00,241612231,241336084,0,Spencer,Peter Kenneth,cleanup
2009-03-17T14:59:09+00:00,277872847,277019826,0,Mayalld,User talk:LIGATTSecurity,AfD nomination of [[LIGATT Security International]]. ([[WP:TW|TW]])
2012-02-21T21:02:07+00:00,478135742,478102877,0,Julius Sahara,Peter Kenneth,Undid revision 478102877 by [[Special:Contributions/174.62.198.78|174.62.198.78]] ([[User talk:174.62.198.78|talk]])
2011-05-26T16:33:31+00:00,431036048,0,0,Sun Creator,User talk:Raidarmax,Bishop Dr. Wilfred Lai prod
2011-09-02T05:22:47+00:00,447989883,447988737,0,SMasters,User talk:Effeietsanders,/* The Signpost interview */ ce
2010-11-04T12:39:01+00:00,394775477,381848161,0,94.210.224.208,User talk:Effeietsanders,
2012-02-15T22:32:26+00:00,477084906,463241106,0,Yjune.sah,User talk:Xezbeth,
2012-07-30T16:11:20+00:00,504954092,504954035,0,206.194.127.112,Wikipedia:Tutorial (historical)/Editing/sandbox,
2011-11-21T16:54:42+00:00,461790166,461782158,0,136.223.9.11,Wikipedia:Tutorial (historical)/Editing/sandbox,
2010-11-10T21:50:48+00:00,396013070,393664501,0,Rjwilmsi,Peter Kenneth,Dupe ref fixes ([[User:Rjwilmsi/DupeRefs|explanation]]) using [[Project:AWB|AWB]] (7382)
2010-08-30T10:00:14+00:00,381851455,381851431,0,Good Olfactory,Peter Kenneth,Adding category [[:Category:Members of the National Assembly of Kenya]] (using [[WP:HOTCAT|HotCat]])
2011-05-04T06:24:38+00:00,427362833,422657235,0,41.197.21.1,Peter Kenneth,
2012-10-11T03:49:08+00:00,517128321,517034548,0,Kagundu,Peter Kenneth,fixed link
2011-08-11T20:56:27+00:00,444331041,444317150,0,Davejohnsan,Peter Kenneth,Moved the image to the right
2012-11-07T09:30:33+00:00,521800717,521734968,0,212.49.88.110,Peter Kenneth,/* Early life and career */
2012-08-16T11:53:53+00:00,507674096,507673693,0,Effeietsanders,User talk:Effeietsanders,/* WLM unique ID */
2012-03-02T07:08:46+00:00,479781835,479749346,0,Effeietsanders,User talk:Effeietsanders,/* Removing Speedy at Ad van der Steur */
2012-10-12T09:59:57+00:00,517362453,515312132,0,John Cummings,User talk:Effeietsanders,/* Gibraltarpedia article discussion */ new section
2009-12-19T13:58:36+00:00,332673991,330664694,0,Tony1,User talk:Effeietsanders,/* Scrutineer for the Arbitration Committee elections */a much-deserved rose for you
2008-10-30T10:25:12+00:00,248588310,248487991,0,Effeietsanders,User talk:Effeietsanders,[[WP:UNDO|Undid]] revision 248487991 by [[Special:Contributions/Trillio|Trillio]] ([[User talk:Trillio|talk]])
2011-02-21T14:13:27+00:00,415132696,405855750,0,99.254.192.228,Peter Kenneth,
2011-01-23T13:20:59+00:00,409551873,394775477,0,Travelbird,User talk:Effeietsanders,Notification: Speedy deletion nomination of [[First Gerbrandy cabinet]]. ([[WP:TW|TW]])
2009-01-03T15:57:21+00:00,261693031,260070467,0,Macbookair3140,User talk:Effeietsanders,
2009-07-08T11:44:15+00:00,300973941,300898317,0,Effeietsanders,User talk:Effeietsanders,/* Happy {{{nickname|{{subst:PAGENAME}}}}}'s Day! */
2013-01-07T21:41:00+00:00,531848468,531847600,0,Effeietsanders,User talk:Effeietsanders,"/* List of heritage sites in Albany, South Africa */"
2009-03-06T08:03:37+00:00,275352954,272008663,0,FairuseBot,User talk:Xezbeth,Image [[:File:Thir13en Ghosts poster.JPG]] is not compliant with [[WP:NFCC|the non-free content rules]]
2011-07-12T05:46:24+00:00,439037805,439037602,0,Music Sorter,User talk:Xezbeth,/* Merger on Spindle (computer) */ Dupe entry
