timestamp,revid,parentid,sock,user,page,message
2015-12-17T16:18:31+00:00,695653297,695472465,1,Li_shook,Yves Bouvier,/* Business model */ added detailed background on other key cases
2015-11-12T17:51:59+00:00,690325240,687639468,1,Li_shook,Yves Bouvier,
2015-05-23T15:08:17+00:00,663679350,662045080,1,Li_shook,Yves Bouvier,/* Alleged fraud */
2015-05-12T16:05:21+00:00,662018592,657350872,1,Li_shook,Yves Bouvier,/* Alleged fraud */
2015-04-28T20:58:38+00:00,659748688,657040068,1,Li_shook,Dmitry Rybolovlev,/* Personal life */
2015-04-20T16:54:57+00:00,657350872,657350758,1,Li_shook,Yves Bouvier,/* Alleged fraud */
2015-04-20T16:53:49+00:00,657350758,657350314,1,Li_shook,Yves Bouvier,/* Alleged fraud */
2015-04-20T16:50:01+00:00,657350314,656777886,1,Li_shook,Yves Bouvier,
2015-04-16T16:56:11+00:00,656777886,655948521,1,Li_shook,Yves Bouvier,/* Alleged fraud */
2015-10-26T20:50:20+00:00,687639468,683971987,1,Jerrycorbert33,Yves Bouvier,
2015-10-20T14:39:43+00:00,686663389,686663304,1,Jerrycorbert33,Dmitry Rybolovlev,
2015-10-20T14:38:59+00:00,686663304,683571140,1,Jerrycorbert33,Dmitry Rybolovlev,
2015-09-20T13:12:21+00:00,681930862,681928429,1,Jerrycorbert33,Yves Bouvier,/* Controversies */
2015-09-20T12:51:48+00:00,681928429,681928359,1,Jerrycorbert33,Yves Bouvier,/* Controversies */
2015-09-20T12:51:13+00:00,681928359,681179993,1,Jerrycorbert33,Yves Bouvier,/* Controversies */
2015-09-20T12:24:26+00:00,681925361,681178419,1,Jerrycorbert33,Ekaterina Rybolovleva,/* Early life */
2015-09-15T17:24:51+00:00,681179993,681179224,1,Jerrycorbert33,Yves Bouvier,
2015-09-15T17:19:22+00:00,681179224,681179173,1,Jerrycorbert33,Yves Bouvier,
2015-09-15T17:18:55+00:00,681179173,681178863,1,Jerrycorbert33,Yves Bouvier,
2015-09-15T17:16:35+00:00,681178863,680434104,1,Jerrycorbert33,Yves Bouvier,/* Controversies */
2015-09-15T17:13:03+00:00,681178419,681166464,1,Jerrycorbert33,Ekaterina Rybolovleva,/* Acquisitions and properties */
2015-08-16T20:16:10+00:00,676408543,676373748,1,Jerrycorbert33,Yves Bouvier,/* Dmitry Rybolovlev vs Yves Bouvier */
2015-08-16T13:08:36+00:00,676357338,676097529,1,Jerrycorbert33,Yves Bouvier,/* Yves Bouvier vs Dmitry Rybolovlev */
2015-12-12T15:12:06+00:00,694921432,694921359,1,TommyFrank29,Yves Bouvier,/* Fraud Allegations and Legal cases */
2015-12-12T15:11:24+00:00,694921359,694481512,1,TommyFrank29,Yves Bouvier,Undid revision 694481512 by [[Special:Contributions/Chewbakadog|Chewbakadog]] ([[User talk:Chewbakadog|talk]])
2015-12-08T14:01:05+00:00,694317693,694315027,1,TommyFrank29,Yves Bouvier,Undid revision 694254132 by [[Special:Contributions/Chewbakadog|Chewbakadog]] ([[User talk:Chewbakadog|talk]]) sock puppetry and clear attempt to suppress objective information related to the subject
2015-12-08T13:34:21+00:00,694315027,694254132,1,TommyFrank29,Yves Bouvier,/* The Rybolovlev Case */ fixed grammatical issue - made verb tenses consistent past voice
2015-12-07T11:48:53+00:00,694149611,694022553,1,TommyFrank29,Yves Bouvier,
2015-12-06T16:19:57+00:00,694022553,694020700,1,TommyFrank29,Yves Bouvier,/* The Rybolovlev Case */
2015-12-06T16:03:08+00:00,694020700,694003199,1,TommyFrank29,Yves Bouvier,added back in key detail of other legal cases previously deleted
2015-04-18T14:23:00+00:00,657040068,657028010,0,84.86.182.197,Dmitry Rybolovlev,/* Philanthropy */
2015-06-13T10:16:15+00:00,666743451,666743232,0,67.68.84.38,Yves Bouvier,
2015-07-17T07:13:22+00:00,671822487,669464128,0,Cnwilliams,Dmitry Rybolovlev,Disambiguated: [[free transfer]] → [[free transfer (association football)]]
2015-11-24T15:57:54+00:00,692254327,690338941,0,Firedrop,Yves Bouvier,/* Controversies */
2015-07-01T10:44:24+00:00,669464128,669343524,0,No Swan So Fine,Dmitry Rybolovlev,refine ref
2015-05-08T07:52:57+00:00,661378723,659748688,0,Ghirlandajo,Dmitry Rybolovlev,Rybolovlev's art collection
2015-10-03T19:00:37+00:00,683971987,683971845,0,Derek R Bullamore,Yves Bouvier,Filling in 8 references using [[WP:REFLINKS|Reflinks]]
2015-06-28T07:21:29+00:00,669009096,668977504,0,Yobot,Dmitry Rybolovlev,"Removed invisible unicode characters + other fixes, replaced: → using [[Project:AWB|AWB]] (11282)"
2015-10-23T17:40:49+00:00,687158514,687158110,0,Derek R Bullamore,Ekaterina Rybolovleva,Filling in 2 references using [[WP:REFLINKS|Reflinks]]
2015-03-09T02:08:33+00:00,650546693,650523936,0,Umauamu,Ekaterina Rybolovleva,/* Acquisitions and properties */
2015-11-12T19:15:10+00:00,690338941,690325240,0,Edwardx,Yves Bouvier,copyedit
2015-07-29T11:16:50+00:00,673619099,669009103,0,2A02:582:C27:3A00:BCB5:73D2:E42E:FE7E,Ekaterina Rybolovleva,
2015-04-17T06:22:42+00:00,656862290,656775378,0,BG19bot,Dmitry Rybolovlev,[[WP:CHECKWIKI]] error fix for #61.  Punctuation goes before References. Do [[Wikipedia:GENFIXES|general fixes]] if a problem exists. - using [[Project:AWB|AWB]] (10901)
2015-04-20T16:54:57+00:00,657350872,657350758,0,Li shook,Yves Bouvier,/* Alleged fraud */
2015-05-23T15:08:17+00:00,663679350,662045080,0,Li shook,Yves Bouvier,/* Alleged fraud */
2015-05-12T19:08:58+00:00,662045080,662043042,0,Edwardx,Yves Bouvier,"Undid revision 662043042 by [[Special:Contributions/Jardimacon|Jardimacon]] ([[User talk:Jardimacon|talk]]) it is cited, so not ""vandalism"""
2015-04-16T16:56:11+00:00,656777886,655948521,0,Li shook,Yves Bouvier,/* Alleged fraud */
2015-07-30T18:08:20+00:00,673819662,673819385,0,Monty Dino,Yves Bouvier,
2015-08-17T08:25:58+00:00,676480990,676480855,0,5julianBV,Yves Bouvier,/* Contributions */
2015-12-12T20:43:05+00:00,694963640,694921432,0,Fanchb29,Yves Bouvier,/* The Rybolovlev Case */ no
2015-12-03T08:09:24+00:00,693551422,693550619,0,Chewbakadog,Yves Bouvier,fixed grammatical mistake
2015-08-10T19:11:00+00:00,675462712,674706820,0,Derek R Bullamore,Yves Bouvier,Filling in 16 references using [[WP:REFLINKS|Reflinks]]
2015-08-31T14:56:30+00:00,678772913,678506526,0,Dewritech,Dmitry Rybolovlev,"clean up, [[WP:AWB/T|typo(s) fixed]]: However  → However,  (2) using [[Project:AWB|AWB]]"
2015-11-14T23:04:29+00:00,690678033,686663389,0,All Hallow's Wraith,Dmitry Rybolovlev,
2015-06-11T14:50:13+00:00,666492191,666492042,0,108.53.236.132,Dmitry Rybolovlev,
2015-12-12T15:36:18+00:00,694924102,690678033,0,Alanbanks,Dmitry Rybolovlev,/* Personal life */
2015-08-14T22:52:30+00:00,676136689,671822487,0,217.30.195.63,Dmitry Rybolovlev,/* External links */
2015-09-30T15:18:31+00:00,683479032,681925361,0,Kaiketsu,Ekaterina Rybolovleva,/* Early life */ links
2015-05-25T03:15:16+00:00,663897083,663896831,0,Liane1950,Ekaterina Rybolovleva,/* Acquisitions and properties */ verb tense
2015-04-11T09:22:37+00:00,655948521,655489117,0,Waacstats,Yves Bouvier,add persondata short description using [[Project:AWB|AWB]]
2015-04-02T07:51:16+00:00,654603630,654418890,0,Topbanana,Yves Bouvier,Link repair:  Amadeo Modigliani -> Amedeo Modigliani  - [[w:en:WP:RLR|You can help!]]
2015-09-10T21:10:05+00:00,680434104,676480990,0,The Quixotic Potato,Yves Bouvier,"[[WP:AWB/T|Typo fixing]], [[WP:AWB/T|typo(s) fixed]]: follwing → following, Suddeutsche Zeitung → Süddeutsche Zeitung, Geneva based → Geneva-based using [[Project:AWB|AWB]]"
2015-04-03T18:48:31+00:00,654813088,654812931,0,CarlDo56,Yves Bouvier,/* Alleged fraud */ wrong info
2015-12-15T17:56:18+00:00,695382617,695382407,0,Alanbanks,Yves Bouvier,/* The Rybolovlev Case */ tidied up link
