timestamp,revid,parentid,sock,user,page,message
2015-04-21T19:28:48+00:00,657740651,657730863,1,Lotusmediadesign,User talk:Lotusmediadesign,/* WP:RGNP */
2015-04-21T19:04:58+00:00,657724855,657724180,1,Lotusmediadesign,User talk:Lotusmediadesign,/* WP:RGNP */
2015-04-21T19:00:02+00:00,657721622,657716044,1,Lotusmediadesign,User talk:Lotusmediadesign,/* Your gross misconduct here on Wikipedia */
2015-04-21T18:49:09+00:00,657714156,657713800,1,Lotusmediadesign,User talk:Lotusmediadesign,/* SPI / Block evasion */
2015-04-21T18:48:47+00:00,657713800,657707113,1,Lotusmediadesign,User talk:Lotusmediadesign,/* SPI / Block evasion */
2015-04-21T18:34:36+00:00,657703628,657701863,1,Lotusmediadesign,User talk:Lotusmediadesign,/* SPI / Block evasion */ ASSHOLE
2015-04-21T18:31:46+00:00,657701608,657687531,1,Lotusmediadesign,User talk:Lotusmediadesign,/* SPI / Block evasion */ FUCK OFF
2015-04-21T17:48:21+00:00,657674582,657672544,1,Lotusmediadesign,User talk:Lotusmediadesign,/* Speedy deletion nomination of Khepera Records */ REMOVE PLEASE  DON'T WANT TO BE INCLUDED IN THE NAZI WIKI PAGE
2015-04-21T17:45:44+00:00,657672544,657621057,1,Lotusmediadesign,User talk:Lotusmediadesign,/* Nomination of Kimo Kaulani for deletion */
2012-01-11T19:44:59+00:00,470843963,470842788,1,Lotusmediadesign,User talk:Lotusmediadesign,Correction to format for Unblock response
2012-01-11T19:37:37+00:00,470842788,470793932,1,Lotusmediadesign,User talk:Lotusmediadesign,"Rebuttal, Response to being blocked!"
2009-06-29T03:55:23+00:00,299243981,299170377,1,Lotusmediadesign,List of 2008 albums,
2009-06-23T01:36:13+00:00,298035985,297841831,1,Lotusmediadesign,List of record labels: I–Q,/* K */
2009-01-15T11:35:32+00:00,264237520,259341037,1,Lotusmediadesign,Cindy Blackman Santana,/* Discography */
2015-04-02T01:58:18+00:00,654577091,654551346,1,Kkaulani,User talk:Kkaulani,/* Audio Blueprint */ {{OTRS pending}}
2009-06-29T09:32:33+00:00,299280125,265498688,0,Nihonjoe,User talk:Lotusmediadesign,/* June 2009 */ new section
2010-09-27T22:24:52+00:00,387411660,387079351,0,Wwwhatsup,Cindy Blackman Santana,port engagement refs over from Santana article
2011-11-01T05:33:47+00:00,458414942,455618026,0,Gongshow,List of 2008 albums,dab
2012-01-11T19:54:50+00:00,470845562,470843963,0,Tnxman307,User talk:Lotusmediadesign,/* Speedy deletion nomination of Audio Impulsion */ declining
2011-09-14T19:55:04+00:00,450522020,440630923,0,WOSlinker,Cindy Blackman Santana,remove invalid html comment from image_size
2013-10-21T00:06:49+00:00,578046381,574142552,0,5.65.232.115,List of 2008 albums,
2011-07-20T19:14:45+00:00,440529158,440444460,0,ArcAngel,List of record labels: I–Q,"Undid revision 440444460 by [[Special:Contributions/Curb Chain|Curb Chain]] ([[User talk:Curb Chain|talk]]) Undid ""fix"" that actually broke it"
2013-01-15T23:20:10+00:00,533277637,532465932,0,Gilliganfanatic,List of record labels: I–Q,/* O */ Add Ovation
2011-07-21T10:26:58+00:00,440630923,439352398,0,Yobot,Cindy Blackman Santana,Updated infobox  (BRFA 15) using [[Project:AWB|AWB]] (7788)
2009-03-27T15:14:41+00:00,280020075,277156455,0,FlaBot,Cindy Blackman Santana,robot  Adding: [[fr:Cindy Blackman]]
2009-02-15T09:04:55+00:00,270849843,269560257,0,TheTruthiness,List of 2008 albums,/* See also */
2013-10-15T21:08:06+00:00,577339515,574226462,0,Waacstats,Cindy Blackman Santana,Add persondata short description using [[Project:AWB|AWB]]
2012-11-17T11:53:47+00:00,523482008,522833524,0,VIAFbot,Cindy Blackman Santana,Added the {{[[Template:Authority control|Authority control]]}} template with VIAF number 85759351: http://viaf.org/viaf/85759351 . Please [[WP:VIAF/errors|report any errors]].
2013-01-27T01:22:07+00:00,535085276,531321448,0,107.202.24.228,Cindy Blackman Santana,
2010-03-06T03:54:30+00:00,348037722,337503020,0,TenPoundHammer,Cindy Blackman Santana,bad source
2012-07-20T08:35:32+00:00,503247936,499581568,0,ZéroBot,Cindy Blackman Santana,Robot: Adding [[nl:Cindy Blackman]]
2014-05-03T22:09:59+00:00,606951313,597739723,0,LittleWink,List of 2008 albums,Disambiguating links to [[This Gift]] (link changed to [[This Gift (Sons and Daughters album)]]) using [[User:Qwertyytrewqqwerty/DisamAssist|DisamAssist]].
2011-03-15T20:47:22+00:00,419011884,418463511,0,ShelfSkewed,List of 2008 albums,Disambiguate [[New Amerykah]] to [[New Amerykah Part One (4th World War)]]
2013-12-28T09:53:04+00:00,588049775,587945526,0,Jdaloner,List of 2008 albums,"/* January */ Changed ""Live from Las Vegas at the Palms"" to ""iTunes Live from Las Vegas at the Palms"" and linked it to the corresponding article."
2013-03-19T15:01:29+00:00,545442032,539505194,0,Addbot,List of 2008 albums,"[[User:Addbot|Bot:]] Migrating 1 interwiki links, now provided by [[Wikipedia:Wikidata|Wikidata]] on [[d:q6605535]]"
2009-12-16T21:52:16+00:00,332127430,332066070,0,WikHead,Cindy Blackman Santana,[[WP:UNDO|Undid]] revision 332066070 by [[Special:Contributions/Lizardkween|Lizardkween]] ([[User talk:Lizardkween|talk]]) Category does not exist
2012-05-22T21:04:33+00:00,493883879,481967382,0,98.122.166.219,Cindy Blackman Santana,On some occasions Blackman has added a hyphenate to her name. Her recent collection for retail with her husband credits her in its commercials as Cindy Blackman-Santana.
2014-04-03T11:44:05+00:00,602563399,600085555,0,Zm-art,Cindy Blackman Santana,/* Return to jazz */
2014-10-02T23:37:17+00:00,628016158,627388861,0,65.87.145.229,List of 2008 albums,/* January */
2014-12-05T19:30:23+00:00,636792770,631231676,0,Inwind,List of 2008 albums,"/* April */clean up, disamb using [[Project:AWB|AWB]]"
2011-01-10T13:18:23+00:00,407064923,406654834,0,Jimmy360,Cindy Blackman Santana,
2010-11-03T00:38:48+00:00,394488881,394488826,0,189.102.34.133,List of 2008 albums,/* October */
2013-04-30T02:19:02+00:00,552824401,550204468,0,BD2412,Cindy Blackman Santana,"minor fixes, mostly [[Wikipedia:Disambiguation pages with links|disambig links]] using [[Project:AWB|AWB]]"
2011-01-15T21:54:58+00:00,408092626,401897935,0,Tassedethe,List of 2008 albums,[[:en:WP:CLEANER|WPCleaner]] 0.99 - Repairing link to disambiguation page - [[WP:DPL|(You can help)]] - [[Portishead]]
2010-05-23T15:13:36+00:00,363742069,361177743,0,173.77.209.48,List of 2008 albums,/* November */
2011-06-12T06:26:26+00:00,433842718,433378859,0,Bearcat,List of record labels: I–Q,/* L */
2012-03-17T00:43:09+00:00,482289542,478517444,0,TenPoundHammer,List of 2008 albums,"again, CLEAN WHAT UP?!?!?!"
2013-11-17T00:20:17+00:00,581984873,578046381,0,Sadads,List of 2008 albums,"Disambiguated: [[Killing Season]] → [[Killing Season (album)]], [[The Human Abstract]] → [[The Human Abstract (band)]]"
2011-12-10T12:31:48+00:00,465111260,465111217,0,Latinator777,List of record labels: I–Q,Undid revision 465111217 by [[Special:Contributions/Latinator777|Latinator777]] ([[User talk:Latinator777|talk]])
2012-08-21T02:01:31+00:00,508384928,508380207,0,Wdchk,List of record labels: I–Q,rm 2 [[Wikipedia:Red link|red links]]; please [[Wikipedia:Write the article first|write the article first]] to establish notability
2009-12-18T18:50:30+00:00,332533664,332529470,0,PMDrive1061,List of record labels: I–Q,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/Yesitsme1982|Yesitsme1982]] ([[User talk:Yesitsme1982|talk]]) to last version by ArcAngel
2014-10-21T01:37:06+00:00,630456521,630145468,0,Wdchk,List of record labels: I–Q,/* P */ rm red link to deleted article
2010-09-24T20:11:34+00:00,386808043,386029806,0,91.17.232.34,List of record labels: I–Q,/* N */
2014-06-04T22:10:32+00:00,611591637,611515081,0,Wdchk,List of record labels: I–Q,/* N */ alpha sort
2010-11-08T02:08:01+00:00,395466551,395306790,0,86.147.206.66,List of record labels: I–Q,[[LTM]] -> [[LTM Recordings]]
2012-10-30T21:26:59+00:00,520650256,520643252,0,Srushe,List of record labels: I–Q,Reverted [[WP:AGF|good faith]] edits by [[Special:Contributions/Hstokar|Hstokar]] ([[User talk:Hstokar|talk]]): Remove link which goes to a non-label. ([[WP:TW|TW]])
2009-01-21T15:44:10+00:00,265498688,0,0,HexaChord,User talk:Lotusmediadesign,Welcome!
