timestamp,revid,parentid,sock,user,page,message
2012-08-05T07:51:41+00:00,505867725,479891597,1,Malvinworks,Wikipedia:Sockpuppet investigations/Malvinworks,[[WP:AES|←]]Blanked the page
2012-08-05T07:41:58+00:00,505866909,505783695,1,Malvinworks,Pet Shop Boys,"Brandon Flowers is NOT widely considered to be homosexual, nor have there been articles questioning this. He is a married man with two children."
2012-02-29T23:01:58+00:00,479556580,479440942,1,Malvinworks,User talk:Malvinworks,[[WP:AES|←]]Blanked the page
2012-02-28T23:05:47+00:00,479376469,479371177,1,Malvinworks,Wikipedia:Articles for deletion/Seth Morgan Romero,/* Seth Morgan Romero */
2012-02-28T21:57:20+00:00,479366400,479366303,1,Malvinworks,Wikipedia:Articles for deletion/Seth Morgan Romero,/* Seth Morgan Romero */
2012-02-28T21:56:37+00:00,479366303,479366209,1,Malvinworks,Wikipedia:Articles for deletion/Seth Morgan Romero,
2012-02-28T21:55:58+00:00,479366209,479363530,1,Malvinworks,Wikipedia:Articles for deletion/Seth Morgan Romero,/* Seth Morgan Romero */
2012-02-28T21:48:08+00:00,479364970,479327384,1,Malvinworks,User talk:MikeWazowski,/* Hello */ new section
2012-02-28T19:59:13+00:00,479348018,479347749,1,Malvinworks,Wikipedia:Articles for deletion/Seth Morgan Romero,/* Seth Morgan Romero */
2012-02-28T19:57:33+00:00,479347749,479347600,1,Malvinworks,Wikipedia:Articles for deletion/Seth Morgan Romero,
2012-02-28T19:55:23+00:00,479347436,479346593,1,Malvinworks,Wikipedia:Articles for deletion/Seth Morgan Romero,
2012-02-28T19:48:02+00:00,479346255,479341247,1,Malvinworks,Wikipedia:Articles for deletion/Seth Morgan Romero,[[WP:AES|←]]Blanked the page
2012-02-28T19:43:32+00:00,479345474,479342683,1,Malvinworks,Wikipedia:Articles for deletion/Log/2012 February 28,
2012-02-28T19:30:44+00:00,479343166,479341257,1,Malvinworks,User talk:Malvinworks,[[WP:AES|←]]Blanked the page
2012-02-28T18:55:23+00:00,479338147,479337908,1,Malvinworks,User:MikeWazowski,
2012-02-28T18:53:48+00:00,479337908,473817262,1,Malvinworks,User:MikeWazowski,
2012-02-28T09:03:43+00:00,479270454,479270325,1,Malvinworks,User talk:Malvinworks,[[WP:AES|←]]Blanked the page
2012-02-29T09:41:17+00:00,479445380,479441031,1,MaxMagnum1991,User talk:MaxMagnum1991,[[WP:AES|←]]Blanked the page
2012-02-29T08:06:35+00:00,479437659,479432930,1,MaxMagnum1991,Wikipedia:Articles for deletion/Seth Morgan Romero,
2012-02-29T05:10:06+00:00,479422128,479422109,1,MaxMagnum1991,Wikipedia:Articles for deletion/Seth Morgan Romero,
2012-02-29T05:09:50+00:00,479422109,479420948,1,MaxMagnum1991,Wikipedia:Articles for deletion/Seth Morgan Romero,
2012-02-29T10:04:39+00:00,479447045,479446486,1,OmniWorldMan,Wikipedia:Articles for deletion/Seth Morgan Romero,
2012-02-29T09:57:39+00:00,479446486,479442102,1,OmniWorldMan,Wikipedia:Articles for deletion/Seth Morgan Romero,
2012-02-29T04:50:12+00:00,479420089,479341198,1,OmniWorldMan,User:MikeWazowski,Message.
2012-02-29T04:25:32+00:00,479417721,479394861,1,OmniWorldMan,Wikipedia:Articles for deletion/Seth Morgan Romero,/* Seth Morgan Romero */
2012-02-28T23:13:09+00:00,479377505,479377275,1,OmniWorldMan,Wikipedia:Articles for deletion/Seth Morgan Romero,/* Seth Morgan Romero */
2012-02-28T23:11:34+00:00,479377275,479377243,1,OmniWorldMan,Wikipedia:Articles for deletion/Seth Morgan Romero,
2012-02-28T23:11:20+00:00,479377243,479376469,1,OmniWorldMan,Wikipedia:Articles for deletion/Seth Morgan Romero,
2012-03-01T14:07:45+00:00,479651789,479318692,0,Quentin X,Pet Shop Boys,"/* Bilingual, Nightlife and the musical Closer to Heaven: 1996–2001 */"
2012-02-29T05:01:53+00:00,479421300,479420089,0,MikeWazowski,User:MikeWazowski,Undid revision 479420089 by [[Special:Contributions/OmniWorldMan|OmniWorldMan]] ([[User talk:OmniWorldMan|talk]]) not the place for this
2012-03-09T14:42:12+00:00,481007839,481007509,0,Martijn Hoekstra,Wikipedia:Articles for deletion/Log/2012 February 28,Relisting [[Wikipedia:Articles for deletion/Economics of Development]]
2012-06-19T06:33:02+00:00,498297940,498212406,0,Red Jay,Pet Shop Boys,/* Actually and It Couldn't Happen Here: 1987–88 */ remove 'already'
2012-03-12T15:38:12+00:00,481526930,481521605,0,Shogrefe,User talk:MikeWazowski,/* Zenprise: Multiple Issues */ new section
2012-07-25T17:23:30+00:00,504140090,503887829,0,Msnicki,User talk:MikeWazowski,
2012-03-07T21:18:18+00:00,480729629,480728749,0,Aaron Booth,Wikipedia:Articles for deletion/Seth Morgan Romero,Reverted 1 edit by [[Special:Contributions/108.7.162.207|108.7.162.207]] ([[User talk:108.7.162.207|talk]]) identified as [[WP:VAND|vandalism]] to last revision by DGG. ([[WP:TW|TW]])
2012-03-01T03:32:55+00:00,479588903,479508727,0,Sethmorganworks,Wikipedia:Articles for deletion/Seth Morgan Romero,
2012-03-06T22:27:29+00:00,480564460,479768561,0,DGG,Wikipedia:Articles for deletion/Seth Morgan Romero,"Closing debate, result was delete"
2012-03-02T22:49:50+00:00,479891597,479579379,0,AmandaNP,Wikipedia:Sockpuppet investigations/Malvinworks,Archiving case to [[Wikipedia:Sockpuppet investigations/Malvinworks/Archive]]
2012-07-07T07:58:13+00:00,501069099,501065376,0,Qwyrxian,Pet Shop Boys,Undid revision 501065376 by [[Special:Contributions/68.228.80.90|68.228.80.90]] ([[User talk:68.228.80.90|talk]]) rv removal: appears to be verified by a reliable source
2012-06-25T16:41:05+00:00,499307008,498297940,0,90.221.68.159,Pet Shop Boys,/* Format and Elysium: 2011–present */
2012-07-25T18:33:32+00:00,504149285,504145315,0,Lowercase sigmabot,Pet Shop Boys,Adding protection template to protected page) (bot
2012-05-01T17:13:39+00:00,490154032,487514329,0,195.194.238.103,Pet Shop Boys,cu
2012-07-08T15:35:26+00:00,501255594,501069099,0,RedBot,Pet Shop Boys,r2.7.2) (Robot: Modifying [[vo:Pet Shop Boys]]
2012-04-10T22:15:56+00:00,486706081,485901962,0,Derek R Bullamore,Pet Shop Boys,Filling in 1 references using [[WP:REFLINKS|Reflinks]]
2012-07-05T11:56:33+00:00,500787248,500436125,0,Goyushek,Pet Shop Boys,
2012-04-06T13:52:17+00:00,485901962,483988277,0,Ptbotgourou,Pet Shop Boys,r2.7.2) (Robot: Modifying [[ka:პეტ შოპ ბოიზი]]
2012-02-28T16:34:10+00:00,479318692,479310305,0,Ericorbit,Pet Shop Boys,Reverted 1 edit by [[Special:Contributions/81.5.183.25|81.5.183.25]] ([[User talk:81.5.183.25|talk]]) identified as [[WP:VAND|vandalism]] to last revision by GoingBatty. ([[WP:TW|TW]])
2012-05-15T23:01:55+00:00,492776999,492776086,0,Qwyrxian,Pet Shop Boys,Reverted 2 edits by [[Special:Contributions/Kleinhond|Kleinhond]] ([[User talk:Kleinhond|talk]]): Same unsourced trivia as before; reprotecting next. ([[WP:TW|TW]])
2012-05-08T13:40:56+00:00,491381118,491380965,0,195.74.155.1,Pet Shop Boys,"/* New album, Format: 2011–Present */"
2012-03-29T02:41:49+00:00,484477496,484477340,0,Zhwxy,User talk:MikeWazowski,/* Hello! about Notability */
2012-05-06T23:44:36+00:00,491089078,491087708,0,Student 5429,User talk:MikeWazowski,/* Minecon */
2012-04-23T20:20:12+00:00,488873046,488387680,0,31Julho1985,User talk:MikeWazowski,/* There's a new message directed at you at Joel McHale's talk page */ new section
2012-05-25T23:01:53+00:00,494383109,494370709,0,Vanished user k3rmwkdmn4tjna3d,User talk:MikeWazowski,/* Chitti (character) redirect */ new section
2012-06-16T04:06:24+00:00,497817155,497624704,0,Hazard-Bot,User talk:MikeWazowski,[[Wikipedia:Bots|Robot]]: Notifiying of your non-free image upload
2012-06-05T05:38:49+00:00,496064890,496024039,0,RockMagnetist,User talk:MikeWazowski,/* Berenstain Bears */ I see what you mean
2012-07-24T04:12:43+00:00,503887829,503705063,0,Paul Erik,User talk:MikeWazowski,/* Speedy deletion declined: The Contortionist and Intrinsic (album) */ new section
2012-07-26T06:53:23+00:00,504231954,504191911,0,Theopolisme,User talk:MikeWazowski,Notifying about contested speedy deletion ([[User:Ale_jrb/Scripts|CSDH]])
2012-04-17T18:33:42+00:00,487874358,487873509,0,Toddst1,User talk:MikeWazowski,/* Rollback */  third block in a little over 2 years
2012-03-03T17:51:46+00:00,480009457,480007789,0,Alpha Quadrant,User talk:MikeWazowski,/* Edit war a brewin... */ comment
2012-03-24T21:42:00+00:00,483746555,483746376,0,SineBot,User talk:MikeWazowski,"Signing comment by [[User:Exstraap|Exstraap]] - ""/* source citings */ new section"""
2012-05-30T22:58:38+00:00,495209203,495209048,0,Vanished user k3rmwkdmn4tjna3d,User talk:MikeWazowski,/* Chitti (character) */
2012-07-30T04:09:43+00:00,504876821,504872463,0,Lexein,User talk:MikeWazowski,/* H. G. Wells' The War of the Worlds (2005 film) */ update
