timestamp,revid,parentid,sock,user,page,message
2016-11-05T13:57:25+00:00,747963321,743946071,1,Maria_Dulight,Prêmio Jovem Brasileiro,
2016-11-05T13:56:46+00:00,747963261,747963044,1,Maria_Dulight,Hugo Gloss,
2016-11-05T13:54:29+00:00,747963044,0,1,Maria_Dulight,Hugo Gloss,[[WP:AES|←]]Created page with '{{Infobox person | name                    = Hugo Gloss | image                   =  | caption                 =  | birth_name              = Bruno Rocha | birth...'
2016-11-27T15:19:20+00:00,751736213,0,1,Bia_Jjota,User talk:Bia Jjota,"[[WP:AES|←]]Created page with 'I am Bia Jota, I want to contribute to Wikipedia, providing information about music and TV artists, I want to help Wikipedia be the best free, serious and trustw...'"
2016-11-27T15:18:16+00:00,751736086,751498060,1,Bia_Jjota,Wikipedia:Articles for deletion/BreakTudo,/* BreakTudo */
2016-11-27T15:13:08+00:00,751735479,749583645,1,Bia_Jjota,Edu Gueda,
2016-11-27T15:12:37+00:00,751735419,0,1,Bia_Jjota,User:Bia Jjota,"[[WP:AES|←]]Created page with 'I am Bia Jota, I want to contribute to Wikipedia, providing information about music and TV artists, I want to help Wikipedia be the best free, serious and trustw...'"
2016-11-23T01:15:11+00:00,751044940,750628349,1,Katyyyy_5,Chris Leão,
2016-11-23T00:44:55+00:00,751041698,751016174,1,Katyyyy_5,Wikipedia:Articles for deletion/BreakTudo,
2016-11-22T17:35:50+00:00,750983633,750740618,1,Katyyyy_5,Wikipedia:Articles for deletion/Gustavo Rocha,
2016-11-21T15:17:31+00:00,750737981,750727929,1,Katyyyy_5,Wikipedia:Articles for deletion/Gustavo Rocha,
2016-11-21T14:46:50+00:00,750733579,750733428,1,Katyyyy_5,Lucas Malvacini,
2016-11-21T14:45:50+00:00,750733428,0,1,Katyyyy_5,Lucas Malvacini,[[WP:AES|←]]Created page with '{{Infobox person | name                    = Lucas Malvacini | image                   = | caption                 = | birth_name              =  | birth_date...'
2016-11-20T14:44:47+00:00,750562346,750562300,1,Katyyyy_5,Vagalume,
2016-11-20T14:44:25+00:00,750562300,750562008,1,Katyyyy_5,Vagalume,
2016-11-20T14:42:34+00:00,750562008,750561924,1,Katyyyy_5,Vagalume,
2016-11-20T14:41:58+00:00,750561924,0,1,Katyyyy_5,Vagalume,[[WP:AES|←]]Created page with '{{Infobox website | name               = Vagalume | logo               =  | logo_size          = <!-- default 250px --> | logo_alt           = Logotype of the Br...'
2016-11-19T16:46:56+00:00,750417927,750416059,1,Katyyyy_5,Ryn Dean,
2016-11-19T16:33:02+00:00,750416059,745882717,1,Katyyyy_5,Ryn Dean,/* Biography */
2016-11-17T20:07:25+00:00,750095921,0,1,Katyyyy_5,User talk:Maria Silva 12,[[WP:AES|←]]Created page with 'An American woman'
2016-11-17T20:06:47+00:00,750095830,0,1,Katyyyy_5,User:Maria Silva 12,[[WP:AES|←]]Created page with 'An American woman'
2016-11-17T19:58:57+00:00,750094626,0,1,Katyyyy_5,User talk:Katyyyy 5,[[WP:AES|←]]Created page with 'Help me edit pages'
2016-11-17T19:57:18+00:00,750094389,0,1,Katyyyy_5,User:Katyyyy 5,"[[WP:AES|←]]Created page with 'Katy, I'm a teacher, I contribute in wikipedia, to be able to help improve the biggest free encyclopedia of quality.'"
2016-11-26T02:27:50+00:00,751497766,751119427,1,Maria_Silva_12,Wikipedia:Articles for deletion/BreakTudo,/* BreakTudo */
2016-11-17T12:52:29+00:00,750028639,748310497,1,Maria_Silva_12,Chris Leão,
2016-11-15T02:39:53+00:00,749583645,749580285,1,Maria_Silva_12,Edu Gueda,
2016-11-15T02:39:34+00:00,749583614,742716589,1,Maria_Silva_12,List of Brazilian musicians,/* Música sertaneja */
2016-11-14T17:22:08+00:00,749497234,749497130,1,Maria_Silva_12,Edu Gueda,
2016-11-14T17:21:24+00:00,749497130,749495593,1,Maria_Silva_12,Edu Gueda,
2016-11-14T17:12:46+00:00,749495593,749495359,1,Maria_Silva_12,Edu Gueda,
2016-11-14T17:11:28+00:00,749495359,0,1,Maria_Silva_12,Edu Gueda,[[WP:AES|←]]Created page with '{{Infobox person | name                    = Edu Gueda | image                   = | caption                 =  | birth_name              = Eduardo Gueda  | birt...'
2016-11-23T01:15:11+00:00,751044940,750628349,0,Katyyyy 5,Chris Leão,
2016-11-15T02:39:53+00:00,749583645,749580285,0,Maria Silva 12,Edu Gueda,
2016-11-01T00:13:12+00:00,747195719,747184845,0,BD2412,Chris Leão,/* top */repair [[Wikipedia:Disambiguation pages with links|disambig pages with links]] and other minor tasks using [[Project:AWB|AWB]]
2016-11-17T12:52:29+00:00,750028639,748310497,0,Maria Silva 12,Chris Leão,
2016-11-05T14:25:46+00:00,747966064,747963261,0,MrX,Hugo Gloss,/* Indications and awards */ None of these references support the subject having won these awards. Wikipedia is not a reliable source per [[WP:CIRCULAR]].
