timestamp,revid,parentid,sock,user,page,message
2018-04-23T13:57:10+00:00,837862742,0,1,Mark.e.wright,Talk:Mark Wright (entrepreneur),/* Contested deletion */ new section
2018-04-23T13:53:42+00:00,837862264,837860673,1,Mark.e.wright,User talk:Vermont,/* Mark Wright (entrepreneur) */ new section
2018-04-23T13:39:42+00:00,837860273,0,1,Mark.e.wright,Mark Wright (entrepreneur),created a page for myself with a brief description
2018-07-09T10:00:21+00:00,849484513,849483963,1,ElenaDemetriou,Mark Wright (entrepreneur),
2018-07-09T09:53:55+00:00,849483963,841885717,1,ElenaDemetriou,Mark Wright (entrepreneur),
2018-05-18T18:18:52+00:00,841885717,838068258,0,Keith D,Mark Wright (entrepreneur),/* top */Fix cite date error using [[Project:AWB|AWB]]
2018-04-23T15:33:06+00:00,837875391,837867642,0,SoWhy,Talk:Mark Wright (entrepreneur),/* Contested deletion */ not strictly correct
2018-06-24T05:08:53+00:00,847279072,846667333,0,Lowercase sigmabot III,User talk:Vermont,Archiving 3 discussion(s) to [[User talk:Vermont/Archive 9]]) (bot
2018-04-24T18:35:54+00:00,838068258,837866183,0,GünniX,Mark Wright (entrepreneur),Reference list duplication
2018-05-17T20:29:28+00:00,841751173,841751121,0,Vermont,User talk:Vermont,/* CVU Training */ fix link
2018-06-07T14:21:19+00:00,844838217,844772949,0,Legobot,User talk:Vermont,/* Your [[WP:GA|GA]] nomination of [[Charles Mattocks]] */ new section
2018-05-12T15:00:41+00:00,840844295,840702394,0,MediaWiki message delivery,User talk:Vermont,"/* The Bugle: Issue CXLIV, May 2018 */ new section"
