timestamp,revid,parentid,sock,user,page,message
2015-03-27T23:46:36+00:00,653820518,653820452,1,McBeavis,Cory Booker,Undid revision 653820452 by [[Special:Contributions/ClueBot NG|ClueBot NG]] ([[User talk:ClueBot NG|talk]])
2015-03-27T23:45:59+00:00,653820448,653816780,1,McBeavis,Cory Booker,
2015-03-27T23:44:13+00:00,653820301,653820107,1,McBeavis,Bob Menendez,Undid revision 653820107 by [[Special:Contributions/ClueBot NG|ClueBot NG]] ([[User talk:ClueBot NG|talk]])
2015-03-27T23:41:41+00:00,653820097,653814428,1,McBeavis,Bob Menendez,
2015-03-28T00:08:45+00:00,653822790,653820738,1,Bag_Of_Anal,Cory Booker,Undid revision 653820738 by [[Special:Contributions/ClueBot NG|ClueBot NG]] ([[User talk:ClueBot NG|talk]])
2015-03-28T00:08:16+00:00,653822717,653822468,1,Bag_Of_Anal,Bob Menendez,Undid revision 653822468 by [[Special:Contributions/Joseph2302|Joseph2302]] ([[User talk:Joseph2302|talk]])
2015-03-28T00:07:35+00:00,653822647,653816716,1,Bag_Of_Anal,Efforts to impeach Barack Obama,
2015-03-28T00:05:13+00:00,653822359,653822291,1,Bag_Of_Anal,Bob Menendez,Undid revision 653822291 by [[Special:Contributions/ClueBot NG|ClueBot NG]] ([[User talk:ClueBot NG|talk]])
2015-03-28T00:04:35+00:00,653822285,653820674,1,Bag_Of_Anal,Bob Menendez,
2016-10-26T21:40:40+00:00,746350229,746350165,1,CrossBop,Bob Menendez,Undid revision 746350165 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:39:49+00:00,746350135,746350103,1,CrossBop,Bob Menendez,Undid revision 746350103 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:39:16+00:00,746350086,746350030,1,CrossBop,Bob Menendez,Undid revision 746350030 by [[Special:Contributions/Crboyer|Crboyer]] ([[User talk:Crboyer|talk]])
2016-10-26T21:38:42+00:00,746350025,746349994,1,CrossBop,Bob Menendez,Undid revision 746349994 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:38:03+00:00,746349956,746349893,1,CrossBop,Bob Menendez,Undid revision 746349893 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:37:27+00:00,746349877,746349821,1,CrossBop,Bob Menendez,Undid revision 746349821 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:36:28+00:00,746349772,746349716,1,CrossBop,Bob Menendez,Undid revision 746349716 by [[Special:Contributions/Crboyer|Crboyer]] ([[User talk:Crboyer|talk]])
2016-10-26T21:35:50+00:00,746349695,746349657,1,CrossBop,Bob Menendez,Undid revision 746349657 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:35:14+00:00,746349621,746349546,1,CrossBop,Bob Menendez,Undid revision 746349546 by [[Special:Contributions/Crboyer|Crboyer]] ([[User talk:Crboyer|talk]])
2016-10-26T21:34:32+00:00,746349525,746349472,1,CrossBop,Bob Menendez,Undid revision 746349472 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:33:55+00:00,746349450,746349410,1,CrossBop,Bob Menendez,Undid revision 746349410 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:33:21+00:00,746349380,746349336,1,CrossBop,Bob Menendez,Undid revision 746349336 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:32:30+00:00,746349265,746349218,1,CrossBop,Bob Menendez,Undid revision 746349218 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:31:06+00:00,746349095,746349039,1,CrossBop,Bob Menendez,Undid revision 746349039 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:30:09+00:00,746348992,746348928,1,CrossBop,Bob Menendez,Undid revision 746348928 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:28:28+00:00,746348766,746348567,1,CrossBop,Bob Menendez,Undid revision 746348567 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-25T19:15:23+00:00,746180094,746179963,1,FryGuy420,Bob Menendez,Undid revision 746179963 by [[Special:Contributions/Junior5a|Junior5a]] ([[User talk:Junior5a|talk]])
2016-10-25T19:13:15+00:00,746179791,746179765,1,FryGuy420,Bob Menendez,Undid revision 746179765 by [[Special:Contributions/ClueBot NG|ClueBot NG]] ([[User talk:ClueBot NG|talk]])
2016-10-25T19:12:49+00:00,746179742,746131790,1,FryGuy420,Bob Menendez,
2015-03-27T23:48:58+00:00,653820732,653820572,1,I'm_A_Wet_Willie!,Cory Booker,Undid revision 653820572 by [[Special:Contributions/Joseph2302|Joseph2302]] ([[User talk:Joseph2302|talk]])
2015-03-27T23:48:06+00:00,653820648,653820330,1,I'm_A_Wet_Willie!,Bob Menendez,Undid revision 653820330 by [[Special:Contributions/Amaury|Amaury]] ([[User talk:Amaury|talk]])
2016-10-25T19:16:54+00:00,746180308,746180094,1,Knifer69,Bob Menendez,
2016-10-26T21:26:40+00:00,746348544,746348486,1,Slashindude,Bob Menendez,Undid revision 746348486 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:25:30+00:00,746348389,746348345,1,Slashindude,Bob Menendez,Undid revision 746348345 by [[Special:Contributions/LuK3|LuK3]] ([[User talk:LuK3|talk]])
2016-10-26T21:24:32+00:00,746348282,746348224,1,The_Stickee!,Bob Menendez,Undid revision 746348224 by [[Special:Contributions/ClueBot NG|ClueBot NG]] ([[User talk:ClueBot NG|talk]])
2016-10-26T21:24:00+00:00,746348209,746180467,1,The_Stickee!,Bob Menendez,
2016-06-14T15:50:10+00:00,725264288,713586714,0,Dndacey,Bob Menendez,/* Electoral history */ added elections
2016-07-02T01:32:55+00:00,727917519,727161407,0,BD2412bot,Bob Menendez,"/* top */Per requested move discussion., replaced: [[New York City]], [[New York]] → [[New York City]], [[New York (state)|New York]] using [[Project:AWB|AWB]]"
2016-04-04T21:59:17+00:00,713586714,706796982,0,Sunshineisles2,Bob Menendez,
2016-02-08T15:16:26+00:00,703935102,703933255,0,Motsebboh,Bob Menendez,/* Federal Investigations of Menendez */
2015-09-06T13:47:20+00:00,679740218,679300763,0,009o9,Bob Menendez,/* Foreign affairs issues */ wikilink to book article - paid edit
2016-06-15T04:23:15+00:00,725352474,725264288,0,Yobot,Bob Menendez,[[WP:CHECKWIKI]] error fixes using [[Project:AWB|AWB]] (12023)
2016-08-20T13:42:49+00:00,735404235,735403777,0,NatGertler,Bob Menendez,"/* Gay Marriage issues */ Correct header capitalization, minor phrasing tweaks as unpassed legislation does not repeal anything."
2015-10-13T11:31:43+00:00,685533180,684368254,0,DumbBOT,Bob Menendez,removing a protection template from a non-protected page ([[User:DumbBOT/Protection|info]])
2015-11-19T19:45:30+00:00,691428291,687404293,0,Ich,Bob Menendez,/* Federal Investigations of Menendez */ Added cite for sex offender status
2016-02-25T09:47:40+00:00,706796982,706784358,0,Archwayh,Bob Menendez,/* Law practice */
2015-07-22T12:53:17+00:00,672575932,667943424,0,The Traditionalist,Bob Menendez,"I think that only middle names are abbreviated for middle initials, not maiden names."
2015-05-04T06:24:41+00:00,660718512,659150833,0,KasparBot,Bob Menendez,authority control moved to wikidata
2015-06-21T15:39:39+00:00,667943424,667092032,0,Coemgenus,Bob Menendez,/* 2015 federal indictment on corruption charges */ comma
2016-08-26T01:08:34+00:00,736221247,735404235,0,I dream of horses,Bob Menendez,"/* Other issues */clean up, [[WP:AWB/T|typo(s) fixed]]: Subsequently → Subsequently, using [[Project:AWB|AWB]]"
2015-04-14T21:25:23+00:00,656506278,656499098,0,Gilo1969,Bob Menendez,fix citation with wikilinks embedded in URL title
2015-05-09T09:38:14+00:00,661531221,660718512,0,All Hallow's Wraith,Bob Menendez,under birth_name
2016-09-29T16:45:46+00:00,741780866,736221247,0,Aboutmovies,Bob Menendez,"removed [[Category:People from Union City, New Jersey]]; added [[Category:Politicians from Union City, New Jersey]] using [[WP:HC|HotCat]]"
2015-04-04T04:53:21+00:00,654872906,654871814,0,Jdphenix,Bob Menendez,"Removed controversies section and split content among tenure section, kept section regarding current 2015 bribery indictment and linked in lead-in, see [[WP:CSECTION]]."
2015-04-25T15:05:40+00:00,659150833,658782830,0,Scaravich105nj,Bob Menendez,"he was indicted 25 days ago. This useless, belly-gazing utterly defective tag is not needed."
2015-08-19T16:44:41+00:00,676861371,676811102,0,Plot Spoiler,Bob Menendez,refine
2015-10-06T05:54:04+00:00,684368254,684368245,0,NeilN,Bob Menendez,Adding {{pp-vandalism}} ([[WP:TW|TW]])
2015-09-24T11:59:42+00:00,682547542,679740218,0,Alansohn,Bob Menendez,add cat
2015-09-03T18:41:59+00:00,679300763,676861371,0,Orenburg1,Bob Menendez,sp
2016-09-05T19:11:30+00:00,737907983,737767072,0,GreenC bot,Cory Booker,[[User:Green Cardamom/WaybackMedic 2|WaybackMedic 2]]
2016-05-31T11:40:44+00:00,723002759,722612287,0,Sbaio,Cory Booker,[[MOS:OVERLINK]]
2015-07-16T15:10:00+00:00,671719845,670386105,0,Villanator,Cory Booker,/* Personal life */
2016-08-28T08:49:13+00:00,736554556,736554495,0,Dale Arnett,Cory Booker,"/* Early life, education, and early career */"
2015-10-22T12:39:40+00:00,686957509,683851974,0,Ashmoo,Cory Booker,these should important enough for the lede
2015-07-07T16:58:47+00:00,670386105,665936660,0,Aplaster,Cory Booker,/* 2014 election */
2015-12-26T14:13:33+00:00,696865238,696864937,0,Pinethicket,Efforts to impeach Barack Obama,Undid revision 696864937 by [[Special:Contributions/2606:A000:6AE2:8500:5C70:344D:A2F9:BDC4|2606:A000:6AE2:8500:5C70:344D:A2F9:BDC4]] ([[User talk:2606:A000:6AE2:8500:5C70:344D:A2F9:BDC4|talk]]) no impr
2015-11-19T16:55:33+00:00,691406725,691404555,0,Dave Dial,Efforts to impeach Barack Obama,Reverted edits by [[Special:Contribs/2606:A000:7042:B400:225:4BFF:FEB5:DA38|2606:A000:7042:B400:225:4BFF:FEB5:DA38]] ([[User talk:2606:A000:7042:B400:225:4BFF:FEB5:DA38|talk]]) to last version by ClueBot NG
2016-04-30T06:03:37+00:00,717867983,717853320,0,AnomieBOT,Cory Booker,"Rescuing orphaned refs (""onegreenplanet.org"" from rev 717853140)"
2016-02-20T07:54:48+00:00,705909969,705909618,0,Mksword,Cory Booker,Became vegan in 2014
