timestamp,revid,parentid,sock,user,page,message
2019-08-05T06:00:18+00:00,909403367,909402243,1,Mdanman2,Keith Fink,citation improvement
2019-08-05T05:44:29+00:00,909402243,909393421,1,Mdanman2,Keith Fink,Modified legal career for accuracy and sentence clarity. It was prior inaccurate.
2015-05-16T02:41:21+00:00,662533556,652753408,1,Mdanman2,Conspicuous consumption,
2015-05-15T22:22:53+00:00,662509388,662509041,1,Mdanman2,Talk:Harry Blackmun,/* Untitled */
2015-05-15T22:18:09+00:00,662508935,640533803,1,Mdanman2,Talk:Harry Blackmun,/* Untitled */
2019-08-05T06:28:29+00:00,909405387,909403367,1,BatManatee,Keith Fink,removed POV
2019-08-05T00:42:12+00:00,909375477,909373916,1,BatManatee,Keith Fink,improved neutrality and accuracy in introduction
2019-08-05T00:27:14+00:00,909373916,909370870,1,BatManatee,Keith Fink,clarified introduction
2019-08-05T00:01:49+00:00,909370870,909369170,1,BatManatee,Keith Fink,Added POV tag
2019-08-14T19:02:13+00:00,910829521,910828732,1,MokuluaLover,Keith Fink,"added Businessweek citation re ""animal house"" at American Apparel"
2019-08-14T18:55:47+00:00,910828732,910827076,1,MokuluaLover,Keith Fink,/* Babyface (2002) */ light copy-edit; added references to existing wiki articles as appropriate.
2019-08-14T18:39:16+00:00,910827076,910826694,1,MokuluaLover,Keith Fink,copy-edited Rodney King case; verified citation.
2019-08-14T18:35:34+00:00,910826694,910824680,1,MokuluaLover,Keith Fink,"added introduction to ""notable cases"" section explaining - to non-legal readers - what would make a case 'significant' for a lawyer."
2019-08-14T18:24:46+00:00,910825356,910823012,1,MokuluaLover,Javad Khamenei,light copyediting
2019-08-14T18:19:40+00:00,910824680,910824606,1,MokuluaLover,Keith Fink,deleted reference to case that lacked citation
2019-08-14T18:19:00+00:00,910824606,910824314,1,MokuluaLover,Keith Fink,added citation to workplace speech book
2019-08-14T18:16:34+00:00,910824314,910823837,1,MokuluaLover,Keith Fink,corrected book titles; previous editor listed book on campus speech twice.  added citation for campus speech book
2019-08-14T18:13:06+00:00,910823837,910823670,1,MokuluaLover,Keith Fink,corrected name of secondary school + amended link to related wikipedia article
2019-08-14T18:11:44+00:00,910823670,910823490,1,MokuluaLover,Keith Fink,deleted reference to image no longer in WikiCommons
2019-08-14T18:10:29+00:00,910823490,910489467,1,MokuluaLover,Keith Fink,"reverted to old version of page with minimal puffery while containing substantive content. Retained shorter, cleaner introduction from prior edit. Need review sources again for accuracy (or existence of archives)."
2019-08-14T18:06:12+00:00,910823012,910822793,1,MokuluaLover,Javad Khamenei,added stub tag; this article is not substantial at all
2019-08-14T18:04:28+00:00,910822793,910752870,1,MokuluaLover,Javad Khamenei,Edited lightly to improve grammar and copy edits
2019-08-06T18:03:36+00:00,909643874,209334392,1,MokuluaLover,Talk:Na Mokulua,added section to discuss possible plagiarism
2019-08-06T18:00:44+00:00,909643501,909642518,1,MokuluaLover,Na Mokulua,removed 'missing citation' by adding a citation.
2019-08-06T17:54:08+00:00,909642518,909642105,1,MokuluaLover,Na Mokulua,fixed punctuation problem
2019-08-06T17:51:09+00:00,909642105,855961876,1,MokuluaLover,Na Mokulua,Oahu to O'ahu consistent with Hawaiian nativism
2019-08-05T22:58:34+00:00,909516877,909516745,1,N281VA,Talk:Keith Fink,
2019-08-05T22:57:27+00:00,909516745,909516688,1,N281VA,Talk:Keith Fink,/* List of Cases */
2019-08-05T22:56:57+00:00,909516688,909515920,1,N281VA,Talk:Keith Fink,/* List of Cases */ new section
2019-08-05T22:50:27+00:00,909515920,909457231,1,N281VA,Talk:Keith Fink,"/* A Commons file used on this page has been nominated for speedy deletion */ I don't believe speedy deletion is appropriate when the image is of the subject on the subjects page. Regular deletion, perhaps.  But speedy, no."
2019-08-05T22:45:55+00:00,909515411,909466812,1,N281VA,Delta Air Lines,/* Delta One */ clarified that 757-200 aircraft *do* have lie-flat seats - but only a small subfleet
2019-08-05T22:40:56+00:00,909514881,0,1,N281VA,User:N281VA,added general categories of knowledge
2019-08-05T21:55:37+00:00,909510343,909510199,1,N281VA,List of Virgin Atlantic destinations,Undid revision 909510199 by [[Special:Contributions/N281VA|N281VA]] ([[User talk:N281VA|talk]])
2019-08-05T21:54:17+00:00,909510199,909509671,1,N281VA,List of Virgin Atlantic destinations,
2019-08-05T21:49:47+00:00,909509671,909509618,1,N281VA,List of Virgin Atlantic destinations,Fixed typo 2018 --> 2020
2019-08-05T21:49:17+00:00,909509618,906588486,1,N281VA,List of Virgin Atlantic destinations,"Per recent news, updated list to reflect St. Lucia route ending on 07 June 2020"
2019-08-05T21:39:11+00:00,909508300,909116917,1,N281VA,Kahului Airport,
2019-08-05T21:27:54+00:00,909506846,909067118,1,N281VA,Hawaiian Airlines,Noted the existence of a LAX crew base
2019-08-21T20:06:06+00:00,911886217,911885901,1,RedwoodA320,Keith Fink,"changed ""lawyer"" to ""attorney"" and also implemented changes fro prior authors which i thought were useful"
2019-08-21T20:03:29+00:00,911885901,911885641,1,RedwoodA320,Keith Fink,Lawyer to  Attorney
2019-08-15T22:56:37+00:00,910999407,883515155,1,RedwoodA320,C. David Cush,Updated to reflect current role
2019-08-15T22:50:47+00:00,910998844,909800400,1,RedwoodA320,Acton-Boxborough Regional High School,
2020-01-28T17:35:10+00:00,938021873,936581929,1,Skatingmonkey857,Elmira Corning Regional Airport,Removed Atlanta from Delta seasonal service (the route was not renewed for 2020)
2020-01-28T17:30:30+00:00,938021258,0,1,Skatingmonkey857,User:Skatingmonkey857,added about me
2020-01-28T17:11:49+00:00,938018822,930672567,1,Skatingmonkey857,Keith Fink,"updated bio section, added information, clarified information."
2020-01-28T16:59:03+00:00,938017132,936711256,1,Skatingmonkey857,Tupolev Tu-204,changed sentence fragments into full sentences (Tu-214 derivitives)
2019-08-05T10:21:04+00:00,909424879,909424361,1,Vyceropops,Keith Fink,corrected grammar in third paragraph.
2019-08-05T10:15:56+00:00,909424361,909421265,1,Vyceropops,Keith Fink,"corrected grammar from ""an"" to ""a"""
2019-08-05T06:38:40+00:00,909406071,909083680,1,Vyceropops,Michael Avenatti,
2019-08-03T13:07:27+00:00,909149239,909146822,1,Vyceropops,Keith Fink,added Elsew Hewtt
2019-08-03T12:42:29+00:00,909146822,909133455,1,Vyceropops,Keith Fink,added cites
2019-08-03T08:03:32+00:00,909124371,909119710,1,Vyceropops,Keith Fink,/* Teaching */
2019-08-03T06:53:22+00:00,909119710,909110868,1,Vyceropops,Keith Fink,updated for accuracy
2019-08-03T04:49:52+00:00,909110868,909108984,1,Vyceropops,Keith Fink,updated intro
2019-08-03T04:26:40+00:00,909108984,902890710,1,Vyceropops,Keith Fink,minor edit to intro
2019-02-13T04:43:32+00:00,883081778,883081368,1,Vyceropops,Delta Air Lines,added AUS as focus city for DL
