timestamp,revid,parentid,sock,user,page,message
2008-08-24T10:13:29+00:00,233907064,233833154,1,Mrclickettycane,Wikipedia:Articles for deletion/Dr. T. Rodriguez (economist),/* Dr. T. Rodriguez (economist) */
2008-08-22T13:43:31+00:00,233534597,233091516,1,Mrclickettycane,User:Mrclickettycane,[[WP:AES|←]] Blanked the page
2008-08-20T11:10:17+00:00,233091516,0,1,Mrclickettycane,User:Mrclickettycane,[[WP:AES|←]] Created page with 'I create hoaxes. I believe that hoaxes give us all something to laugh at.'
2008-08-15T06:22:12+00:00,232058824,232058774,1,Mrclickettycane,Wikipedia:Sandbox,/* External links */
2008-08-15T06:20:31+00:00,232058594,232058550,1,Mrclickettycane,Wikipedia:Sandbox,/* References */
2008-08-15T06:18:54+00:00,232058400,232058193,1,Mrclickettycane,Wikipedia:Sandbox,/* Championships */
2008-08-15T06:17:27+00:00,232058193,232054655,1,Mrclickettycane,Wikipedia:Sandbox,/* History */
2008-08-15T05:46:28+00:00,232054092,232054011,1,Mrclickettycane,User talk:Mrclickettycane,/* Speedy Keep of Hoaxalicious */
2008-08-15T05:45:56+00:00,232054011,231272471,1,Mrclickettycane,User talk:Mrclickettycane,/* August 2008 */
2008-08-11T09:58:54+00:00,231198755,231198536,1,Mrclickettycane,User talk:Mrclickettycane,/* Speedy Keep of Hoaxalicious */
2008-08-06T02:20:32+00:00,230113559,230113309,1,Mrclickettycane,2EC,/* Affiliations */
2008-08-06T02:18:51+00:00,230113309,229491979,1,Mrclickettycane,2EC,/* Programming */
2008-08-02T23:54:12+00:00,229491979,229445919,1,Mrclickettycane,2EC,
2008-08-02T12:31:17+00:00,229396769,219591529,1,Mrclickettycane,Power FM Bega Bay,
2008-08-02T08:12:50+00:00,229374019,229373976,1,Mrclickettycane,Wikipedia:Articles for deletion/2EC,/* 2EC */
2008-08-02T08:12:26+00:00,229373976,229373925,1,Mrclickettycane,Wikipedia:Articles for deletion/2EC,/* 2EC */
2008-08-02T08:11:38+00:00,229373925,229366569,1,Mrclickettycane,Wikipedia:Articles for deletion/2EC,/* 2EC */
2008-08-02T04:03:44+00:00,229351646,0,1,Mrclickettycane,Talk:2EC,"[[WP:AES|←]] Created page with 'With all due respect, I can't see why an entry for this radio station is inappropriate. For example, a page on 2NM Muswellbrook exists and is not up for deletion- ...'"
2008-08-02T03:56:50+00:00,229350964,229350390,1,Mrclickettycane,2EC,
2008-08-02T03:49:01+00:00,229350279,0,1,Mrclickettycane,2EC,"[[WP:AES|←]] Created page with '2EC is a radio station broadcasting to the South Coast of New South Wales, specifically the local government areas of Eurobodalla and Bega Valley. It is owned by E...'"
2015-03-06T03:39:34+00:00,650095461,649925518,1,LavaDimNylons,Wikipedia:Articles for deletion/1WAY FM,(Strong Keep)
2013-03-01T02:15:04+00:00,541392339,540859209,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto: Emerald City (soundtrack),
2013-02-27T21:56:58+00:00,541055491,541054932,1,LavaDimNylons,User talk:LavaDimNylons,added [[Category:{{Sockpuppet category]] using [[WP:HC|HotCat]]
2013-02-27T21:55:19+00:00,541054932,541054639,1,LavaDimNylons,User talk:LavaDimNylons,/* Confirmed sock */ new section
2013-02-27T21:54:25+00:00,541054639,541054136,1,LavaDimNylons,User talk:LavaDimNylons,/* Master of Puppets */ new section
2013-02-27T21:52:45+00:00,541054136,541053383,1,LavaDimNylons,User talk:LavaDimNylons,/* Sockpuppetry */ new section
2013-02-27T21:50:20+00:00,541053383,541053195,1,LavaDimNylons,User talk:LavaDimNylons,/* Defamation is against the law you cretin */ new section
2013-02-27T21:49:04+00:00,541053195,541052965,1,LavaDimNylons,User talk:LavaDimNylons,/* It's not funny */ new section
2013-02-27T21:47:23+00:00,541052965,541052600,1,LavaDimNylons,User talk:LavaDimNylons,/* Please stop */ new section
2013-02-27T21:44:41+00:00,541052600,540823702,1,LavaDimNylons,User talk:LavaDimNylons,/* Vandalism */ new section
2013-02-27T06:17:22+00:00,540859209,540783596,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto: Emerald City (soundtrack),
2013-02-27T03:12:08+00:00,540823702,540419778,1,LavaDimNylons,User talk:LavaDimNylons,"/* LavaDimNylons, you are invited to the Teahouse */  (Quite frankly, this is unnecessary spam. Oh, and I prefer coffee)."
2013-02-27T03:04:23+00:00,540822084,540821791,1,LavaDimNylons,User:LavaDimNylons,
2013-02-27T03:03:08+00:00,540821791,540819085,1,LavaDimNylons,User:LavaDimNylons,
2013-02-27T02:51:26+00:00,540819085,539117526,1,LavaDimNylons,User:LavaDimNylons,
2013-02-27T00:02:47+00:00,540783596,540423818,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto: Emerald City (soundtrack),
2013-02-26T23:02:48+00:00,540769371,540391643,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto:Emerald City,/* Soundtrack */
2013-02-26T00:43:49+00:00,540423818,540395154,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto: Emerald City (soundtrack),/* Sprunk! Radio (Synthpop/New Wave) */
2013-02-25T23:21:43+00:00,540395154,540393807,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto: Emerald City (soundtrack),/* Radio G'Day (Country) */
2013-02-25T23:16:07+00:00,540393807,540155950,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto: Emerald City (soundtrack),
2013-02-25T23:07:15+00:00,540391643,540152455,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto:Emerald City,/* Soundtrack */
2013-02-24T23:28:22+00:00,540155950,0,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto: Emerald City (soundtrack),[[WP:AES|←]]Created page with 'The following tracks comprise the in-game soundtrack to [[User:LavaDimNylons/Grand Theft Auto:Emerald City|''Grand Theft Auto:Emerald City'']].   == Bogan Radio ...'
2013-02-24T23:03:24+00:00,540152455,540004406,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto:Emerald City,/* Soundtrack */
2013-02-24T03:57:01+00:00,540004406,540004347,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto:Emerald City,
2013-02-24T03:56:33+00:00,540004347,539997023,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto:Emerald City,/* Plot */
2013-02-24T02:57:37+00:00,539997023,539990341,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto:Emerald City,
2013-02-24T02:08:03+00:00,539990341,539989174,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto:Emerald City,
2013-02-24T01:57:52+00:00,539989174,0,1,LavaDimNylons,User:LavaDimNylons/Grand Theft Auto:Emerald City,[[WP:AES|←]]Created page with '{{Infobox video game | title       = Grand Theft Auto: Emerald City | image       = [[File:Vice-city-cover.jpg|256px|Grand Theft Auto: Vice City cover]] | captio...'
2013-02-22T03:30:08+00:00,539589437,539589043,1,LavaDimNylons,Talk:Cash for comment affair,/* Incorrect reference */
2013-02-22T03:08:00+00:00,539587025,234120404,1,LavaDimNylons,Talk:Cash for comment affair,
2013-02-20T03:45:51+00:00,539167572,539167170,1,LavaDimNylons,User:LavaDimNylons/Dumb ideas for pages,/* The following is a list of not so good ideas for Wikipedia articles: */
2013-02-20T03:42:23+00:00,539167170,0,1,LavaDimNylons,User:LavaDimNylons/Dumb ideas for pages,[[WP:AES|←]]Created page with '{{humorantipolicy}}  == The following is a list of ''not so good'' ideas for Wikipedia articles: ==  * [[List of people named John]] * [[Flooginball]] * Glass ...'
2013-02-20T02:25:09+00:00,539156430,539156262,1,LavaDimNylons,Orange Community Radio,added [[Category:Radio stations in New South Wales]] using [[WP:HC|HotCat]]
2013-02-20T02:23:53+00:00,539156262,539133604,1,LavaDimNylons,Orange Community Radio,added [[Category:Radio stations in Australia]] using [[WP:HC|HotCat]]
2013-02-19T23:38:28+00:00,539133604,539133056,1,LavaDimNylons,Orange Community Radio,/* History */ rv factual error.
2013-02-19T23:35:01+00:00,539133056,539129173,1,LavaDimNylons,Orange Community Radio,Added info re. transmitter location
2013-02-19T23:17:21+00:00,539130150,539010951,1,LavaDimNylons,"Orange, New South Wales",Added link to new article- Orange Community Radio.
2013-02-19T23:11:08+00:00,539129173,0,1,LavaDimNylons,Orange Community Radio,"Created start class article, feel free to add to templates etc. I think Orange Community Radio is the most appropriate title, despite the station being known in various guises."
2013-02-19T21:59:05+00:00,539117526,0,1,LavaDimNylons,User:LavaDimNylons,[[WP:AES|←]]Created page with 'Welcome!'
2008-11-27T11:20:19+00:00,254404488,252994659,0,Nerdluck34,2EC,Reverted vandalism edit.
2012-12-12T13:34:43+00:00,527697677,494405970,0,Deor,2EC,rm coordinates—station has multiple offices and transmits from multiple locations; will require knowlegeable attention
2013-04-06T08:51:03+00:00,548964366,544964502,0,The Anomebot2,Orange Community Radio,Replacing geodata: {{coord missing|New South Wales}}
2014-02-14T10:29:55+00:00,595430742,568032858,0,Primergrey,2EC,
2014-05-20T23:16:41+00:00,609448979,593558471,0,JackofOz,Orange Community Radio,/* References */ redundant cat
2014-02-02T09:17:59+00:00,593558471,548964366,0,Rjwilmsi,Orange Community Radio,cite date clean up using [[Project:AWB|AWB]] (9904)
2013-02-11T13:50:54+00:00,537704980,527697677,0,Deor,2EC,adding {{coord}}
2009-03-17T06:50:55+00:00,277815410,277815331,0,144.131.143.188,2EC,/* On Air Lineup (Weekdays) */
2013-08-11T04:42:41+00:00,568032858,568032691,0,101.170.127.240,2EC,/* Programming */
2012-05-26T02:35:36+00:00,494405970,494405456,0,165.228.221.74,2EC,/* Programming */
2010-12-29T10:13:10+00:00,404795102,404776306,0,124.185.168.144,2EC,/* On Air Lineup (Weekdays) */
2008-09-28T14:43:44+00:00,241539061,241444786,0,D6,"Orange, New South Wales",fmt [[WP:GEO|coor]]
2009-06-10T11:16:14+00:00,295559305,289026423,0,PK2,Power FM Bega Bay,
2013-06-21T16:38:58+00:00,560932467,480895339,0,Yobot,Power FM Bega Bay,[[WP:CHECKWIKI]] error #2 fix + general fixes using [[Project:AWB|AWB]] (9276)
2010-06-27T13:38:51+00:00,370412884,365400801,0,Woodg62,"Orange, New South Wales",/* Industries */ Added reference to Orange Anglican Grammar School.
2008-08-07T07:27:51+00:00,230359529,229445971,0,Grahamec,Talk:2EC,rate
2008-08-25T11:55:42+00:00,234120404,82979573,0,Grahamec,Talk:Cash for comment affair,rate
2013-08-15T22:44:51+00:00,568718146,539589437,0,Robofish,Talk:Cash for comment affair,added wikiproject template
2009-09-11T21:18:22+00:00,313258513,313122796,0,Warrior4321,User talk:Mrclickettycane,Notification: RFD posting of [[India in the 2007 Twenty20 World Championship]]. ([[WP:TW|TW]])
2008-12-17T23:51:00+00:00,258675960,233694120,0,Runningonbrains,User talk:Mrclickettycane,deletion of [[2008 Sydney snowfall]]
2009-10-24T08:31:12+00:00,321723705,249799471,0,124.171.244.242,User:Mrclickettycane,[[WP:AES|←]]Blanked the page
2008-08-02T18:47:31+00:00,229445864,229413034,0,TenPoundHammer,Wikipedia:Articles for deletion/2EC,/* 2EC */ bold close
2008-08-24T14:48:42+00:00,233938015,233934039,0,Guillaume2303,Wikipedia:Articles for deletion/Dr. T. Rodriguez (economist),/* Dr. T. Rodriguez (economist) */ speedy delete
2011-08-20T06:48:34+00:00,445783819,445779492,0,202.156.10.14,Wikipedia:Sandbox,
2008-09-12T04:00:11+00:00,237863746,237863458,0,LukeTheSpook,Wikipedia:Sandbox,
2008-08-24T16:00:54+00:00,233948247,233938015,0,David Eppstein,Wikipedia:Articles for deletion/Dr. T. Rodriguez (economist),close as speedy
2009-04-16T01:20:25+00:00,284116316,284115989,0,70.149.244.207,Wikipedia:Sandbox,
2010-11-23T10:22:34+00:00,398416660,398416540,0,Gunita.kudrjavceva,Wikipedia:Sandbox,
2012-08-16T01:01:25+00:00,507616586,507616519,0,Sallustio999,Wikipedia:Sandbox,
2011-02-25T14:49:27+00:00,415871234,415869756,0,71.169.132.63,Wikipedia:Sandbox,
2011-05-19T14:05:27+00:00,429884619,429883397,0,ChzzBot II,Wikipedia:Sandbox,Clearing sandbox ([[WP:BOT|BOT]] edit)    (my ref:Sandbot2 za1)
2010-04-04T17:53:15+00:00,353941457,353941337,0,Codeslicer,Wikipedia:Sandbox,"/* Sign below if you think at least 1 other will sign after you. To sign, type #--~~~~ below the other signatures. We should go for 1,000! */"
2010-04-07T01:53:23+00:00,354444217,346868782,0,114.76.202.179,2EC,
2011-10-29T22:16:36+00:00,458037547,457668932,0,Gwen Gale,2EC,Undid revision 457668932 by [[Special:Contributions/Nwilson5|Nwilson5]] ([[User talk:Nwilson5|talk]])
2014-05-25T05:59:13+00:00,610036077,601436395,0,Heyitsstevo,2EC,
2010-09-03T06:50:27+00:00,382625458,375762757,0,Shmilyshy,2EC,"Added missing Coordinates as per [[Category:All articles needing coordinates|List of articles needing coordinates]], [[User talk:Shmilyshy|report errors?]]"
2014-06-09T14:25:33+00:00,612218860,609448979,0,Dewritech,Orange Community Radio,"/* Coverage area */clean up, [[WP:AWB/T|typo(s) fixed]]: ,  → , using [[Project:AWB|AWB]]"
2012-07-20T23:16:52+00:00,503357889,503096154,0,Rubinbot,"Orange, New South Wales",r2.5.4) (Robot: Adding [[ru:Ориндж (Австралия)]]
2014-06-30T01:33:56+00:00,614956347,613872903,0,Meganesia,"Orange, New South Wales",/* Climate */
2013-04-18T15:53:26+00:00,550993024,546270229,0,Jimp,"Orange, New South Wales",
2010-12-07T03:37:28+00:00,400988738,400983082,0,TheIguana,Power FM Bega Bay,"clean up, rm sigs, fix external link"
2011-03-10T03:16:00+00:00,418067741,417762718,0,58.174.201.34,"Orange, New South Wales",/* Notable citizens */
2009-03-01T22:43:13+00:00,274263816,272998544,0,Ondewelle,"Orange, New South Wales",/* Climate */
2012-05-10T11:22:06+00:00,491777739,491559098,0,Imroy,"Orange, New South Wales",/* Wineries in Orange */ fix entry added by anonymous editor
2009-01-03T10:39:26+00:00,261650772,261011989,0,Lightbot,"Orange, New South Wales",Units/dates/other
2010-11-06T01:47:40+00:00,395094546,395094542,0,ClueBot NG,"Orange, New South Wales","Reverting possible vandalism by [[Special:Contributions/Ciclu97|Ciclu97]] to version by Crusoe8181. Questions, comments, complaints -> [[User:ClueBot NG/B|BRFA]] Thanks, [[User:ClueBot NG|ClueBot NG]]. (16018) (Bot)"
2008-09-10T07:30:59+00:00,237453934,229396769,0,220.101.24.103,Power FM Bega Bay,Updating schedule
2009-07-20T06:58:35+00:00,303088012,303055388,0,Bidgee,"Orange, New South Wales",[[WP:RBK|Reverted]] edits by [[Special:Contributions/69.134.128.155|69.134.128.155]] ([[User talk:69.134.128.155|talk]]) to last version by Rolpsy
2014-04-22T02:00:58+00:00,605236507,605137433,0,Meganesia,"Orange, New South Wales",/* Climate */ Too much blue in the climate box - just changed the humidity color mind you (instead of rain)
2013-05-17T05:14:02+00:00,555467902,553323865,0,121.217.165.103,"Orange, New South Wales",/* Media */
2011-05-06T00:26:31+00:00,427673851,425885809,0,Dl2000,"Orange, New South Wales","unify formatting per [[WP:MOSNUM|MoS]], script-assisted (AUS subject)"
2014-05-25T06:05:57+00:00,610036619,609796918,0,Heyitsstevo,Power FM Bega Bay,
2012-03-08T21:19:21+00:00,480895339,400988738,0,Cydebot,Power FM Bega Bay,"Robot - Speedily moving category South Coast, New South Wales to [[:Category:South Coast (New South Wales)]] per [[WP:CFDS|CFDS]]."
2010-09-20T04:18:52+00:00,385852176,385851367,0,Bsherr,Talk:2EC,Shell
2009-04-26T02:18:29+00:00,286154437,230359529,0,Mlaffs,Talk:2EC,added project tag
2006-10-22T10:08:24+00:00,82979573,74273509,0,Calair,Talk:Cash for comment affair,"""found to have been less than impartial"" - is this accurate?"
2008-11-05T06:39:08+00:00,249799471,234912323,0,92.22.12.110,User:Mrclickettycane,{{sockpuppet|Troyrodriguez361|confirmed}}
2008-08-29T02:33:25+00:00,234912323,233534597,0,Kevin,User:Mrclickettycane,blocked sock of Troyrodriguez361
2008-12-04T10:57:44+00:00,255820035,255819771,0,117.194.32.82,Wikipedia:Sandbox,"[[WP:AES|←]]Replaced content with '{{Please leave this line alone (sandbox heading)}}
<!-- Hello! Feel free to try your formatting and editing skills below this line. As this page is for editing ...'"
2013-12-12T15:00:40+00:00,585749128,585738751,0,81.178.66.191,Wikipedia:Sandbox,
2008-12-10T17:07:25+00:00,257083477,257083439,0,71.242.238.121,Wikipedia:Sandbox,
2009-06-27T11:06:53+00:00,298919517,298918599,0,67.10.190.188,Wikipedia:Sandbox,
2009-09-15T17:45:15+00:00,314151622,314151375,0,SoxBot,Wikipedia:Sandbox,Clearing the sandbox ([[WP:BOT|BOT]] EDIT)
2010-10-21T21:07:03+00:00,392097390,392096973,0,76.237.190.113,Wikipedia:Sandbox,
2012-08-31T04:40:24+00:00,510058095,510057428,0,72.129.81.5,Wikipedia:Sandbox,
2009-08-03T16:47:47+00:00,305843167,305841236,0,62.253.147.112,Wikipedia:Sandbox,
2011-08-05T15:35:30+00:00,443196172,443194535,0,Renamed user 8d033617698d8cef,Wikipedia:Sandbox,
2010-01-14T02:45:48+00:00,337724979,337723662,0,99.60.230.98,Wikipedia:Sandbox,
2012-02-17T07:03:24+00:00,477327275,477323427,0,Vekomy,Wikipedia:Sandbox,Clearing sandbox
2014-11-23T14:27:26+00:00,635104539,635104410,0,81.107.43.32,Wikipedia:Sandbox,Clearing sandbox
2009-02-22T17:30:21+00:00,272530778,272529319,0,A Nobody,Wikipedia:Sandbox,testing
2014-03-19T02:08:15+00:00,600249719,600249098,0,Lowercase sigmabot II,Wikipedia:Sandbox,Clearing sandbox) (bot
2013-08-06T00:00:18+00:00,567331393,567329348,0,Lowercase sigmabot II,Wikipedia:Sandbox,Clearing sandbox) (bot
2015-01-13T21:24:25+00:00,642362494,642355851,0,96.247.7.59,Wikipedia:Sandbox,
2012-10-13T14:45:01+00:00,517580094,517579155,0,66.177.17.13,Wikipedia:Sandbox,
2013-01-19T05:44:25+00:00,533804832,533802927,0,99.247.148.32,Wikipedia:Sandbox,
2012-01-19T21:01:25+00:00,472124940,472124413,0,Bebutler2012,Wikipedia:Sandbox,/* My Section */
2012-01-19T23:18:40+00:00,472147282,472145669,0,75.46.17.165,Wikipedia:Sandbox,
2012-04-07T22:21:16+00:00,486154522,486154255,0,174.254.163.203,Wikipedia:Sandbox,
2013-12-15T06:00:13+00:00,586148664,586148389,0,Lowercase sigmabot II,Wikipedia:Sandbox,Clearing sandbox) (bot
2011-02-27T00:33:44+00:00,416124742,416124685,0,71.231.76.242,Wikipedia:Sandbox,
2014-05-02T19:34:36+00:00,606809655,606805878,0,Hazard-Bot,Wikipedia:Sandbox,Robot: Automatically cleaned
