timestamp,revid,parentid,sock,user,page,message
2020-01-12T06:36:21+00:00,935384066,934552015,1,Niederrheiner81,User talk:Niederrheiner81,[[WP:AES|←]]Blanked the page
2020-01-07T04:19:33+00:00,934552015,934546406,1,Niederrheiner81,User talk:Niederrheiner81,
2020-01-07T02:18:44+00:00,934536065,934534283,1,Niederrheiner81,User talk:Niederrheiner81,
2020-01-06T04:32:46+00:00,934370029,934354751,1,Niederrheiner81,Zoo,/* The modern zoo */ wording
2020-01-06T02:36:02+00:00,934354751,934352656,1,Niederrheiner81,Zoo,fits better into this section
2020-01-06T02:22:39+00:00,934352656,934174684,1,Niederrheiner81,Zoo,/* Enlightenment Era */ Berlin zoo added
2019-12-23T14:02:04+00:00,932108095,932107689,1,Niederrheiner81,Krefeld,Reduced number of photos
2019-12-23T13:59:16+00:00,932107689,932105514,1,Niederrheiner81,Krefeld,/* Points of interest */ wikilinks
2019-12-23T13:36:59+00:00,932105514,932082633,1,Niederrheiner81,Krefeld,/* Points of interest */ Points of interest
2019-12-23T09:10:09+00:00,932082633,932075362,1,Niederrheiner81,Krefeld,"pictures, grammar"
2019-12-23T07:34:36+00:00,932075362,932075003,1,Niederrheiner81,Krefeld,/* Points of interest */ Points of interest
2019-12-23T07:28:42+00:00,932075003,932074868,1,Niederrheiner81,Krefeld,Fixed grammar
2019-12-23T07:26:35+00:00,932074868,932070787,1,Niederrheiner81,Krefeld,Introduction
2019-12-23T06:33:51+00:00,932070787,932070651,1,Niederrheiner81,Krefeld,/* Points of interest */
2019-12-23T06:31:47+00:00,932070651,932067762,1,Niederrheiner81,Krefeld,/* World War II */
2019-12-23T05:51:56+00:00,932067762,931250051,1,Niederrheiner81,Krefeld,
2019-12-01T05:36:57+00:00,928719028,915934775,1,Niederrheiner81,Cheb,"Added information for the year 1910 to ""Population"" paragraph"
2016-10-21T20:25:05+00:00,745553061,733861027,1,Niederrheiner81,Krefeld,/* Points of interest */
2016-10-19T14:49:50+00:00,745149039,742028497,1,Niederrheiner81,Poznań,
2020-01-02T18:12:02+00:00,933725288,933721467,1,Borsuk1984,Oder–Neisse line,"/* Concessions */ small correction, detail added"
2019-12-31T02:47:05+00:00,933296707,0,1,Borsuk1984,User:Borsuk1984,[[WP:AES|←]]Created page with 'Cześć! Jestem z Wrocławia i mieszkam w Warszawie.'
