timestamp,revid,parentid,sock,user,page,message
2017-01-18T12:57:09+00:00,760680228,721862388,1,Owen_Lampret,Albanians in Romania,/* Notable Albanian-Romanians */
2017-01-18T10:13:52+00:00,760665823,759452633,1,Owen_Lampret,Albanian art,/* Artists */
2017-01-17T20:49:52+00:00,760573709,760539702,1,Owen_Lampret,User talk:Praxidicae,/* A barnstar for you! */ new WikiLove message
2017-01-29T23:00:36+00:00,762637863,762637855,1,Emilyshuti,Wikipedia:Articles for deletion/Miron Topciu,/* Miron Topciu */
2017-01-29T22:59:28+00:00,762637723,762428258,1,Emilyshuti,Wikipedia:Articles for deletion/Miron Topciu,/* Miron Topciu */
2017-01-18T12:57:09+00:00,760680228,721862388,0,Owen Lampret,Albanians in Romania,/* Notable Albanian-Romanians */
2017-01-18T10:13:52+00:00,760665823,759452633,0,Owen Lampret,Albanian art,/* Artists */
2017-01-24T13:41:59+00:00,761724681,761723788,0,Praxidicae,User talk:Praxidicae,"/* Shubhkart */ belongs on user's talk, not mine."
2017-01-20T03:07:25+00:00,760970857,760970604,0,Praxidicae,User talk:Praxidicae,/* Section break */
2017-01-27T15:56:49+00:00,762244004,762111585,0,TheresNoTime,User talk:Praxidicae,/* Joking */ new section
2017-01-11T06:33:38+00:00,759452633,759452237,0,Edward321,Albanian art,rv nn example
2017-01-18T20:59:49+00:00,760745479,760589898,0,Fulfonso,User talk:Praxidicae,/* Douglas Abdell */ new section
