timestamp,revid,parentid,sock,user,page,message
2015-10-18T07:08:18+00:00,686290506,676836876,1,PAVLOVSKIDS,Talk:Dr. Seuss,/* Child experimentation and cruelty */ new section
2015-10-18T07:05:26+00:00,686290272,672578160,1,PAVLOVSKIDS,Talk:Ivan Pavlov,/* Pavlovs Experimentation on children */ new section
2015-11-01T07:42:34+00:00,688489539,688489366,1,Reterterterter,User talk:Jeppiz,"/* The Exodus ""edit war"" */"
2015-11-01T07:40:09+00:00,688489366,688166495,1,Reterterterter,User talk:Jeppiz,/* Religion beats facts NO */ new section
2015-11-01T07:31:09+00:00,688488698,688377524,1,Reterterterter,Talk:Jesus,/* historical account first */
2015-11-01T07:21:54+00:00,688488031,688487604,1,Reterterterter,Talk:Historicity of Jesus,/* Historical? NO */ new section
2015-11-01T07:16:41+00:00,688487604,688346372,1,Reterterterter,Talk:Historicity of Jesus,/* Christians busy censoring */ new section
2015-11-01T07:13:04+00:00,688487331,685302627,1,Reterterterter,Talk:Veganism,/* animal deaths caused by vegans */ new section
2015-10-31T08:51:22+00:00,688347326,688347271,1,Trrrrrrtttrrr,Talk:Eucharist,/* Its the actual flesh and blood of jesus */
2015-10-31T08:50:36+00:00,688347271,679667830,1,Trrrrrrtttrrr,Talk:Eucharist,/* Its the actual flesh and blood of jesus */ new section
2015-10-31T08:38:35+00:00,688346559,686619938,1,Trrrrrrtttrrr,Historicity of Jesus,/* Sources */
2015-10-31T08:34:19+00:00,688346311,682767645,1,Trrrrrrtttrrr,Talk:Historicity of Jesus,
2015-10-31T08:27:07+00:00,688345930,688345707,1,Trrrrrrtttrrr,Talk:Jesus,/* historical account first */
2015-10-31T08:22:20+00:00,688345613,688345333,1,Trrrrrrtttrrr,Talk:Jesus,/* historical account first */
2015-10-31T08:18:20+00:00,688345256,688337080,1,Trrrrrrtttrrr,Talk:Jesus,/* historical account first */
2015-09-25T22:00:26+00:00,682767645,682758117,0,68.189.34.91,Talk:Historicity of Jesus,/* Christian bias? */
2015-10-31T09:40:26+00:00,688350656,688346559,0,Jeppiz,Historicity of Jesus,Undid revision 688346559 by [[Special:Contributions/Trrrrrrtttrrr|Trrrrrrtttrrr]] ([[User talk:Trrrrrrtttrrr|talk]]) Don't insert personal comments and don't mark edits as minor if they aren't.
2015-10-20T06:46:40+00:00,686619938,686619894,0,Renamed user 864c542a23313621,Historicity of Jesus,Reverted 1 edit by [[Special:Contributions/192.156.215.16|192.156.215.16]] ([[User talk:192.156.215.16|talk]]) to last revision by MLODROB. ([[WP:TW|TW]])
2015-10-31T14:42:39+00:00,688377524,688377288,0,Sundayclose,Talk:Jesus,/* Basic policies */ better
2015-09-06T01:27:17+00:00,679667830,641101808,0,Falconjh,Talk:Eucharist,
2015-10-18T18:02:38+00:00,686361598,686360231,0,Jeppiz,Talk:Jesus,
2015-10-28T01:46:54+00:00,687839201,687514548,0,Lowercase sigmabot III,Talk:Jesus,Archiving 2 discussion(s) to [[Talk:Jesus/Archive 125]]) (bot
2015-10-26T01:51:46+00:00,687514548,687457260,0,Lowercase sigmabot III,Talk:Jesus,Archiving 2 discussion(s) to [[Talk:Jesus/Archive 125]]) (bot
2015-10-18T17:06:12+00:00,686353435,686295059,0,Sjö,Talk:Ivan Pavlov,/* Pavlovs Experimentation on children */
2015-10-12T02:18:39+00:00,685302627,685299644,0,Huggi,Talk:Veganism,/* Some demographics about vegans */
2015-10-19T00:17:52+00:00,686411295,686243296,0,GBRV,User talk:Jeppiz,"/* The Exodus ""edit war"" */ new section"
2015-10-23T23:22:16+00:00,687197641,687197463,0,Jeppiz,User talk:Jeppiz,/* wiki-project Muhammad */
2015-09-15T03:58:13+00:00,681092510,681065140,0,74.136.159.171,Historicity of Jesus,/* Christ myth theory */ +cite Carrier 2014
2015-09-28T17:24:47+00:00,683177841,683177661,0,Favonian,Historicity of Jesus,Reverted 2 edits by [[Special:Contributions/63.241.111.230|63.241.111.230]] ([[User talk:63.241.111.230|talk]]): Per [[WP:NPOV]]. ([[WP:TW|TW]])
2015-09-30T16:32:12+00:00,683488734,683449182,0,Comingdeer,Talk:Jesus,/* angels */ add good faith purpose and academic references
2015-09-01T09:20:30+00:00,678899767,678899645,0,SineBot,Talk:Historicity of Jesus,"Signing comment by [[Special:Contributions/217.84.215.34|217.84.215.34]] - ""/* Christian bias? */"""
2015-07-22T13:15:08+00:00,672578160,669952770,0,Jasperro,Talk:Ivan Pavlov,"added link to sandbox, explained new section"
2015-09-11T23:25:35+00:00,680603401,680582166,0,Musdan77,Talk:Jesus,/* Historicity table */ Reply
2015-10-13T14:04:11+00:00,685549923,685245850,0,Bardoligneo,Talk:Jesus,/* Historicity table */
2015-09-28T15:06:40+00:00,683161337,683112884,0,Orangemike,Talk:Veganism,Reverted 1 edit by [[Special:Contributions/Eine erste hai|Eine erste hai]] ([[User talk:Eine erste hai|talk]]) to last revision by Brian heim composer. ([[WP:TW|TW]])
2015-09-18T21:54:18+00:00,681695645,681675888,0,Lustiger seth,Talk:Veganism,/* Section Vitamin B12 */ thanks
2015-10-17T23:31:45+00:00,686243296,686243277,0,Gabriel HM,User talk:Jeppiz,/* Explanation */
2015-09-28T00:15:51+00:00,683076717,683074045,0,CookieMonster755,User talk:Jeppiz,"/* Threat */ everybody on wikipedia: this time i mean this is my last edit to wikipedia forever, i am just replying to a comment one last time, bye bye wikipedia"
