timestamp,revid,parentid,sock,user,page,message
2010-09-22T10:47:02+00:00,386286014,386273515,1,Pagemoney,DVD,
2010-09-22T05:41:40+00:00,386249495,386155786,1,Pagemoney,Skin,
2010-09-22T05:40:47+00:00,386249398,386175054,1,Pagemoney,DVD,
2010-09-22T05:40:17+00:00,386249326,384114213,1,Pagemoney,Videocassette recorder,
2010-09-22T12:00:17+00:00,386297022,386295490,1,99pointtest,Skin,
2010-09-22T11:58:39+00:00,386296745,386295426,1,99pointtest,Videocassette recorder,
2010-09-22T11:58:16+00:00,386296686,386295470,1,99pointtest,DVD,
2010-09-22T11:40:54+00:00,386294036,386280511,1,Goodsboat56,Skin,
2010-09-22T11:39:56+00:00,386293903,386286105,1,Goodsboat56,Videocassette recorder,
2010-09-22T11:39:24+00:00,386293824,386286070,1,Goodsboat56,DVD,
2010-09-22T12:21:56+00:00,386300801,386300503,1,Pagephase67,User talk:Pagephase67,
2010-09-22T12:18:04+00:00,386300216,386300103,1,Pagephase67,User talk:Pagephase67,
2010-09-22T12:17:09+00:00,386300044,386299917,1,Pagephase67,Wikipedia:Sockpuppet investigations/Pagemoney,
2010-09-22T12:16:00+00:00,386299803,386299430,1,Pagephase67,Wikipedia:Sockpuppet investigations/Pagemoney,
2010-09-22T12:15:16+00:00,386299629,386299457,1,Pagephase67,User talk:Pagephase67,
2010-09-22T12:13:48+00:00,386299354,386297317,1,Pagephase67,Skin,
2010-09-22T12:13:00+00:00,386299209,386297373,1,Pagephase67,DVD,
2010-09-22T12:11:50+00:00,386299008,386284772,1,Pagephase67,User talk:Stickee,/* http://en.wikipedia.org/wiki/Wikipedia:Sockpuppet_investigations/Pagemoney */ new section
2010-09-22T12:02:09+00:00,386297332,386296776,1,Vivid66sense,DVD,
2010-09-22T12:01:45+00:00,386297254,386297049,1,Vivid66sense,Skin,
2010-09-22T09:18:39+00:00,386273515,386249398,0,75.82.201.0,DVD,Undid revision 386249398 by [[Special:Contributions/Pagemoney|Pagemoney]] ([[User talk:Pagemoney|talk]])
2010-09-22T10:10:05+00:00,386280511,386249495,0,68.169.150.13,Skin,
2010-09-22T10:47:23+00:00,386286070,386286014,0,Skarebo,DVD,Reverted edits by [[Special:Contributions/Pagemoney|Pagemoney]] ([[User talk:Pagemoney|talk]]) to last revision by 75.82.201.0 ([[WP:HG|HG]])
2010-09-21T13:41:53+00:00,386103999,386103845,0,Giftiger wunsch,User talk:Stickee,/* AIV report: Chrisrissel */
2010-09-22T10:38:59+00:00,386284772,386283748,0,Stickee,User talk:Stickee,/* AppLabs */ new section + reply
2010-09-21T16:05:23+00:00,386123729,386108030,0,68.39.61.160,DVD,/* See also */
2010-09-21T21:16:50+00:00,386175054,386174985,0,Tofutwitch11,DVD,Reverted edits by [[Special:Contributions/76.68.18.102|76.68.18.102]] ([[User talk:76.68.18.102|talk]]) to last revision by Tommy2010 ([[WP:HG|HG]])
2010-09-18T15:08:58+00:00,385545268,385544908,0,Barek,DVD,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/72.241.2.75|72.241.2.75]] ([[User talk:72.241.2.75|talk]]) to last version by Otis80hobson
2010-09-21T19:26:10+00:00,386155786,386129748,0,Urs shedin,Skin,Picture added
2010-09-22T12:02:04+00:00,386297317,386297254,0,Grafen,Skin,Reverted edits by [[Special:Contributions/Vivid66sense|Vivid66sense]] ([[User talk:Vivid66sense|talk]]) to last revision by Grafen ([[WP:HG|HG]])
2010-09-20T05:05:08+00:00,385857148,385857026,0,Biomommy,Skin,/* Layers */
2010-09-21T16:45:12+00:00,386129748,386129615,0,DARTH SIDIOUS 2,Skin,Reverted edits by [[Special:Contributions/173.162.193.217|173.162.193.217]] ([[User talk:173.162.193.217|talk]]) to last revision by Biomommy ([[WP:HG|HG]])
2010-09-22T10:31:36+00:00,386283748,386282418,0,121.241.165.245,User talk:Stickee,
