timestamp,revid,parentid,sock,user,page,message
2008-05-12T19:45:37+00:00,211939123,210721125,1,Pika62221,Byte,[[WP:AES|←]]Replaced content with '{{dated prod|concern = No claims to [[WP:Notable|Notability]] or implied notability trough [[WP:Source|sourcing]]|month = May|day = 6|year = 2008|time = 20:03|t...'
2008-05-12T19:45:34+00:00,211939109,211597559,1,Pika62221,Sound,[[WP:AES|←]]Replaced content with '{{dated prod|concern = No claims to [[WP:Notable|Notability]] or implied notability trough [[WP:Source|sourcing]]|month = May|day = 6|year = 2008|time = 20:03|t...'
2008-05-12T19:45:22+00:00,211939073,211894597,1,Pika62221,Nintendo,[[WP:AES|←]]Replaced content with '{{dated prod|concern = No claims to [[WP:Notable|Notability]] or implied notability trough [[WP:Source|sourcing]]|month = May|day = 6|year = 2008|time = 20:03|t...'
2008-05-12T19:45:19+00:00,211939068,210398377,1,Pika62221,J. Buck's,
2008-05-12T19:45:18+00:00,211939057,209458366,1,Pika62221,Teddy Ruxpin,[[WP:AES|←]]Replaced content with '{{dated prod|concern = No claims to [[WP:Notable|Notability]] or implied notability trough [[WP:Source|sourcing]]|month = May|day = 6|year = 2008|time = 20:03|t...'
2008-05-12T19:45:16+00:00,211939050,210648227,1,Pika62221,Olan Mills,
2008-05-12T19:45:14+00:00,211939040,211294420,1,Pika62221,Wikipedia:Blocking policy,[[WP:AES|←]]Replaced content with '{{dated prod|concern = No claims to [[WP:Notable|Notability]] or implied notability trough [[WP:Source|sourcing]]|month = May|day = 6|year = 2008|time = 20:03|t...'
2008-05-12T19:45:12+00:00,211939027,200704101,1,Pika62221,User:CSDWarnBot,
2008-05-12T19:45:09+00:00,211939016,203920742,1,Pika62221,User:Netsnipe,[[WP:AES|←]]Replaced content with '{{dated prod|concern = No claims to [[WP:Notable|Notability]] or implied notability trough [[WP:Source|sourcing]]|month = May|day = 6|year = 2008|time = 20:03|t...'
2008-05-12T19:45:07+00:00,211939002,210771910,1,Pika62221,User:Pika62221,
2008-05-12T19:45:03+00:00,211938987,211251628,1,Pika62221,User:Orangemike,[[WP:AES|←]]Replaced content with '{{dated prod|concern = No claims to [[WP:Notable|Notability]] or implied notability trough [[WP:Source|sourcing]]|month = May|day = 6|year = 2008|time = 20:03|t...'
2008-05-12T19:45:02+00:00,211938982,211925179,1,Pika62221,User talk:Orangemike,"[[WP:AES|←]]Replaced content with 'REAL NICE, 31 hours blocked for a person who's 31, HOW ORIGINAL!!! Well, since I blocked Crapipedia from my home computer, I'll just have to use another one unt...'"
2008-05-12T19:45:00+00:00,211938975,211318157,1,Pika62221,User:Steve Smith,[[WP:AES|←]]Replaced content with '{{dated prod|concern = No claims to [[WP:Notable|Notability]] or implied notability trough [[WP:Source|sourcing]]|month = May|day = 6|year = 2008|time = 20:03|t...'
2008-05-12T19:44:58+00:00,211938968,211760325,1,Pika62221,User talk:Steve Smith,[[WP:AES|←]]Replaced content with '{{dated prod|concern = No claims to [[WP:Notable|Notability]] or implied notability trough [[WP:Source|sourcing]]|month = May|day = 6|year = 2008|time = 20:03|t...'
2008-05-06T20:26:53+00:00,210648106,210615474,1,Pika62221,User talk:Nakon/arc3,
2008-05-06T20:25:39+00:00,210647857,194735782,1,Pika62221,Olan Mills,"If Portrait Innovations isn't allowed, this one should be taken down too."
2008-05-06T20:22:38+00:00,210647191,210645892,1,Pika62221,User talk:Orangemike,/* URL Blacklisting */
2008-05-06T19:33:49+00:00,210636658,210318376,1,Pika62221,User talk:Excirial,
2008-05-05T01:55:31+00:00,210231813,210227536,1,Pika62221,User talk:Brumski,/* Thank you */
2008-05-04T05:00:14+00:00,210045744,195059040,1,Pika62221,User:Pika62220,[[WP:AES|←]]Redirected page to [[Http://en.wikipedia.org/wiki/User:Pika62221]]
2008-05-04T04:44:50+00:00,210043744,210019034,1,Pika62221,I Hate My 30's,
2008-05-04T01:46:59+00:00,210019034,205202353,1,Pika62221,I Hate My 30's,"On ""Between a Rock and a Cyberspace"", he birth year is given as 1978, which would make her 28-29 when the show debuted."
2008-05-02T01:46:26+00:00,209602983,201872345,1,Pika62221,Garfield: Big Fat Book of Jokes and Riddles,Made lines look more clear
2008-05-01T15:51:57+00:00,209477661,209476838,1,Pika62221,Talk:Teddy Ruxpin,Did the last edit work? This computer has been screwey lately.
2008-05-01T15:47:52+00:00,209476838,209473198,1,Pika62221,Talk:Teddy Ruxpin,/* Vandalism */
2008-04-29T00:26:57+00:00,208887454,208829913,1,Pika62221,Talk:Grand Theft Auto: San Andreas,
2008-04-27T02:23:48+00:00,208444568,208444405,1,Pika62221,Talk:Phonograph record,Read below- same reason
2008-04-27T02:22:40+00:00,208444405,208443889,1,Pika62221,Talk:Phonograph record,"I take back not seeing any albulms on record, I did see some in 1991, but NOT VERY MANY!"
2008-04-27T02:19:22+00:00,208443889,208443429,1,Pika62221,Talk:Phonograph record,/* CD Versus Record */
2008-04-27T02:15:17+00:00,208443256,205312385,1,Pika62221,Talk:Phonograph record,CD Versus Record
2008-04-27T01:55:55+00:00,208440571,205845754,1,Pika62221,Talk:Nintendo,/* Major Vandalism */
2008-04-27T01:41:30+00:00,208438178,207173445,1,Pika62221,Talk:Teddy Ruxpin,/* Vandalism */
2008-04-25T00:12:33+00:00,207997478,204054221,1,Pika62221,Southwestern Illinois College,Updated the history using a pamphlet directly from BAC/SWIC on their history.
2008-04-24T19:04:52+00:00,207927985,207891663,1,Pika62221,Game Boy family,It
2008-04-20T17:49:20+00:00,206921567,206264212,1,Pika62221,Game Boy family,Associated Press is a VALID source!!!
2008-04-20T01:58:40+00:00,206806248,206583477,1,Pika62221,User:Pika62221,"Thank you Emily, but you don't need to add that to my page!"
2008-04-20T01:55:49+00:00,206805910,206805005,1,Pika62221,Talk:Game Boy family,/* Sales total */
2008-04-20T01:48:52+00:00,206805005,180125573,1,Pika62221,Talk:Game Boy family,
2008-04-18T22:32:16+00:00,206583477,198993241,1,Pika62221,User:Pika62221,
2008-04-13T03:05:19+00:00,205256047,203425129,1,Pika62221,1977 in the United States,/* Events */
2008-04-10T04:44:23+00:00,204624751,204532062,1,Pika62221,St. Louis Mills,/* External links */
2008-04-06T09:29:59+00:00,203713587,203713456,1,Pika62221,Gil Sharone,
2008-04-06T09:28:39+00:00,203713456,203161735,1,Pika62221,Gil Sharone,
2008-04-06T05:39:23+00:00,203687063,0,1,Pika62221,J. Buck's,"[[WP:Automatic edit summaries|←]]Created page with ''''J. Bucks''' is a [[restaurant chain]] established in [[1999]]. It is named after the Buck family [[Jack Buck]], [[Joe Buck]], and [[Julie Bu...'"
2008-03-23T18:45:49+00:00,200347289,200086344,1,Pika62221,List of shopping malls in the United States,/* Illinois */
2008-03-23T18:41:36+00:00,200346479,0,1,Pika62221,Template:Metro St Louis,Metro St Louis is also known as Greater St Louis
2008-03-23T04:53:24+00:00,200236910,200235400,1,Pika62221,Talk:Teddy Ruxpin,
2008-03-23T04:42:16+00:00,200235239,196361004,1,Pika62221,Talk:Teddy Ruxpin,/* Teddy Ruxpin and normal cassettes */
2008-03-23T04:26:26+00:00,200233046,200218091,1,Pika62221,Generation X,"/* Technology/Science */ Kevin Rose, born in 1977"
2008-03-22T17:39:40+00:00,200107931,195172633,1,Pika62221,Tony Pope,Newton Gimmick was a main character in the series
2008-03-18T01:41:56+00:00,198993241,0,1,Pika62221,User:Pika62221,"[[WP:Automatic edit summaries|←]]Created page with 'Born in [[1977]], Pika62221 began editing [[Wikipedia]] in [[2005]]. Some articles Pika62221 has edited in his Wikipedia career include [[Ninte...'"
2008-03-18T01:36:49+00:00,198992297,162415141,1,Pika62221,User:Peruvianllama,
2008-03-17T03:47:15+00:00,198783772,195717542,1,Pika62221,User talk:Mblumber,
2008-03-14T02:18:46+00:00,198107005,197617631,1,Pika62221,Steve Fossett,"/* Previous attempts at records */  He launched from Old Busch, not current Busch stadium"
2008-03-11T02:21:02+00:00,197390256,197389310,1,Pika62221,Floyd Mayweather Jr.,/* World Wrestling Entertainment */
2008-03-02T22:09:34+00:00,195413226,195412772,1,Pika62221,Super Mario Bros. 2,/* Yume Kōjō: Doki Doki Panic comparison */
2008-03-02T22:07:33+00:00,195412772,195036862,1,Pika62221,Super Mario Bros. 2,/* Yume Kōjō: Doki Doki Panic comparison */
2008-03-02T21:41:56+00:00,195406951,195406092,1,Pika62221,User talk:Pika62220,
2008-03-02T21:38:13+00:00,195406092,193862574,1,Pika62221,User talk:Pika62220,
2008-03-01T04:59:52+00:00,195059040,194979764,1,Pika62221,User:Pika62220,
2008-05-07T09:09:45+00:00,210766749,206806248,1,Pika62223,User:Pika62221,
2007-10-28T03:58:26+00:00,167562270,163011716,0,67.182.31.229,1977 in the United States,/* Events */
2008-03-26T06:54:02+00:00,201005504,200866263,0,70.247.37.127,Generation X,/* Influential film and television */
2008-03-01T11:14:31+00:00,195097010,195096751,0,Silver Edge,Game Boy family,Cleanup
2008-02-29T21:29:23+00:00,194980360,192954698,0,146.163.157.102,Garfield: Big Fat Book of Jokes and Riddles,
2008-04-29T21:58:35+00:00,209096396,208514295,0,76.28.138.83,Game Boy family,"changed ""handheld"" to ""console""- this system is a line of [[handheld game console]]s"
2008-03-06T23:59:26+00:00,196411961,196411376,0,CinnamonCrunchy,Floyd Mayweather Jr.,[[WP:UNDO|Undid]] revision 196411376 by [[Special:Contributions/BYOB4476|BYOB4476]] ([[User talk:BYOB4476|talk]]) Rv. Test
2008-04-01T06:20:34+00:00,202486422,202459539,0,Maestro25,Floyd Mayweather Jr.,/* World Wrestling Entertainment */
2008-04-22T20:24:16+00:00,207440956,207258766,0,Andreas Kaufmann,Byte,"Removed category ""Computing terminology""; Quick-adding category ""Units of information"" (using [[WP:HOTCAT|HotCat]])"
2008-04-04T20:47:20+00:00,203371176,203370579,0,PhilKnight,Generation X,page is protected from editing until disputes have been resolved
