timestamp,revid,parentid,sock,user,page,message
2020-07-03T15:50:42+00:00,965816844,965642037,1,Promyyyy,K. G. Subramanyan,/* External links */
2020-06-30T07:03:20+00:00,965245263,918332502,1,Promyyyy,Prokash Karmakar,/* External links */
2020-06-29T13:38:26+00:00,965112464,943651846,1,Promyyyy,Ganesh Pyne,/* Artistic approach */
2020-07-21T13:14:40+00:00,968779849,968753841,1,Max123abc,User talk:Max123abc,
2020-07-21T08:45:27+00:00,968752443,966489466,1,Max123abc,Manu Parekh,/* External links */
2020-07-21T08:21:03+00:00,968750012,966489460,1,Max123abc,Madhuri Bhaduri,/* External links */
2020-07-21T07:34:38+00:00,968744766,965642011,1,Max123abc,Shanu Lahiri,/* External links */
2020-07-21T07:30:49+00:00,968744423,965642042,1,Max123abc,Prokash Karmakar,/* External links */
2020-07-09T08:22:44+00:00,966800582,966678917,1,Max123abc,User talk:Max123abc,
2020-07-08T14:29:06+00:00,966678917,966496294,1,Max123abc,User talk:Max123abc,
2020-07-07T12:28:33+00:00,966495902,929192430,1,Max123abc,Gopal Ghose,About his works
2020-07-07T12:20:07+00:00,966494700,934892290,1,Max123abc,Haren Das,/* External links */
2020-07-07T11:47:17+00:00,966489243,961147289,1,Max123abc,New media,/* Further reading */
2020-07-07T11:29:43+00:00,966486824,948234232,1,Max123abc,Contemporary art gallery,/* External links */
2020-07-05T09:00:34+00:00,966139220,965818664,1,Max123abc,K. G. Subramanyan,/* External links */
2020-07-05T08:53:08+00:00,966138647,965642002,1,Max123abc,Laxman Aelay,/* References */
2020-07-05T08:45:40+00:00,966137983,965820350,1,Max123abc,Sanatan Dinda,/* References */
2020-07-03T14:04:01+00:00,965801092,919439201,1,Max123abc,Paritosh Sen,/* External links */
2020-07-03T13:53:44+00:00,965799701,961415745,1,Max123abc,Ram Kumar (artist),/* External links */
2020-07-03T13:50:48+00:00,965799321,953769755,1,Max123abc,Rabin Mondal,
2020-07-03T13:40:48+00:00,965798064,957025211,1,Max123abc,Thota Vaikuntam,/* External links */
2020-07-02T15:06:24+00:00,965643439,946721300,1,Max123abc,Madhuri Bhaduri,/* External links */
2020-07-02T14:59:58+00:00,965642645,958538125,1,Max123abc,Manu Parekh,/* External links */
2020-07-02T14:53:52+00:00,965641899,965111655,1,Max123abc,M. F. Husain,/* External links */
2020-07-02T09:01:31+00:00,965601591,933383752,1,Max123abc,Dhiraj Choudhury,
2020-07-02T07:24:42+00:00,965591913,941000421,1,Max123abc,Laxman Aelay,Added an external link
2020-07-02T07:15:35+00:00,965591148,964927590,1,Max123abc,K. G. Subramanyan,/* External links */
2020-07-01T12:56:43+00:00,965460658,964455730,1,Max123abc,Badri Narayan,/* External links */
2020-06-30T07:28:51+00:00,965247455,953028746,1,Max123abc,Shanu Lahiri,/* External links */
2020-06-30T07:12:49+00:00,965246074,965245374,1,Max123abc,Prokash Karmakar,/* External links */
2020-07-07T11:48:27+00:00,966489415,966139220,0,MrOllie,K. G. Subramanyan,Reverted 1 edit by [[Special:Contributions/Max123abc|Max123abc]] ([[User talk:Max123abc|talk]]) to last revision by دنيا ([[WP:TW|TW]])
2020-07-02T14:55:12+00:00,965642060,965460658,0,Ganbaruby,Badri Narayan,Reverted edits by [[Special:Contributions/Max123abc|Max123abc]] ([[User talk:Max123abc|talk]]): addition of unnecessary/inappropriate [[WP:EL|external links]] ([[WP:HG|HG]]) (3.4.10)
