timestamp,revid,parentid,sock,user,page,message
2018-02-06T21:11:00+00:00,824353853,824351536,1,Quickbase,Quickbase,Added a 2018 History Item and its reference.
2018-02-06T20:56:13+00:00,824351536,824348571,1,Quickbase,Quickbase,"Added Forrester New Wave Report ""Low-Code Platforms For Business Developers, Q4 2017"""
2018-02-06T20:33:42+00:00,824348408,824347690,1,Quickbase,Quickbase,
2018-02-06T20:28:55+00:00,824347690,824346225,1,Quickbase,Quickbase,
2018-02-06T20:18:35+00:00,824346225,819841780,1,Quickbase,Quickbase,"Added Forrester New Wave Report ""Low-Code Platforms For Business Developers, Q4 2017"""
2018-03-06T15:16:59+00:00,829084996,824358680,1,Dalila_from_QB,Quickbase,Added 2017 and 2018 History items and its References.
2018-03-06T18:13:58+00:00,829108251,829107784,1,Sarah10775,Quickbase,Grammar fixes
2018-03-06T18:10:07+00:00,829107784,829088482,1,Sarah10775,Quickbase,Adding relevant references and history updates
2018-02-06T21:42:08+00:00,824358680,824355547,0,AnomieBOT,Quickbase,Dating maintenance tags: {{Cn}}
2018-03-06T15:45:00+00:00,829088482,829084996,0,JesseRafe,Quickbase,"Reverted to revision 824358680 by [[Special:Contributions/AnomieBOT|AnomieBOT]] ([[User talk:AnomieBOT|talk]]): Blogs and non-notable awards, jargony language and absolutely no need or call to use an inline TM in prose in an encyclopedia. ([[WP:TW|TW]])"
