timestamp,revid,parentid,sock,user,page,message
2011-01-23T22:03:36+00:00,409635098,409606771,1,Quintinense,Curitiba,/* Carnival/Carnaval */  (see discussion)
2011-01-23T22:02:14+00:00,409634828,374344138,1,Quintinense,Talk:Curitiba,
2010-10-14T18:47:51+00:00,390735512,390395466,1,Quintinense,"Centro, Rio de Janeiro","Centro (Downtown) is not a city, and neighborhoods in Rio is subcat of State of Rio."
2010-05-16T16:14:42+00:00,362450008,362449937,1,Quintinense,User talk:Stegop,/* Vc que é usuário da wiki.pt */
2010-04-09T02:21:45+00:00,354875362,0,1,Quintinense,User:Quintinense/GRES Império da Praça Seca,moved [[User:Quintinense/GRES Império da Praça Seca]] to [[GRES Império da Praça Seca]]: consensual in [http://en.wikipedia.org/wiki/Wikipedia:Village_pump_(miscellaneous)/Archive_25#Samba_school_of_Brazil http://en.wikipedia.org/wiki/Wikipedia:Villag
2010-04-06T19:52:07+00:00,354381482,352247701,1,Quintinense,Template:Carnaval do Rio de Janeiro,
2010-03-31T11:44:14+00:00,353136716,353050888,1,Quintinense,Wikipedia:Village pump (miscellaneous),/* Samba school of Brazil */
2010-03-29T02:49:40+00:00,352664655,352664572,1,Quintinense,Wikipedia:Village pump (miscellaneous),/* Samba school of Brazil */
2010-03-29T02:49:05+00:00,352664572,352647527,1,Quintinense,Wikipedia:Village pump (miscellaneous),/* Samba school of Brazil */
2010-03-28T02:54:14+00:00,352456726,352456646,1,Quintinense,Wikipedia:Village pump (miscellaneous),/* Samba school of Brazil */
2010-03-28T02:53:27+00:00,352456632,352439980,1,Quintinense,Wikipedia:Village pump (miscellaneous),/* Samba school of Brazil */ new section
2010-03-21T00:13:15+00:00,351072428,348467609,1,Quintinense,Unidos de Vila Isabel,
2010-03-21T00:12:46+00:00,351072360,339534223,1,Quintinense,Beija-Flor,/* Famous fans */
2010-03-21T00:02:59+00:00,351070926,350887199,1,Quintinense,User talk:Arbitrarily0,/* hello */
2010-03-12T22:18:24+00:00,349502343,349502261,1,Quintinense,User talk:Arbitrarily0,/* Thanks */
2010-03-12T22:17:57+00:00,349502261,349431849,1,Quintinense,User talk:Arbitrarily0,/* Wikipedia:Articles for deletion/Mark Boardman */
2010-03-11T02:49:24+00:00,349140819,349140645,1,Quintinense,Wikipedia:Requests for undeletion,/* GRES Império da Praça Seca */
2010-03-11T02:48:29+00:00,349140645,349054703,1,Quintinense,Wikipedia:Requests for undeletion,/* GRES Império da Praça Seca */ new section
2009-12-27T03:32:41+00:00,334196727,247611280,1,Quintinense,User talk:Indech,/* Graphics Lab */
2009-12-24T06:27:05+00:00,333752040,333751235,1,Quintinense,Wikipedia:Administrators' noticeboard/Incidents,/* File:Millergirl.jpg virus? */
2009-12-21T16:41:58+00:00,333082098,332541484,1,Quintinense,Template:Carnaval do Rio de Janeiro,Mas elas desfilarão
2009-12-19T04:04:03+00:00,332611792,332609931,1,Quintinense,Wikipedia:Village pump (technical),/* Traduction Translate in Template:Info samba school */
2009-12-19T03:50:19+00:00,332609931,332596082,1,Quintinense,Wikipedia:Village pump (technical),/* Traduction in Template:Info samba school */
2009-12-18T21:06:16+00:00,332555058,328415978,1,Quintinense,User talk:Biantez/1,/* November 2009 */
2009-12-18T14:23:08+00:00,332493582,332489838,1,Quintinense,Wikipedia:Village pump (technical),/* Traduction in Template:Info samba school */ new section
2009-12-17T13:34:51+00:00,332285010,332015763,1,Quintinense,Imperatriz Leopoldinense,
2009-12-17T13:34:31+00:00,332284952,315241815,1,Quintinense,União da Ilha do Governador,
2009-12-17T13:33:53+00:00,332284849,315237829,1,Quintinense,Mocidade Independente de Padre Miguel,
2009-12-17T13:33:46+00:00,332284824,329275682,1,Quintinense,Portela (samba school),
2009-12-17T13:33:32+00:00,332284788,316233979,1,Quintinense,GRES Império Serrano,
2009-12-17T13:33:13+00:00,332284727,325655516,1,Quintinense,Estação Primeira de Mangueira,
2009-12-17T13:33:03+00:00,332284701,317020476,1,Quintinense,Beija-Flor,
2009-12-17T13:32:46+00:00,332284645,289784263,1,Quintinense,Acadêmicos do Salgueiro,
