timestamp,revid,parentid,sock,user,page,message
2015-10-24T09:43:41+00:00,687254485,680676068,1,Rdactyl,Russell Brand,Added his new documentary.
2015-09-08T10:07:35+00:00,680042149,410562250,1,Rdactyl,Beyond (comics),Listed my publishing company by the same name that is currently publishing comics that have appeared on AMC's Comic Book Men.
2015-01-19T12:45:11+00:00,643197597,631009334,1,Rdactyl,Greg Welch,Graig Weich is often confused with Greg Welch which was added.
2014-05-21T16:35:32+00:00,609545142,0,1,Rdactyl,New York Institute Of Technology,[[WP:AES|←]]Redirected page to [[NYIT]]
2010-06-03T09:42:32+00:00,365801090,365022083,1,Rdactyl,Dirty Sanchez (sexual act),/* Veracity */ added the rumor of who coined it.
2009-10-26T06:09:36+00:00,322085211,322085020,1,Rdactyl,Deon Richmond,corrected placement of credits.
2009-10-26T06:07:11+00:00,322084971,0,1,Rdactyl,Redux Riding hood,[[WP:AES|←]]Created page with 'Redux Riding Hood is a never before released film by Disney. See IMDB.com for details.'
2009-10-26T05:59:49+00:00,322084278,313094134,1,Rdactyl,Deon Richmond,/* External links */ added his credit in music video
2008-09-30T09:57:56+00:00,241977290,0,1,Rdactyl,Redux Riding Hood,"[[WP:AES|←]]Created page with 'From IMDB: http://us.imdb.com/title/tt0141560/  This Short film was nominated for an Oscar! Since Disney has never released it yet, I will tell you about it. (Im ne...'"
2007-11-02T10:51:15+00:00,168703152,168497079,1,Rdactyl,User talk:Darkwind,"/* On the Graig Weich page, he is the director of the IMDB film, all facts are correct. */"
2007-10-30T02:59:00+00:00,168001414,168001164,1,Rdactyl,User talk:Darkwind,"/* 7 - thanks, helpful, Darkwind */"
2007-10-30T02:55:34+00:00,168000895,167958326,1,Rdactyl,User talk:Darkwind,"/* 7 - thanks, helpful, Darkwind */ new section"
2007-10-29T12:03:44+00:00,167823658,167822922,1,Rdactyl,User talk:Darkwind,/* 4 Thanks Darkwind 4 */
2007-10-29T11:56:29+00:00,167822763,167800439,1,Rdactyl,User talk:Darkwind,/* 4 Thanks Darkwind 4 */ new section
2007-10-29T08:00:50+00:00,167799943,167799893,1,Rdactyl,User talk:Darkwind,/* Thanks Darkwind 3 */
2007-10-29T08:00:16+00:00,167799893,167799589,1,Rdactyl,User talk:Darkwind,/* Darkwind 2 */
2007-10-29T07:54:59+00:00,167799457,167798522,1,Rdactyl,User talk:Darkwind,/* Darkwind 2 */ new section
2007-10-29T07:41:36+00:00,167798400,167798288,1,Rdactyl,User talk:Darkwind,"/* Do Not Delete Graig Weich page, he is the director of the IMDB film, all facts are correct. */"
2007-10-29T07:36:34+00:00,167797980,167764012,1,Rdactyl,User talk:Darkwind,"/* Do Not Delete Graig Weich page, he is the director of the IMDB film, all facts are correct. */ new section"
2007-10-29T06:47:03+00:00,167793570,166457801,1,Rdactyl,User talk:Rdactyl,
2007-10-23T06:07:48+00:00,166457801,166451771,1,Rdactyl,User talk:Rdactyl,
2015-10-24T10:31:28+00:00,687258746,687258651,1,Animekings,Spider-Man 2,fixed my own typo
2015-10-24T10:30:13+00:00,687258651,687017624,1,Animekings,Spider-Man 2,Added info on scene cut from film.
2015-10-24T10:19:08+00:00,687257755,685279359,1,Animekings,Coco Austin,Added title of their talk show
2015-10-24T10:17:24+00:00,687257636,686750087,1,Animekings,Ice-T,Added Talk Show title and name
2015-10-24T10:15:33+00:00,687257485,685285499,1,Animekings,Ice Loves Coco,Updated info that they did do the talk show.
2015-10-24T09:56:09+00:00,687255915,687255783,1,Animekings,Ice & Coco,Fixed my own typo.
2015-10-24T09:54:33+00:00,687255783,687255761,1,Animekings,Ice & Coco,fixed my own typo
2015-10-24T09:54:22+00:00,687255761,687255628,1,Animekings,Ice & Coco,fixed my own typo
2015-10-24T09:52:46+00:00,687255628,685639129,1,Animekings,Ice & Coco,Added missing info and is in talks to resume in 2016
2015-10-24T09:50:51+00:00,687255389,687255324,1,Animekings,Comic Book Men,Fixed my typo
2015-10-24T09:50:22+00:00,687255324,686493366,1,Animekings,Comic Book Men,Added missing text and will run through 2016
2015-10-24T09:47:16+00:00,687254896,684465329,1,Animekings,"The Death of ""Superman Lives"": What Happened?",Info was missing on the run time.
2015-10-24T09:33:09+00:00,687253164,687252530,1,Animekings,List of comics publishing companies,Fixed my typo
2015-10-24T09:27:29+00:00,687252530,682741290,1,Animekings,List of comics publishing companies,Added publisher.
2015-10-24T09:06:29+00:00,687250390,684213721,1,Animekings,Michael Turner (comics),Added 2015 credit his art appears in a new book of his work.
2015-10-24T08:59:32+00:00,687249863,685159982,1,Animekings,Top Cow Productions,Added their use of kick starter to fund some of the comics.
