timestamp,revid,parentid,sock,user,page,message
2020-01-27T02:27:31+00:00,937760340,936719766,1,Rohitmishra01,User talk:Rohitmishra01,[[WP:AES|←]]Blanked the page
2020-01-20T16:07:01+00:00,936719766,934850977,1,Rohitmishra01,User talk:Rohitmishra01,
2020-01-11T02:38:53+00:00,935191396,935191177,1,Rohitmishra01,User talk:331dot/Archive 9,/* Speedy Deletion of Mahatma Gandhi Central University protest */
2020-01-11T02:36:26+00:00,935191177,935151750,1,Rohitmishra01,User talk:331dot/Archive 9,/* Speedy Deletion of Mahatma Gandhi Central University protest */
2020-01-10T14:59:05+00:00,935109322,935075546,1,Rohitmishra01,User talk:AngusWOOF,/* Draft:Mahatma Gandhi Central University protest */
2020-01-08T07:25:55+00:00,934756228,934754614,1,Rohitmishra01,User talk:AngusWOOF,/* Draft:Mahatma Gandhi Central University protest */
2020-01-08T07:08:34+00:00,934754614,934754514,1,Rohitmishra01,User talk:AngusWOOF,/* Draft:Mahatma Gandhi Central University protest */
2020-01-08T07:07:22+00:00,934754514,934635121,1,Rohitmishra01,User talk:AngusWOOF,/* Draft:Mahatma Gandhi Central University protest */
2020-01-07T07:32:22+00:00,934571528,934189926,1,Rohitmishra01,User talk:Marchjuly,
2020-01-07T06:40:43+00:00,934566801,934560979,1,Rohitmishra01,Wikipedia:WikiProject Articles for creation/Help desk,
2020-01-07T05:51:02+00:00,934562152,934560801,1,Rohitmishra01,User talk:AngusWOOF,/* Draft: Paul J. Tesar */
2020-01-07T05:48:15+00:00,934561831,934561548,1,Rohitmishra01,Wikipedia:Teahouse,
2020-01-07T05:45:39+00:00,934561548,934558062,1,Rohitmishra01,Wikipedia:Teahouse,
2020-01-07T05:39:19+00:00,934560801,934553516,1,Rohitmishra01,User talk:AngusWOOF,/* Draft: Paul J. Tesar */
2020-01-07T04:01:47+00:00,934550097,934359306,1,Rohitmishra01,User talk:AngusWOOF,
2020-01-03T11:55:36+00:00,933860429,932537625,1,Rohitmishra01,Mahatma Gandhi Central University,
2020-02-13T17:53:08+00:00,940627779,940627688,1,A4Rough,Rohit Mishra,/* Activism */
2020-02-13T17:52:19+00:00,940627688,940272531,1,A4Rough,Rohit Mishra,/* Activism */
2020-02-09T06:19:21+00:00,939870140,939868081,1,A4Rough,Mahatma Gandhi Central University protests,
2020-02-09T05:56:48+00:00,939868081,939719011,1,A4Rough,Mahatma Gandhi Central University protests,
2020-02-08T17:48:27+00:00,939779969,939779867,1,A4Rough,Rohit Mishra,
2020-02-08T17:47:34+00:00,939779867,939717804,1,A4Rough,Rohit Mishra,
2020-02-08T07:55:35+00:00,939719011,939718731,1,A4Rough,Mahatma Gandhi Central University protests,/* 2018 protest */
2020-02-08T07:51:26+00:00,939718731,939716970,1,A4Rough,Mahatma Gandhi Central University protests,/* Attack on professor */
2020-02-08T07:25:38+00:00,939716970,939716488,1,A4Rough,Mahatma Gandhi Central University protests,/* Responses from Teachers' Organisations */
2020-02-08T07:18:47+00:00,939716488,939716055,1,A4Rough,Mahatma Gandhi Central University protests,/* 2018 protest */
2020-02-08T07:11:33+00:00,939716055,939650738,1,A4Rough,Mahatma Gandhi Central University protests,
2020-02-07T09:45:00+00:00,939577367,939568000,1,A4Rough,Rohit Mishra,
2020-02-07T07:55:33+00:00,939568000,939408088,1,A4Rough,Rohit Mishra,
2020-03-23T05:23:52+00:00,946923581,946923217,1,Abhishek_aki,User:Abhishek aki,Birthday
2020-03-23T05:19:11+00:00,946923217,0,1,Abhishek_aki,User:Abhishek aki,Wikipedia All Ditails
2020-03-22T18:39:53+00:00,946838105,0,1,Abhishek_aki,User:Abhishek aki/sandbox,Abhishek Kumar ishwar
2020-02-14T03:14:25+00:00,940706543,940624095,1,Adityarajmba,User talk:Curb Safe Charmer,
2020-02-04T08:11:16+00:00,939090167,0,1,Adityarajmba,Rohit Mishra,[[WP:AES|←]]Created page with '{{short description|Indian student activist}} {{Use Indian English|date=February 2020}} {{Infobox person | name               = Rohit Mishra | image...'
2020-01-21T17:51:07+00:00,936894430,936893145,1,Adityarajmba,Mahatma Gandhi Central University protests,/* VC held hostage */added content
2020-01-21T17:39:40+00:00,936893145,936891159,1,Adityarajmba,Mahatma Gandhi Central University protests,/* University held a press conference */fixed typo
2020-01-19T11:09:10+00:00,936516748,936516693,1,Adityarajmba,Mahatma Gandhi Central University protests,/* Professor thrashed for derogatory remarks on former PM */
2020-01-19T11:08:40+00:00,936516693,936511936,1,Adityarajmba,Mahatma Gandhi Central University protests,/* Professor thrashed for derogatory remarks on former PM */
2020-01-19T10:11:57+00:00,936511936,936511731,1,Adityarajmba,Mahatma Gandhi Central University protests,/* Professor thrashed for derogatory remarks on former PM */
2020-01-19T10:09:05+00:00,936511731,936506925,1,Adityarajmba,Mahatma Gandhi Central University protests,/* University held a press conference */added content
2020-01-19T06:35:00+00:00,936494835,936493740,1,Adityarajmba,Mahatma Gandhi Central University protests,/* 2018 protest */added content
2020-05-28T10:52:53+00:00,959352214,959233729,1,Gdmosh,Tablighi Jamaat,I changed the jurisprudence to nill because Tableegi jamat does not follow a particular fiqh
2020-05-19T17:56:58+00:00,957610397,692079880,1,Gdmosh,Sarwari Qadiri,
2020-05-15T14:14:28+00:00,956821870,956821633,1,Gdmosh,Abul Hasan Ali Hasani Nadwi,Added content
2020-05-15T14:12:59+00:00,956821633,944748685,1,Gdmosh,Abul Hasan Ali Hasani Nadwi,Added content
2020-03-18T06:20:06+00:00,946123275,946020180,1,HRC491,User talk:HRC491,
2020-03-12T19:04:27+00:00,945248212,945248116,1,HRC491,User talk:HRC491,
2020-03-12T19:03:44+00:00,945248116,945241638,1,HRC491,User talk:HRC491,
2020-03-12T17:47:42+00:00,945238430,945236020,1,HRC491,User talk:HRC491,
2020-03-12T15:06:36+00:00,945216616,945207801,1,HRC491,User talk:Bbb23,
2020-03-12T06:37:42+00:00,945169214,0,1,HRC491,User:HRC491,[[WP:AES|←]]Created page with '{{DISPLAYTITLE:User:HRC491}} {{Userboxtop| }} {{User en}} {{User hi}} {{User bh}} {{user mai}} {{Userboxbottom}}'
2020-03-12T04:08:48+00:00,945155240,0,1,HRC491,Talk:MGCU Vice-Chancellor controversies,[[WP:AES|←]]Created page with '{{WP India|class=start|importance=low|education=y|bihar=y}}'
2020-03-12T04:02:15+00:00,945154584,0,1,HRC491,MGCU Vice-Chancellors controversies,HRC491 moved page [[MGCU Vice-Chancellors controversies]] to [[MGCU Vice-Chancellor controversies]]
2020-03-12T04:02:15+00:00,945154581,943463070,1,HRC491,MGCU Vice-Chancellor controversies,HRC491 moved page [[MGCU Vice-Chancellors controversies]] to [[MGCU Vice-Chancellor controversies]]
2020-03-11T13:28:40+00:00,945041561,944989797,1,HRC491,Jakkaphong Jakrajutatip,
2020-03-11T04:14:50+00:00,944989797,944988653,1,HRC491,Jakkaphong Jakrajutatip,
2020-03-11T04:00:46+00:00,944988653,944986848,1,HRC491,Jakkaphong Jakrajutatip,added Infobox officeholder
2020-03-11T03:40:25+00:00,944986848,944985793,1,HRC491,Jakkaphong Jakrajutatip,added source
2020-03-11T03:29:32+00:00,944985793,944938140,1,HRC491,Jakkaphong Jakrajutatip,
2020-03-10T17:51:21+00:00,944913234,944913090,1,HRC491,Jakkaphong Jakrajutatip,
2020-03-10T17:50:28+00:00,944913090,0,1,HRC491,Jakkaphong Jakrajutatip,[[WP:AES|←]]Created page with '{{short description|Thai transgender billionaire and CEO}} {{Use dmy dates|date=March 2020}} {{Use Indian English|date=March 2019}}  '''Anne Jakkaphong Jakrajuta...'
2020-03-10T15:59:09+00:00,944896683,944895140,1,HRC491,Champaran,added source
2020-03-10T15:48:06+00:00,944895140,944894896,1,HRC491,Champaran,/* Notable people */
2020-03-10T15:46:20+00:00,944894896,943110247,1,HRC491,Champaran,/* Notable people */
2020-03-10T12:50:03+00:00,944872293,944374279,1,HRC491,Mahatma Gandhi Central University protests,/* Responses from Political Parties of India */
2020-03-10T10:30:34+00:00,944858242,944856704,1,HRC491,Jyotiraditya Scindia,
2020-03-10T09:36:47+00:00,944852857,944852813,1,HRC491,Jyotiraditya Scindia,
2020-03-10T09:34:24+00:00,944852649,944852522,1,HRC491,Jyotiraditya Scindia,
2020-03-10T08:32:46+00:00,944847639,944847464,1,HRC491,Jyotiraditya Scindia,
2020-03-10T08:31:13+00:00,944847464,944847005,1,HRC491,Jyotiraditya Scindia,
2020-03-10T07:52:32+00:00,944843127,944843066,1,HRC491,Jyotiraditya Scindia,
2020-03-10T07:44:37+00:00,944842475,944842341,1,HRC491,Jyotiraditya Scindia,
2020-03-10T07:42:43+00:00,944842290,944842266,1,HRC491,Wikipedia:Requests for page protection,
2020-03-10T07:07:43+00:00,944839506,944839478,1,HRC491,Jyotiraditya Scindia,source added
2020-03-10T06:49:23+00:00,944838218,944838068,1,HRC491,Jyotiraditya Scindia,
2020-03-10T06:47:25+00:00,944838068,944838030,1,HRC491,Jyotiraditya Scindia,
2020-03-09T12:54:25+00:00,944704742,944358715,1,HRC491,Talk:MGCU Vice-Chancellors controversies,
2020-03-09T12:45:31+00:00,944703666,936619703,1,HRC491,Talk:Mahatma Gandhi Central University protests,
2020-03-09T03:09:57+00:00,944651933,937987484,1,HRC491,Central University of Rajasthan,/* Admissions */
2020-03-09T03:08:00+00:00,944651713,943400403,1,HRC491,Mahatma Gandhi Central University,/* Admission */
2020-03-07T14:44:01+00:00,944384868,944384541,1,HRC491,Central University of Karnataka,/* Schools and departments */
2020-03-07T14:41:10+00:00,944384541,944163708,1,HRC491,Central University of Karnataka,source added
2020-03-07T13:04:48+00:00,944374279,943873745,1,HRC491,Mahatma Gandhi Central University protests,/* Legal proceedings */
2020-03-04T10:41:31+00:00,943873745,943873640,1,HRC491,Mahatma Gandhi Central University protests,/* Attack on Student */
2020-03-04T10:40:54+00:00,943873640,943873187,1,HRC491,Mahatma Gandhi Central University protests,/* Attack on professor */
2020-03-04T10:37:11+00:00,943873187,942771881,1,HRC491,Mahatma Gandhi Central University protests,/* University held a joint press conference */
2020-03-02T11:52:44+00:00,943535204,943534284,1,HRC491,Ishwar Pokhrel,added source
2020-03-02T11:43:47+00:00,943534284,943533776,1,HRC491,Ishwar Pokhrel,added description
2020-03-02T11:38:17+00:00,943533776,943533532,1,HRC491,Ishwar Pokhrel,removed Template:BLP unsourced
2020-03-02T11:35:14+00:00,943533532,937359049,1,HRC491,Ishwar Pokhrel,added source
2020-03-02T11:25:36+00:00,943532625,936125980,1,HRC491,Deputy Prime Minister of Nepal,
2020-03-02T05:58:52+00:00,943502131,935982740,1,HRC491,Bihari cuisine,/* Non-vegetarian cuisine */added Champaran meat
2020-03-01T18:10:04+00:00,943400403,943399804,1,HRC491,Mahatma Gandhi Central University,
2020-03-01T18:06:19+00:00,943399804,940149868,1,HRC491,Mahatma Gandhi Central University,remove stub template
2020-03-01T17:41:55+00:00,943396260,942250210,1,HRC491,User talk:HRC491,
2020-03-01T17:18:13+00:00,943392684,942240043,1,HRC491,Shool,/* Plot */
2020-02-26T16:44:00+00:00,942753072,0,1,HRC491,Talk:MGCU Vice-Chancellors controversies,Assessment: +India (assisted)
2020-02-15T12:59:06+00:00,940917414,940916911,1,HRC491,Wikipedia:Teahouse,
2020-02-14T09:30:48+00:00,940742953,940646407,1,HRC491,Rohit Mishra,restored the page and changed infobox person to officeholder
2020-02-11T16:43:47+00:00,940283752,940271704,1,HRC491,Mahatma Gandhi Central University protests,/* 2017 protest */
2020-02-11T15:17:27+00:00,940272531,940011304,1,HRC491,Rohit Mishra,
2020-02-11T15:10:31+00:00,940271704,940271423,1,HRC491,Mahatma Gandhi Central University protests,/* 2017 protest */
2020-02-11T15:07:56+00:00,940271423,940201523,1,HRC491,Mahatma Gandhi Central University protests,/* 2017 protest */
2020-02-11T03:32:58+00:00,940201523,939870140,1,HRC491,Mahatma Gandhi Central University protests,/* Legal proceedings */
2020-02-10T20:43:33+00:00,940149868,939973384,1,HRC491,Mahatma Gandhi Central University,added logo
2020-02-08T17:10:45+00:00,939774546,939771632,1,HRC491,COVID-19 pandemic,
2020-02-06T08:22:24+00:00,939408088,939276449,1,HRC491,Rohit Mishra,
2020-02-05T13:08:34+00:00,939276449,939235134,1,HRC491,Rohit Mishra,
2020-02-04T14:09:54+00:00,939122287,939120508,1,HRC491,Rohit Mishra,
2020-02-04T13:52:47+00:00,939120508,939119282,1,HRC491,Rohit Mishra,
2020-02-04T13:45:11+00:00,939119680,938799014,1,HRC491,Mahatma Gandhi Central University protests,
2020-02-04T13:41:06+00:00,939119282,939118774,1,HRC491,Rohit Mishra,"Added website, got the website on internet while finding more information about him."
2020-02-04T13:35:00+00:00,939118774,939116487,1,HRC491,Rohit Mishra,
2020-02-04T13:09:24+00:00,939116487,939115749,1,HRC491,Rohit Mishra,
2020-02-04T13:00:58+00:00,939115749,939098845,1,HRC491,Rohit Mishra,
2020-02-04T12:57:12+00:00,939115380,939114678,1,HRC491,Poco X2,
2020-02-04T12:52:45+00:00,939114983,0,1,HRC491,Category:Mobile phones introduced in 2020,[[WP:AES|←]]Created page with '{{Navseasoncats}} [[Category:2020 in technology]]  [[Category:Mobile phones by year of introduction]] [[Category:Mobile phones introduced in the 2020s|2020]]  ...'
2020-02-04T12:49:56+00:00,939114678,939108777,1,HRC491,Poco X2,
2020-02-04T09:12:10+00:00,939095364,0,1,HRC491,Poco X2,[[WP:AES|←]]Created page with '{{short description|2020 smartphone by Xiaomi}} {{Infobox mobile phone |name=Xiaomi Poco X2  |image= |caption= |codename = ''' |manufacturer=[[Xiaomi]] |series=P...'
2020-01-30T18:26:05+00:00,938357529,938354654,1,HRC491,Mahatma Gandhi Central University protests,/* Attack on professor */
2020-01-30T18:03:10+00:00,938354654,938354498,1,HRC491,Mahatma Gandhi Central University protests,/* 2018 protest */
2020-01-30T18:02:04+00:00,938354498,938352498,1,HRC491,Mahatma Gandhi Central University protests,/* 2018 protest */
2020-01-30T17:46:27+00:00,938352498,938348588,1,HRC491,Mahatma Gandhi Central University protests,/* 2018 protest */
2020-01-30T17:18:36+00:00,938348588,938333382,1,HRC491,Mahatma Gandhi Central University protests,/* Responses from Students' Organisation */
2020-01-30T15:30:16+00:00,938333382,938327105,1,HRC491,Mahatma Gandhi Central University protests,/* University held a joint press conference */
2020-01-30T14:39:08+00:00,938327105,938308511,1,HRC491,Mahatma Gandhi Central University protests,/* University held a press conference */
2020-01-30T11:27:58+00:00,938308511,938306698,1,HRC491,Mahatma Gandhi Central University protests,/* External links */
2020-01-30T11:07:53+00:00,938306698,938289252,1,HRC491,Mahatma Gandhi Central University protests,/* External links */
2020-01-29T18:49:37+00:00,938201437,938201323,1,HRC491,Mahatma Gandhi Central University protests,/* Vice-Chancellor role in the incidence */
2020-01-29T18:48:47+00:00,938201323,938201190,1,HRC491,Mahatma Gandhi Central University protests,/* University held a press conference */
2020-01-29T18:47:45+00:00,938201190,938200873,1,HRC491,Mahatma Gandhi Central University protests,/* University held a press conference */
2020-01-29T18:45:32+00:00,938200873,938199989,1,HRC491,Mahatma Gandhi Central University protests,/* Responses from Teachers' Organisations */
2020-01-29T18:39:33+00:00,938199989,938199511,1,HRC491,Mahatma Gandhi Central University protests,/* Responses */
2020-01-29T18:35:39+00:00,938199511,938199302,1,HRC491,Mahatma Gandhi Central University protests,/* Legal proceedings */
2020-01-29T18:33:59+00:00,938199302,938199158,1,HRC491,Mahatma Gandhi Central University protests,/* Responses from Political Parties of India */
2020-01-29T18:32:55+00:00,938199158,938196088,1,HRC491,Mahatma Gandhi Central University protests,/* Responses from Political Parties of India */
2020-01-29T18:14:09+00:00,938196088,938188362,1,HRC491,Mahatma Gandhi Central University protests,
2020-01-29T13:29:28+00:00,938157512,938157327,1,HRC491,Mahatma Gandhi Central University protests,
2020-01-29T13:28:01+00:00,938157327,938157269,1,HRC491,Mahatma Gandhi Central University protests,/* Legal proceedings */
2020-01-29T13:27:32+00:00,938157269,938157191,1,HRC491,Mahatma Gandhi Central University protests,/* Responses from Teachers' Organisations */
2020-01-29T13:26:59+00:00,938157191,938156957,1,HRC491,Mahatma Gandhi Central University protests,/* Professor thrashed for derogatory remarks on former PM */
2020-01-29T13:25:15+00:00,938156957,938156789,1,HRC491,Mahatma Gandhi Central University protests,/* University held a press conference */
2020-01-29T13:24:00+00:00,938156789,938156711,1,HRC491,Mahatma Gandhi Central University protests,/* VC held hostage */
2020-01-29T13:23:22+00:00,938156711,938156520,1,HRC491,Mahatma Gandhi Central University protests,/* Clash with police in the campus */
2020-01-29T13:22:03+00:00,938156520,938156110,1,HRC491,Mahatma Gandhi Central University protests,/* 2018 protest */
