timestamp,revid,parentid,sock,user,page,message
2017-09-22T22:03:51+00:00,801938007,801937863,1,Samsungx635,Talk:One Piece,[[WP:AES|←]]Blanked the page
2017-09-22T22:02:24+00:00,801937863,798717470,1,Samsungx635,Talk:One Piece,/* Semi-protected edit request on 3 June 2017 */
2017-09-22T22:01:00+00:00,801937680,784237796,1,Samsungx635,User talk:Samsungx635,[[WP:AES|←]]Blanked the page
2017-06-04T16:50:21+00:00,783783963,783738765,1,Samsungx635,Talk:One Piece,/* Semi-protected edit request on 3 June 2017 */
2017-06-04T16:49:52+00:00,783783903,783758565,1,Samsungx635,Talk:Main Page,/* Hello */
2017-06-03T23:24:14+00:00,783680589,783670307,1,Samsungx635,User talk:Samsungx635,[[WP:AES|←]]Blanked the page
2017-06-03T23:23:29+00:00,783680503,783673632,1,Samsungx635,Talk:Main Page,/* Hello */
2017-06-03T21:41:54+00:00,783667578,782694377,1,Samsungx635,Rumiko Takahashi,
2017-06-03T21:41:19+00:00,783667495,783292759,1,Samsungx635,Takehiko Inoue,
2017-06-03T21:40:43+00:00,783667413,783555889,1,Samsungx635,Osamu Tezuka,
2017-06-03T21:39:58+00:00,783667315,783666897,1,Samsungx635,User talk:Samsungx635,[[WP:AES|←]]Blanked the page
2017-06-03T21:39:19+00:00,783667228,783292844,1,Samsungx635,Eiichiro Oda,
2017-06-03T21:35:47+00:00,783666789,783293196,1,Samsungx635,Akira Toriyama,
2017-06-03T21:31:43+00:00,783666263,783454245,1,Samsungx635,Dragon Ball,
2017-06-03T21:22:42+00:00,783665196,783665063,1,Samsungx635,Talk:Main Page,/* Hello */
2017-06-03T21:21:41+00:00,783665063,783656715,1,Samsungx635,Talk:Main Page,/* Hello */
2017-06-03T21:18:09+00:00,783664640,783664487,1,Samsungx635,User talk:Samsungx635,/* One Piece */
2017-06-03T21:10:25+00:00,783663644,783335304,1,Samsungx635,User talk:1989,/* Hello */ new section
2017-06-03T21:02:19+00:00,783662570,783656392,1,Samsungx635,Talk:One Piece,/* Semi-protected edit request on 3 June 2017 */ new section
2017-06-03T20:08:58+00:00,783655965,783655366,1,Samsungx635,Talk:One Piece,/* Hello */ new section
2017-06-03T20:08:07+00:00,783655865,783655162,1,Samsungx635,Talk:Main Page,/* Hello */
2017-06-03T20:03:48+00:00,783655366,783654007,1,Samsungx635,Talk:One Piece,/* Semi-protected edit request on 3 June 2017 */
2017-06-03T19:55:12+00:00,783654352,783652676,1,Samsungx635,Talk:Main Page,/* Hello */
2017-06-03T19:49:48+00:00,783653743,783652516,1,Samsungx635,Talk:One Piece,/* Semi-protected edit request on 3 June 2017 */
2017-06-03T19:27:34+00:00,783651231,783650933,1,Samsungx635,Talk:Main Page,/* Hello */ new section
2017-06-03T19:23:41+00:00,783650779,783626100,1,Samsungx635,Talk:Main Page,"[[WP:AES|←]]Replaced content with 'Hello. I'd like to speak to the Admin of Wikipedia, if there's one of course. Hope anyone in charge replies me. Thanks.'"
2017-06-03T19:21:54+00:00,783650583,783649798,1,Samsungx635,Talk:One Piece,/* Hello */ new section
2017-06-03T19:13:47+00:00,783649798,781416043,1,Samsungx635,Talk:One Piece,/* Semi-protected edit request on 3 June 2017 */ new section
2017-10-30T17:42:41+00:00,807889630,801942005,1,Asd32131,Talk:One Piece,[[WP:AES|←]]Blanked the page
2019-02-22T12:08:34+00:00,884556039,884136112,1,Randomaccount123,Guinness World Records,
2019-02-22T11:57:51+00:00,884554969,883515851,1,Randomaccount123,Akira Toriyama,
2019-02-22T11:55:07+00:00,884554735,883769883,1,Randomaccount123,Osamu Tezuka,
2019-02-22T11:54:24+00:00,884554669,880431954,1,Randomaccount123,Eiichiro Oda,
2019-02-22T11:47:00+00:00,884554018,883419791,1,Randomaccount123,Buddha (manga),
2019-02-22T11:45:30+00:00,884553887,881244505,1,Randomaccount123,Astro Boy,
2019-02-22T11:44:42+00:00,884553821,883478164,1,Randomaccount123,Rurouni Kenshin,
2019-02-22T11:43:05+00:00,884553664,882881621,1,Randomaccount123,Vagabond (manga),
2019-02-22T11:40:40+00:00,884553435,884551756,1,Randomaccount123,Case Closed,
2017-09-18T11:37:53+00:00,801217244,798434357,0,InternetArchiveBot,Eiichiro Oda,Rescuing 2 sources and tagging 0 as dead. #IABot (v1.5.2)
