timestamp,revid,parentid,sock,user,page,message
2015-10-08T12:27:19+00:00,684732487,683875040,1,Sergomen1,Wikipedia:Sockpuppet investigations/Sergomen1,/* Comments by other users */
2014-02-04T18:32:56+00:00,593922540,593922477,1,Sergomen1,Wikipedia:Miscellany for deletion/User:Sergomen1/Virtonomics1,
2014-02-04T18:32:29+00:00,593922477,593872049,1,Sergomen1,Wikipedia:Miscellany for deletion/User:Sergomen1/Virtonomics1,
2014-02-04T17:25:57+00:00,593912913,593899046,1,Sergomen1,Virtonomics,
2014-02-04T15:35:52+00:00,593899046,593897739,1,Sergomen1,Virtonomics,
2014-02-04T15:26:23+00:00,593897739,593645699,1,Sergomen1,Virtonomics,
2014-02-04T11:44:59+00:00,593874371,0,1,Sergomen1,Wikipedia talk:Miscellany for deletion/User:Sergomen1/Virtonomics1,"[[WP:AES|←]]Created page with 'Hello, friends! Please don't delete page about Virtonomics. I will try to improve this page and article about Virtonomics on next 3 days. Thank you.  Sergomen1 ~~~~'"
2010-01-10T10:46:30+00:00,336976827,336353266,1,Sergomen1,List of multiplayer browser games,
2010-01-06T19:46:35+00:00,336253166,336252036,1,Sergomen1,Serious game,/* Examples */
2010-01-06T19:40:40+00:00,336252036,336032658,1,Sergomen1,Serious game,/* Examples */
2010-01-06T12:50:07+00:00,336190549,335600556,1,Sergomen1,List of business simulation video games,/* List */
2010-01-05T22:50:17+00:00,336088589,335817689,1,Sergomen1,User:Sergomen1/Virtonomics,
2010-01-05T22:34:33+00:00,336085967,336082647,1,Sergomen1,Wikipedia:Articles for deletion/Virtonomics,/* Virtonomics */
2010-01-05T22:22:22+00:00,336083957,336083745,1,Sergomen1,Virtonomics,/* History */
2010-01-05T22:21:06+00:00,336083745,336083359,1,Sergomen1,Virtonomics,/* External links */
2010-01-05T22:19:06+00:00,336083359,336074465,1,Sergomen1,Virtonomics,
2010-01-05T21:21:18+00:00,336073013,336062210,1,Sergomen1,Wikipedia:Articles for deletion/Virtonomics,/* Virtonomics */
2010-01-05T21:15:24+00:00,336071760,336071644,1,Sergomen1,User talk:Apoc2400,/* article Virtonomics */
2010-01-05T21:14:47+00:00,336071644,336064688,1,Sergomen1,User talk:Apoc2400,
2010-01-05T20:29:39+00:00,336063262,336061579,1,Sergomen1,User talk:Accounting4Taste,
2010-01-05T20:13:11+00:00,336060104,336057678,1,Sergomen1,Talk:Virtonomics,
2010-01-05T20:08:35+00:00,336059334,336038492,1,Sergomen1,User talk:Accounting4Taste,/* virtonomics */ new section
2010-01-05T20:07:09+00:00,336059093,336059045,1,Sergomen1,User talk:Apoc2400,/* Sandstein/Nableezy */
2010-01-05T20:05:44+00:00,336058846,336058775,1,Sergomen1,User talk:Apoc2400,/* article Virtonomics */ new section
2010-01-05T20:04:14+00:00,336058602,335892919,1,Sergomen1,User talk:Apoc2400,
2010-01-05T19:58:56+00:00,336057678,336057527,1,Sergomen1,Talk:Virtonomics,
2010-01-05T19:58:03+00:00,336057527,335832095,1,Sergomen1,Talk:Virtonomics,"[[WP:AES|←]]Created page with 'Hello, dear friends. Unfortunately, I have not much experience in the preparation of articles in the Wiki. This explains the large number of unsuccessful previous a...'"
2010-01-05T16:57:06+00:00,336024849,335864889,1,Sergomen1,Virtonomics,[[WP:AES|←]]Created page with '{{Infobox Website | name           = Virtonomics  | logo           =  | screenshot     =  | caption        =  | url            = [http://virtonomics.com virtonomics...'
2010-01-04T17:03:28+00:00,335833429,335820228,1,Sergomen1,Virtonomics,
2010-01-04T16:54:48+00:00,335832095,335832038,1,Sergomen1,Talk:Virtonomics,
2010-01-04T16:54:22+00:00,335832038,335831852,1,Sergomen1,Talk:Virtonomics,
2010-01-04T16:53:23+00:00,335831852,0,1,Sergomen1,Talk:Virtonomics,[[WP:AES|←]]Created page with 'Please do not delete this article because it is still in the preparatory process and the content is presented in the article is the raw material for processing in t...'
2010-01-04T15:17:51+00:00,335817970,328210440,1,Sergomen1,Virtonomics,[[WP:AES|←]]Created page with '{{Infobox Website | name           = Virtonomics  | logo           =  | screenshot     =  | caption        =  | url            = [http://virtonomics.com virtonomics...'
2010-01-04T15:15:42+00:00,335817689,335817497,1,Sergomen1,User:Sergomen1/Virtonomics,
2010-01-04T15:14:20+00:00,335817497,335817124,1,Sergomen1,User:Sergomen1/Virtonomics,
