timestamp,revid,parentid,sock,user,page,message
2013-09-02T06:46:07+00:00,571185292,570756819,1,Sipho_Tottenham,Ravi Shankar (poet),
2016-02-09T15:02:20+00:00,704098763,704098705,1,Howlingiguana,Ravi Shankar (poet),undid revision due to sourcing
2016-02-09T14:51:55+00:00,704097581,704097051,1,Howlingiguana,Ravi Shankar (poet),Undid revision due to pertinence - court date in 2015 not accurate
2016-02-09T09:33:18+00:00,704068294,704068199,1,Howlingiguana,Ravi Shankar (poet),
2016-02-09T09:32:09+00:00,704068199,704068097,1,Howlingiguana,Ravi Shankar (poet),Added pub detaisl
2016-02-09T15:03:43+00:00,704098960,704098763,1,Patriot4eva,Ravi Shankar (poet),Undid revision 704098763 by [[Special:Contributions/Howlingiguana|Howlingiguana]] ([[User talk:Howlingiguana|talk]])
2016-02-09T15:01:49+00:00,704098705,704097581,1,Patriot4eva,Ravi Shankar (poet),Addition of citation
2016-02-09T09:35:25+00:00,704068473,704068294,1,Patriot4eva,Ravi Shankar (poet),Added citation
2016-02-09T09:30:52+00:00,704068097,703535779,1,Patriot4eva,Ravi Shankar (poet),Unverified Sources
2015-02-02T06:42:08+00:00,645269422,639073254,0,Ser Amantio di Nicolao,Ravi Shankar (poet),recat using [[Project:AWB|AWB]]
2014-03-31T18:13:44+00:00,602144406,596265664,0,198.24.31.123,Ravi Shankar (poet),
2014-06-02T04:48:30+00:00,611184443,611183903,0,Mefowler,Ravi Shankar (poet),/* Career */
2013-09-27T16:53:33+00:00,574762067,574539800,0,Yobot,Ravi Shankar (poet),[[WP:CHECKWIKI]] error fixes using [[Project:AWB|AWB]] (9500)
2014-08-07T06:17:10+00:00,620197990,620061165,0,BG19bot,Ravi Shankar (poet),[[WP:CHECKWIKI]] error fix for #61.  Punctuation goes before References. Do [[Wikipedia:GENFIXES|general fixes]] if a problem exists. - using [[Project:AWB|AWB]] (10361)
2013-10-25T00:17:54+00:00,578626085,578469179,0,BG19bot,Ravi Shankar (poet),[[WP:CHECKWIKI]] error fix for #61.  Punctuation goes before References. Do [[Wikipedia:GENFIXES|general fixes]] if a problem exists. - using [[Project:AWB|AWB]] (9549)
2015-08-14T01:32:06+00:00,676000212,674777757,0,2601:182:4001:B5C0:C931:2E8D:BBA0:ACE,Ravi Shankar (poet),
2015-09-29T19:42:12+00:00,683355091,683354716,0,Carlottamorte,Ravi Shankar (poet),restore with corrections
2015-09-08T06:06:29+00:00,680020458,676000212,0,Btl,Ravi Shankar (poet),"rvv fictional charges, fake references."
2013-11-18T15:14:36+00:00,582214333,582214217,0,76.28.65.172,Ravi Shankar (poet),/* Personal life */
2014-01-15T00:18:50+00:00,590744724,589669152,0,DumbBOT,Ravi Shankar (poet),removing a protection template from a non-protected page ([[User:DumbBOT/Protection|info]])
2013-11-24T18:37:56+00:00,583123994,582214333,0,76.28.65.172,Ravi Shankar (poet),
2013-12-12T01:50:21+00:00,585680638,585680144,0,76.28.65.172,Ravi Shankar (poet),
2013-12-30T20:52:18+00:00,588421168,588212588,0,12.171.74.194,Ravi Shankar (poet),(→‎References: fixed dab link using AWB)
2014-02-20T00:35:01+00:00,596265664,595561940,0,Hfludary,Ravi Shankar (poet),
