timestamp,revid,parentid,sock,user,page,message
2013-11-03T19:37:58+00:00,580045591,580040981,1,Smarojitbiz,Harish Iyer,/* In popular culture */ added book details and details of iyers participation at think fest
2013-11-03T19:01:53+00:00,580040981,580040906,1,Smarojitbiz,Harish Iyer,/* Media advocacy */ added stephen fry
2013-11-03T19:01:15+00:00,580040906,578097191,1,Smarojitbiz,Harish Iyer,/* In popular culture */ changed positions
2013-10-21T11:07:26+00:00,578097191,577994668,1,Smarojitbiz,Harish Iyer,/* In popular culture */ added OUT THERE
2013-09-23T07:14:19+00:00,574147893,574146474,1,Smarojitbiz,Gatka,spell error.
2013-08-26T08:37:01+00:00,570237175,563249884,1,Smarojitbiz,Harish Iyer,updated activism with recent protests >> Protest after Mumbai Gangrape incident
2013-06-29T09:36:59+00:00,562088606,562078749,1,Smarojitbiz,Harish Iyer,
2013-06-29T07:31:44+00:00,562078749,561206038,1,Smarojitbiz,Harish Iyer,added>> Harish Iyer listed as one of the 100 most influential LGBT people in the world.
2013-06-23T13:44:14+00:00,561206038,561205759,1,Smarojitbiz,Harish Iyer,"added [[Category:St. Xavier's College, Mumbai alumni]] using [[WP:HC|HotCat]]"
2013-06-23T13:41:54+00:00,561205759,561171545,1,Smarojitbiz,Harish Iyer,added [[Category:Child sexual abuse]] using [[WP:HC|HotCat]]
2013-06-23T07:56:55+00:00,561171545,560867370,1,Smarojitbiz,Harish Iyer,added [[Category:Motivational speakers]] using [[WP:HC|HotCat]]
2013-06-21T08:35:51+00:00,560867370,560867335,1,Smarojitbiz,Harish Iyer,added [[Category:Indian motivational speakers]] using [[WP:HC|HotCat]]
2013-06-21T08:35:26+00:00,560867335,560867300,1,Smarojitbiz,Harish Iyer,removed [[Category:Indian Motivational Speakers]] using [[WP:HC|HotCat]]
2013-06-21T08:34:56+00:00,560867300,559826572,1,Smarojitbiz,Harish Iyer,added [[Category:Indian Motivational Speakers]] using [[WP:HC|HotCat]]
2013-06-19T07:08:18+00:00,560568255,560567729,1,Smarojitbiz,Poonam Dhillon,
2013-06-19T07:01:49+00:00,560567729,560323114,1,Smarojitbiz,Poonam Dhillon,grammar
2013-06-18T12:36:13+00:00,560441795,559780345,1,Smarojitbiz,Harish,deleted Harsha Iyer
2013-05-23T12:44:50+00:00,556421599,555264813,1,Smarojitbiz,Harish Iyer,/* In Popular Culture */
2013-05-14T06:20:56+00:00,555012212,553358603,1,Smarojitbiz,User talk:Smarojitbiz,Block period completed. Undid revision 553358603 by [[Special:Contributions/Reaper Eternal|Reaper Eternal]] ([[User talk:Reaper Eternal|talk]])
2013-05-03T07:26:35+00:00,553315024,553314930,1,Smarojitbiz,Wikipedia:Articles for deletion/Nakshatra (filmmaker),/* Nakshatra (filmmaker) */
2013-05-03T07:25:29+00:00,553314930,553314869,1,Smarojitbiz,Wikipedia:Articles for deletion/Nakshatra (filmmaker),/* Nakshatra (filmmaker) */
2013-05-03T07:24:42+00:00,553314869,553311682,1,Smarojitbiz,Wikipedia:Articles for deletion/Nakshatra (filmmaker),/* Nakshatra (filmmaker) */ added points to the discussion
2013-05-03T06:44:33+00:00,553311682,553311555,1,Smarojitbiz,Wikipedia:Articles for deletion/Nakshatra (filmmaker),/* Nakshatra (filmmaker) */
2013-05-03T06:42:54+00:00,553311555,553310196,1,Smarojitbiz,Wikipedia:Articles for deletion/Nakshatra (filmmaker),/* Nakshatra (filmmaker) */ added reference
2013-05-03T06:25:24+00:00,553310196,553310141,1,Smarojitbiz,Wikipedia:Articles for deletion/Nakshatra (filmmaker),/* Nakshatra (filmmaker) */
2013-05-03T06:24:34+00:00,553310141,553303363,1,Smarojitbiz,Wikipedia:Articles for deletion/Nakshatra (filmmaker),"/* Nakshatra (filmmaker) */  Suggestion: Delete this wiki entry, and set up a page for the film instead"
2013-04-09T11:59:06+00:00,549498019,549308040,1,Smarojitbiz,Wikipedia:Articles for deletion/Nakshatra(Filmmaker),Added comment in retaliation.
2013-04-08T10:51:54+00:00,549305476,544883602,1,Smarojitbiz,Rahul Bose,/* Activism */ citation added
2013-04-08T10:49:09+00:00,549305200,548457116,1,Smarojitbiz,Konkona Sen Sharma,/* Awards */ added the hyperlink
2013-04-08T10:44:15+00:00,549304644,543383986,1,Smarojitbiz,Aparna Sen,/* Other achievements */ added president's name
2013-05-01T15:26:07+00:00,553053885,553041313,1,Thefriendlycasper,User:Thefriendlycasper,added [[Category:Female Wikipedians]] using [[WP:HC|HotCat]]
2013-05-01T15:20:32+00:00,553053034,553052446,1,Thefriendlycasper,Wikipedia:Articles for deletion/Nakshatra (filmmaker),added signatures
2013-05-01T15:16:19+00:00,553052446,553051377,1,Thefriendlycasper,Wikipedia:Articles for deletion/Nakshatra (filmmaker),/* Nakshatra (filmmaker) */ Previous observations on the said to add light to the discussion
2013-05-01T14:51:06+00:00,553048988,553032913,1,Thefriendlycasper,Wikipedia:Articles for deletion/Nakshatra (filmmaker),/* Nakshatra (filmmaker) */ Contributed to The Discussion
2013-05-01T13:52:47+00:00,553041313,553041034,1,Thefriendlycasper,User:Thefriendlycasper,twinkle
2013-05-01T13:50:42+00:00,553041034,0,1,Thefriendlycasper,User:Thefriendlycasper,[[WP:AES|←]]Created page with 'Am vigilant against vandalism. Occasionally edit articles.'
2013-05-01T13:49:04+00:00,553040819,553029825,1,Thefriendlycasper,User talk:Uncle Milty,/* Notability @ Nakshatra (filmmaker) */ commented
2013-05-01T09:29:18+00:00,553014766,0,1,Thefriendlycasper,User:Idiotbox123,Notice
2013-05-01T08:48:04+00:00,553011776,550442902,1,Thefriendlycasper,Simi Garewal,/* Film and television career */ website details added
2013-04-09T12:23:49+00:00,549500849,549498161,1,Thefriendlycasper,Wikipedia:Articles for deletion/Nakshatra(Filmmaker),Delete Request Valid
2013-07-30T11:37:59+00:00,566411501,566411339,0,Reatlas,Harish,Reverted edit(s) by [[Special:Contributions/14.139.40.15|14.139.40.15]] identified as test/vandalism using [[WP:STiki|STiki]]
2013-08-25T07:42:38+00:00,570096982,570094952,0,Bgwhite,Aparna Sen,[[WP:CHECKWIKI]] error fix. Bracket problem. Do [[Wikipedia:GENFIXES|general fixes]] and cleanup if needed. - using [[Project:AWB|AWB]] (9440)
2013-05-15T20:21:45+00:00,555264813,554103472,0,Charles Essie,Harish Iyer,
2013-06-14T04:58:00+00:00,559826572,556421599,0,Gongshow,Harish Iyer,[[WP:DAB]]
2013-04-20T17:22:48+00:00,551318580,550475708,0,Amaninj,Harish Iyer,stephen fry's tweet
2013-09-13T04:45:30+00:00,572715720,572463389,0,Omnipaedista,Aparna Sen,add link
2013-05-08T09:27:23+00:00,554103472,553139975,0,Yobot,Harish Iyer,[[WP:CHECKWIKI]] error fixes using [[Project:AWB|AWB]] (9120)
2013-04-10T08:02:05+00:00,549644592,549522414,0,Rahulajitpal,Harish Iyer,/* Activism */
2013-07-07T15:38:21+00:00,563249884,563249482,0,Bearcat,Harish Iyer,"[[MOS:CAPS]], [[WP:LASTNAME]] cleanup"
2013-05-02T03:06:30+00:00,553139975,551318580,0,Survir,Harish Iyer,Removed unrelated category to the page
2013-07-04T10:38:58+00:00,562815873,562208340,0,Krimuk2.0,Konkona Sen Sharma,/* Filmography */
2013-04-15T14:06:46+00:00,550475708,549644592,0,Rahulajitpal,Harish Iyer,"language edits, removed a few lines that were repeating."
2013-09-18T01:19:37+00:00,573432309,573081686,0,ArmbrustBot,Konkona Sen Sharma,"/* External links */re-categorisation per [[Wikipedia:Categories for discussion/Log/2013 August 31]], replaced: Category:Bengali film actresses → Category:Actresses in Bengali cinema, Category:Hindi film actresses → Cat using [[Project:AWB|AWB]]"
2013-08-21T08:35:21+00:00,569542899,569234497,0,112.135.174.17,Poonam Dhillon,/* Filmography */
2013-09-04T09:02:31+00:00,571486991,569962820,0,Titodutta,Poonam Dhillon,"/* Career */clean up, [[WP:AWB/T|typos fixed]]: hindi → Hindi using [[Project:AWB|AWB]]"
2013-05-27T01:23:31+00:00,556943941,556923424,0,Vigyani,Poonam Dhillon,"Reverted [[WP:AGF|good faith]] edit(s) by [[Special:Contributions/107.3.131.245|107.3.131.245]] using [[WP:STiki|STiki]], unexplained removal"
2013-07-16T06:23:57+00:00,564467872,562215363,0,Ekabhishek,Simi Garewal,added [[Category:Masters of Ceremonies]] using [[WP:HC|HotCat]]
2013-05-31T12:05:46+00:00,557673139,557629117,0,Tolly4bolly,Rahul Bose,[[Help:Reverting|Reverted]] edits by [[Special:Contributions/192.195.66.4|192.195.66.4]] ([[User talk:192.195.66.4|talk]]) to last version by Salora
2013-08-15T00:09:53+00:00,568582496,567657697,0,Naniwako,Simi Garewal,/* Film and television career */ rm repeated language
2013-04-11T01:17:41+00:00,549774727,549736864,0,HostBot,User talk:Smarojitbiz,Automatic invitation to visit [[WP:Teahouse]] sent by [[User:HostBot|HostBot]]
2013-09-07T12:55:40+00:00,571911236,571793989,0,Hullaballoo Wolfowitz,Rahul Bose,/* Personal life */ no current source
2013-05-03T15:27:32+00:00,553358904,553014766,0,Reaper Eternal,User:Idiotbox123,sockpuppet
2013-05-03T15:25:47+00:00,553358665,553053885,0,Reaper Eternal,User:Thefriendlycasper,sockpuppet
2013-07-06T01:16:14+00:00,563047112,562451709,0,RFC bot,User talk:Uncle Milty,/* Please comment on Wikipedia:Village pump (proposals) */ new section
2013-05-31T21:46:57+00:00,557744348,557316067,0,MiszaBot III,User talk:Uncle Milty,Robot: Archiving 2 threads (older than 30d) to [[User talk:Uncle Milty/Archive 2]].
2013-05-09T18:21:05+00:00,554323917,553644594,0,Black Kite,Wikipedia:Articles for deletion/Nakshatra (filmmaker),"Closing debate, result was delete"
2013-04-26T04:29:17+00:00,552225298,552041377,0,King of Hearts,Wikipedia:Articles for deletion/Nakshatra(Filmmaker),"Closing debate, result was no consensus"
2013-06-08T16:01:39+00:00,558924810,558924428,0,Acetotyce,Aparna Sen,Reverted edit(s) by [[Special:Contributions/116.193.136.77|116.193.136.77]] identified as test/vandalism using [[WP:STiki|STiki]]
2013-08-19T18:07:46+00:00,569256646,566411501,0,Carlossuarez46,Harish,hatdab modify
2013-07-27T01:35:09+00:00,565965216,565965011,0,27.131.12.7,Aparna Sen,/* Biography */
2013-05-08T23:34:01+00:00,554206933,554206869,0,76.110.177.95,Aparna Sen,/* Actress */
2013-07-01T08:47:46+00:00,562364803,558924810,0,2602:306:CE7D:9460:E03E:B663:25A2:E947,Aparna Sen,
2013-08-13T17:09:19+00:00,568383958,568354897,0,Jyotithesawant,Konkona Sen Sharma,/* Filmography */
2013-07-16T08:52:58+00:00,564479140,564478809,0,Ugog Nizdast,Konkona Sen Sharma,restored section
2013-04-20T08:41:53+00:00,551255807,550682745,0,14.99.5.147,Konkona Sen Sharma,/* Filmography */
2013-05-03T14:51:31+00:00,553354512,553354381,0,Neo.,Poonam Dhillon,/* External links */ fix
2013-05-29T02:09:53+00:00,557270420,557240865,0,Geniac,Poonam Dhillon,Undid revision 557240865 by [[Special:Contributions/Uniquepoonam9|Uniquepoonam9]] ([[User talk:Uniquepoonam9|talk]]); unsourced opinion
2013-04-16T00:17:51+00:00,550562739,549472907,0,Roland zh,Poonam Dhillon,commonscat
2013-05-22T01:33:39+00:00,556195175,556195075,0,124.170.6.0,Konkona Sen Sharma,/* Career */
2013-05-19T18:11:29+00:00,555821488,554039478,0,Salora,Rahul Bose,
2013-06-29T20:04:23+00:00,562154029,557673139,0,Evano1van,Rahul Bose,Fixing 8 ToI links
2013-07-13T07:42:56+00:00,564075322,563131509,0,59.184.130.4,Rahul Bose,/* Mainstream success and regional cinema: 2003–present */
2013-05-15T19:01:55+00:00,555253964,553011776,0,Jtt1234,Simi Garewal,
2013-10-02T00:15:43+00:00,575364672,575277231,0,Legobot,User talk:Uncle Milty,/* Please comment on Wikipedia talk:Manual of Style */ new section
2013-10-22T08:50:48+00:00,578233732,578190462,0,Legobot,User talk:Uncle Milty,Robot: Archiving 4 threads (older than 30d) to [[User talk:Uncle Milty/Archive 2]].
2013-10-07T23:15:05+00:00,576211693,575364672,0,Legobot,User talk:Uncle Milty,Robot: Archiving 2 threads (older than 30d) to [[User talk:Uncle Milty/Archive 2]].
2013-04-13T19:53:48+00:00,550202377,550197666,0,Binksternet,User talk:Uncle Milty,/* Pony invasion */ wow
2013-04-25T00:08:08+00:00,552041377,552014084,0,Dricherby,Wikipedia:Articles for deletion/Nakshatra(Filmmaker),/* Nakshatra (Filmmaker) */ Close as bad-faith nomination.
