timestamp,revid,parentid,sock,user,page,message
2020-10-30T14:54:06+00:00,986221777,984680638,1,Smokva26,User talk:Smokva26,[[WP:AES|←]]Blanked the page
2020-10-21T13:28:05+00:00,984680638,982381976,1,Smokva26,User talk:Smokva26,[[WP:AES|←]]Replaced content with '== Unblock == Please unblock me because I don't know why i'm blocked. I think there is a mistake. The users [[Asparuh0]] and [[Efegüls]] are not sockpuppets...'
2020-10-20T12:34:21+00:00,984503988,984185377,1,Smokva26,Battle of Nicopolis,"Grant gives the number of Ottoman soldiers as 25,000. Turkish sources give the number of the Ottoman troops as 60,000 not 10,000 or 20,000. and the ninth source say ottomans had 60,000 soldiers, crusaders had 100,000 soldiers. so I changed it with completely using reliable sources"
2020-10-19T22:33:55+00:00,984401414,983881316,1,Smokva26,Battle of Lepanto,"According to Ottoman primary sources, the Ottomans had 25,000 soldiers in this war."
2020-10-19T12:11:21+00:00,984308282,976523525,1,Smokva26,Battle of Grocka,
2020-10-19T02:11:02+00:00,984249481,984224017,1,Smokva26,Austro-Turkish War (1663–1664),it was a militarily ottoman victory. ottomans defeated the holy roman empire in siege of ersekujvar and capture the city
2020-10-19T01:56:57+00:00,984247568,970221811,1,Smokva26,Battle of Saint Gotthard (1664),
2020-10-19T00:58:45+00:00,984239910,984166107,1,Smokva26,Battle of Sırpsındığı,
2020-10-15T00:36:03+00:00,983572157,981689861,1,Smokva26,Battle of Alcácer Quibir,"In this battle, the Ottomans sent 10,000 janissaries and a few cannons to the Moroccan side. https://pt.wikipedia.org/wiki/Batalha_de_Alc%C3%A1cer-Quibir"
2020-10-14T15:38:42+00:00,983497658,983485805,1,Smokva26,Hayreddin Barbarossa,source
2020-10-14T15:33:00+00:00,983496870,982834282,1,Smokva26,Yakup Ağa,
2020-10-14T09:47:56+00:00,983455728,983418839,1,Smokva26,Night attack at Târgoviște,"In this source too, it is written that the Ottomans lost 15,000 men. I wrote it wrong. Please do not change the numbers."
2020-10-14T00:43:13+00:00,983395593,983392733,1,Smokva26,Night attack at Târgoviște,"The source says the Ottomans lost 15,000 men"
2020-10-14T00:29:27+00:00,983393466,982991277,1,Smokva26,Battle of Slobozia,
2020-10-14T00:24:16+00:00,983392733,982927691,1,Smokva26,Night attack at Târgoviște,
2020-10-14T00:11:42+00:00,983390969,980982292,1,Smokva26,Siege of Constantinople (717–718),
2020-10-14T00:06:43+00:00,983390315,943913735,1,Smokva26,Battle of Aksu (717),"In this battle, the main army was the Karluk cavalry. It would make more sense to say the Tang Chinese-Karluk victory"
2020-10-13T17:20:47+00:00,983336748,983085998,1,Smokva26,Battle of Sırpsındığı,Other kingdoms that fought in this war are added.
2020-10-12T23:39:14+00:00,983219730,958018958,1,Smokva26,Siege of Thessalonica (1422–1430),strengths and casualties added
2020-10-12T22:05:32+00:00,983209527,978354059,1,Smokva26,Algiers expedition (1541),
2020-10-12T21:50:18+00:00,983207582,983207147,1,Smokva26,Talk:Siege of Candia,
2020-10-12T21:45:40+00:00,983207023,970924258,1,Smokva26,Talk:Siege of Candia,
2020-10-12T12:15:44+00:00,983129391,982466717,1,Smokva26,Hayreddin Barbarossa,"There is no information about his father's ethnic origin. We only know his name is Yakub, he was a [[sipahi]] and his father was a sipahi too. So he was not a converted he was born muslim"
2020-10-12T11:44:10+00:00,983125884,982984341,1,Smokva26,Alivardi Khan,What is the problem? Alivardi Khan was from the Afshar tribe and he was a Turkmen. His ethnicity is not written on the page
2020-10-11T21:20:06+00:00,983035667,983034623,1,Smokva26,Battle of Keresztes,
